Complexity,Loss,Equation
1,0.0024798089,"-0.185708"
3,0.0021929736,"log10_sigma * -0.039726082"
5,0.0019850216,"(log10_sigma + -3.1290855) / log10_k0_prime"
7,0.0019524355,"((log10_sigma * 0.39239913) + -1.0879848) / log10_lambda"
9,0.0019481628,"(((log10_sigma - 2.2048411) / log10_lambda) / 2.562448) + 0.05374273"
10,0.001893576,"((log10_sigma - 2.3319976) / log10_lambda) / sqrt(alpha_infinity - log10_k0_prime)"
11,0.0018355628,"((log10_sigma - 2.8074627) / log10_lambda) / ((alpha_infinity - log10_k0_prime) / 3.9714012)"
13,0.0018341675,"((log10_sigma - 2.813394) / log10_lambda) / ((alpha_infinity - (log10_k0_prime * 0.90154785)) / log10_f)"
14,0.0017508974,"(((log10_sigma + -1.9528023) - log((-1.0588466 - log10_k0_prime) / alpha_infinity)) / log10_lambda) / alpha_infinity"
16,0.0016300643,"((log10_sigma + ((log10_sigma * -0.36075616) - log((1.1193538 - log10_k0_prime) / alpha_infinity))) / log10_lambda) / alpha_infinity"
18,0.0015709081,"(((log10_sigma + -1.8706112) - log(0.52423257 - (log10_k0_prime / alpha_infinity))) / (2.7392392 - log10_sigma)) / (alpha_infinity / 0.56107855)"
20,0.0014603093,"((log10_sigma + (-2.078455 - log(-0.2486014 - (log10_k0_prime / alpha_infinity)))) / (2.9903367 - log10_sigma)) / ((alpha_infinity - 0.38074175) / 0.39221117)"
23,0.0014495812,"(((log10_sigma + -2.060228) - log(((-1.0781692 * log(alpha_infinity)) - log10_k0_prime) / alpha_infinity)) / (2.9630568 - log10_sigma)) / ((alpha_infinity - 0.39341432) / 0.38812825)"
