Frequency in Hz	Silk_99 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_99 Normalized Surface Impedance continuous Im	
556,25	0,769696354866028	556,25	-3,12406158447266	
559,375	0,79532390832901	559,375	-3,08836102485657	
562,5	0,793886005878448	562,5	-3,07775259017944	
565,625	0,780855894088745	565,625	-3,05936121940613	
568,75	0,78883695602417	568,75	-3,04521775245667	
571,875	0,793650686740875	571,875	-3,03964638710022	
575	0,771851599216461	575	-3,02738428115845	
578,125	0,788175880908966	578,125	-3,0165696144104	
581,25	0,753940761089325	581,25	-3,00564026832581	
584,375	0,730131447315216	584,375	-2,97986531257629	
587,5	0,72374963760376	587,5	-2,97008061408997	
590,625	0,726542890071869	590,625	-2,94067859649658	
593,75	0,719031691551209	593,75	-2,91226148605347	
596,875	0,712596833705902	596,875	-2,90367603302002	
600	0,698940932750702	600	-2,85705184936523	
603,125	0,702462732791901	603,125	-2,85264873504639	
606,25	0,703932046890259	606,25	-2,81574273109436	
609,375	0,697666227817535	609,375	-2,81187105178833	
612,5	0,698525607585907	612,5	-2,78691005706787	
615,625	0,697097539901733	615,625	-2,75585794448853	
618,75	0,701294481754303	618,75	-2,74469590187073	
621,875	0,701949536800385	621,875	-2,73911356925964	
625	0,715030074119568	625	-2,71463108062744	
628,125	0,70765483379364	628,125	-2,68508243560791	
631,25	0,72380530834198	631,25	-2,66350603103638	
634,375	0,724381446838379	634,375	-2,64944338798523	
637,5	0,718474626541138	637,5	-2,63905024528503	
640,625	0,726087331771851	640,625	-2,64029908180237	
643,75	0,712944686412811	643,75	-2,60586071014404	
646,875	0,726030051708221	646,875	-2,59308242797852	
650	0,710958778858185	650	-2,5831151008606	
653,125	0,724449276924133	653,125	-2,56955432891846	
656,25	0,733005940914154	656,25	-2,5548574924469	
659,375	0,72740513086319	659,375	-2,53036141395569	
662,5	0,721180737018585	662,5	-2,53465127944946	
665,625	0,712885558605194	665,625	-2,52082943916321	
668,75	0,721917569637299	668,75	-2,50052452087402	
671,875	0,732458472251892	671,875	-2,49614357948303	
675	0,73368501663208	675	-2,46848082542419	
678,125	0,73329496383667	678,125	-2,44915843009949	
681,25	0,73091185092926	681,25	-2,44568634033203	
684,375	0,730124652385712	684,375	-2,4384753704071	
687,5	0,720627665519714	687,5	-2,44168782234192	
690,625	0,710001647472382	690,625	-2,39493298530579	
693,75	0,721027612686157	693,75	-2,40731620788574	
696,875	0,720735430717468	696,875	-2,39672088623047	
700	0,723529279232025	700	-2,37323021888733	
703,125	0,715856075286865	703,125	-2,36277103424072	
706,25	0,717888593673706	706,25	-2,36346054077148	
709,375	0,72799676656723	709,375	-2,35054969787598	
712,5	0,714675188064575	712,5	-2,30785965919495	
715,625	0,715470612049103	715,625	-2,31940197944641	
718,75	0,708411037921906	718,75	-2,31189632415771	
721,875	0,716891944408417	721,875	-2,29583191871643	
725	0,707148253917694	725	-2,28909158706665	
728,125	0,716974377632141	728,125	-2,27051973342896	
731,25	0,711372196674347	731,25	-2,26706337928772	
734,375	0,711949169635773	734,375	-2,25677847862244	
737,5	0,706639885902405	737,5	-2,25528049468994	
740,625	0,719431161880493	740,625	-2,23028779029846	
743,75	0,726063370704651	743,75	-2,20905709266663	
746,875	0,699415981769562	746,875	-2,19603037834167	
750	0,696635603904724	750	-2,18870639801025	
753,125	0,704738259315491	753,125	-2,18608260154724	
756,25	0,711205661296844	756,25	-2,17817878723145	
759,375	0,720795869827271	759,375	-2,17594408988953	
762,5	0,711211383342743	762,5	-2,1766140460968	
765,625	0,716015994548798	765,625	-2,15988492965698	
768,75	0,70043009519577	768,75	-2,13303756713867	
771,875	0,709898710250854	771,875	-2,11233758926392	
775	0,707975447177887	775	-2,11819314956665	
778,125	0,712842166423798	778,125	-2,11316537857056	
781,25	0,707279860973358	781,25	-2,09619164466858	
784,375	0,712124824523926	784,375	-2,07836222648621	
787,5	0,710694074630737	787,5	-2,05770874023438	
790,625	0,707293391227722	790,625	-2,05374622344971	
793,75	0,709139466285706	793,75	-2,05481290817261	
796,875	0,702484786510468	796,875	-2,05606484413147	
800	0,705270886421204	800	-2,03943777084351	
803,125	0,698039352893829	803,125	-2,04271030426025	
806,25	0,702861487865448	806,25	-2,0228967666626	
809,375	0,699511826038361	809,375	-1,98636472225189	
812,5	0,706965565681458	812,5	-2,00826597213745	
815,625	0,706244647502899	815,625	-2,01473522186279	
818,75	0,707992851734161	818,75	-1,98229837417603	
821,875	0,713882982730865	821,875	-1,98242557048798	
825	0,713030636310577	825	-2,00277781486511	
828,125	0,710851311683655	828,125	-1,98636555671692	
831,25	0,751748740673065	831,25	-1,97303652763367	
834,375	0,722923159599304	834,375	-1,94008731842041	
837,5	0,705131590366364	837,5	-1,93893420696259	
840,625	0,699195861816406	840,625	-1,93333995342255	
843,75	0,702432572841644	843,75	-1,91824972629547	
846,875	0,692813813686371	846,875	-1,9172238111496	
850	0,680485904216766	850	-1,91175520420074	
853,125	0,679519474506378	853,125	-1,91665375232697	
856,25	0,700979590415955	856,25	-1,91781806945801	
859,375	0,709139704704285	859,375	-1,89856171607971	
862,5	0,697262108325958	862,5	-1,88690638542175	
865,625	0,692829430103302	865,625	-1,8839920759201	
868,75	0,68747878074646	868,75	-1,88022422790527	
871,875	0,681069910526276	871,875	-1,86619925498962	
875	0,688369929790497	875	-1,85626208782196	
878,125	0,680594503879547	878,125	-1,85132956504822	
881,25	0,68064272403717	881,25	-1,83691966533661	
