frequency f in Hz; re(r) ; im(r)
297.000000;0.764237;-0.246417
298.000000;0.759631;-0.244803
299.000000;0.761226;-0.245615
300.000000;0.759606;-0.244824
301.000000;0.756881;-0.243935
302.000000;0.756626;-0.244617
303.000000;0.755346;-0.251817
304.000000;0.751660;-0.252873
305.000000;0.743415;-0.253736
306.000000;0.748866;-0.251968
307.000000;0.747820;-0.247353
308.000000;0.738429;-0.248587
309.000000;0.738588;-0.246910
310.000000;0.739531;-0.245292
311.000000;0.734998;-0.241938
312.000000;0.730420;-0.235624
313.000000;0.732314;-0.228259
314.000000;0.729168;-0.228733
315.000000;0.731524;-0.224669
316.000000;0.731620;-0.222900
317.000000;0.735230;-0.223017
318.000000;0.740914;-0.222980
319.000000;0.744038;-0.223114
320.000000;0.742400;-0.224852
321.000000;0.738092;-0.226922
322.000000;0.735185;-0.228358
323.000000;0.735707;-0.226863
324.000000;0.740881;-0.226843
325.000000;0.746200;-0.232382
326.000000;0.746667;-0.239880
327.000000;0.737162;-0.231639
328.000000;0.734026;-0.229829
329.000000;0.742252;-0.229983
330.000000;0.741447;-0.234917
331.000000;0.740337;-0.237036
332.000000;0.741407;-0.234313
333.000000;0.740011;-0.231477
334.000000;0.739274;-0.225402
335.000000;0.740782;-0.227285
336.000000;0.739108;-0.239219
337.000000;0.730758;-0.232222
338.000000;0.735452;-0.227821
339.000000;0.733677;-0.235768
340.000000;0.730165;-0.237135
341.000000;0.729952;-0.233073
342.000000;0.721693;-0.232663
343.000000;0.728752;-0.236059
344.000000;0.725647;-0.232219
345.000000;0.729328;-0.236831
346.000000;0.738747;-0.236579
347.000000;0.739895;-0.228040
348.000000;0.724910;-0.234582
349.000000;0.721460;-0.237177
350.000000;0.723231;-0.231428
351.000000;0.712995;-0.230015
352.000000;0.723382;-0.240197
353.000000;0.726826;-0.228528
354.000000;0.716888;-0.228192
355.000000;0.717862;-0.232953
356.000000;0.722735;-0.234847
357.000000;0.714638;-0.239939
358.000000;0.724352;-0.237961
359.000000;0.725661;-0.233445
360.000000;0.711636;-0.230438
361.000000;0.707722;-0.232922
362.000000;0.713996;-0.235211
363.000000;0.709239;-0.236371
364.000000;0.711225;-0.235462
365.000000;0.717671;-0.246154
366.000000;0.706487;-0.245255
367.000000;0.718043;-0.240021
368.000000;0.722962;-0.240931
369.000000;0.717007;-0.240261
370.000000;0.711644;-0.228573
371.000000;0.701804;-0.222231
372.000000;0.715708;-0.220976
373.000000;0.701300;-0.204872
374.000000;0.712860;-0.223763
375.000000;0.731400;-0.231494
376.000000;0.727823;-0.242788
377.000000;0.715857;-0.225631
378.000000;0.707332;-0.221576
379.000000;0.715366;-0.233732
380.000000;0.705460;-0.236532
381.000000;0.699166;-0.240265
382.000000;0.686893;-0.233484
383.000000;0.714679;-0.234068
384.000000;0.720185;-0.231885
385.000000;0.703718;-0.238300
386.000000;0.675477;-0.240168
387.000000;0.695769;-0.228420
388.000000;0.693949;-0.220021
389.000000;0.706088;-0.219902
390.000000;0.687766;-0.234697
391.000000;0.699698;-0.235914
392.000000;0.697680;-0.234058
393.000000;0.696210;-0.251292
394.000000;0.706439;-0.235823
395.000000;0.699912;-0.236499
396.000000;0.669256;-0.216672
397.000000;0.696915;-0.224112
398.000000;0.703651;-0.233120
399.000000;0.677955;-0.232121
400.000000;0.682423;-0.233143
401.000000;0.687159;-0.229299
402.000000;0.679990;-0.239078
403.000000;0.681573;-0.238251
404.000000;0.686043;-0.232925
405.000000;0.686945;-0.225240
406.000000;0.696635;-0.206895
407.000000;0.689389;-0.202847
408.000000;0.697622;-0.214117
409.000000;0.696856;-0.234482
410.000000;0.693357;-0.223891
411.000000;0.686088;-0.227774
412.000000;0.674712;-0.215076
413.000000;0.667804;-0.213010
414.000000;0.672976;-0.223117
415.000000;0.679908;-0.200956
416.000000;0.688110;-0.197678
417.000000;0.696525;-0.218854
418.000000;0.680209;-0.220303
419.000000;0.680734;-0.228216
420.000000;0.686011;-0.234431
421.000000;0.672100;-0.224715
422.000000;0.660153;-0.226243
423.000000;0.676372;-0.222216
424.000000;0.674488;-0.213345
425.000000;0.667907;-0.213305
426.000000;0.675605;-0.219612
427.000000;0.657405;-0.214298
428.000000;0.682302;-0.210607
429.000000;0.698584;-0.237293
430.000000;0.698256;-0.223220
431.000000;0.698542;-0.199332
432.000000;0.679166;-0.199223
433.000000;0.685731;-0.209806
434.000000;0.675016;-0.228800
435.000000;0.670507;-0.246142
436.000000;0.683846;-0.226381
437.000000;0.679259;-0.222630
438.000000;0.678273;-0.209585
439.000000;0.677073;-0.204774
440.000000;0.670609;-0.206377
441.000000;0.675494;-0.217480
442.000000;0.670305;-0.215486
443.000000;0.670400;-0.224290
444.000000;0.677432;-0.204576
445.000000;0.683020;-0.207050
446.000000;0.666946;-0.212033
447.000000;0.662612;-0.212256
448.000000;0.669651;-0.215857
449.000000;0.668458;-0.214625
450.000000;0.662001;-0.212496
451.000000;0.668864;-0.221473
452.000000;0.675960;-0.204731
453.000000;0.669365;-0.214045
454.000000;0.668632;-0.203805
455.000000;0.663181;-0.203347
456.000000;0.664705;-0.207690
457.000000;0.668304;-0.215321
458.000000;0.667083;-0.206308
459.000000;0.662326;-0.208045
460.000000;0.669976;-0.212583
461.000000;0.673162;-0.207845
462.000000;0.674251;-0.196979
463.000000;0.668830;-0.207144
464.000000;0.668193;-0.219820
465.000000;0.675717;-0.216443
466.000000;0.670386;-0.214678
467.000000;0.669008;-0.223316
468.000000;0.668353;-0.222063
469.000000;0.664106;-0.219260
470.000000;0.663099;-0.199201
471.000000;0.663623;-0.217432
472.000000;0.669676;-0.209431
473.000000;0.656588;-0.210535
474.000000;0.659400;-0.210245
475.000000;0.664775;-0.201521
476.000000;0.659483;-0.200800
477.000000;0.664585;-0.196078
478.000000;0.660627;-0.197596
479.000000;0.654939;-0.197247
480.000000;0.663158;-0.203840
481.000000;0.679313;-0.205656
482.000000;0.673419;-0.211209
483.000000;0.657950;-0.213341
484.000000;0.654429;-0.209724
485.000000;0.651335;-0.208269
486.000000;0.650596;-0.202644
487.000000;0.647272;-0.202673
488.000000;0.651753;-0.198409
489.000000;0.662198;-0.203907
490.000000;0.655238;-0.201362
491.000000;0.656350;-0.199659
492.000000;0.651630;-0.198369
493.000000;0.653777;-0.198363
494.000000;0.649684;-0.202492
495.000000;0.656825;-0.202829
496.000000;0.660393;-0.195994
497.000000;0.660202;-0.190439
498.000000;0.658565;-0.199066
499.000000;0.659972;-0.202090
500.000000;0.662555;-0.201360
501.000000;0.657426;-0.201226
502.000000;0.656391;-0.200001
503.000000;0.658109;-0.195778
504.000000;0.659014;-0.188148
505.000000;0.660082;-0.190514
506.000000;0.654303;-0.203075
507.000000;0.657061;-0.198618
508.000000;0.664396;-0.198072
509.000000;0.656509;-0.204195
510.000000;0.655460;-0.202247
511.000000;0.656785;-0.195984
512.000000;0.655168;-0.191761
513.000000;0.652227;-0.191785
514.000000;0.653620;-0.197035
515.000000;0.645412;-0.202969
516.000000;0.652921;-0.207151
517.000000;0.656290;-0.206338
518.000000;0.656842;-0.195711
519.000000;0.651040;-0.194031
520.000000;0.653128;-0.202615
521.000000;0.647746;-0.196506
522.000000;0.649975;-0.194979
523.000000;0.647631;-0.193562
524.000000;0.643568;-0.188501
525.000000;0.649240;-0.193385
526.000000;0.646653;-0.196078
527.000000;0.649418;-0.194363
528.000000;0.652509;-0.198922
529.000000;0.655359;-0.197258
530.000000;0.650574;-0.189535
531.000000;0.643105;-0.194724
532.000000;0.651425;-0.194276
533.000000;0.649526;-0.189264
534.000000;0.650954;-0.194626
535.000000;0.646537;-0.189881
536.000000;0.639424;-0.182584
537.000000;0.647529;-0.187154
538.000000;0.650802;-0.188742
539.000000;0.644670;-0.192271
540.000000;0.648332;-0.190057
541.000000;0.647773;-0.189654
542.000000;0.646758;-0.187381
543.000000;0.644574;-0.186588
544.000000;0.640283;-0.191880
545.000000;0.641839;-0.194200
546.000000;0.643407;-0.191978
547.000000;0.647402;-0.192681
548.000000;0.645986;-0.193397
549.000000;0.643660;-0.191050
550.000000;0.640229;-0.187085
551.000000;0.640993;-0.190768
552.000000;0.643701;-0.186767
553.000000;0.640223;-0.185179
554.000000;0.637782;-0.185493
555.000000;0.642157;-0.189815
556.000000;0.643953;-0.182764
557.000000;0.643383;-0.182798
558.000000;0.642684;-0.182642
559.000000;0.643092;-0.184239
560.000000;0.641047;-0.182655
561.000000;0.643215;-0.183943
562.000000;0.642449;-0.187323
563.000000;0.642686;-0.185021
564.000000;0.643627;-0.182439
565.000000;0.643012;-0.185511
566.000000;0.639837;-0.187390
567.000000;0.639808;-0.185410
568.000000;0.642054;-0.186701
569.000000;0.640390;-0.183990
570.000000;0.640397;-0.179573
571.000000;0.641346;-0.182046
572.000000;0.641498;-0.181189
573.000000;0.643048;-0.180625
574.000000;0.640955;-0.182923
575.000000;0.641318;-0.181638
576.000000;0.640904;-0.181995
577.000000;0.643483;-0.186406
578.000000;0.640460;-0.183582
579.000000;0.639529;-0.185860
580.000000;0.639232;-0.185957
581.000000;0.639217;-0.183661
582.000000;0.638865;-0.183987
583.000000;0.635587;-0.182600
584.000000;0.636743;-0.182172
585.000000;0.636683;-0.183351
586.000000;0.635806;-0.183322
587.000000;0.635500;-0.181494
588.000000;0.634897;-0.181604
589.000000;0.634776;-0.181792
590.000000;0.635176;-0.182174
591.000000;0.633970;-0.180756
592.000000;0.633355;-0.181290
593.000000;0.632979;-0.180683
594.000000;0.632330;-0.180944
595.000000;0.632878;-0.180990
596.000000;0.632763;-0.181939
597.000000;0.632732;-0.180560
598.000000;0.632819;-0.179777
599.000000;0.631842;-0.178984
600.000000;0.632210;-0.180584
601.000000;0.631270;-0.179490
602.000000;0.630824;-0.179437
603.000000;0.630970;-0.178920
604.000000;0.629497;-0.178435
605.000000;0.628438;-0.178266
606.000000;0.627478;-0.177617
607.000000;0.626094;-0.176880
608.000000;0.627175;-0.177509
609.000000;0.628101;-0.177222
610.000000;0.627919;-0.175038
611.000000;0.627172;-0.175498
612.000000;0.626311;-0.176968
613.000000;0.625698;-0.175800
614.000000;0.624665;-0.175692
615.000000;0.624401;-0.174455
616.000000;0.624510;-0.172715
617.000000;0.624013;-0.174264
618.000000;0.623978;-0.172661
619.000000;0.624506;-0.171406
620.000000;0.624957;-0.171514
621.000000;0.624597;-0.170323
622.000000;0.624783;-0.169162
623.000000;0.624588;-0.169033
624.000000;0.623929;-0.169991
625.000000;0.624187;-0.168803
626.000000;0.623582;-0.169405
627.000000;0.623100;-0.167658
628.000000;0.623039;-0.165644
629.000000;0.623385;-0.166713
630.000000;0.623401;-0.167123
631.000000;0.623891;-0.167276
632.000000;0.624891;-0.165464
633.000000;0.624901;-0.165717
634.000000;0.623464;-0.166466
635.000000;0.623686;-0.165468
636.000000;0.624338;-0.164205
637.000000;0.624727;-0.163230
638.000000;0.625938;-0.164642
639.000000;0.625486;-0.164743
640.000000;0.625214;-0.163893
641.000000;0.625135;-0.163494
642.000000;0.624378;-0.162838
643.000000;0.624103;-0.162738
644.000000;0.624697;-0.163701
645.000000;0.625315;-0.163725
646.000000;0.625312;-0.162745
647.000000;0.624560;-0.162119
648.000000;0.624154;-0.162899
649.000000;0.625347;-0.161807
650.000000;0.624705;-0.161307
651.000000;0.624054;-0.162247
652.000000;0.624772;-0.161557
653.000000;0.624087;-0.160846
654.000000;0.623881;-0.163134
655.000000;0.623841;-0.161534
656.000000;0.624435;-0.160124
657.000000;0.624148;-0.160582
658.000000;0.623952;-0.159086
659.000000;0.624639;-0.159626
660.000000;0.624611;-0.160082
661.000000;0.624608;-0.160189
662.000000;0.624641;-0.159762
663.000000;0.624432;-0.159231
664.000000;0.623607;-0.158214
665.000000;0.623804;-0.159167
666.000000;0.624510;-0.158436
667.000000;0.624401;-0.158599
668.000000;0.624246;-0.158523
669.000000;0.622937;-0.157507
670.000000;0.624409;-0.159189
671.000000;0.623331;-0.159204
672.000000;0.623772;-0.158599
673.000000;0.624875;-0.158669
674.000000;0.625364;-0.157433
675.000000;0.624785;-0.155720
