Frequency in Hz	Silk_93 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_93 Sound Reflection Factor continuous Im	
484,375	0,720202147960663	484,375	-0,180182635784149	
487,5	0,719342350959778	487,5	-0,175178498029709	
490,625	0,718374311923981	490,625	-0,177317455410957	
493,75	0,714763164520264	493,75	-0,177111506462097	
496,875	0,713914930820465	496,875	-0,175680175423622	
500	0,720696806907654	500	-0,178821548819542	
503,125	0,720051169395447	503,125	-0,179398387670517	
506,25	0,719817042350769	506,25	-0,176976904273033	
509,375	0,720156192779541	509,375	-0,180189415812492	
512,5	0,71438729763031	512,5	-0,18166495859623	
515,625	0,71363639831543	515,625	-0,175549536943436	
518,75	0,712450265884399	518,75	-0,173140302300453	
521,875	0,712828874588013	521,875	-0,181429371237755	
525	0,70959734916687	525	-0,179568916559219	
528,125	0,714131236076355	528,125	-0,176088348031044	
531,25	0,711137354373932	531,25	-0,178838551044464	
534,375	0,710093319416046	534,375	-0,177889972925186	
537,5	0,709174990653992	537,5	-0,178326487541199	
540,625	0,709670722484589	540,625	-0,177990972995758	
543,75	0,706713080406189	543,75	-0,172535941004753	
546,875	0,70866858959198	546,875	-0,18056957423687	
550	0,706946492195129	550	-0,17772464454174	
553,125	0,704138278961182	553,125	-0,178897798061371	
556,25	0,7062007188797	556,25	-0,176269814372063	
559,375	0,70165354013443	559,375	-0,175547435879707	
562,5	0,702178120613098	562,5	-0,174835741519928	
565,625	0,702212035655975	565,625	-0,176149055361748	
568,75	0,700157225131989	568,75	-0,175105914473534	
571,875	0,699272632598877	571,875	-0,174335673451424	
575	0,700157463550568	575	-0,175177574157715	
578,125	0,697182357311249	578,125	-0,17254863679409	
581,25	0,69954240322113	581,25	-0,173650547862053	
584,375	0,699594497680664	584,375	-0,175168976187706	
587,5	0,699060559272766	587,5	-0,174242258071899	
590,625	0,697061002254486	590,625	-0,174005299806595	
593,75	0,695841372013092	593,75	-0,173844769597054	
596,875	0,696257829666138	596,875	-0,172904014587402	
600	0,695252060890198	600	-0,175139144062996	
603,125	0,694600045681	603,125	-0,173073261976242	
606,25	0,693475127220154	606,25	-0,173850938677788	
609,375	0,694496810436249	609,375	-0,172353014349937	
612,5	0,69346821308136	612,5	-0,172351509332657	
615,625	0,692254722118378	615,625	-0,173680901527405	
618,75	0,692166566848755	618,75	-0,172520309686661	
621,875	0,692876756191254	621,875	-0,170864298939705	
625	0,690880954265594	625	-0,170427232980728	
628,125	0,690415561199188	628,125	-0,172067001461983	
631,25	0,687650561332703	631,25	-0,171025991439819	
634,375	0,687304437160492	634,375	-0,170636013150215	
637,5	0,688158929347992	637,5	-0,170613244175911	
640,625	0,688492000102997	640,625	-0,167995348572731	
643,75	0,688391149044037	643,75	-0,170426040887833	
646,875	0,686610221862793	646,875	-0,169527679681778	
650	0,688173949718475	650	-0,170003116130829	
653,125	0,686419069766998	653,125	-0,168853640556335	
656,25	0,685365736484528	656,25	-0,16842794418335	
659,375	0,685154139995575	659,375	-0,170068725943565	
662,5	0,686716675758362	662,5	-0,168466195464134	
665,625	0,686989307403564	665,625	-0,16910645365715	
668,75	0,685203969478607	668,75	-0,169172719120979	
671,875	0,684511244297028	671,875	-0,167201489210129	
675	0,682727336883545	675	-0,168545067310333	
678,125	0,681831836700439	678,125	-0,169002577662468	
681,25	0,682602286338806	681,25	-0,168279975652695	
684,375	0,682591497898102	684,375	-0,168046891689301	
687,5	0,684479176998138	687,5	-0,166976392269135	
690,625	0,682405769824982	690,625	-0,171515330672264	
693,75	0,682788133621216	693,75	-0,168088063597679	
696,875	0,682834267616272	696,875	-0,167689099907875	
700	0,681366145610809	700	-0,168762445449829	
703,125	0,681502342224121	703,125	-0,169205531477928	
706,25	0,68166321516037	706,25	-0,16755123436451	
709,375	0,6799276471138	709,375	-0,16645672917366	
712,5	0,6785888671875	712,5	-0,171131163835526	
715,625	0,680413782596588	715,625	-0,16845566034317	
718,75	0,680813193321228	718,75	-0,168800666928291	
721,875	0,679109752178192	721,875	-0,168746247887611	
725	0,680258452892303	725	-0,168903857469559	
728,125	0,678327202796936	728,125	-0,168939009308815	
731,25	0,67917138338089	731,25	-0,168544307351112	
734,375	0,678355395793915	734,375	-0,168112397193909	
737,5	0,679150879383087	737,5	-0,167887389659882	
740,625	0,676685214042664	740,625	-0,168387800455093	
743,75	0,674885988235474	743,75	-0,168721914291382	
746,875	0,676991879940033	746,875	-0,170383632183075	
750	0,676596879959106	750	-0,170125052332878	
753,125	0,676348209381104	753,125	-0,168975993990898	
756,25	0,675516307353973	756,25	-0,168507128953934	
759,375	0,672925531864166	759,375	-0,167107969522476	
762,5	0,674965739250183	762,5	-0,166589140892029	
765,625	0,674584984779358	765,625	-0,166588947176933	
768,75	0,674546301364899	768,75	-0,169334754347801	
771,875	0,673126637935638	771,875	-0,169593721628189	
775	0,673711001873016	775	-0,167200341820717	
778,125	0,672118604183197	778,125	-0,166708201169968	
781,25	0,672198355197906	781,25	-0,168496444821358	
784,375	0,671005725860596	784,375	-0,169692784547806	
787,5	0,671352386474609	787,5	-0,171127766370773	
790,625	0,671538889408112	790,625	-0,170662954449654	
793,75	0,671250939369202	793,75	-0,168720424175262	
796,875	0,671179413795471	796,875	-0,167182192206383	
800	0,670659124851227	800	-0,167842224240303	
803,125	0,672025322914124	803,125	-0,165623068809509	
806,25	0,671792089939117	806,25	-0,168612658977509	
809,375	0,669981896877289	809,375	-0,172429814934731	
812,5	0,670784592628479	812,5	-0,167952448129654	
815,625	0,67024952173233	815,625	-0,166051730513573	
818,75	0,669018983840942	818,75	-0,169913321733475	
821,875	0,66714084148407	821,875	-0,167867183685303	
825	0,667348027229309	825	-0,161127924919128	
828,125	0,666787385940552	828,125	-0,162807390093803	
831,25	0,660998404026031	831,25	-0,15885528922081	
834,375	0,665356755256653	834,375	-0,168687015771866	
837,5	0,667965650558472	837,5	-0,169499903917313	
840,625	0,666792333126068	840,625	-0,168824702501297	
843,75	0,665534436702728	843,75	-0,169935792684555	
846,875	0,670140445232391	846,875	-0,16939315199852	
850	0,671636402606964	850	-0,168336391448975	
853,125	0,670940160751343	853,125	-0,162942707538605	
856,25	0,665826857089996	856,25	-0,163049697875977	
859,375	0,663291752338409	859,375	-0,165382027626038	
862,5	0,664784014225006	862,5	-0,165802076458931	
865,625	0,666030168533325	865,625	-0,164583951234818	
868,75	0,668703317642212	868,75	-0,163894549012184	
871,875	0,668063044548035	871,875	-0,1670743227005	
875	0,66667377948761	875	-0,164982706308365	
878,125	0,666612446308136	878,125	-0,165368720889091	
881,25	0,665792763233185	881,25	-0,167778804898262	
884,375	0,655724287033081	884,375	-0,160831943154335	
887,5	0,651922345161438	887,5	-0,159243747591972	
890,625	0,652482807636261	890,625	-0,161515325307846	
893,75	0,657983124256134	893,75	-0,162596866488457	
896,875	0,655241668224335	896,875	-0,16422937810421	
900	0,65530264377594	900	-0,160722926259041	
903,125	0,651960730552673	903,125	-0,161161065101624	
906,25	0,65306568145752	906,25	-0,159735053777695	
909,375	0,656966865062714	909,375	-0,159311294555664	
912,5	0,657678604125977	912,5	-0,163870960474014	
915,625	0,656073272228241	915,625	-0,163801223039627	
918,75	0,654118537902832	918,75	-0,162457212805748	
921,875	0,6507528424263	921,875	-0,159979104995728	
925	0,65098363161087	925	-0,159933134913445	
928,125	0,654772043228149	928,125	-0,158249914646149	
931,25	0,650283515453339	931,25	-0,162142515182495	
934,375	0,651435315608978	934,375	-0,160429731011391	
937,5	0,650604009628296	937,5	-0,16145233809948	
940,625	0,650917172431946	940,625	-0,160547137260437	
943,75	0,650573372840881	943,75	-0,163456961512566	
946,875	0,64987587928772	946,875	-0,162964224815369	
950	0,649292767047882	950	-0,161288991570473	
953,125	0,648995637893677	953,125	-0,159228891134262	
956,25	0,647684812545776	956,25	-0,159651070833206	
959,375	0,647014796733856	959,375	-0,161432340741158	
962,5	0,647543013095856	962,5	-0,162164717912674	
965,625	0,64734947681427	965,625	-0,161357074975967	
968,75	0,649002730846405	968,75	-0,160457968711853	
971,875	0,646559476852417	971,875	-0,162017822265625	
975	0,646281480789185	975	-0,160604402422905	
978,125	0,645976364612579	978,125	-0,160564959049225	
981,25	0,643498122692108	981,25	-0,160689979791641	
984,375	0,645046949386597	984,375	-0,160929515957832	
987,5	0,644880294799805	987,5	-0,160609871149063	
990,625	0,644006669521332	990,625	-0,160125896334648	
993,75	0,644765019416809	993,75	-0,162690401077271	
996,875	0,644725441932678	996,875	-0,161357179284096	
1000	0,644664525985718	1000	-0,162695363163948	
1003,125	0,643424689769745	1003,125	-0,161004021763802	
1006,25	0,642682492733002	1006,25	-0,160737693309784	
1009,375	0,641696870326996	1009,375	-0,162179484963417	
1012,5	0,641961514949799	1012,5	-0,16087019443512	
1015,625	0,643057644367218	1015,625	-0,160556569695473	
1018,75	0,641098856925964	1018,75	-0,163312703371048	
1021,875	0,641401052474976	1021,875	-0,161695241928101	
1025	0,63996160030365	1025	-0,162618786096573	
1028,125	0,640164077281952	1028,125	-0,161642909049988	
1031,25	0,641445279121399	1031,25	-0,161141991615295	
1034,375	0,640158295631409	1034,375	-0,16226926445961	
1037,5	0,639359831809998	1037,5	-0,162075325846672	
1040,625	0,639235615730286	1040,625	-0,162416711449623	
1043,75	0,638881206512451	1043,75	-0,161596968770027	
1046,875	0,6380575299263	1046,875	-0,16128545999527	
1050	0,638361155986786	1050	-0,1624586135149	
1053,125	0,639410376548767	1053,125	-0,162654459476471	
1056,25	0,637911796569824	1056,25	-0,16320963203907	
1059,375	0,63836282491684	1059,375	-0,161951720714569	
1062,5	0,638392508029938	1062,5	-0,16223780810833	
1065,625	0,63737952709198	1065,625	-0,163883596658707	
1068,75	0,636150240898132	1068,75	-0,161805883049965	
1071,875	0,635851085186005	1071,875	-0,162020236253738	
1075	0,636719107627869	1075	-0,161839216947556	
1078,125	0,637529134750366	1078,125	-0,162821397185326	
1081,25	0,633608162403107	1081,25	-0,164313912391663	
1084,375	0,634676933288574	1084,375	-0,163123458623886	
1087,5	0,634653151035309	1087,5	-0,162871733307838	
1090,625	0,634072244167328	1090,625	-0,162278845906258	
1093,75	0,633873641490936	1093,75	-0,163077145814896	
1096,875	0,632470965385437	1096,875	-0,16303551197052	
1100	0,631682217121124	1100	-0,163413375616074	
1103,125	0,631303668022156	1103,125	-0,164090543985367	
1106,25	0,630511879920959	1106,25	-0,162349984049797	
1109,375	0,630891680717468	1109,375	-0,164825066924095	
1112,5	0,631590604782104	1112,5	-0,163658946752548	
1115,625	0,62834906578064	1115,625	-0,16360205411911	
1118,75	0,630793035030365	1118,75	-0,165035739541054	
1121,875	0,62975150346756	1121,875	-0,163049474358559	
1125	0,630377173423767	1125	-0,164332807064056	
1128,125	0,630361676216125	1128,125	-0,163828417658806	
1131,25	0,628257513046265	1131,25	-0,165631309151649	
1134,375	0,628072440624237	1134,375	-0,164023637771606	
1137,5	0,629350006580353	1137,5	-0,164004191756248	
1140,625	0,628241956233978	1140,625	-0,166309386491776	
1143,75	0,628296315670013	1143,75	-0,164606869220734	
1146,875	0,627708196640015	1146,875	-0,164296358823776	
1150	0,625728368759155	1150	-0,165685474872589	
1153,125	0,624994456768036	1153,125	-0,164644628763199	
1156,25	0,627229332923889	1156,25	-0,164414778351784	
1159,375	0,627721846103668	1159,375	-0,166794002056122	
1162,5	0,627330958843231	1162,5	-0,164562299847603	
1165,625	0,625008404254913	1165,625	-0,165721252560616	
1168,75	0,625151634216309	1168,75	-0,165165334939957	
1171,875	0,624970495700836	1171,875	-0,165091037750244	
1175	0,624202251434326	1175	-0,166966006159782	
1178,125	0,624567329883575	1178,125	-0,166492953896523	
1181,25	0,624731302261353	1181,25	-0,165641590952873	
1184,375	0,623223721981049	1184,375	-0,167155504226685	
1187,5	0,624346017837524	1187,5	-0,168145656585693	
1190,625	0,622918784618378	1190,625	-0,166521012783051	
1193,75	0,621613144874573	1193,75	-0,165128871798515	
1196,875	0,618969738483429	1196,875	-0,165453195571899	
1200	0,619928181171417	1200	-0,169481083750725	
1203,125	0,619796931743622	1203,125	-0,168283820152283	
1206,25	0,618257999420166	1206,25	-0,166193410754204	
