frequency f in Hz; re(r) ; im(r)
297.000000;0.799320;-0.335815
298.000000;0.797927;-0.332291
299.000000;0.791624;-0.329894
300.000000;0.784419;-0.331438
301.000000;0.784090;-0.333499
302.000000;0.781652;-0.335221
303.000000;0.780128;-0.335998
304.000000;0.778084;-0.334975
305.000000;0.774165;-0.332300
306.000000;0.769079;-0.338618
307.000000;0.765844;-0.340085
308.000000;0.767420;-0.336224
309.000000;0.766417;-0.340953
310.000000;0.761667;-0.333683
311.000000;0.757865;-0.331834
312.000000;0.753022;-0.329767
313.000000;0.753303;-0.329377
314.000000;0.753383;-0.324009
315.000000;0.757162;-0.322917
316.000000;0.761246;-0.313547
317.000000;0.757738;-0.311501
318.000000;0.764959;-0.316577
319.000000;0.770752;-0.316899
320.000000;0.764567;-0.318996
321.000000;0.762412;-0.321758
322.000000;0.772087;-0.326284
323.000000;0.771195;-0.322435
324.000000;0.760379;-0.318513
325.000000;0.763587;-0.323086
326.000000;0.764793;-0.318336
327.000000;0.767292;-0.322216
328.000000;0.765384;-0.328675
329.000000;0.765032;-0.328302
330.000000;0.777604;-0.327610
331.000000;0.781910;-0.322883
332.000000;0.765894;-0.329020
333.000000;0.761003;-0.333676
334.000000;0.754468;-0.337905
335.000000;0.759434;-0.338744
336.000000;0.761337;-0.335456
337.000000;0.755609;-0.340544
338.000000;0.755877;-0.348372
339.000000;0.752310;-0.343606
340.000000;0.744017;-0.338754
341.000000;0.740593;-0.333082
342.000000;0.748139;-0.343878
343.000000;0.743937;-0.354718
344.000000;0.739546;-0.357135
345.000000;0.743947;-0.341255
346.000000;0.755170;-0.336182
347.000000;0.752592;-0.342060
348.000000;0.747969;-0.344573
349.000000;0.749646;-0.342199
350.000000;0.747722;-0.338017
351.000000;0.744152;-0.344071
352.000000;0.733600;-0.338153
353.000000;0.734416;-0.349884
354.000000;0.738915;-0.339207
355.000000;0.732657;-0.348380
356.000000;0.740216;-0.351187
357.000000;0.752051;-0.348459
358.000000;0.749916;-0.346507
359.000000;0.743663;-0.343123
360.000000;0.750333;-0.343771
