Frequency in Hz	Silk_96 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_96 Sound Reflection Factor continuous Im	
484,375	0,651570558547974	484,375	-0,388277620077133	
487,5	0,651142835617065	487,5	-0,383914351463318	
490,625	0,647372305393219	490,625	-0,386296659708023	
493,75	0,641542255878448	493,75	-0,385709434747696	
496,875	0,639549732208252	496,875	-0,385408461093903	
500	0,642000079154968	500	-0,391487061977386	
503,125	0,63844621181488	503,125	-0,391831606626511	
506,25	0,637247681617737	506,25	-0,390480995178223	
509,375	0,635103642940521	509,375	-0,394368916749954	
512,5	0,627575397491455	512,5	-0,394105285406113	
515,625	0,627131402492523	515,625	-0,388894349336624	
518,75	0,625616550445557	518,75	-0,386784344911575	
521,875	0,620707511901855	521,875	-0,394479900598526	
525	0,616682350635529	525	-0,392697662115097	
528,125	0,619781672954559	528,125	-0,39208722114563	
531,25	0,614205777645111	531,25	-0,392654150724411	
534,375	0,611331343650818	534,375	-0,392135739326477	
537,5	0,608391463756561	537,5	-0,392900973558426	
540,625	0,60711807012558	540,625	-0,393250912427902	
543,75	0,604983270168304	543,75	-0,388993442058563	
546,875	0,60161679983139	546,875	-0,396329969167709	
550	0,599376320838928	550	-0,393646776676178	
553,125	0,594860136508942	553,125	-0,393765151500702	
556,25	0,594904482364655	556,25	-0,391935139894485	
559,375	0,58909410238266	559,375	-0,389819890260696	
562,5	0,58779764175415	562,5	-0,389522016048431	
565,625	0,585509479045868	565,625	-0,39076092839241	
568,75	0,582287490367889	568,75	-0,389157980680466	
571,875	0,580183088779449	571,875	-0,388116329908371	
575	0,57867556810379	575	-0,38926300406456	
578,125	0,575704991817474	578,125	-0,386328041553497	
581,25	0,575173676013947	581,25	-0,387945890426636	
584,375	0,572814524173737	584,375	-0,389210730791092	
587,5	0,571180164813995	587,5	-0,388553380966187	
590,625	0,567954182624817	590,625	-0,38736018538475	
593,75	0,565210580825806	593,75	-0,387084573507309	
596,875	0,56450492143631	596,875	-0,386468708515167	
600	0,560885488986969	600	-0,387640863656998	
603,125	0,559700191020966	603,125	-0,386102378368378	
606,25	0,556686222553253	606,25	-0,385975241661072	
609,375	0,556542634963989	609,375	-0,385278165340424	
612,5	0,554013550281525	612,5	-0,385046720504761	
615,625	0,551072299480438	615,625	-0,385737091302872	
618,75	0,549996852874756	618,75	-0,384762138128281	
621,875	0,549520552158356	621,875	-0,383549064397812	
625	0,546477138996124	625	-0,382253527641296	
628,125	0,543647170066834	628,125	-0,383536577224731	
631,25	0,540073692798615	631,25	-0,381714373826981	
634,375	0,538304626941681	634,375	-0,381355613470078	
637,5	0,537397742271423	637,5	-0,381482034921646	
640,625	0,537176012992859	640,625	-0,379399210214615	
643,75	0,533651292324066	643,75	-0,381032705307007	
646,875	0,531331956386566	646,875	-0,379386752843857	
650	0,530676960945129	650	-0,380395442247391	
653,125	0,528343975543976	653,125	-0,378456771373749	
656,25	0,526399075984955	656,25	-0,377190589904785	
659,375	0,523919820785522	659,375	-0,377564370632172	
662,5	0,524231612682343	662,5	-0,377096593379974	
665,625	0,52280181646347	665,625	-0,37755560874939	
668,75	0,520003736019135	668,75	-0,376261383295059	
671,875	0,518999516963959	671,875	-0,374177634716034	
675	0,515599310398102	675	-0,374104052782059	
678,125	0,513209283351898	678,125	-0,373514086008072	
681,25	0,512656390666962	681,25	-0,372838944196701	
684,375	0,51190596818924	684,375	-0,372388482093811	
687,5	0,512711465358734	687,5	-0,372538268566132	
690,625	0,507402837276459	690,625	-0,374144226312637	
693,75	0,508359014987946	693,75	-0,371522188186646	
696,875	0,507145881652832	696,875	-0,370795041322708	
700	0,504243850708008	700	-0,370553940534592	
703,125	0,503473341464996	703,125	-0,370697528123856	
706,25	0,503435850143433	706,25	-0,369391143321991	
709,375	0,501376092433929	709,375	-0,367699563503265	
712,5	0,4971684217453	712,5	-0,369954019784927	
715,625	0,49863874912262	715,625	-0,368555903434753	
718,75	0,497815549373627	718,75	-0,368835002183914	
721,875	0,495558738708496	721,875	-0,367678254842758	
725	0,495111882686615	725	-0,368222206830978	
728,125	0,49239781498909	728,125	-0,366542279720306	
731,25	0,492378681898117	731,25	-0,366626709699631	
734,375	0,49113941192627	734,375	-0,365553230047226	
737,5	0,491044968366623	737,5	-0,365523666143417	
740,625	0,487465441226959	740,625	-0,364126831293106	
743,75	0,484547883272171	743,75	-0,363157451152802	
746,875	0,484021246433258	746,875	-0,365866482257843	
750	0,483181893825531	750	-0,365172177553177	
753,125	0,482971668243408	753,125	-0,363511741161346	
756,25	0,481320559978485	756,25	-0,362549960613251	
759,375	0,480299234390259	759,375	-0,360180169343948	
762,5	0,481054127216339	762,5	-0,360558986663818	
765,625	0,47954723238945	765,625	-0,359323292970657	
768,75	0,476997315883636	768,75	-0,361224770545959	
771,875	0,474562972784042	771,875	-0,359994381666183	
775	0,475588202476501	775	-0,358993589878082	
778,125	0,474520951509476	778,125	-0,357656180858612	
781,25	0,472978085279465	781,25	-0,358541488647461	
784,375	0,470903277397156	784,375	-0,35820683836937	
787,5	0,469294726848602	787,5	-0,358935415744781	
790,625	0,46859422326088	790,625	-0,35807928442955	
793,75	0,469213217496872	793,75	-0,356607168912888	
796,875	0,469414263963699	796,875	-0,35652282834053	
800	0,467600286006927	800	-0,35691100358963	
803,125	0,469092428684235	803,125	-0,356041520833969	
806,25	0,467127919197083	806,25	-0,356204390525818	
809,375	0,461723536252975	809,375	-0,357661098241806	
812,5	0,465359032154083	812,5	-0,355116248130798	
815,625	0,465597063302994	815,625	-0,353493928909302	
818,75	0,462003797292709	818,75	-0,354153037071228	
821,875	0,461933493614197	821,875	-0,352708965539932	
825	0,46497642993927	825	-0,34988084435463	
828,125	0,463612109422684	828,125	-0,350336313247681	
831,25	0,461420983076096	831,25	-0,341618984937668	
834,375	0,457652568817139	834,375	-0,34943825006485	
837,5	0,459355890750885	837,5	-0,353168517351151	
840,625	0,458778440952301	840,625	-0,353775501251221	
843,75	0,456868469715118	843,75	-0,352569609880447	
846,875	0,45964777469635	846,875	-0,353998899459839	
850	0,46047830581665	850	-0,354747235774994	
853,125	0,461763918399811	853,125	-0,352200567722321	
856,25	0,460424154996872	856,25	-0,349201530218124	
859,375	0,458222806453705	859,375	-0,348771154880524	
862,5	0,458305984735489	862,5	-0,350805640220642	
865,625	0,459240764379501	865,625	-0,35140734910965	
868,75	0,460846245288849	868,75	-0,351926892995834	
871,875	0,458986759185791	871,875	-0,354214876890183	
875	0,458738625049591	875	-0,351866662502289	
878,125	0,4586061835289	878,125	-0,353573262691498	
881,25	0,457415670156479	881,25	-0,354524523019791	
884,375	0,447630852460861	884,375	-0,356947898864746	
887,5	0,445606410503387	887,5	-0,355745315551758	
890,625	0,445369362831116	890,625	-0,357925027608871	
893,75	0,448340237140656	893,75	-0,362250298261642	
896,875	0,446373730897903	896,875	-0,363918304443359	
900	0,446868687868118	900	-0,363315850496292	
903,125	0,444744944572449	903,125	-0,364643514156342	
906,25	0,444548219442368	906,25	-0,366841077804565	
909,375	0,447277724742889	909,375	-0,36966934800148	
912,5	0,446785926818848	912,5	-0,373833060264587	
915,625	0,445450216531754	915,625	-0,376207172870636	
918,75	0,443250298500061	918,75	-0,377105921506882	
921,875	0,44135907292366	921,875	-0,378865092992783	
925	0,441558241844177	925	-0,381405979394913	
928,125	0,444710850715637	928,125	-0,383750230073929	
931,25	0,438855230808258	931,25	-0,38977524638176	
934,375	0,437765866518021	934,375	-0,39251771569252	
937,5	0,435807853937149	937,5	-0,396712511777878	
940,625	0,435667365789413	940,625	-0,39914932847023	
943,75	0,433067828416824	943,75	-0,407549262046814	
946,875	0,431686043739319	946,875	-0,411304295063019	
950	0,428834676742554	950	-0,415587246417999	
953,125	0,428034067153931	953,125	-0,420188248157501	
956,25	0,421758830547333	956,25	-0,424117892980576	
959,375	0,41462254524231	959,375	-0,430828154087067	
962,5	0,41164642572403	962,5	-0,439778029918671	
965,625	0,406611233949661	965,625	-0,446055799722672	
968,75	0,404869198799133	968,75	-0,452366262674332	
971,875	0,391893178224564	971,875	-0,459289222955704	
975	0,384333819150925	975	-0,462880820035934	
978,125	0,374957114458084	978,125	-0,46925014257431	
981,25	0,361757278442383	981,25	-0,472633868455887	
984,375	0,351955413818359	984,375	-0,481040477752686	
987,5	0,338695645332336	987,5	-0,48521214723587	
990,625	0,326585084199905	990,625	-0,486204773187637	
993,75	0,307557314634323	993,75	-0,492438584566116	
996,875	0,29362016916275	996,875	-0,492502123117447	
1000	0,273567795753479	1000	-0,491652607917786	
1003,125	0,259893625974655	1003,125	-0,485137969255447	
1006,25	0,243425026535988	1006,25	-0,478819400072098	
1009,375	0,22547759115696	1009,375	-0,468871653079987	
1012,5	0,21423028409481	1012,5	-0,459951221942902	
1015,625	0,199652761220932	1015,625	-0,452633172273636	
1018,75	0,183612957596779	1018,75	-0,432928442955017	
1021,875	0,177305951714516	1021,875	-0,421326786279678	
1025	0,169578269124031	1025	-0,401925832033157	
1028,125	0,163502663373947	1028,125	-0,388477981090546	
1031,25	0,157246530056	1031,25	-0,376814216375351	
1034,375	0,156357973814011	1034,375	-0,360582053661346	
1037,5	0,156490057706833	1037,5	-0,346915990114212	
1040,625	0,154943093657494	1040,625	-0,332955121994019	
1043,75	0,156874135136604	1043,75	-0,322436034679413	
1046,875	0,159718558192253	1046,875	-0,311900168657303	
1050	0,160537764430046	1050	-0,298543840646744	
1053,125	0,162657365202904	1053,125	-0,289855241775513	
1056,25	0,166959643363953	1056,25	-0,280359327793121	
1059,375	0,169801577925682	1059,375	-0,273939073085785	
1062,5	0,173189207911491	1062,5	-0,267136931419373	
1065,625	0,177307412028313	1065,625	-0,258943200111389	
1068,75	0,181578367948532	1068,75	-0,254465878009796	
1071,875	0,184427261352539	1071,875	-0,248957008123398	
1075	0,187412217259407	1075	-0,243079856038094	
1078,125	0,190020650625229	1078,125	-0,238241359591484	
1081,25	0,1955676227808	1081,25	-0,232905864715576	
1084,375	0,197371453046799	1084,375	-0,229154869914055	
1087,5	0,200471088290215	1087,5	-0,225524723529816	
1090,625	0,203398391604424	1090,625	-0,222248658537865	
1093,75	0,206301718950272	1093,75	-0,218269094824791	
1096,875	0,208810195326805	1096,875	-0,214861333370209	
1100	0,211527600884438	1100	-0,212525352835655	
1103,125	0,214490681886673	1103,125	-0,209550350904465	
1106,25	0,216710463166237	1106,25	-0,207039222121239	
1109,375	0,219160422682762	1109,375	-0,204338744282722	
1112,5	0,221037983894348	1112,5	-0,201481848955154	
1115,625	0,22334448993206	1115,625	-0,19909006357193	
1118,75	0,225396722555161	1118,75	-0,196637377142906	
1121,875	0,227490738034248	1121,875	-0,194833606481552	
