Frequency in Hz	Silk_94 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_94 Normalized Surface Impedance continuous Im	
100	4,40666341781616	100	-13,5449304580688	
103,125	5,86702823638916	103,125	-13,7575540542603	
106,25	3,59215641021729	106,25	-11,6818361282349	
109,375	3,77727293968201	109,375	-13,1887264251709	
112,5	4,32596492767334	112,5	-12,1244459152222	
115,625	3,8010413646698	115,625	-11,4471893310547	
118,75	4,02541351318359	118,75	-12,1043357849121	
121,875	4,41634130477905	121,875	-10,8739252090454	
125	3,76003265380859	125	-11,3642406463623	
128,125	3,38739657402039	128,125	-10,7608156204224	
131,25	3,50010895729065	131,25	-10,8507404327393	
134,375	3,08558678627014	134,375	-11,188606262207	
137,5	3,5895140171051	137,5	-9,44860744476318	
140,625	4,18586301803589	140,625	-9,75190925598145	
143,75	3,8377537727356	143,75	-9,20127868652344	
146,875	3,7308201789856	146,875	-10,3292541503906	
150	3,80130577087402	150	-9,32489967346191	
153,125	3,3274245262146	153,125	-8,8856840133667	
156,25	3,54591417312622	156,25	-9,04697132110596	
159,375	3,40616679191589	159,375	-8,84987545013428	
162,5	3,42916464805603	162,5	-8,89337348937988	
165,625	3,6419734954834	165,625	-8,70352268218994	
168,75	3,16695046424866	168,75	-8,15897560119629	
171,875	3,65170574188232	171,875	-8,21080589294434	
175	3,57371830940247	175	-7,80113792419434	
178,125	3,32211828231812	178,125	-7,94453907012939	
181,25	3,46767687797546	181,25	-7,98097276687622	
184,375	3,62448811531067	184,375	-7,73967695236206	
187,5	3,51481747627258	187,5	-7,27607488632202	
190,625	3,68766522407532	190,625	-7,3189377784729	
193,75	3,42493295669556	193,75	-6,96846532821655	
196,875	3,54414510726929	196,875	-7,12325525283813	
200	3,45369625091553	200	-7,31233644485474	
203,125	3,45525026321411	203,125	-7,39640283584595	
206,25	3,16308236122131	206,25	-6,73507738113403	
209,375	3,36881399154663	209,375	-6,78050899505615	
212,5	3,44903707504272	212,5	-7,07076454162598	
215,625	3,28709721565247	215,625	-6,44496488571167	
218,75	3,47848224639893	218,75	-6,64619922637939	
221,875	3,33478450775146	221,875	-6,39871835708618	
225	3,44555258750916	225	-6,27269649505615	
228,125	3,4295916557312	228,125	-6,16578054428101	
231,25	3,44194412231445	231,25	-6,14305734634399	
234,375	3,42988419532776	234,375	-5,99154281616211	
237,5	3,42128109931946	237,5	-6,14854335784912	
240,625	3,10838103294373	240,625	-5,96295547485352	
243,75	3,28733444213867	243,75	-5,94314956665039	
246,875	3,3740348815918	246,875	-5,69489526748657	
250	3,39698553085327	250	-5,63028144836426	
253,125	3,31423282623291	253,125	-5,66331195831299	
256,25	3,24161219596863	256,25	-5,51615953445435	
