frequency f in Hz; re(r) ; im(r)
99.000000;0.970238;-0.138892
100.000000;0.952515;-0.143267
101.000000;0.954916;-0.139725
102.000000;0.948482;-0.136877
103.000000;0.943706;-0.133674
104.000000;0.951573;-0.139602
105.000000;0.940077;-0.140691
106.000000;0.945821;-0.135153
107.000000;0.955192;-0.136571
108.000000;0.958469;-0.147386
109.000000;0.938893;-0.144189
110.000000;0.944105;-0.139807
111.000000;0.961344;-0.140507
112.000000;0.949037;-0.149472
113.000000;0.942018;-0.156921
114.000000;0.943753;-0.159035
115.000000;0.933573;-0.161632
116.000000;0.939848;-0.163435
117.000000;0.949812;-0.163695
118.000000;0.944408;-0.161166
119.000000;0.945598;-0.153348
120.000000;0.949979;-0.157910
121.000000;0.945930;-0.165573
122.000000;0.942201;-0.163826
123.000000;0.945044;-0.162010
124.000000;0.938836;-0.168223
125.000000;0.935927;-0.162804
126.000000;0.935232;-0.157375
127.000000;0.937589;-0.155417
128.000000;0.938964;-0.162063
129.000000;0.936824;-0.167226
130.000000;0.929940;-0.169627
131.000000;0.932247;-0.164719
132.000000;0.935484;-0.170291
133.000000;0.932414;-0.172006
134.000000;0.931138;-0.173966
135.000000;0.929623;-0.169585
136.000000;0.927587;-0.170543
137.000000;0.927924;-0.170003
138.000000;0.926703;-0.170686
139.000000;0.924933;-0.174511
140.000000;0.922250;-0.178106
141.000000;0.926181;-0.175971
142.000000;0.928860;-0.176465
143.000000;0.922949;-0.179466
144.000000;0.922814;-0.176313
145.000000;0.923068;-0.178080
146.000000;0.922496;-0.179340
147.000000;0.920362;-0.181703
148.000000;0.918105;-0.180171
149.000000;0.917301;-0.180962
150.000000;0.919465;-0.180757
151.000000;0.916571;-0.184201
152.000000;0.913564;-0.183933
153.000000;0.912150;-0.184105
154.000000;0.912774;-0.185677
155.000000;0.913668;-0.186522
156.000000;0.911743;-0.183693
157.000000;0.908629;-0.184812
158.000000;0.909936;-0.187530
159.000000;0.908407;-0.189296
160.000000;0.910378;-0.190828
161.000000;0.908959;-0.191949
162.000000;0.908424;-0.190712
163.000000;0.904763;-0.190834
164.000000;0.905517;-0.195148
