Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Im	
484,375	0,632996380329132	484,375	-3,53445315361023	
487,5	0,629152357578278	487,5	-3,52672719955444	
490,625	0,587030827999115	490,625	-3,4644467830658	
493,75	0,577037215232849	493,75	-3,44402432441711	
496,875	0,6246617436409	496,875	-3,38278841972351	
500	0,606573224067688	500	-3,41734910011292	
503,125	0,594980418682098	503,125	-3,40008044242859	
506,25	0,559105038642883	506,25	-3,38149523735046	
509,375	0,555265069007874	509,375	-3,35249853134155	
512,5	0,574340999126434	512,5	-3,32829451560974	
515,625	0,587005913257599	515,625	-3,29672932624817	
518,75	0,518896698951721	518,75	-3,24475789070129	
521,875	0,505410134792328	521,875	-3,24001097679138	
525	0,547182261943817	525	-3,21357703208923	
528,125	0,546236217021942	528,125	-3,22034287452698	
531,25	0,529032826423645	531,25	-3,20311999320984	
534,375	0,524492263793945	534,375	-3,20114898681641	
537,5	0,534524619579315	537,5	-3,18204426765442	
540,625	0,511357426643372	540,625	-3,16931128501892	
543,75	0,509589910507202	543,75	-3,11742520332336	
546,875	0,541214108467102	546,875	-3,10789895057678	
550	0,506281018257141	550	-3,07276272773743	
553,125	0,504027128219604	553,125	-3,09700727462769	
556,25	0,615102052688599	556,25	-3,24991703033447	
559,375	0,61584210395813	559,375	-3,26383900642395	
562,5	0,577267348766327	562,5	-3,2374050617218	
565,625	0,551407873630524	565,625	-3,2488112449646	
568,75	0,58832460641861	568,75	-3,20023584365845	
571,875	0,592226803302765	571,875	-3,19194006919861	
575	0,570211291313171	575	-3,17139077186584	
578,125	0,557981193065643	578,125	-3,16722297668457	
581,25	0,587069988250732	581,25	-3,16683554649353	
584,375	0,562107861042023	584,375	-3,11581611633301	
587,5	0,556074500083923	587,5	-3,12136483192444	
590,625	0,547067821025848	590,625	-3,10008716583252	
593,75	0,546838641166687	593,75	-3,07179188728333	
596,875	0,549709618091583	596,875	-3,07206535339355	
600	0,536778092384338	600	-3,07697796821594	
603,125	0,530219852924347	603,125	-3,03140759468079	
606,25	0,555706262588501	606,25	-3,02850651741028	
609,375	0,550276935100555	609,375	-2,97299408912659	
612,5	0,541108846664429	612,5	-2,98895144462585	
615,625	0,54452782869339	615,625	-2,96454858779907	
618,75	0,52431058883667	618,75	-2,95427680015564	
621,875	0,528219819068909	621,875	-2,92799377441406	
625	0,538011193275452	625	-2,9280412197113	
628,125	0,51694518327713	628,125	-2,901535987854	
631,25	0,512246370315552	631,25	-2,89829134941101	
634,375	0,515995502471924	634,375	-2,88155627250671	
637,5	0,53024160861969	637,5	-2,8696608543396	
640,625	0,516205906867981	640,625	-2,84246301651001	
643,75	0,494691461324692	643,75	-2,83253383636475	
646,875	0,504481375217438	646,875	-2,82155752182007	
650	0,506662905216217	650	-2,8096604347229	
653,125	0,490378648042679	653,125	-2,79909610748291	
656,25	0,483609467744827	656,25	-2,79439258575439	
659,375	0,470275521278381	659,375	-2,76273512840271	
662,5	0,487219989299774	662,5	-2,75671195983887	
665,625	0,472663313150406	665,625	-2,74817800521851	
668,75	0,476117014884949	668,75	-2,73432111740112	
671,875	0,482339173555374	671,875	-2,72362160682678	
675	0,483352571725845	675	-2,71243071556091	
678,125	0,488869696855545	678,125	-2,6901535987854	
681,25	0,478329569101334	681,25	-2,67146611213684	
684,375	0,475749969482422	684,375	-2,66872143745422	
687,5	0,481751084327698	687,5	-2,64365792274475	
690,625	0,477417916059494	690,625	-2,62942409515381	
693,75	0,484041631221771	693,75	-2,63250827789307	
696,875	0,489361435174942	696,875	-2,61877870559692	
700	0,463463723659515	700	-2,61389255523682	
703,125	0,447966665029526	703,125	-2,60287952423096	
706,25	0,459221839904785	706,25	-2,56755232810974	
709,375	0,458692491054535	709,375	-2,56326508522034	
712,5	0,435659736394882	712,5	-2,54705858230591	
715,625	0,448758721351624	715,625	-2,54036402702332	
718,75	0,459243625402451	718,75	-2,51824021339417	
721,875	0,43768721818924	721,875	-2,51595258712769	
725	0,446002215147018	725	-2,51000618934631	
728,125	0,450676769018173	728,125	-2,49218702316284	
731,25	0,42183443903923	731,25	-2,47883057594299	
734,375	0,43204265832901	734,375	-2,46809196472168	
737,5	0,433811902999878	737,5	-2,46071767807007	
740,625	0,433096706867218	740,625	-2,43836092948914	
743,75	0,43106809258461	743,75	-2,42828631401062	
746,875	0,423096358776093	746,875	-2,42790555953979	
750	0,436546921730042	750	-2,40217804908752	
753,125	0,440394997596741	753,125	-2,4006085395813	
756,25	0,435000687837601	756,25	-2,39452719688416	
759,375	0,416734367609024	759,375	-2,38104343414307	
762,5	0,42755863070488	762,5	-2,36406087875366	
765,625	0,42718967795372	765,625	-2,35928082466125	
768,75	0,448113560676575	768,75	-2,34137797355652	
771,875	0,43235856294632	771,875	-2,3147919178009	
775	0,429555356502533	775	-2,33033585548401	
778,125	0,448965430259705	778,125	-2,32228994369507	
781,25	0,433552443981171	781,25	-2,30123805999756	
784,375	0,429319143295288	784,375	-2,2815408706665	
787,5	0,449330002069473	787,5	-2,28135776519775	
790,625	0,426812142133713	790,625	-2,25844073295593	
793,75	0,438697218894959	793,75	-2,26164078712463	
796,875	0,430287659168243	796,875	-2,23894214630127	
800	0,427872896194458	800	-2,23348498344421	
803,125	0,423983603715897	803,125	-2,26063799858093	
806,25	0,405266940593719	806,25	-2,25815534591675	
809,375	0,407724320888519	809,375	-2,2364649772644	
812,5	0,419976085424423	812,5	-2,21977663040161	
815,625	0,438777148723602	815,625	-2,21055960655212	
818,75	0,42531481385231	818,75	-2,19278597831726	
821,875	0,418945014476776	821,875	-2,18650102615356	
825	0,411575943231583	825	-2,16666436195374	
828,125	0,425536513328552	828,125	-2,15905523300171	
831,25	0,437575578689575	831,25	-2,16342759132385	
834,375	0,424858450889587	834,375	-2,1609742641449	
837,5	0,403682082891464	837,5	-2,16016149520874	
840,625	0,410564243793488	840,625	-2,15839266777039	
843,75	0,411466151475906	843,75	-2,12685132026672	
846,875	0,404545247554779	846,875	-2,12172293663025	
850	0,423978567123413	850	-2,09313464164734	
853,125	0,420017629861832	853,125	-2,0998375415802	
856,25	0,412773966789246	856,25	-2,11058115959167	
859,375	0,417877525091171	859,375	-2,10955381393433	
862,5	0,41265681385994	862,5	-2,09206390380859	
865,625	0,409616678953171	865,625	-2,07506775856018	
868,75	0,411299258470535	868,75	-2,07318067550659	
871,875	0,400789350271225	871,875	-2,06089806556702	
875	0,395161658525467	875	-2,05408382415771	
878,125	0,418881922960281	878,125	-2,04561305046082	
881,25	0,409471064805985	881,25	-2,03713154792786	
884,375	0,451808601617813	884,375	-2,16359829902649	
887,5	0,458631455898285	887,5	-2,16029787063599	
890,625	0,446678519248962	890,625	-2,14859843254089	
893,75	0,440955340862274	893,75	-2,14250612258911	
896,875	0,441904813051224	896,875	-2,12808632850647	
900	0,437100917100906	900	-2,12057209014893	
903,125	0,435916423797607	903,125	-2,10760378837585	
906,25	0,449987560510635	906,25	-2,10439848899841	
909,375	0,447194367647171	909,375	-2,10398149490356	
912,5	0,439095973968506	912,5	-2,07701349258423	
915,625	0,447511047124863	915,625	-2,08044719696045	
918,75	0,455530852079391	918,75	-2,07000136375427	
921,875	0,439597278833389	921,875	-2,04916572570801	
925	0,446579277515411	925	-2,04454302787781	
928,125	0,435980916023254	928,125	-2,04097294807434	
931,25	0,425343245267868	931,25	-2,03661060333252	
934,375	0,426596969366074	934,375	-2,03114414215088	
937,5	0,416607856750488	937,5	-2,01316213607788	
940,625	0,424576580524445	940,625	-2,00531888008118	
943,75	0,429754436016083	943,75	-2,00309038162231	
946,875	0,430399805307388	946,875	-1,99548363685608	
950	0,425146520137787	950	-1,9897369146347	
953,125	0,425711005926132	953,125	-1,97530210018158	
956,25	0,432430148124695	956,25	-1,96956253051758	
959,375	0,433214724063873	959,375	-1,95810484886169	
962,5	0,428393095731735	962,5	-1,94925057888031	
965,625	0,431575983762741	965,625	-1,94857537746429	
968,75	0,422967165708542	968,75	-1,94641482830048	
