Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Im	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Im	
746,875	0,798854529857636	290,625	0,726125359535217	746,875	0,0860661342740059	290,625	-0,116579547524452	
750	0,795678734779358	293,75	0,726148128509521	750	0,0832618474960327	293,75	-0,112959429621696	
753,125	0,795367240905762	296,875	0,729370713233948	753,125	0,0852682515978813	296,875	-0,110285572707653	
756,25	0,795260012149811	300	0,719104588031769	756,25	0,0870110988616943	300	-0,107076361775398	
759,375	0,796495378017426	303,125	0,714119613170624	759,375	0,0858883038163185	303,125	-0,096647135913372	
762,5	0,794364333152771	306,25	0,706468999385834	762,5	0,0868511274456978	306,25	-0,1048613935709	
765,625	0,794444382190704	309,375	0,707544803619385	765,625	0,0890016257762909	309,375	-0,0938014388084412	
768,75	0,789647102355957	312,5	0,700444936752319	768,75	0,0880589783191681	312,5	-0,0884595587849617	
771,875	0,793533444404602	315,625	0,699139595031738	771,875	0,0857628881931305	315,625	-0,0815153270959854	
775	0,792847096920013	318,75	0,701531827449799	775	0,0911355689167976	318,75	-0,068930372595787	
778,125	0,790286004543304	321,875	0,70563155412674	778,125	0,089770182967186	321,875	-0,0582543760538101	
781,25	0,791512668132782	325	0,709198415279388	781,25	0,0908920615911484	325	-0,0537747740745544	
784,375	0,792944729328156	328,125	0,715848863124847	784,375	0,090718999505043	328,125	-0,0461961925029755	
787,5	0,788613796234131	331,25	0,722343564033508	787,5	0,0925882607698441	331,25	-0,0501891486346722	
790,625	0,791192412376404	334,375	0,717241168022156	790,625	0,0929439663887024	334,375	-0,0453996099531651	
793,75	0,790279388427734	337,5	0,723190546035767	793,75	0,0944858118891716	337,5	-0,0433633998036385	
796,875	0,791159510612488	340,625	0,722817599773407	796,875	0,0927450507879257	340,625	-0,0355584323406219	
800	0,790305197238922	343,75	0,72135990858078	800	0,0954855307936668	343,75	-0,037519283592701	
803,125	0,788771569728851	346,875	0,724710881710052	803,125	0,0992310047149658	346,875	-0,0403054468333721	
806,25	0,792134463787079	350	0,721032738685608	806,25	0,102377720177174	350	-0,0344267822802067	
809,375	0,791707038879395	353,125	0,72585141658783	809,375	0,102511897683144	353,125	-0,0455014444887638	
812,5	0,790399312973022	356,25	0,733741819858551	812,5	0,0998041331768036	356,25	-0,0336919128894806	
815,625	0,786682069301605	359,375	0,734276533126831	815,625	0,0999507829546928	359,375	-0,0278045404702425	
818,75	0,788657069206238	362,5	0,730126559734344	818,75	0,101856872439384	362,5	-0,0346016176044941	
821,875	0,788411259651184	365,625	0,733288943767548	821,875	0,102761656045914	365,625	-0,0219849366694689	
825	0,791647613048553	368,75	0,73622190952301	825	0,101499952375889	368,75	-0,0170997809618711	
828,125	0,787887632846832	371,875	0,730091035366058	828,125	0,101537488400936	371,875	-0,0156414154917002	
831,25	0,785068273544312	375	0,728564977645874	831,25	0,102911271154881	375	-0,0288624614477158	
834,375	0,787301421165466	378,125	0,735463917255402	834,375	0,107035703957081	378,125	-0,0194078925997019	
837,5	0,789218723773956	381,25	0,750360131263733	837,5	0,110653035342693	381,25	-0,00588045781478286	
840,625	0,787069082260132	384,375	0,747694492340088	840,625	0,109903462231159	384,375	-0,00816774740815163	
843,75	0,7917520403862	387,5	0,741579532623291	843,75	0,107620291411877	387,5	-0,0106048146262765	
846,875	0,795130252838135	390,625	0,739639282226563	846,875	0,111485421657562	390,625	-0,015066085383296	
850	0,793489456176758	393,75	0,747260272502899	850	0,103557147085667	393,75	-0,0168529953807592	
853,125	0,793291866779327	396,875	0,752038717269897	853,125	0,107915192842484	396,875	-0,0127233546227217	
856,25	0,788591802120209	400	0,758251011371613	856,25	0,116644233465195	400	-0,00417252443730831	
859,375	0,784396171569824	403,125	0,753970205783844	859,375	0,11716715991497	403,125	-0,00768051901832223	
862,5	0,789412081241608	406,25	0,751645743846893	862,5	0,115785889327526	406,25	-0,00685884337872267	
865,625	0,792940080165863	409,375	0,763309478759766	865,625	0,115762479603291	409,375	-0,00498656509444118	
868,75	0,793486297130585	412,5	0,761534452438354	868,75	0,1167097017169	412,5	-0,00413969904184341	
871,875	0,796759784221649	415,625	0,750069320201874	871,875	0,116686724126339	415,625	0,00102706777397543	
875	0,797391057014465	418,75	0,742316842079163	875	0,119266010820866	418,75	-0,00090273458044976	
878,125	0,792234182357788	421,875	0,746349513530731	878,125	0,117534779012203	421,875	0,000512489408720285	
881,25	0,793699681758881	425	0,754542231559753	881,25	0,118909426033497	425	-0,00945932324975729	
884,375	0,793719053268433	428,125	0,769355237483978	884,375	0,119230553507805	428,125	0,0100371679291129	
887,5	0,792296648025513	431,25	0,763649880886078	887,5	0,122755877673626	431,25	0,0166313592344522	
890,625	0,79548043012619	434,375	0,748972117900848	890,625	0,123132631182671	434,375	0,00486607244238257	
893,75	0,798023343086243	437,5	0,750100433826447	893,75	0,12421240657568	437,5	0,00357975857332349	
896,875	0,795733332633972	440,625	0,75821590423584	896,875	0,121282890439034	440,625	0,00187171681318432	
900	0,798940777778625	443,75	0,756914496421814	900	0,123034670948982	443,75	-0,000233570681302808	
903,125	0,798838973045349	446,875	0,765486478805542	903,125	0,121719986200333	446,875	0,00644001085311174	
906,25	0,794441223144531	450	0,767350852489471	906,25	0,123323820531368	450	0,0103011773899198	
909,375	0,795846879482269	453,125	0,766417860984802	909,375	0,124676577746868	453,125	0,00143733422737569	
912,5	0,800560235977173	456,25	0,759724259376526	912,5	0,123851098120213	456,25	-0,00403468543663621	
915,625	0,795626223087311	459,375	0,765552639961243	915,625	0,126616939902306	459,375	0,000370542402379215	
918,75	0,794001281261444	462,5	0,768223702907562	918,75	0,127715557813644	462,5	-0,00172657414805144	
921,875	0,798634707927704	465,625	0,772588908672333	921,875	0,12125326693058	465,625	-0,00132165860850364	
925	0,797207832336426	468,75	0,772364139556885	925	0,121080838143826	468,75	0,00709103280678391	
928,125	0,800953388214111	471,875	0,768970370292664	928,125	0,123865626752377	471,875	0,00381505396217108	
931,25	0,804587721824646	475	0,78094756603241	931,25	0,126854673027992	475	0,000488140358356759	
934,375	0,805599927902222	478,125	0,781214892864227	934,375	0,127398535609245	478,125	0,00337406573817134	
937,5	0,809619426727295	481,25	0,774087011814117	937,5	0,124293506145477	481,25	0,00755759840831161	
940,625	0,805496215820313	484,375	0,774508893489838	940,625	0,124437652528286	484,375	0,00755044957622886	
943,75	0,803019940853119	487,5	0,775334179401398	943,75	0,126119300723076	487,5	0,00930969044566154	
946,875	0,803359866142273	490,625	0,780476272106171	946,875	0,127557262778282	490,625	0,00370787060819566	
950	0,806297659873962	493,75	0,781440913677216	950	0,130320280790329	493,75	0,00460419384762645	
953,125	0,805158078670502	496,875	0,776145219802856	953,125	0,127918258309364	496,875	-0,000724483164958656	
956,25	0,802509903907776	500	0,778711199760437	956,25	0,127430513501167	500	0,00709736021235585	
959,375	0,80286180973053	503,125	0,779268324375153	959,375	0,126429677009583	503,125	0,008176707662642	
962,5	0,803367435932159	506,25	0,784732937812805	962,5	0,124344624578953	506,25	0,00780296232551336	
965,625	0,80347466468811	509,375	0,78515750169754	965,625	0,127765119075775	509,375	0,00684786401689053	
968,75	0,807283759117126	512,5	0,78306245803833	968,75	0,130877897143364	512,5	0,00743034156039357	
971,875	0,806677937507629	515,625	0,780628800392151	971,875	0,126380503177643	515,625	0,00530650466680527	
975	0,805431008338928	518,75	0,791416883468628	975	0,124518312513828	518,75	0,00237191887572408	
978,125	0,806950688362122	521,875	0,794177174568176	978,125	0,127114608883858	521,875	0,00253738788887858	
981,25	0,80419933795929	525	0,78708016872406	981,25	0,125142976641655	525	0,000763443589676172	
984,375	0,808020055294037	528,125	0,788020372390747	984,375	0,127523049712181	528,125	0,00662245089188218	
987,5	0,807830989360809	531,25	0,791002988815308	987,5	0,129703879356384	531,25	0,00719756027683616	
990,625	0,807714223861694	534,375	0,791872560977936	990,625	0,126884460449219	534,375	0,0101231513544917	
993,75	0,812202274799347	537,5	0,791103780269623	993,75	0,128091663122177	537,5	0,0105885555967689	
996,875	0,808223247528076	540,625	0,795194149017334	996,875	0,129043981432915	540,625	0,0114163756370544	
1000	0,808534920215607	543,75	0,794507443904877	1000	0,127800539135933	543,75	0,00505809392780066	
1003,125	0,809519946575165	546,875	0,789148688316345	1003,125	0,128893449902534	546,875	0,00667683081701398	
1006,25	0,807667016983032	550	0,795187175273895	1006,25	0,128304332494736	550	0,00285375257954001	
1009,375	0,808599591255188	553,125	0,796042203903198	1009,375	0,128977492451668	553,125	0,010575495660305	
1012,5	0,810627400875092	556,25	0,789268374443054	1012,5	0,128605276346207	556,25	0,00157358264550567	
1015,625	0,805065512657166	559,375	0,790327966213226	1015,625	0,129114717245102	559,375	0,00504686636850238	
1018,75	0,809270083904266	562,5	0,797947525978088	1018,75	0,124690555036068	562,5	0,00404939008876681	
1021,875	0,809361517429352	565,625	0,802421391010284	1021,875	0,128365516662598	565,625	0,00835539773106575	
1025	0,810643911361694	568,75	0,795122027397156	1025	0,126590862870216	568,75	0,00469503179192543	
1028,125	0,80899566411972	571,875	0,794200360774994	1028,125	0,127716317772865	571,875	0,00581900263205171	
1031,25	0,810864329338074	575	0,798763632774353	1031,25	0,127550229430199	575	0,00399934221059084	
1034,375	0,810982942581177	578,125	0,802178740501404	1034,375	0,128907278180122	578,125	0,00544346915557981	
1037,5	0,811136543750763	581,25	0,798160135746002	1037,5	0,125148102641106	581,25	0,00801397953182459	
1040,625	0,810213983058929	584,375	0,80164361000061	1040,625	0,126361072063446	584,375	0,00208813021890819	
1043,75	0,809397161006927	587,5	0,802826046943665	1043,75	0,125666350126266	587,5	0,00580012798309326	
1046,875	0,811079621315002	590,625	0,804362297058105	1046,875	0,127953588962555	590,625	0,00461439602077007	
1050	0,81027626991272	593,75	0,804663181304932	1050	0,125479906797409	593,75	0,00179581961128861	
1053,125	0,813222289085388	596,875	0,805295348167419	1053,125	0,127223074436188	596,875	0,0038955055642873	
1056,25	0,81361985206604	600	0,808336913585663	1056,25	0,124762468039989	600	0,00738004921004176	
1059,375	0,809661746025085	603,125	0,807047307491302	1059,375	0,126364901661873	603,125	0,00121422100346535	
1062,5	0,810554325580597	606,25	0,804800391197205	1062,5	0,127391189336777	606,25	0,00423320475965738	
1065,625	0,811830997467041	609,375	0,803438305854797	1065,625	0,123674489557743	609,375	-0,000473301712190732	
1068,75	0,809958100318909	612,5	0,805132329463959	1068,75	0,124547757208347	612,5	0,00284036225639284	
1071,875	0,810212016105652	615,625	0,803616762161255	1071,875	0,125710189342499	615,625	0,00126752350479364	
1075	0,809366524219513	618,75	0,807815670967102	1075	0,124593198299408	618,75	0,000273264071438462	
1078,125	0,809647500514984	621,875	0,806075632572174	1078,125	0,12392420321703	621,875	-0,00161017512436956	
1081,25	0,807820439338684	625	0,805988609790802	1081,25	0,125248551368713	625	-0,000331288640154526	
1084,375	0,806981444358826	628,125	0,809224426746368	1084,375	0,124843381345272	628,125	-0,00270984834060073	
1087,5	0,807153701782227	631,25	0,809859693050385	1087,5	0,123587757349014	631,25	-0,000892056617885828	
1090,625	0,806800007820129	634,375	0,808663308620453	1090,625	0,123986065387726	634,375	-0,00109759694896638	
1093,75	0,806149423122406	637,5	0,806916177272797	1093,75	0,124053359031677	637,5	-0,000381429359549657	
1096,875	0,806530654430389	640,625	0,809065878391266	1096,875	0,122951023280621	640,625	-0,00316064222715795	
1100	0,805792570114136	643,75	0,810784995555878	1100	0,124184921383858	643,75	-0,0039187129586935	
1103,125	0,805784523487091	646,875	0,810051918029785	1103,125	0,123457714915276	646,875	-0,00319420220330358	
1106,25	0,802208840847015	650	0,809758305549622	1106,25	0,123022682964802	650	-0,00356107344850898	
1109,375	0,802188038825989	653,125	0,81099134683609	1109,375	0,121914483606815	653,125	-0,00396461226046085	
1112,5	0,805079698562622	656,25	0,812570631504059	1112,5	0,123706184327602	656,25	-0,00316094420850277	
1115,625	0,803172886371613	659,375	0,814383864402771	1115,625	0,124298550188541	659,375	-0,00624864501878619	
1118,75	0,801657736301422	662,5	0,811446070671082	1118,75	0,122625894844532	662,5	-0,00551349949091673	
1121,875	0,801102995872498	665,625	0,813148856163025	1121,875	0,122652441263199	665,625	-0,00574720604345202	
1125	0,801199853420258	668,75	0,812242746353149	1125	0,123934060335159	668,75	-0,00567632541060448	
1128,125	0,800617337226868	671,875	0,81187891960144	1128,125	0,124011933803558	671,875	-0,00580148166045547	
1131,25	0,800030767917633	675	0,81220006942749	1131,25	0,12172969430685	675	-0,00609285989776254	
1134,375	0,799489319324493	678,125	0,810511887073517	1134,375	0,124003499746323	678,125	-0,00758781936019659	
1137,5	0,798967838287354	681,25	0,811268746852875	1137,5	0,123967453837395	681,25	-0,0087981978431344	
1140,625	0,799297451972961	684,375	0,811634719371796	1140,625	0,124305427074432	684,375	-0,00754391774535179	
1143,75	0,797285497188568	687,5	0,810148060321808	1143,75	0,122731126844883	687,5	-0,00939824618399143	
1146,875	0,798265278339386	690,625	0,810634195804596	1146,875	0,121848002076149	690,625	-0,0102071324363351	
1150	0,796609222888947	693,75	0,809960067272186	1150	0,124429114162922	693,75	-0,00840804353356361	
1153,125	0,795402765274048	696,875	0,808587253093719	1153,125	0,12566477060318	696,875	-0,00928434450179338	
1156,25	0,793662846088409	700	0,811002552509308	1156,25	0,126208588480949	700	-0,00960589479655027	
1159,375	0,793888628482819	703,125	0,8127401471138	1159,375	0,125289335846901	703,125	-0,00983197242021561	
1162,5	0,791953861713409	706,25	0,810612678527832	1162,5	0,125282302498817	706,25	-0,0128453345969319	
1165,625	0,790945291519165	709,375	0,810753107070923	1165,625	0,125490114092827	709,375	-0,0127430567517877	
1168,75	0,793397963047028	712,5	0,813015758991241	1168,75	0,127280831336975	712,5	-0,013332006521523	
1171,875	0,792031288146973	715,625	0,810576379299164	1171,875	0,125644788146019	715,625	-0,0121865887194872	
1175	0,790144860744476	718,75	0,808129608631134	1175	0,128887832164764	718,75	-0,0136938923969865	
1178,125	0,790675282478333	721,875	0,811873555183411	1178,125	0,130147621035576	721,875	-0,0139630818739533	
1181,25	0,789301872253418	725	0,810524702072144	1181,25	0,130333602428436	725	-0,0131301404908299	
1184,375	0,788491547107697	728,125	0,808859050273895	1184,375	0,129628166556358	728,125	-0,0134034734219313	
1187,5	0,786960184574127	731,25	0,811629831790924	1187,5	0,130850777029991	731,25	-0,0139137515798211	
1190,625	0,784099698066711	734,375	0,809870958328247	1190,625	0,131512150168419	734,375	-0,0133234253153205	
1193,75	0,78251838684082	737,5	0,809916317462921	1193,75	0,131273090839386	737,5	-0,0132278054952621	
1196,875	0,783822000026703	740,625	0,810463666915894	1196,875	0,131540700793266	740,625	-0,0143574383109808	
1200	0,785362482070923	743,75	0,810159921646118	1200	0,133519917726517	743,75	-0,0137669891119003	
1203,125	0,783463478088379	746,875	0,811307609081268	1203,125	0,133857294917107	746,875	-0,0130679793655872	
1206,25	0,783193707466125	750	0,808603048324585	1206,25	0,135814279317856	750	-0,0154133467003703	
1209,375	0,780380189418793	753,125	0,807585656642914	1209,375	0,136016741394997	753,125	-0,0144284199923277	
1212,5	0,779962778091431	756,25	0,807149112224579	1212,5	0,135403513908386	756,25	-0,0137776928022504	
1215,625	0,780665457248688	759,375	0,809761524200439	1215,625	0,138902306556702	759,375	-0,0139315351843834	
1218,75	0,780294179916382	762,5	0,808313369750977	1218,75	0,13876910507679	762,5	-0,0139473378658295	
1221,875	0,780417621135712	765,625	0,806966960430145	1221,875	0,139650881290436	765,625	-0,0134567646309733	
1225	0,783581733703613	768,75	0,804408133029938	1225	0,142878517508507	768,75	-0,013694304972887	
1228,125	0,777350127696991	771,875	0,805584251880646	1228,125	0,140459045767784	771,875	-0,0160024370998144	
1231,25	0,776035189628601	775	0,807326793670654	1231,25	0,144618570804596	775	-0,0128911891952157	
1234,375	0,776978671550751	778,125	0,80313766002655	1234,375	0,147574692964554	778,125	-0,0116368839517236	
