Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
156,25	0,927229702472687	612,5	0,81822144985199	612,5	0,859212815761566	156,25	0,971010088920593	156,25	0,970490038394928	612,5	0,834124445915222	156,25	-0,14938186109066	612,5	0,120050884783268	612,5	-0,477401942014694	156,25	-0,151631295681	156,25	-0,166426911950111	612,5	-0,531568288803101	
159,375	0,925694465637207	615,625	0,819444596767426	615,625	0,855200529098511	159,375	0,971804559230804	159,375	0,971193552017212	615,625	0,831526637077332	159,375	-0,154730319976807	615,625	0,117075026035309	615,625	-0,484439641237259	159,375	-0,156582772731781	159,375	-0,171796098351479	615,625	-0,53557163476944	
162,5	0,92579972743988	618,75	0,820472419261932	618,75	0,856298863887787	162,5	0,974049985408783	162,5	0,973366856575012	618,75	0,83118212223053	162,5	-0,154387757182121	618,75	0,117784217000008	618,75	-0,48612579703331	162,5	-0,155920580029488	162,5	-0,171443715691566	618,75	-0,536552608013153	
165,625	0,919665098190308	621,875	0,822729289531708	621,875	0,858337461948395	165,625	0,969784259796143	165,625	0,968919098377228	621,875	0,832236588001251	165,625	-0,153921067714691	621,875	0,120008908212185	621,875	-0,486714869737625	165,625	-0,155670389533043	165,625	-0,171372547745705	621,875	-0,537499964237213	
168,75	0,91543984413147	625	0,821759521961212	625	0,854145586490631	168,75	0,96894770860672	168,75	0,967679381370544	625	0,828149139881134	168,75	-0,170488521456718	625	0,118747197091579	625	-0,488631874322891	168,75	-0,172977790236473	168,75	-0,189132258296013	625	-0,539195656776428	
171,875	0,909437954425812	628,125	0,823920726776123	628,125	0,852245151996613	171,875	0,96443784236908	171,875	0,963106453418732	628,125	0,825563728809357	171,875	-0,161126971244812	628,125	0,115553341805935	628,125	-0,494280934333801	171,875	-0,163291409611702	171,875	-0,179562896490097	628,125	-0,544875681400299	
175	0,901415526866913	631,25	0,821223676204681	631,25	0,848272264003754	175	0,959381580352783	175	0,957880556583405	631,25	0,821279406547546	175	-0,168476581573486	631,25	0,114943727850914	631,25	-0,494321435689926	175	-0,17120823264122	175	-0,187859281897545	631,25	-0,545182466506958	
178,125	0,907091677188873	634,375	0,822033107280731	634,375	0,847819805145264	178,125	0,968192934989929	178,125	0,966651380062103	634,375	0,820438981056213	178,125	-0,172896862030029	634,375	0,11540637165308	634,375	-0,496513485908508	178,125	-0,174833580851555	178,125	-0,191905006766319	634,375	-0,547608852386475	
181,25	0,90512603521347	637,5	0,824646055698395	637,5	0,848579108715057	181,25	0,968781054019928	181,25	0,967107951641083	637,5	0,820835173130035	181,25	-0,170294433832169	637,5	0,11502468585968	637,5	-0,499259740114212	181,25	-0,17192716896534	181,25	-0,189265608787537	637,5	-0,550686240196228	
184,375	0,896929562091827	640,625	0,82545417547226	640,625	0,849350810050964	184,375	0,962970018386841	184,375	0,961258113384247	640,625	0,821691453456879	184,375	-0,170826777815819	640,625	0,118295840919018	640,625	-0,498473048210144	184,375	-0,172881558537483	184,375	-0,19042032957077	640,625	-0,550018429756165	
187,5	0,886342227458954	643,75	0,828774154186249	643,75	0,846436738967896	187,5	0,955901741981506	187,5	0,953889548778534	643,75	0,818039298057556	187,5	-0,180033177137375	643,75	0,114150322973728	643,75	-0,506660401821136	187,5	-0,183585092425346	187,5	-0,201365932822227	643,75	-0,558189332485199	
190,625	0,884265780448914	646,875	0,826363444328308	646,875	0,843614518642426	190,625	0,956297755241394	190,625	0,95425409078598	646,875	0,815058588981628	190,625	-0,176053017377853	646,875	0,113970875740051	646,875	-0,506030738353729	190,625	-0,178957849740982	190,625	-0,196829676628113	646,875	-0,557716429233551	
193,75	0,876787900924683	650	0,830677688121796	650	0,845399260520935	193,75	0,953217387199402	193,75	0,950915098190308	650	0,816453516483307	193,75	-0,188061445951462	650	0,113622426986694	650	-0,510984063148499	193,75	-0,192705228924751	193,75	-0,210929229855537	650	-0,562964856624603	
196,875	0,878184616565704	653,125	0,828556001186371	653,125	0,842397093772888	196,875	0,957484424114227	196,875	0,955283045768738	653,125	0,813305795192719	196,875	-0,183792173862457	653,125	0,113807797431946	653,125	-0,510490238666534	196,875	-0,186819389462471	196,875	-0,205281913280487	653,125	-0,562545120716095	
200	0,882601678371429	656,25	0,827463567256927	656,25	0,839351356029511	200	0,965753197669983	200	0,963515043258667	656,25	0,810183703899384	200	-0,18495012819767	656,25	0,113354533910751	656,25	-0,511623203754425	200	-0,187517419457436	200	-0,206204757094383	656,25	-0,563520848751068	
203,125	0,883118271827698	659,375	0,829021632671356	659,375	0,836654841899872	203,125	0,971084475517273	203,125	0,968950033187866	659,375	0,806869924068451	203,125	-0,184932813048363	659,375	0,109550803899765	659,375	-0,516510486602783	203,125	-0,187063291668892	203,125	-0,206031039357185	659,375	-0,568456649780273	
206,25	0,866890370845795	662,5	0,831853210926056	662,5	0,840110898017883	206,25	0,959735155105591	206,25	0,957161784172058	662,5	0,810113251209259	206,25	-0,202149942517281	662,5	0,112721592187881	662,5	-0,517764151096344	206,25	-0,206189081072807	206,25	-0,225587099790573	662,5	-0,570026755332947	
209,375	0,863644301891327	665,625	0,83376407623291	665,625	0,839864253997803	209,375	0,959204792976379	209,375	0,9565709233284	665,625	0,809547007083893	209,375	-0,196323469281197	665,625	0,111444011330605	665,625	-0,521725416183472	209,375	-0,200097262859344	209,375	-0,219683229923248	665,625	-0,574166655540466	
212,5	0,868782103061676	668,75	0,832572281360626	668,75	0,83571594953537	212,5	0,968162298202515	212,5	0,965630948543549	668,75	0,805165588855743	212,5	-0,191586777567863	668,75	0,109528616070747	668,75	-0,523287534713745	212,5	-0,193802803754807	212,5	-0,213818266987801	668,75	-0,575620174407959	
215,625	0,84978175163269	671,875	0,831407070159912	671,875	0,834813356399536	215,625	0,955191969871521	215,625	0,952210009098053	671,875	0,804214954376221	215,625	-0,204262375831604	671,875	0,111964002251625	671,875	-0,522156000137329	215,625	-0,209536164999008	215,625	-0,229851484298706	671,875	-0,57452267408371	
218,75	0,851541578769684	675	0,830359995365143	675	0,830296397209167	218,75	0,959955215454102	218,75	0,957054853439331	675	0,799421310424805	218,75	-0,19687731564045	675	0,109027035534382	675	-0,526303768157959	218,75	-0,201602935791016	218,75	-0,222214937210083	675	-0,578417301177979	
221,875	0,842583537101746	678,125	0,830718874931335	678,125	0,827397406101227	221,875	0,956770896911621	221,875	0,953550219535828	678,125	0,796154022216797	221,875	-0,204545259475708	678,125	0,106623873114586	678,125	-0,52970939874649	221,875	-0,210894018411636	221,875	-0,231918036937714	678,125	-0,581807315349579	
225	0,834637641906738	681,25	0,832994282245636	681,25	0,828127384185791	225	0,95252251625061	225	0,949313282966614	681,25	0,796630859375	225	-0,202679544687271	681,25	0,107378087937832	681,25	-0,531480193138123	225	-0,210295334458351	225	-0,231540203094482	681,25	-0,583697855472565	
228,125	0,828209161758423	684,375	0,832872688770294	684,375	0,827458262443542	228,125	0,950967907905579	228,125	0,947619378566742	684,375	0,795854330062866	228,125	-0,204618409276009	684,375	0,107298165559769	684,375	-0,532765090465546	228,125	-0,213736549019814	228,125	-0,235273972153664	684,375	-0,585081994533539	
231,25	0,824249982833862	687,5	0,83604496717453	687,5	0,831233203411102	231,25	0,95228099822998	231,25	0,948774456977844	687,5	0,799419522285461	231,25	-0,204800471663475	687,5	0,110001370310783	687,5	-0,535191535949707	231,25	-0,214952632784843	231,25	-0,236831963062286	687,5	-0,587985992431641	
234,375	0,815832555294037	690,625	0,836232125759125	690,625	0,822958052158356	234,375	0,949010789394379	234,375	0,945231676101685	690,625	0,79047042131424	234,375	-0,206598609685898	690,625	0,100417822599411	690,625	-0,545079290866852	234,375	-0,21893809735775	234,375	-0,241000682115555	690,625	-0,597283840179443	
237,5	0,817932188510895	693,75	0,835408091545105	693,75	0,825599610805511	237,5	0,957325279712677	237,5	0,953648746013641	693,75	0,793223738670349	237,5	-0,205933392047882	693,75	0,105893358588219	693,75	-0,540760278701782	237,5	-0,217900097370148	237,5	-0,240431845188141	693,75	-0,593354105949402	
240,625	0,810200691223145	696,875	0,836401879787445	696,875	0,824637472629547	240,625	0,957894861698151	240,625	0,953755974769592	696,875	0,791965425014496	240,625	-0,218691185116768	696,875	0,106505058705807	696,875	-0,543090641498566	240,625	-0,234637036919594	240,625	-0,257686644792557	696,875	-0,595640540122986	
243,75	0,804267942905426	700	0,835149168968201	700	0,82002454996109	243,75	0,956136167049408	243,75	0,95202112197876	700	0,787043392658234	243,75	-0,212082669138908	700	0,103655822575092	700	-0,54649817943573	243,75	-0,22917015850544	243,75	-0,252478033304214	700	-0,5988410115242	
