Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
815,625	0,828829288482666	1271,875	0,784144580364227	1271,875	0,420256614685059	815,625	0,686231732368469	815,625	0,644178926944733	1271,875	0,37086609005928	815,625	-0,0152832148596644	1271,875	0,13417574763298	1271,875	-0,873749732971191	815,625	-0,710745751857758	815,625	-0,756330370903015	1271,875	-0,904866993427277	
818,75	0,831544101238251	1275	0,7841956615448	1275	0,420277833938599	818,75	0,674237728118896	818,75	0,631305992603302	1275	0,370034128427505	818,75	-0,0215631574392319	1275	0,134948581457138	1275	-0,875827431678772	818,75	-0,716810524463654	818,75	-0,76072096824646	1275	-0,907425999641418	
821,875	0,824798285961151	1278,125	0,782773017883301	1278,125	0,414951086044312	821,875	0,6731858253479	821,875	0,629673302173615	1278,125	0,366179764270782	821,875	-0,0224279761314392	1278,125	0,137734279036522	1278,125	-0,877837359905243	821,875	-0,717521607875824	821,875	-0,761038839817047	1278,125	-0,909371316432953	
825	0,818209886550903	1281,25	0,786153435707092	1281,25	0,41207680106163	825	0,683622360229492	825	0,639331579208374	1281,25	0,36318176984787	825	-0,0126338768750429	1281,25	0,138451114296913	1281,25	-0,881198108196259	825	-0,715326547622681	825	-0,760764360427856	1281,25	-0,911736190319061	
828,125	0,819778561592102	1284,375	0,784400284290314	1284,375	0,412528693675995	828,125	0,68144702911377	828,125	0,637310743331909	1284,375	0,363581389188766	828,125	-0,0139220962300897	1284,375	0,140593245625496	1284,375	-0,880421578884125	828,125	-0,716990232467651	828,125	-0,762645661830902	1284,375	-0,910797953605652	
831,25	0,81593531370163	1287,5	0,784531891345978	1287,5	0,411158621311188	831,25	0,673675715923309	831,25	0,631943225860596	1287,5	0,362005412578583	831,25	-0,00746537512168288	1287,5	0,142870411276817	1287,5	-0,884590089321136	831,25	-0,692313730716705	831,25	-0,737271547317505	1287,5	-0,914961814880371	
834,375	0,828538537025452	1290,625	0,787738263607025	1290,625	0,405576258897781	834,375	0,658119142055511	834,375	0,614666640758514	1290,625	0,356299757957459	834,375	-0,017481604591012	1290,625	0,141955554485321	1290,625	-0,88536661863327	834,375	-0,71433413028717	834,375	-0,756759941577911	1290,625	-0,916303873062134	
837,5	0,828029811382294	1293,75	0,785780966281891	1293,75	0,404596358537674	837,5	0,66216903924942	837,5	0,617906749248505	1293,75	0,355042040348053	837,5	-0,0212558656930923	1293,75	0,142440661787987	1293,75	-0,882116734981537	837,5	-0,725763142108917	837,5	-0,768561780452728	1293,75	-0,912818074226379	
840,625	0,82218998670578	1296,875	0,785627543926239	1296,875	0,397261053323746	840,625	0,659408211708069	840,625	0,614524185657501	1296,875	0,349256664514542	840,625	-0,0220065657049418	1296,875	0,141758605837822	1296,875	-0,883802950382233	840,625	-0,732207775115967	840,625	-0,774693727493286	1296,875	-0,91475784778595	
843,75	0,824670195579529	1300	0,787049353122711	1300	0,398371249437332	843,75	0,650410175323486	843,75	0,605820536613464	1300	0,350432604551315	843,75	-0,0208012405782938	1300	0,144851669669151	1300	-0,891879796981812	843,75	-0,731197118759155	843,75	-0,772683620452881	1300	-0,922273516654968	
846,875	0,831638276576996	1303,125	0,78710925579071	1303,125	0,395741552114487	846,875	0,654063761234283	846,875	0,609239459037781	1303,125	0,346936643123627	846,875	-0,0182559657841921	1303,125	0,145881727337837	1303,125	-0,89374840259552	846,875	-0,735884189605713	846,875	-0,776916861534119	1303,125	-0,923993647098541	
850	0,831795036792755	1306,25	0,785846173763275	1306,25	0,394563138484955	850	0,654309749603271	850	0,608694195747375	1306,25	0,346435815095901	850	-0,0153036331757903	1306,25	0,146269336342812	1306,25	-0,89090222120285	850	-0,741387188434601	850	-0,782483458518982	1306,25	-0,920998692512512	
853,125	0,828125774860382	1309,375	0,786090075969696	1309,375	0,389504611492157	853,125	0,658179104328156	853,125	0,611625015735626	1309,375	0,341195791959763	853,125	-0,00288020935840905	1309,375	0,146432101726532	1309,375	-0,89170253276825	853,125	-0,739987552165985	853,125	-0,781415462493896	1309,375	-0,921245634555817	
856,25	0,820090651512146	1312,5	0,788039565086365	1312,5	0,387498468160629	856,25	0,658459484577179	856,25	0,614397883415222	1312,5	0,339399874210358	856,25	-0,00697415880858898	1312,5	0,146949142217636	1312,5	-0,893503308296204	856,25	-0,728010356426239	856,25	-0,770214140415192	1312,5	-0,922839820384979	
859,375	0,820583045482636	1315,625	0,78845340013504	1315,625	0,387310922145844	859,375	0,650209367275238	859,375	0,606619119644165	1315,625	0,339604467153549	859,375	-0,0133815333247185	1315,625	0,147698640823364	1315,625	-0,895545065402985	859,375	-0,725242674350739	859,375	-0,76684695482254	1315,625	-0,924659788608551	
862,5	0,82190328836441	1318,75	0,78490537405014	1318,75	0,382934719324112	862,5	0,646346211433411	862,5	0,601703226566315	1318,75	0,334678083658218	862,5	-0,0111210905015469	1318,75	0,147084444761276	1318,75	-0,894999861717224	862,5	-0,732949137687683	862,5	-0,774370670318604	1318,75	-0,923323571681976	
865,625	0,822659850120544	1321,875	0,785929143428802	1321,875	0,382033884525299	865,625	0,64603316783905	865,625	0,60115909576416	1321,875	0,334094047546387	865,625	-0,00697081349790096	1321,875	0,15008282661438	1321,875	-0,894075453281403	865,625	-0,73541921377182	865,625	-0,776840567588806	1321,875	-0,922632038593292	
868,75	0,828580319881439	1325	0,78688383102417	1325	0,380005449056625	868,75	0,646881878376007	868,75	0,602147698402405	1325	0,332010924816132	868,75	-0,00417085271328688	1325	0,153606653213501	1325	-0,896295189857483	868,75	-0,737225592136383	868,75	-0,77785336971283	1325	-0,924984574317932	
871,875	0,829077303409576	1328,125	0,789333641529083	1328,125	0,374878078699112	871,875	0,6414435505867	871,875	0,596704542636871	1328,125	0,327525496482849	871,875	-0,00849878042936325	1328,125	0,150225237011909	1328,125	-0,899185061454773	871,875	-0,741868495941162	871,875	-0,782021760940552	1328,125	-0,92722761631012	
875	0,828416049480438	1331,25	0,789094626903534	1331,25	0,370158582925797	875	0,636675238609314	875	0,592170357704163	1331,25	0,323959916830063	875	-0,00552333844825625	1331,25	0,149255603551865	1331,25	-0,897412180900574	875	-0,735001087188721	875	-0,774470746517181	1331,25	-0,925099849700928	
878,125	0,827620804309845	1334,375	0,791140556335449	1334,375	0,365262359380722	878,125	0,637060046195984	878,125	0,592672348022461	1334,375	0,318804681301117	878,125	-0,00499085336923599	1334,375	0,148291066288948	1334,375	-0,901755809783936	878,125	-0,740033566951752	878,125	-0,779816687107086	1334,375	-0,929690062999725	
881,25	0,829787969589233	1337,5	0,789289832115173	1337,5	0,36632513999939	881,25	0,63044011592865	881,25	0,586227118968964	1337,5	0,319967865943909	881,25	-0,0115033313632011	1337,5	0,150731131434441	1337,5	-0,900502443313599	881,25	-0,741216063499451	881,25	-0,780250191688538	1337,5	-0,928213953971863	
		1340,625	0,788222968578339	1340,625	0,361809223890305					1340,625	0,316038489341736			1340,625	0,151765823364258	1340,625	-0,899396240711212					1340,625	-0,926900506019592	
		1343,75	0,789268910884857	1343,75	0,361505270004272					1343,75	0,315543562173843			1343,75	0,155125230550766	1343,75	-0,902370035648346					1343,75	-0,929350554943085	
		1346,875	0,788028478622437	1346,875	0,356592804193497					1346,875	0,310942828655243			1346,875	0,152243033051491	1346,875	-0,902014315128326					1346,875	-0,928733646869659	
		1350	0,789748132228851	1350	0,354780614376068					1350	0,308998942375183			1350	0,151222005486488	1350	-0,905105769634247					1350	-0,931900501251221	
		1353,125	0,790286004543304	1353,125	0,354241698980331					1353,125	0,308698713779449			1353,125	0,153974428772926	1353,125	-0,906292200088501					1353,125	-0,932907104492188	
		1356,25	0,794334888458252	1356,25	0,34657284617424					1356,25	0,30110290646553			1356,25	0,152656197547913	1356,25	-0,911926925182343					1356,25	-0,937716722488403	
		1359,375	0,790099084377289	1359,375	0,34577476978302					1359,375	0,300573885440826			1359,375	0,152691274881363	1359,375	-0,906809508800507					1359,375	-0,932933151721954	
		1362,5	0,789782285690308	1362,5	0,342054665088654					1362,5	0,297498196363449			1362,5	0,152632191777229	1362,5	-0,907237350940704					1362,5	-0,933800518512726	
		1365,625	0,789888918399811	1365,625	0,340552747249603					1365,625	0,296420633792877			1365,625	0,154029428958893	1365,625	-0,909488558769226					1365,625	-0,93531858921051	
		1368,75	0,789231479167938	1368,75	0,338936805725098					1368,75	0,294743418693542			1368,75	0,154452428221703	1368,75	-0,909240782260895					1368,75	-0,934687435626984	
		1371,875	0,788574516773224	1371,875	0,33471155166626					1371,875	0,290228068828583			1371,875	0,153095275163651	1371,875	-0,912186086177826					1371,875	-0,937359094619751	
		1375	0,790295779705048	1375	0,333295822143555					1375	0,288809329271317			1375	0,153634309768677	1375	-0,916313886642456					1375	-0,941657066345215	
		1378,125	0,789965391159058	1378,125	0,333906710147858					1378,125	0,289480209350586			1378,125	0,15485568344593	1378,125	-0,916889548301697					1378,125	-0,942389488220215	
		1381,25	0,790153443813324	1381,25	0,324173003435135					1381,25	0,279919803142548			1381,25	0,15058921277523	1381,25	-0,92002010345459					1381,25	-0,944927513599396	
		1384,375	0,791704714298248	1384,375	0,323123037815094					1384,375	0,27939048409462			1384,375	0,15247505903244	1384,375	-0,921083629131317					1384,375	-0,945603728294373	
		1387,5	0,788839042186737	1387,5	0,32380348443985					1387,5	0,280459344387054			1387,5	0,155771046876907	1387,5	-0,919597625732422					1387,5	-0,944377303123474	
		1390,625	0,788044214248657	1390,625	0,319631576538086					1390,625	0,276525437831879			1390,625	0,155890733003616	1390,625	-0,917636036872864					1390,625	-0,942221522331238	
		1393,75	0,786857306957245	1393,75	0,31515645980835					1393,75	0,272342413663864			1393,75	0,155316263437271	1393,75	-0,917437553405762					1393,75	-0,941599071025848	
		1396,875	0,785363137722015	1396,875	0,313068240880966					1396,875	0,270422607660294			1396,875	0,155705124139786	1396,875	-0,91951721906662					1396,875	-0,943675875663757	
		1400	0,786077260971069	1400	0,309763073921204					1400	0,267393261194229			1400	0,155723690986633	1400	-0,918744742870331					1400	-0,942511379718781	
		1403,125	0,786808431148529	1403,125	0,307458102703094					1403,125	0,26497545838356			1403,125	0,156303197145462	1403,125	-0,921943366527557					1403,125	-0,945720732212067	
		1406,25	0,785760760307312	1406,25	0,305647701025009					1406,25	0,263564974069595			1406,25	0,155614539980888	1406,25	-0,924180626869202					1406,25	-0,947875916957855	
		1409,375	0,784944534301758	1409,375	0,30120649933815					1409,375	0,259498685598373			1409,375	0,154882490634918	1409,375	-0,924630403518677					1409,375	-0,948297560214996	
		1412,5	0,783687651157379	1412,5	0,299967229366302					1412,5	0,25865426659584			1412,5	0,156427398324013	1412,5	-0,923453152179718					1412,5	-0,946726858615875	
		1415,625	0,784242868423462	1415,625	0,295701265335083					1415,625	0,254680246114731			1415,625	0,155993267893791	1415,625	-0,926084041595459					1415,625	-0,949105739593506	
		1418,75	0,784671485424042	1418,75	0,293897420167923					1418,75	0,252857804298401			1418,75	0,156713962554932	1418,75	-0,927379131317139					1418,75	-0,950422704219818	
		1421,875	0,78263121843338	1421,875	0,29223820567131					1421,875	0,251575380563736			1421,875	0,158464938402176	1421,875	-0,926265776157379					1421,875	-0,949306905269623	
		1425	0,782911598682404	1425	0,290847718715668					1425	0,250306129455566			1425	0,159204363822937	1425	-0,927594602108002					1425	-0,950305163860321	
		1428,125	0,783325731754303	1428,125	0,283759564161301					1428,125	0,243147984147072			1428,125	0,157302409410477	1428,125	-0,932965874671936					1428,125	-0,955353975296021	
		1431,25	0,781694948673248	1431,25	0,284006506204605					1431,25	0,243956595659256			1431,25	0,159110635519028	1431,25	-0,930714249610901					1431,25	-0,953067898750305	
		1434,375	0,780689895153046	1434,375	0,280790209770203					1434,375	0,240943938493729			1434,375	0,159431546926498	1434,375	-0,930140912532806					1434,375	-0,952604591846466	
		1437,5	0,778450131416321	1437,5	0,27436888217926					1437,5	0,235009089112282			1437,5	0,159356087446213	1437,5	-0,928198397159576					1437,5	-0,950334370136261	
		1440,625	0,779961705207825	1440,625	0,278340399265289					1440,625	0,239344298839569			1440,625	0,162784412503242	1440,625	-0,93005359172821					1440,625	-0,951905429363251	
		1443,75	0,779872357845306	1443,75	0,266496449708939					1443,75	0,227762475609779			1443,75	0,159264460206032	1443,75	-0,935488104820251					1443,75	-0,957084357738495	
		1446,875	0,77748429775238	1446,875	0,268883883953094					1446,875	0,23015421628952			1446,875	0,16198967397213	1446,875	-0,931386709213257					1446,875	-0,953245937824249	
		1450	0,776721775531769	1450	0,264875769615173					1450	0,226216092705727			1450	0,162871539592743	1450	-0,931300282478333					1450	-0,953305780887604	
		1453,125	0,77560168504715	1453,125	0,262520462274551					1453,125	0,224419564008713			1453,125	0,16410131752491	1453,125	-0,932743191719055					1453,125	-0,954395771026611	
		1456,25	0,776111841201782	1456,25	0,257391691207886					1456,25	0,219428509473801			1456,25	0,163551971316338	1456,25	-0,934371411800385					1456,25	-0,955878973007202	
		1459,375	0,774999976158142	1459,375	0,25614121556282					1459,375	0,218198388814926			1459,375	0,164966762065887	1459,375	-0,933114767074585					1459,375	-0,954719126224518	
		1462,5	0,773088693618774	1462,5	0,254050403833389					1462,5	0,216744601726532			1462,5	0,166719630360603	1462,5	-0,931037783622742					1462,5	-0,952832877635956	
		1465,625	0,773895859718323	1465,625	0,251320004463196					1465,625	0,214689701795578			1465,625	0,168386191129684	1465,625	-0,935067594051361					1465,625	-0,956481099128723	
		1468,75	0,772751271724701	1468,75	0,244940251111984					1468,75	0,208192363381386			1468,75	0,166780114173889	1468,75	-0,934606850147247					1468,75	-0,955653846263886	
		1471,875	0,772896111011505	1471,875	0,24250203371048					1471,875	0,206047549843788			1471,875	0,168119996786118	1471,875	-0,935702383518219					1471,875	-0,956625819206238	
		1475	0,772835791110992	1475	0,24218262732029					1475	0,206007152795792			1475	0,170855328440666	1475	-0,937517166137695					1475	-0,958018660545349	
		1478,125	0,772073268890381	1478,125	0,237750381231308					1478,125	0,201934814453125			1478,125	0,170713543891907	1478,125	-0,936658084392548					1478,125	-0,95721572637558	
		1481,25	0,770371437072754	1481,25	0,236184760928154					1481,25	0,200239107012749			1481,25	0,172707870602608	1481,25	-0,934560716152191					1481,25	-0,955235600471497	
		1484,375	0,770580172538757	1484,375	0,229893893003464					1484,375	0,194467380642891			1484,375	0,171957150101662	1484,375	-0,935900449752808					1484,375	-0,956186354160309	
		1487,5	0,772617876529694	1487,5	0,229883536696434					1487,5	0,194806814193726			1487,5	0,174301266670227	1487,5	-0,941432476043701					1487,5	-0,961624920368195	
		1490,625	0,77186381816864	1490,625	0,227189555764198					1490,625	0,19256891310215			1490,625	0,175447061657906	1490,625	-0,94041121006012					1490,625	-0,960572302341461	
		1493,75	0,772573590278625	1493,75	0,223359450697899					1493,75	0,189010381698608			1493,75	0,176588296890259	1493,75	-0,942783772945404					1493,75	-0,962788224220276	
		1496,875	0,772348582744598	1496,875	0,2254918217659					1496,875	0,191291034221649			1496,875	0,179527908563614	1496,875	-0,942358434200287					1496,875	-0,963034629821777	
		1500	0,77193683385849	1500	0,217766776680946					1500	0,183709174394608			1500	0,177998259663582	1500	-0,943569421768188					1500	-0,963819563388824	
		1503,125	0,771373093128204	1503,125	0,214045211672783					1503,125	0,180183410644531			1503,125	0,179255232214928	1503,125	-0,941778540611267					1503,125	-0,961518406867981	
		1506,25	0,770378708839417	1506,25	0,214124128222466					1506,25	0,180406481027603			1506,25	0,182033181190491	1506,25	-0,940597593784332					1506,25	-0,960310399532318	
		1509,375	0,772436201572418	1509,375	0,207379683852196					1509,375	0,173639997839928			1509,375	0,180800199508667	1509,375	-0,945831775665283					1509,375	-0,965290188789368	
		1512,5	0,772072494029999	1512,5	0,204438105225563					1512,5	0,17185440659523			1512,5	0,182595580816269	1512,5	-0,946267545223236					1512,5	-0,965305984020233	
		1515,625	0,772778928279877	1515,625	0,204218149185181					1515,625	0,171763360500336			1515,625	0,184358209371567	1515,625	-0,949905455112457					1515,625	-0,969132840633392	
		1518,75	0,771752238273621	1518,75	0,199446976184845					1518,75	0,167484849691391			1518,75	0,185105755925179	1518,75	-0,943646788597107					1518,75	-0,963232636451721	
		1521,875	0,77208012342453	1521,875	0,200551018118858					1521,875	0,167982757091522			1521,875	0,187621831893921	1521,875	-0,94370436668396					1521,875	-0,962756454944611	
		1525	0,774528682231903	1525	0,193599790334702					1525	0,161631375551224			1525	0,186407297849655	1525	-0,953502297401428					1525	-0,971512734889984	
		1528,125	0,772530615329742	1528,125	0,19023109972477					1528,125	0,158678561449051			1528,125	0,18752746284008	1528,125	-0,94486141204834					1528,125	-0,963269174098969	
		1531,25	0,773476839065552	1531,25	0,187753722071648					1531,25	0,157075673341751			1531,25	0,188519164919853	1531,25	-0,945774614810944					1531,25	-0,964079141616821	
		1534,375	0,772799491882324	1534,375	0,185142606496811					1534,375	0,155281573534012			1534,375	0,1893709897995	1534,375	-0,944690704345703					1534,375	-0,962984979152679	
		1537,5	0,774499177932739	1537,5	0,18268945813179					1537,5	0,152278274297714			1537,5	0,190359026193619	1537,5	-0,95159924030304					1537,5	-0,969950616359711	
		1540,625	0,773887634277344	1540,625	0,184060454368591					1540,625	0,154021397233009			1540,625	0,192432552576065	1540,625	-0,949760973453522					1540,625	-0,968025267124176	
		1543,75	0,775967299938202	1543,75	0,170743465423584					1543,75	0,141353085637093			1543,75	0,190245389938354	1543,75	-0,951791822910309					1543,75	-0,970381081104279	
		1546,875	0,775115191936493	1546,875	0,172306180000305					1546,875	0,142823845148087			1546,875	0,193044826388359	1546,875	-0,94950395822525					1546,875	-0,967758774757385	
		1550	0,776335835456848	1550	0,167974874377251					1550	0,138898119330406			1550	0,192790731787682	1550	-0,952162146568298					1550	-0,9697305560112	
		1553,125	0,776732861995697	1553,125	0,169653013348579					1553,125	0,14101605117321			1553,125	0,194904759526253	1553,125	-0,953812658786774					1553,125	-0,971311748027802	
		1556,25	0,776740550994873	1556,25	0,163578197360039					1556,25	0,13485549390316			1556,25	0,194025799632072	1556,25	-0,953566193580627					1556,25	-0,971066951751709	
		1559,375	0,777821362018585	1559,375	0,160878151655197					1559,375	0,132292613387108			1559,375	0,195183262228966	1559,375	-0,953624784946442					1559,375	-0,971280217170715	
		1562,5	0,778799474239349	1562,5	0,155221208930016					1562,5	0,126811429858208			1562,5	0,196354359388351	1562,5	-0,95361453294754					1562,5	-0,972173035144806	
		1565,625	0,777432441711426	1565,625	0,150630697607994					1565,625	0,12253512442112			1565,625	0,19538177549839	1565,625	-0,94968169927597					1565,625	-0,967901885509491	
		1568,75	0,779447853565216	1568,75	0,15222530066967					1568,75	0,125130712985992			1568,75	0,19619981944561	1568,75	-0,957890152931213					1568,75	-0,976461946964264	
		1571,875	0,779580175876617	1571,875	0,149303808808327					1571,875	0,122662357985973			1571,875	0,195761367678642	1571,875	-0,953294932842255					1571,875	-0,971371471881866	
		1575	0,780083179473877	1575	0,151008695363998					1575	0,124328047037125			1575	0,197833135724068	1575	-0,953290462493896					1575	-0,97153776884079	
		1578,125	0,780933558940887	1578,125	0,144513070583344					1578,125	0,117694601416588			1578,125	0,197181478142738	1578,125	-0,947509586811066					1578,125	-0,964818358421326	
		1581,25	0,782650828361511	1581,25	0,138888224959373					1581,25	0,113011330366135			1581,25	0,196934744715691	1581,25	-0,954420030117035					1581,25	-0,971499502658844	
		1584,375	0,780578911304474	1584,375	0,13901475071907					1584,375	0,113955415785313			1584,375	0,198627188801765	1584,375	-0,952391803264618					1584,375	-0,968993425369263	
		1587,5	0,782430648803711	1587,5	0,130634769797325					1587,5	0,105824336409569			1587,5	0,19782592356205	1587,5	-0,958239555358887					1587,5	-0,974420309066772	
		1590,625	0,78467071056366	1590,625	0,129608795046806					1590,625	0,103455662727356			1590,625	0,198738917708397	1590,625	-0,96765547990799					1590,625	-0,983937382698059	
		1593,75	0,785292148590088	1593,75	0,123428329825401					1593,75	0,0975629985332489			1593,75	0,197874903678894	1593,75	-0,964553534984589					1593,75	-0,980289041996002	
		1596,875	0,784010171890259	1596,875	0,120614796876907					1596,875	0,0956590250134468			1596,875	0,198561429977417	1596,875	-0,962909042835236					1596,875	-0,978274762630463	
		1600	0,78510844707489	1600	0,120932586491108					1600	0,0962744280695915			1600	0,198432788252831	1600	-0,964704215526581					1600	-0,980387628078461	
		1603,125	0,786002397537231	1603,125	0,120416395366192					1603,125	0,0962224304676056			1603,125	0,198442906141281	1603,125	-0,966096878051758					1603,125	-0,98188054561615	
		1606,25	0,786302983760834	1606,25	0,111810117959976					1606,25	0,0882516577839851			1606,25	0,199084371328354	1606,25	-0,968579351902008					1606,25	-0,983381390571594	
		1609,375	0,783044636249542	1609,375	0,112872913479805					1609,375	0,0895191803574562			1609,375	0,197547450661659	1609,375	-0,956318914890289					1609,375	-0,971250951290131	
		1612,5	0,782089233398438	1612,5	0,106932535767555					1612,5	0,0842148065567017			1612,5	0,195589303970337	1612,5	-0,949476063251495					1612,5	-0,965403199195862	
		1615,625	0,783323228359222	1615,625	0,100811935961246					1615,625	0,0789271965622902			1615,625	0,196691051125526	1615,625	-0,957973003387451					1615,625	-0,972661137580872	
		1618,75	0,786403834819794	1618,75	0,0994148999452591					1618,75	0,0775934308767319			1618,75	0,196865186095238	1618,75	-0,963268041610718					1618,75	-0,977495729923248	
		1621,875	0,78591775894165	1621,875	0,0993118211627007					1621,875	0,0782476216554642			1621,875	0,197201654314995	1621,875	-0,961025536060333					1621,875	-0,975168466567993	
		1625	0,785748839378357	1625	0,0956283807754517					1625	0,0748249813914299			1625	0,196285098791122	1625	-0,960567355155945					1625	-0,9751797914505	
		1628,125	0,784119129180908	1628,125	0,096202939748764					1628,125	0,0754328742623329			1628,125	0,197365254163742	1628,125	-0,960872292518616					1628,125	-0,975289225578308	
		1631,25	0,785130441188812	1631,25	0,0857454836368561					1631,25	0,0656872317194939			1631,25	0,19489012658596	1631,25	-0,96214485168457					1631,25	-0,976172566413879	
		1634,375	0,787748634815216	1634,375	0,0806254595518112					1634,375	0,0612089708447456			1634,375	0,198118016123772	1634,375	-0,964091837406158					1634,375	-0,978120267391205	
		1637,5	0,785158932209015	1637,5	0,0834344625473022					1637,5	0,0632633566856384			1637,5	0,195043846964836	1637,5	-0,967958807945251					1637,5	-0,983179926872253	
		1640,625	0,781098663806915	1640,625	0,0905255526304245					1640,625	0,0717089176177979			1640,625	0,195968016982079	1640,625	-0,954959213733673					1640,625	-0,971222221851349	
		1643,75	0,784767687320709	1643,75	0,06721031665802					1643,75	0,0488177686929703			1643,75	0,189581006765366	1643,75	-0,955529928207397					1643,75	-0,970106363296509	
		1646,875	0,784580111503601	1646,875	0,0740483105182648					1646,875	0,0550273358821869			1646,875	0,194784626364708	1646,875	-0,96147882938385					1646,875	-0,976084589958191	
		1650	0,785649538040161	1650	0,0706155449151993					1650	0,0521723665297031			1650	0,195156440138817	1650	-0,965619921684265					1650	-0,980832278728485	
		1653,125	0,784523487091064	1653,125	0,0669758319854736					1653,125	0,049574863165617			1653,125	0,193383023142815	1653,125	-0,961109042167664					1653,125	-0,975119471549988	
		1656,25	0,784512758255005	1656,25	0,0672853142023087					1656,25	0,0505878999829292			1656,25	0,192471608519554	1656,25	-0,962593793869019					1656,25	-0,976655602455139	
		1659,375	0,782158017158508	1659,375	0,0675150007009506					1659,375	0,0509254485368729			1659,375	0,193771973252296	1659,375	-0,964614033699036					1659,375	-0,97900927066803	
		1662,5	0,782684922218323	1662,5	0,0641773119568825					1662,5	0,0478519685566425			1662,5	0,192823708057404	1662,5	-0,963923931121826					1662,5	-0,978601157665253	
		1665,625	0,784388363361359	1665,625	0,0557746663689613					1665,625	0,0393096208572388			1665,625	0,19247929751873	1665,625	-0,968433439731598					1665,625	-0,982316195964813	
		1668,75	0,78165477514267	1668,75	0,0549897737801075					1668,75	0,0397942923009396			1668,75	0,192727267742157	1668,75	-0,968233048915863					1668,75	-0,982604920864105	
		1671,875	0,781158924102783	1671,875	0,0500804632902145					1671,875	0,0350901447236538			1671,875	0,193313792347908	1671,875	-0,969011008739471					1671,875	-0,982747495174408	
		1675	0,78059583902359	1675	0,0443908162415028					1675	0,029345715418458			1675	0,193606197834015	1675	-0,963185131549835					1675	-0,976608395576477	
		1678,125	0,780901074409485	1678,125	0,0401375666260719					1678,125	0,0256514623761177			1678,125	0,191430240869522	1678,125	-0,963954508304596					1678,125	-0,977887809276581	
		1681,25	0,779996395111084	1681,25	0,0410842932760715					1681,25	0,0276490170508623			1681,25	0,194544091820717	1681,25	-0,966407299041748					1681,25	-0,980301260948181	
		1684,375	0,777193427085876	1684,375	0,0318998582661152					1684,375	0,019122613593936			1684,375	0,189981520175934	1684,375	-0,958559155464172					1684,375	-0,972957730293274	
		1687,5	0,778579831123352	1687,5	0,0321131609380245					1687,5	0,0203370377421379			1687,5	0,189941644668579	1687,5	-0,9598109126091					1687,5	-0,973823249340057	
		1690,625	0,777971148490906	1690,625	0,0311432648450136					1690,625	0,0194380097091198			1690,625	0,188499838113785	1690,625	-0,958957552909851					1690,625	-0,972825407981873	
		1693,75	0,775234460830688	1693,75	0,0318273305892944					1693,75	0,0206426773220301			1693,75	0,189508780837059	1693,75	-0,955272912979126					1693,75	-0,969360709190369	
		1696,875	0,772384524345398	1696,875	0,0206464156508446					1696,875	0,00946435611695051			1696,875	0,18939870595932	1696,875	-0,963319659233093					1696,875	-0,977676570415497	
		1700	0,773252785205841	1700	0,0194173604249954					1700	0,00886606518179178			1700	0,188300639390945	1700	-0,961482226848602					1700	-0,975982546806335	
		1703,125	0,774716258049011	1703,125	0,0172861833125353					1703,125	0,00709639536216855			1703,125	0,189770415425301	1703,125	-0,965116798877716					1703,125	-0,979448735713959	
		1706,25	0,772247314453125	1706,25	0,0133146392181516					1706,25	0,00356956548057497			1706,25	0,188822165131569	1706,25	-0,964120328426361					1706,25	-0,978178739547729	
		1709,375	0,772288858890533	1709,375	0,00777242751792073					1709,375	-0,00113365415018052			1709,375	0,186888009309769	1709,375	-0,959552764892578					1709,375	-0,973308980464935	
		1712,5	0,770926356315613	1712,5	0,00654922984540462					1712,5	-0,00174301257357001			1712,5	0,189010202884674	1712,5	-0,961018741130829					1712,5	-0,975112617015839	
		1715,625	0,767821431159973	1715,625	0,00164127524476498					1715,625	-0,00568457692861557			1715,625	0,187510073184967	1715,625	-0,960633218288422					1715,625	-0,974921405315399	
		1718,75	0,76877748966217	1718,75	-0,000238157081184909					1718,75	-0,00754064740613103			1718,75	0,189530715346336	1718,75	-0,964610993862152					1718,75	-0,979057431221008	
		1721,875	0,77065497636795	1721,875	-0,00432001845911145					1721,875	-0,0116125037893653			1721,875	0,189946755766869	1721,875	-0,963055074214935					1721,875	-0,977085292339325	
		1725	0,768779993057251	1725	-0,0113449180498719					1725	-0,0179528575390577			1725	0,182569488883018	1725	-0,958105504512787					1725	-0,972351610660553	
		1728,125	0,765627086162567	1728,125	-0,0100846281275153					1728,125	-0,0162595864385366			1728,125	0,185945868492126	1728,125	-0,962990999221802					1728,125	-0,977409958839417	
