Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Im	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Im	
156,25	4,27121210098267	612,5	6,66098594665527	612,5	0,136601269245148	156,25	1,43280696868896	156,25	1,06588995456696	612,5	0,0698903352022171	156,25	-10,8206739425659	612,5	5,05949783325195	612,5	-3,85415506362915	156,25	-12,7247686386108	156,25	-11,6509742736816	612,5	-3,42859315872192	
159,375	4,04402685165405	615,625	6,79822158813477	615,625	0,132800787687302	159,375	1,2277318239212	159,375	0,898675143718719	615,625	0,0689248070120811	159,375	-10,5034418106079	615,625	5,0564923286438	615,625	-3,78988599777222	159,375	-12,3716554641724	159,375	-11,3233423233032	615,625	-3,39807891845703	
162,5	4,05774259567261	618,75	6,78806209564209	618,75	0,118434704840183	162,5	1,0772784948349	162,5	0,769511640071869	618,75	0,0671567618846893	162,5	-10,5235948562622	618,75	5,1095814704895	618,75	-3,78354668617249	162,5	-12,4813194274902	162,5	-11,3907489776611	618,75	-3,39173603057861	
165,625	4,32982969284058	621,875	6,73651075363159	621,875	0,102605372667313	165,625	1,40320146083832	165,625	1,04920625686646	621,875	0,0582748092710972	165,625	-10,2119140625	621,875	5,23747062683105	621,875	-3,78825926780701	165,625	-12,3811950683594	165,625	-11,2988271713257	621,875	-3,3906238079071	
168,75	3,66967082023621	625	6,77145338058472	625	0,121807679533958	168,75	1,0107969045639	168,75	0,755809247493744	625	0,0731802880764008	168,75	-9,41489696502686	625	5,17748928070068	625	-3,75820636749268	168,75	-11,2012071609497	168,75	-10,274561882019	625	-3,36718773841858	
171,875	4,30170202255249	628,125	6,93927955627441	628,125	0,110332779586315	171,875	1,54663574695587	171,875	1,19578409194946	628,125	0,0658535212278366	171,875	-9,43272876739502	628,125	5,21021175384521	628,125	-3,7143714427948	171,875	-11,6934261322021	171,875	-10,6870059967041	628,125	-3,32934021949768	
175	4,17459487915039	631,25	6,91517925262451	631,25	0,134943276643753	175	1,62375140190125	175	1,27272307872772	631,25	0,0859027579426765	175	-8,84315967559814	631,25	5,08904218673706	631,25	-3,69758939743042	175	-11,0592069625854	175	-10,1367053985596	631,25	-3,31251811981201	
178,125	3,82323908805847	634,375	6,91124868392944	634,375	0,128579586744308	178,125	1,01447761058807	178,125	0,757983028888702	634,375	0,0813098922371864	178,125	-8,97576141357422	634,375	5,13021469116211	634,375	-3,68218111991882	178,125	-11,0729608535767	178,125	-10,1163263320923	634,375	-3,29768013954163	
181,25	3,99320125579834	637,5	6,97431564331055	637,5	0,11261735111475	181,25	1,04489278793335	181,25	0,78260350227356	637,5	0,0685073658823967	181,25	-8,96256637573242	637,5	5,23080921173096	637,5	-3,66848421096802	181,25	-11,2615165710449	181,25	-10,2573652267456	637,5	-3,28419518470764	
184,375	4,17872905731201	640,625	6,85178756713867	640,625	0,111102774739265	184,375	1,36921882629395	184,375	1,05196130275726	640,625	0,0667122229933739	184,375	-8,58311557769775	640,625	5,32143306732178	640,625	-3,67645406723022	184,375	-11,0611438751221	184,375	-10,0855989456177	640,625	-3,29042816162109	
187,5	4,01467847824097	643,75	7,08649587631226	643,75	0,095759429037571	187,5	1,47408306598663	187,5	1,16103422641754	643,75	0,0558085069060326	187,5	-7,94321823120117	643,75	5,39098501205444	643,75	-3,61530447006226	187,5	-10,299840927124	187,5	-9,43731498718262	643,75	-3,23883724212646	
190,625	4,2145357131958	646,875	7,05009412765503	646,875	0,114954516291618	190,625	1,57558393478394	190,625	1,24054682254791	646,875	0,0713450312614441	190,625	-7,93226909637451	646,875	5,28388929367065	646,875	-3,60775971412659	190,625	-10,5468473434448	190,625	-9,64033508300781	646,875	-3,23078870773315	
193,75	3,87502193450928	650	7,14439105987549	650	0,0848942250013351	193,75	1,37934577465057	193,75	1,0931510925293	650	0,0469860173761845	193,75	-7,44085645675659	650	5,4652304649353	650	-3,58577632904053	193,75	-9,80091762542725	193,75	-8,99476051330566	650	-3,21126508712769	
196,875	4,01106595993042	653,125	7,09743547439575	653,125	0,104284442961216	196,875	1,31635439395905	196,875	1,02612900733948	653,125	0,0628408268094063	196,875	-7,56057786941528	653,125	5,37523221969604	653,125	-3,57687854766846	196,875	-10,1783800125122	196,875	-9,30134391784668	653,125	-3,2025408744812	
200	3,89272665977478	656,25	7,09686803817749	656,25	0,117298319935799	200	0,885026872158051	200	0,664022147655487	656,25	0,0736642703413963	200	-7,70803546905518	656,25	5,3195538520813	656,25	-3,55829739570618	200	-10,3214082717896	200	-9,40467262268066	656,25	-3,18746137619019	
203,125	3,88416647911072	659,375	7,29287958145142	659,375	0,113218262791634	203,125	0,6140958070755	203,125	0,430449098348618	659,375	0,0716286078095436	203,125	-7,72783470153809	659,375	5,31348896026611	659,375	-3,52008581161499	203,125	-10,4420671463013	203,125	-9,49169921875	659,375	-3,1542181968689	
206,25	3,54432654380798	662,5	7,20638561248779	662,5	0,088998943567276	206,25	0,824614822864532	206,25	0,624978721141815	662,5	0,0520406328141689	206,25	-6,90134477615356	662,5	5,50136518478394	662,5	-3,52647233009338	206,25	-9,34352111816406	206,25	-8,55717754364014	662,5	-3,15815258026123	
209,375	3,77304029464722	665,625	7,30055952072144	665,625	0,0753107666969299	209,375	0,956457197666168	209,375	0,732076823711395	665,625	0,0408982671797276	209,375	-6,87217283248901	665,625	5,56466722488403	665,625	-3,50338363647461	209,375	-9,59626293182373	209,375	-8,76160430908203	665,625	-3,1380398273468	
212,5	3,86680555343628	668,75	7,36541271209717	668,75	0,0922446995973587	212,5	0,650769770145416	212,5	0,46564707159996	668,75	0,0551580227911472	212,5	-7,10585498809814	668,75	5,47252225875854	668,75	-3,47908473014832	212,5	-10,0485811233521	212,5	-9,11815071105957	668,75	-3,11736631393433	
215,625	3,67324423789978	671,875	7,23217391967773	671,875	0,101488396525383	215,625	0,951859831809998	215,625	0,734172582626343	671,875	0,062870480120182	215,625	-6,35453939437866	671,875	5,4670557975769	671,875	-3,4818115234375	215,625	-9,12749862670898	215,625	-8,34070682525635	671,875	-3,11894702911377	
218,75	3,88345384597778	675	7,3433690071106	675	0,10991758108139	218,75	0,895731925964355	218,75	0,676765859127045	675	0,0703283697366714	218,75	-6,47616624832153	675	5,36225318908691	675	-3,44220042228699	218,75	-9,54393768310547	218,75	-8,67624473571777	675	-3,08655190467834	
221,875	3,72589373588562	678,125	7,45882225036621	678,125	0,112188458442688	221,875	0,865531921386719	221,875	0,660593688488007	678,125	0,0727241858839989	221,875	-6,14077568054199	678,125	5,32789659500122	678,125	-3,41325521469116	221,875	-9,10103988647461	221,875	-8,29114437103271	678,125	-3,06171727180481	
