Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient 1/3-octave	
918,75	0,353250732215756	462,5	0,40982932212727					
921,875	0,347480289882699	465,625	0,403104653493624					
925	0,34979906795746	468,75	0,40340339301639					
928,125	0,343130977806569	471,875	0,408669972223161					
931,25	0,336546445148276	475	0,390120619181232					
934,375	0,334778332105024	478,125	0,389691864806811					
937,5	0,329067500858922	481,25	0,400732138793812					
940,625	0,33569111396725	484,375	0,40007897557573					
943,75	0,339252911141739	487,5	0,398770282960907					
946,875	0,33834207483826	490,625	0,390843039602582					
950	0,332900738791423	493,75	0,389328919978492					
953,125	0,335357389667302	496,875	0,397598082003257					
956,25	0,339739327919347	500	0,393558452301849					
959,375	0,339428483307712	503,125	0,39267401165623					
962,5	0,339139140993568	506,25	0,384133289970295					
965,625	0,338104516456197	509,375	0,383480833717038					
968,75	0,331163885381924	512,5	0,386757971089386					
971,875	0,333298643440696	515,625	0,390590495733122					
975	0,335776119397346	518,75	0,373653676848087					
978,125	0,332672421521752	521,875	0,369276208674184					
981,25	0,337602661954911	525	0,380504204716628					
984,375	0,330841421594469	528,125	0,378980037773759					
987,5	0,33058604398899	531,25	0,374262434899155					
990,625	0,331498097896302	534,375	0,372835334848389					
993,75	0,32392000869717	537,5	0,374042709639136					
996,875	0,330122873224573	540,625	0,367535941994589					
1000	0,32993832473974	543,75	0,368732321349147					
1003,125	0,328063981394673	546,875	0,377199813495528					
1006,25	0,331212016675524	550	0,367669168272758					
1009,375	0,329531501934123	553,125	0,366205013601209					
1012,5	0,326343860859914	556,25	0,377052924877473					
1015,625	0,335198878658033	559,375	0,375356241065488					
1018,75	0,329534164189469	562,5	0,363263355330238					
1021,875	0,32845625365844	565,625	0,356050103766009					
1025	0,32683115696772	568,75	0,367758911193206					
1028,125	0,32921457270755	571,875	0,369211895820036					
1031,25	0,326229966111079	575	0,36196063783289					
1034,375	0,325689607819857	578,125	0,356479646565313					
1037,5	0,326395464082701	581,25	0,362876127562128					
1040,625	0,327586152635036	584,375	0,357363191559365					
1043,75	0,329084245760776	587,5	0,355436695022481					
1046,875	0,325777734174483	590,625	0,352980030917998					
1050	0,327707143914248	593,75	0,35251390843352					
1053,125	0,322483755331331	596,875	0,351484201413763					
1056,25	0,322457044199064	600	0,346536980453892					
1059,375	0,328479744944921	603,125	0,348673190638252					
1062,5	0,326773216259868	606,25	0,352278445668407					
1065,625	0,325635055225804	609,375	0,354486701666024					
1068,75	0,32845572104297	612,5	0,351753833602192					
1071,875	0,327753465206153	615,625	0,354198523611949					
1075	0,329402402088463	618,75	0,34743373566436					
1078,125	0,329113689581843	621,875	0,350239506035575					
1081,25	0,331738982356791	625	0,350382218614444					
1084,375	0,333195041648159	628,125	0,345148530585738					
1087,5	0,333228961444736	631,25	0,344126529493645					
1090,625	0,333701207879389	634,375	0,346062422511269					
1093,75	0,334733888128027	637,5	0,348886097320566					
1096,875	0,334391340004371	640,625	0,34540239792987					
1100	0,335276438754771	643,75	0,342612330134114					
1103,125	0,335469477107183	646,875	0,343805663614414					
1106,25	0,341326424679738	650	0,344278821846085					
1109,375	0,341631217703944	653,125	0,342277291572144					
1112,5	0,33654345362571	656,25	0,339719009229422					
1115,625	0,339463175313887	659,375	0,33673983162285					
1118,75	0,34230777646136	662,5	0,341524922724382					
1121,875	0,343190406497053	665,625	0,338755891372625					
1125	0,342719113568308	668,75	0,340229505652774					
1128,125	0,343632932347654	671,875	0,340818961330029					
1131,25	0,345132689874417	675	0,340293897563882					
1134,375	0,345439950356547	678,125	0,343012894440234					
1137,5	0,346282452310863	681,25	0,341765649401753					
1140,625	0,345671747530943	684,375	0,341192140896968					
1143,75	0,349272949887269	687,5	0,343571819911989					
1146,875	0,347925592218474	690,625	0,342768042293148					
1150	0,349931109708184	693,75	0,343893948677755					
1153,125	0,351542832106845	696,875	0,346100442762414					
1156,25	0,354170716894064	700	0,342182617617973					
1159,375	0,354043404654035	703,125	0,339356774934917					
1162,5	0,357113396725546	706,25	0,342742114178226					
1165,625	0,358657794743213	709,375	0,342516992642018					
1168,75	0,354319234890124	712,5	0,338827622112386					
1171,875	0,356899845623334	715,625	0,34281741237617					
1175	0,359059032135548	718,75	0,346739059631908					
1178,125	0,357894208762203	721,875	0,340666347908845					
1181,25	0,360015732285548	725	0,342877321384893					
1184,375	0,361477590143646	728,125	0,345567427227575					
1187,5	0,363571705245343	731,25	0,341063414312928					
1190,625	0,367892264787425	734,375	0,343931498427288					
1193,75	0,370432374228456	737,5	0,343860612687698					
1196,875	0,368320136422893	740,625	0,342942473998711					
1200	0,365378189772683	743,75	0,343451371928013					
1203,125	0,368267206671554	746,875	0,341609143058139					
1206,25	0,368162117154713	750	0,345923509710898					
1209,375	0,372506164104388	753,125	0,347597224144112					
1212,5	0,373323966742167	756,25	0,348320496101672					
1215,625	0,371267630708334	759,375	0,344092230264032					
1218,75	0,371884174707876	762,5	0,346434953088115					
1221,875	0,371445951036798	765,625	0,348623285087534					
1225	0,365585352226175	768,75	0,352740043863021					
1228,125	0,375998039552335	771,875	0,350777937525954					
1231,25	0,376854857636042	775	0,348057296298076					
1234,375	0,374525864515197	778,125	0,354834455085493					
1237,5	0,371644249056567	781,25	0,349755183988341					
1240,625	0,367739837651023	784,375	0,347187309222933					
1243,75	0,370648236406385	787,5	0,357246870318131					
1246,875	0,365450358679908	790,625	0,351012828529133					
1250	0,373024081881761	793,75	0,353156798951804					
1253,125	0,372389256943131	796,875	0,351326217033452					
1256,25	0,370089616921961	800	0,349248509398687					
1259,375	0,373795494924965	803,125	0,356662966452838					
1262,5	0,378263791227939	806,25	0,351773621807579					
1265,625	0,369704856717797	809,375	0,34619655846169					
1268,75	0,373794347674595	812,5	0,347815925884429					
1271,875	0,371826945931451	815,625	0,349535141022911					
1275	0,366820703659975	818,75	0,341616983449982					
1278,125	0,369214766286587	821,875	0,349565127676417					
1281,25	0,37283533476338	825	0,347350670029351					
1284,375	0,368858644263313	828,125	0,349160325726335					
1287,5	0,367041760974895	831,25	0,352821923079397					
1290,625	0,365877273188542	834,375	0,350207467127625					
1293,75	0,369963403469944	837,5	0,348030074899662					
1296,875	0,372840325802352	840,625	0,343148761325278					
1300	0,367439466266592	843,75	0,333631428521721					
1303,125	0,364336707655144	846,875	0,327223316440568					
1306,25	0,365511537695313	850	0,331126734604156					
1309,375	0,359963302275354	853,125	0,33421748687792					
1312,5	0,357211884307995	856,25	0,338841757851719					
1315,625	0,364995046443235	859,375	0,353516973829088					
1318,75	0,367896662409152	862,5	0,347659457909713					
1321,875	0,36226528421303	865,625	0,334896439658074					
1325	0,36138016139516	868,75	0,331397285356127					
1328,125	0,370443065021473	871,875	0,324748323230958					
1331,25	0,364409227462205	875	0,326632630452332					
1334,375	0,358811608198284	878,125	0,322810637089799					
1337,5	0,354706486275506	881,25	0,32762117323044					
1340,625	0,359586171359149							
1343,75	0,361325846461201							
1346,875	0,356763297369184							
1350	0,359628627149161							
1353,125	0,356096548003605							
1356,25	0,349925633407439							
1359,375	0,353086700223138							
1362,5	0,353357960884139							
1365,625	0,347720978201202							
1368,75	0,351738379228863							
1371,875	0,357903867950696							
1375	0,356742770302975							
1378,125	0,352293653217788							
1381,25	0,354378161902879							
1384,375	0,356798462900431							
1387,5	0,355546836745064							
1390,625	0,355240472201419							
1393,75	0,354596557428001							
1396,875	0,355845764979268							
1400	0,355130017011648							
1403,125	0,356029732743866							
1406,25	0,356699974798819							
1409,375	0,357714602964214							
1412,5	0,354220931316506							
1415,625	0,355385928321993							
1418,75	0,353908838829446							
1421,875	0,35063246234978							
1425	0,354846834032726							
1428,125	0,358835808086865							
1431,25	0,356775400103593							
1434,375	0,35653501391654							
1437,5	0,357177514490572							
1440,625	0,354712423517332							
