Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_HF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_HF Sound Absorption Coefficient 1/3-octave	
190,625	0,187079326161362	646,875	0,304134067231023	646,875	0,0322474315665129	190,625	0,0534686938185694	190,625	0,0506572460510598	646,875	0,024631944331116													
193,75	0,195875892362278	650	0,297064549073786	650	0,0241953729362228	193,75	0,0542412738985814	193,75	0,0512692968189563	650	0,0164741893988996													
196,875	0,195012234083191	653,125	0,300542741233466	653,125	0,0297668283355841	196,875	0,0483221327821216	196,875	0,0452936083177236	653,125	0,0220767205724823													
200	0,18680772687541	656,25	0,30245475119311	656,25	0,0337310395580115	200	0,0321580019435603	200	0,0291184052649706	656,25	0,026046635586034													
203,125	0,185901968635985	659,375	0,300721746650513	659,375	0,0332255525048752	203,125	0,022002306968951	203,125	0,0186870377802073	659,375	0,0258179930762945													
206,25	0,207636459747352	662,5	0,295314068310859	662,5	0,0261340341585313	206,25	0,0363945353812993	206,25	0,0329517833452974	662,5	0,0187860246201995													
209,375	0,215575588628014	665,625	0,29241769972136	665,625	0,0224306373159746	209,375	0,0398872955998894	209,375	0,0367113137114297	665,625	0,0149662990258916													
212,5	0,208512215287347	668,75	0,294826919995473	668,75	0,0277489515991022	212,5	0,0251022533855267	212,5	0,0218386077164355	668,75	0,0203698073366694													
215,625	0,23614790112168	671,875	0,296226392733002	671,875	0,0304397696940787	215,625	0,0437028989566267	215,625	0,0404643510998052	671,875	0,0231619890355816													
218,75	0,236116222548612	675	0,298615431403841	675	0,0336122378285819	218,75	0,037842280667131	218,75	0,0346664949240721	675	0,0263589346544586													
221,875	0,248214216152248	678,125	0,298537523064395	678,125	0,0348214870796453	221,875	0,0401131090589926	221,875	0,0369559625526967	678,125	0,0276390422048682													
225	0,262300960290797	681,25	0,294590434459885	681,25	0,0317339010283497	225	0,0484767686877836	225	0,0451934046610157	681,25	0,0246760934881343													
228,125	0,272200888781842	684,375	0,294810146415302	684,375	0,0314741795994546	228,125	0,0499767262187425	228,125	0,0466636214953606	684,375	0,0242949279184705													
231,25	0,27866872595037	687,5	0,288928482946868	687,5	0,0226213453376132	231,25	0,0469562898534525	231,25	0,0437376999013471	687,5	0,0152008736382283													
234,375	0,291734265001944	690,625	0,290632132550486	690,625	0,0256286180341539	234,375	0,0514446830192324	234,375	0,0484557254985483	690,625	0,0184085624673332													
237,5	0,288578398264051	693,75	0,290879933802817	693,75	0,0259636166353274	237,5	0,0360478705063746	237,5	0,0327465877066029	693,75	0,0187270189158277													
240,625	0,295749016884815	696,875	0,289088552202156	696,875	0,0250255626574127	240,625	0,0273829162926289	240,625	0,0239471669733551	696,875	0,0180031057934439													
243,75	0,308174020682629	700	0,291781307986551	700	0,0288995000459504	243,75	0,0332847007642733	243,75	0,0299106603351088	700	0,0219521075241198													
246,875	0,33117592785467	703,125	0,290685792725542	703,125	0,0258609278419486	246,875	0,0502836319593992	246,875	0,0471444455461549	703,125	0,0182717377285637													
250	0,342072536209597	706,25	0,288893483283436	706,25	0,0238887008730937	250	0,0519018505734883	250	0,0488998848139679	706,25	0,0163475677967796													
