Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Im	
750	7,3945140838623	293,75	5,24130535125732	750	3,42080307006836	293,75	-2,5744366645813	
753,125	7,32767343521118	296,875	5,33769035339355	753,125	3,47005128860474	296,875	-2,5827054977417	
756,25	7,27409505844116	300	5,21672964096069	756,25	3,516352891922	300	-2,36979603767395	
759,375	7,34190320968628	303,125	5,27837562561035	759,375	3,52066659927368	303,125	-2,12252068519592	
762,5	7,25362920761108	306,25	5,04244565963745	762,5	3,48595595359802	306,25	-2,15861129760742	
765,625	7,19364452362061	309,375	5,20076465606689	765,625	3,54769015312195	309,375	-1,9888197183609	
768,75	7,09007120132446	312,5	5,14104557037354	768,75	3,38670539855957	312,5	-1,81347012519836	
771,875	7,26135444641113	315,625	5,19298124313354	771,875	3,43163418769836	315,625	-1,67793035507202	
775	7,08906364440918	318,75	5,36157703399658	775	3,55873084068298	318,75	-1,4691880941391	
778,125	7,05993318557739	321,875	5,53815317153931	778,125	3,45013570785522	321,875	-1,29387497901917	
781,25	7,06085538864136	325	5,65013933181763	781,25	3,51420712471008	325	-1,22973799705505	
784,375	7,10363531112671	328,125	5,85726404190063	784,375	3,55051875114441	328,125	-1,11482763290405	
787,5	6,93838691711426	331,25	5,97523641586304	787,5	3,47705459594727	331,25	-1,26084303855896	
790,625	6,9942889213562	334,375	5,8954062461853	790,625	3,55839991569519	334,375	-1,10712289810181	
793,75	6,92740201950073	337,5	6,0521240234375	793,75	3,57154726982117	337,5	-1,10474598407745	
796,875	6,99910020828247	340,625	6,09864282608032	796,875	3,55236172676086	340,625	-0,910651743412018	
800	6,89968633651733	343,75	6,04989624023438	800	3,59715962409973	343,75	-0,94927853345871	
803,125	6,75659084320068	346,875	6,11262083053589	803,125	3,64389514923096	346,875	-1,04136836528778	
806,25	6,74327898025513	350	6,0617527961731	806,25	3,81371140480042	350	-0,871476590633392	
809,375	6,72963428497314	353,125	6,09973669052124	809,375	3,80415844917297	353,125	-1,17836940288544	
812,5	6,77835607528687	356,25	6,39312744140625	812,5	3,70376682281494	356,25	-0,935515344142914	
815,625	6,68786716461182	359,375	6,44510555267334	815,625	3,6021740436554	359,375	-0,779034495353699	
818,75	6,67952013015747	362,5	6,29102468490601	818,75	3,70114946365356	362,5	-0,93481320142746	
821,875	6,64828014373779	365,625	6,44814348220825	821,875	3,71451663970947	365,625	-0,613948822021484	
825	6,75799322128296	368,75	6,55039978027344	825	3,77934646606445	368,75	-0,489465087652206	
828,125	6,67112302780151	371,875	6,38510465621948	828,125	3,67214155197144	371,875	-0,427972018718719	
831,25	6,56983423233032	375	6,28586721420288	831,25	3,62450551986694	375	-0,774727046489716	
834,375	6,50294971466064	378,125	6,51992893218994	834,375	3,77568864822388	378,125	-0,551705360412598	
837,5	6,43852949142456	381,25	7,0070972442627	837,5	3,90497660636902	381,25	-0,188613280653954	
840,625	6,41682529449463	384,375	6,9185996055603	840,625	3,82816576957703	384,375	-0,256344467401505	
843,75	6,57963466644287	387,5	6,7263126373291	843,75	3,91707324981689	387,5	-0,317065089941025	
846,875	6,53189182281494	390,625	6,65601396560669	846,875	4,09868335723877	390,625	-0,443024456501007	
850	6,7387261390686	393,75	6,878249168396	850	3,88067603111267	393,75	-0,525331318378448	
853,125	6,60320568084717	396,875	7,04459428787231	853,125	3,96937131881714	396,875	-0,412783056497574	
856,25	6,25251197814941	400	7,27058029174805	856,25	4,00156545639038	400	-0,142748057842255	
859,375	6,16135311126709	403,125	7,12118291854858	859,375	3,89174628257751	403,125	-0,253525793552399	
862,5	6,29262828826904	406,25	7,04687452316284	862,5	4,00964832305908	406,25	-0,222231924533844	
865,625	6,35889053344727	409,375	7,44610404968262	865,625	4,11418724060059	409,375	-0,17794144153595	
868,75	6,3402214050293	412,5	7,38442945480347	868,75	4,14827156066895	412,5	-0,14555150270462	
871,875	6,40099859237671	415,625	7,00208425521851	871,875	4,24915075302124	415,625	0,0328838527202606	
875	6,33097457885742	418,75	6,76137447357178	875	4,31538772583008	418,75	-0,0271902177482843	
878,125	6,29245185852051	421,875	6,88483333587646	878,125	4,12539768218994	421,875	0,0159309525042772	
881,25	6,27699995040894	425	7,13595819473267	881,25	4,19438886642456	425	-0,313539296388626	
884,375	6,26753902435303	428,125	7,65495300292969	884,375	4,20064306259155	428,125	0,376645088195801	
887,5	6,13638401031494	431,25	7,42032957077026	887,5	4,21771192550659	431,25	0,5925173163414	
890,625	6,17739725112915	434,375	6,9642505645752	890,625	4,32120943069458	434,375	0,15438374876976	
893,75	6,1848030090332	437,5	7,00157356262207	893,75	4,41853809356689	437,5	0,114620864391327	
896,875	6,23908281326294	440,625	7,27134656906128	896,875	4,29819011688232	440,625	0,0640307515859604	
900	6,23724794387817	443,75	7,2275505065918	900	4,42870664596558	443,75	-0,0079055093228817	
903,125	6,27769613265991	446,875	7,52186632156372	903,125	4,40364217758179	446,875	0,234020248055458	
906,25	6,15445232391357	450	7,57981443405151	906,25	4,29227304458618	450	0,379894733428955	
909,375	6,13538312911987	453,125	7,56197357177734	909,375	4,35758781433105	453,125	0,0526856072247028	
912,5	6,23718118667603	456,25	7,32142400741577	912,5	4,49425315856934	456,25	-0,139732509851456	
915,625	6,07169723510742	459,375	7,53067779541016	915,625	4,38117218017578	459,375	0,0134826749563217	
918,75	6,01311159133911	462,5	7,62853240966797	918,75	4,34800481796265	462,5	-0,0642766430974007	
921,875	6,28919649124146	465,625	7,79434823989868	921,875	4,38923072814941	465,625	-0,0511106364428997	
925	6,2704610824585	468,75	7,77744340896606	925	4,34096431732178	468,75	0,273424088954926	
928,125	6,2430305480957	471,875	7,65453958511353	928,125	4,50729846954346	471,875	0,142914742231369	
931,25	6,20041465759277	475	8,13018989562988	931,25	4,6742525100708	475	0,0203458815813065	
934,375	6,19710063934326	478,125	8,13921737670898	934,375	4,71656274795532	478,125	0,140943437814713	
937,5	6,36572551727295	481,25	7,84307050704956	937,5	4,80885124206543	481,25	0,295832425355911	
940,625	6,29620122909546	484,375	7,85959577560425	940,625	4,66788959503174	484,375	0,296658843755722	
943,75	6,20124483108521	487,5	7,88684988021851	943,75	4,61069965362549	487,5	0,368252754211426	
946,875	6,15859413146973	490,625	8,10803413391113	946,875	4,64366388320923	490,625	0,153839454054832	
950	6,10782432556152	493,75	8,14678382873535	950	4,7820463180542	493,75	0,192687317728996	
953,125	6,17300319671631	496,875	7,93426990509033	953,125	4,70924377441406	496,875	-0,0289148539304733	
956,25	6,15014362335205	500	8,02867698669434	956,25	4,61363124847412	500	0,289575338363647	
959,375	6,18853712081909	503,125	8,04835796356201	959,375	4,61018896102905	503,125	0,335184246301651	
962,5	6,2657413482666	506,25	8,27859497070313	962,5	4,59464073181152	506,25	0,33632892370224	
965,625	6,15338230133057	509,375	8,29969692230225	965,625	4,650559425354	509,375	0,296417385339737	
968,75	6,10231494903564	512,5	8,20844078063965	968,75	4,82334089279175	512,5	0,315398901700974	
971,875	6,2479305267334	515,625	8,1116361618042	971,875	4,73819303512573	515,625	0,220406979322433	
975	6,29243040084839	518,75	8,58726501464844	975	4,66693592071533	518,75	0,109022319316864	
978,125	6,22677135467529	521,875	8,71561813354492	978,125	4,75851678848267	521,875	0,11977431923151	
981,25	6,25205564498901	525	8,39308643341064	981,25	4,63503980636597	525	0,0336797758936882	
984,375	6,22837495803833	528,125	8,42566967010498	984,375	4,80146265029907	528,125	0,294467121362686	
987,5	6,15020513534546	531,25	8,55817985534668	987,5	4,82600784301758	531,25	0,329170137643814	
990,625	6,24601984024048	534,375	8,58681774139404	990,625	4,78146266937256	534,375	0,466295123100281	
993,75	6,26835203170776	537,5	8,54959583282471	993,75	4,95754289627075	537,5	0,484050989151001	
996,875	6,17852640151978	540,625	8,73509693145752	996,875	4,83033227920532	540,625	0,542657971382141	
1000	6,2262077331543	543,75	8,72681999206543	1000	4,82340240478516	543,75	0,239420711994171	
1003,125	6,20203495025635	546,875	8,47585391998291	1003,125	4,87344980239868	546,875	0,300062954425812	
1006,25	6,19620800018311	550	8,7631196975708	1006,25	4,80055284500122	550	0,136034116148949	
1009,375	6,18614196777344	553,125	8,77965545654297	1009,375	4,84246921539307	553,125	0,507088661193848	
1012,5	6,227783203125	556,25	8,49021625518799	1012,5	4,90847778320313	556,25	0,0708656832575798	
1015,625	6,13130664825439	559,375	8,53318309783936	1015,625	4,72341585159302	559,375	0,229466468095779	
1018,75	6,34627199172974	562,5	8,89444446563721	1018,75	4,80265951156616	562,5	0,198297336697578	
1021,875	6,21831941604614	565,625	9,10448265075684	1021,875	4,86042070388794	565,625	0,427308261394501	
1025	6,29963541030884	568,75	8,75678443908691	1025	4,88005065917969	568,75	0,223588764667511	
1028,125	6,2358193397522	571,875	8,71042728424072	1028,125	4,83827829360962	571,875	0,274563193321228	
1031,25	6,26866722106934	575	8,93463802337646	1031,25	4,90187931060791	575	0,197439566254616	
1034,375	6,22203588485718	578,125	9,10248756408691	1034,375	4,92533826828003	578,125	0,277991235256195	
1037,5	6,35858583450317	581,25	8,89325046539307	1037,5	4,87607860565186	581,25	0,392808020114899	
1040,625	6,30144882202148	584,375	9,08174324035645	1040,625	4,86136436462402	584,375	0,106132157146931	
1043,75	6,31379270553589	587,5	9,13455772399902	1043,75	4,82205581665039	587,5	0,298121184110641	
1046,875	6,25737142562866	590,625	9,21729373931885	1046,875	4,91533374786377	590,625	0,240989521145821	
1050	6,33369302749634	593,75	9,23786067962646	1050	4,85037469863892	593,75	0,0941212847828865	
1053,125	6,31434440612793	596,875	9,26785850524902	1053,125	4,98214435577393	596,875	0,205431684851646	
1056,25	6,41026544570923	600	9,41952896118164	1056,25	4,96041584014893	600	0,401207327842712	
1059,375	6,29310941696167	603,125	9,36482334136963	1059,375	4,84186983108521	603,125	0,0652242004871368	
1062,5	6,26984977722168	606,25	9,24110507965088	1062,5	4,8885498046875	606,25	0,222094148397446	
1065,625	6,42240810394287	609,375	9,17486190795898	1065,625	4,87839412689209	609,375	-0,0245000887662172	
1068,75	6,36196041107178	612,5	9,26119613647461	1068,75	4,82480812072754	612,5	0,149565681815147	
1071,875	6,32453536987305	615,625	9,18374347686768	1071,875	4,85156440734863	615,625	0,0657293051481247	
1075	6,35119962692261	618,75	9,40665531158447	1075	4,80455636978149	618,75	0,0147970719262958	
1078,125	6,37925100326538	621,875	9,31258773803711	1078,125	4,80407571792603	621,875	-0,0856265276670456	
1081,25	6,30440425872803	625	9,30864429473877	1081,25	4,76047468185425	625	-0,017602764070034	
1084,375	6,30549383163452	628,125	9,48140621185303	1084,375	4,72515535354614	628,125	-0,148881822824478	
1087,5	6,35161876678467	631,25	9,51831531524658	1087,5	4,71136903762817	631,25	-0,0493474081158638	
1090,625	6,3322377204895	634,375	9,45243549346924	1090,625	4,70546245574951	634,375	-0,0599600709974766	
1093,75	6,31963443756104	637,5	9,35815715789795	1093,75	4,68414974212646	637,5	-0,0204621274024248	
1096,875	6,36362075805664	640,625	9,47194862365723	1096,875	4,67962884902954	640,625	-0,173348188400269	
1100	6,30949211120605	643,75	9,56545448303223	1100	4,67401647567749	643,75	-0,218814492225647	
1103,125	6,33421945571899	646,875	9,52621746063232	1103,125	4,66217231750488	646,875	-0,177010834217072	
1106,25	6,29104375839233	650	9,50925922393799	1106,25	4,53490257263184	650	-0,196719452738762	
1109,375	6,32735776901245	653,125	9,57687282562256	1109,375	4,51596069335938	653,125	-0,221858650445938	
1112,5	6,31447458267212	656,25	9,66765117645264	1112,5	4,64213180541992	656,25	-0,179906964302063	
1115,625	6,26419353485107	659,375	9,76272964477539	1115,625	4,58742046356201	659,375	-0,362320274114609	
1118,75	6,29511070251465	662,5	9,59798145294189	1118,75	4,51023101806641	662,5	-0,309895187616348	
1121,875	6,2851185798645	665,625	9,69359111785889	1121,875	4,49246311187744	665,625	-0,32891571521759	
1125	6,24475193023682	668,75	9,64232444763184	1125	4,5164532661438	668,75	-0,321741491556168	
1128,125	6,23286628723145	671,875	9,6213493347168	1128,125	4,49869441986084	671,875	-0,327552676200867	
1131,25	6,29737281799316	675	9,63843441009521	1131,25	4,4422173500061	675	-0,345146536827087	
1134,375	6,21502780914307	678,125	9,53785419464111	1134,375	4,46204996109009	678,125	-0,421975463628769	
1137,5	6,20779705047607	681,25	9,57409763336182	1137,5	4,44472312927246	681,25	-0,492938965559006	
1140,625	6,20224189758301	684,375	9,60066604614258	1140,625	4,4607195854187	684,375	-0,424550414085388	
1143,75	6,21967840194702	687,5	9,5087718963623	1143,75	4,37106943130493	687,5	-0,52021598815918	
