candidate_index,candidate_source,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max
0,explicit_zero_residual_f1_fallback,0,,,0.0,0.0,ok,0.06997865488067417,0.0539982673677811,0.2549097475756308,0.864516586956995,0.002986810480004279,0.0726826636225841,1.0714975592363623
1,explicit_saved_f3c_branch_a_fallback,3,,,z_sigma__f3_mid * 0.091513276,z_sigma__f3_mid*0.091513276,ok,0.05785708100275834,0.04135247724310524,0.25678896350821556,0.9073878458610104,0.004229431959577756,-0.09619353596490267,1.0714975610986512
2,pysr_hall_of_fame,1,0.005673653,0.0,0.00028161774,0.000281617740000000,ok,0.06999124034544865,0.054020067044829825,0.25462812983563077,0.8644678499512333,0.003268428220004291,0.07296428136258411,1.0717791769763623
3,pysr_hall_of_fame,3,0.0042818855,0.14071986419845148,0.09128941 * z_sigma__f3_mid,0.09128941*z_sigma__f3_mid,ok,0.05786313921196378,0.041365523909620734,0.256784366442387,0.9073684500266723,0.0042263921743978874,-0.09570128538310714,1.0714975610940956
4,pysr_hall_of_fame,5,0.004281858,3.21121247964899e-06,(z_sigma__f3_mid - -0.0006916713) * 0.091352284,(z_sigma__f3_mid - 1*(-0.0006916713))*0.091352284,ok,0.0578660751153074,0.04137290811685944,0.2567224718006307,0.9073590497701227,0.004290431667852528,-0.09577635091914878,1.0715607468484072
5,pysr_hall_of_fame,7,0.0042108023,0.008366913967220235,(z_sigma__f3_mid * 0.09128941) - (z_lambda__f3_mid * 0.02147795),-0.02147795*z_lambda__f3_mid + z_sigma__f3_mid*0.09128941,ok,0.05743643259795817,0.04175366138128513,0.2568561707443343,0.9087296189245476,0.0033434752791880774,-0.12233360268064401,1.071497560738313
6,pysr_hall_of_fame,11,0.0041570007,0.003214842737056761,(z_sigma__f3_mid - (-0.15703025 * ((z_lambda__f3_mid * z_sigma__f3_mid) - z_lambda__f3_mid))) * 0.0936595,(z_sigma__f3_mid - (-1)*0.15703025*(z_lambda__f3_mid*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,ok,0.05698116860468686,0.04082800586196476,0.2568832148469421,0.9101707752423039,0.0035902969416716905,-0.15925016186685237,1.0714975608986987
7,pysr_hall_of_fame,13,0.0041561904,9.747159578304246e-05,(z_sigma__f3_mid - ((((z_lambda__f3_mid * 1.135783) * z_sigma__f3_mid) - z_lambda__f3_mid) * -0.14897436)) * 0.0936595,(z_sigma__f3_mid - (-0.14897436)*(z_lambda__f3_mid*1.135783*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,ok,0.05697666700160785,0.040814263273868556,0.25688077066067727,0.9101849679853278,0.0036163767481493334,-0.1614229924682936,1.0714975609111972
8,pysr_hall_of_fame,14,0.004138299,0.00431405162760804,(z_sigma__f3_mid - (sqrt(3.0854983) * (-0.15703025 * ((z_lambda__f3_mid * z_sigma__f3_mid) - z_lambda__f3_mid)))) * 0.0936595,0.0258343662859956*z_lambda__f3_mid*z_sigma__f3_mid - 0.0258343662859956*z_lambda__f3_mid + 0.0936595*z_sigma__f3_mid,ok,0.056930382281364135,0.041086792664377786,0.25692117808586334,0.9103308303308764,0.0030847056510784096,-0.20338580704973114,1.07149756071438
9,pysr_hall_of_fame,15,0.0041371966,0.000266425132658054,(z_sigma__f3_mid - (1.3493323 * ((((z_lambda__f3_mid * 1.3493323) * z_sigma__f3_mid) - z_lambda__f3_mid) * -0.14897436))) * 0.0936595,(z_sigma__f3_mid - (-0.14897436)*1.3493323*(z_lambda__f3_mid*1.3493323*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,ok,0.056896194819182865,0.040915757042911415,0.25689772193230836,0.9104384930855819,0.003374626642078895,-0.1935232841978191,1.0714975608304562
10,pysr_hall_of_fame,17,0.0041356045,0.00019244993327058866,(z_sigma__f3_mid + (z_sigma__f3_mid + ((((z_sigma__f3_mid + -0.8778952) * -0.7854523) * (z_lambda__f3_mid * 0.84394157)) * -0.8293706))) * 0.04624587,((z_sigma__f3_mid - 0.8778952)*(-0.7854523)*z_lambda__f3_mid*0.84394157*(-0.8293706) + z_sigma__f3_mid + z_sigma__f3_mid)*0.04624587,ok,0.05690591896118404,0.041006633942016486,0.2568854214073724,0.9104078765131571,0.00321508756730548,-0.19534314434497624,1.0714975607488297
11,pysr_hall_of_fame,18,0.004101879,0.008188347433607562,((z_sigma__f3_mid - (z_sigma__f3_mid * (((z_lambda__f3_mid + -0.065894745) / sqrt(z_lambda__f3_mid * z_lambda__f3_mid)) * -0.18948324))) - -4.6993067e-5) * 0.09269809,0.0175647344350116*z_sigma__f3_mid*(z_lambda__f3_mid - 0.065894745)/sqrt(z_lambda__f3_mid**2) + 0.09269809*z_sigma__f3_mid + 4.35616755414203e-6,ok,0.059923195546724185,0.04301138014216178,0.2500603196686869,0.9006552598144856,0.00403912294751706,-0.1353644029183802,1.0700800358210236
