target,target_name,frequency_hz,parameter,base_sample_size,teacher_S1,teacher_ST,teacher_S1_ci_low,teacher_S1_ci_high,teacher_ST_ci_low,teacher_ST_ci_high,mlp_S1,mlp_ST,mlp_minus_teacher_S1,mlp_minus_teacher_ST
re,R_real,100,sigma,1024,0.840658700403128,0.842019945557708,0.827161516260067,0.855534047587087,0.784983387715366,0.893659905485369,0.84279806457251,0.843541752756262,0.0021393641693821,0.00152180719855355
re,R_real,100,alpha_infinity,1024,2.55915860620792e-05,4.89745730370989e-05,-0.0537808815001137,0.077975676507593,4.40472866179794e-05,5.58763123069785e-05,-0.000417372803439342,0.000739557528261799,-0.000442964389501421,0.0006905829552247
re,R_real,100,lambda,1024,-4.47598076989131e-05,2.38998982614729e-05,-0.0543530996321655,0.0778799975057911,1.96205604756029e-05,2.82914071248462e-05,-0.00186121145776585,0.000569789677077821,-0.00181645165006694,0.000545889778816348
re,R_real,100,lambda_prime,1024,0.00693903691185693,0.0121179474909676,-0.0505652884351604,0.0859737231339921,0.0101138134334149,0.0155328621491404,0.00751731122855626,0.0114198301596733,0.000578274316699323,-0.000698117331294249
re,R_real,100,k0_prime,1024,0.145523472765497,0.15338519623191,0.08673776856647,0.207888387576251,0.139509690903778,0.16732418632006,0.142054058840653,0.150935509653043,-0.0034694139248439,-0.00244968657886702
re,R_real,138.188976377953,sigma,1024,0.887245968035297,0.89099799083756,0.87640074802483,0.896722643502069,0.830177747092747,0.945888277653026,0.889230742311495,0.892476681194992,0.00198477427619737,0.00147869035743231
re,R_real,138.188976377953,alpha_infinity,1024,-0.000308679779942755,0.00020142199821263,-0.0543644488990473,0.0772019426975853,0.000181227750967883,0.000229195734228709,-0.00101378648409001,0.000903902576547382,-0.000705106704147251,0.000702480578334753
re,R_real,138.188976377953,lambda,1024,-0.00051229386563123,0.000102538474176936,-0.0547822374114559,0.0769074057871925,8.30618586407837e-05,0.000122458308008646,-0.00126064904855672,0.000621269309653927,-0.000748355182925486,0.000518730835476991
re,R_real,138.188976377953,lambda_prime,1024,0.0109030414666841,0.0184002621062744,-0.0469993407155724,0.0878607241763119,0.0155387653989108,0.0226823877348869,0.00955161781579639,0.0167808894995253,-0.0013514236508877,-0.0016193726067491
re,R_real,138.188976377953,k0_prime,1024,0.0905796851057826,0.10230017476996,0.0297975769059634,0.151957922093037,0.0930324151180554,0.113281465960819,0.0886385024691859,0.100508505210123,-0.00194118263659671,-0.00179166955983696
re,R_real,176.377952755906,sigma,1024,0.921839905523166,0.928979647948548,0.913784010087848,0.927752757649901,0.865253127029795,0.984849753512888,0.9248562582221,0.931362538787181,0.0030163526989343,0.0023828908386323
re,R_real,176.377952755906,alpha_infinity,1024,-0.000465724510467336,0.000617252345717826,-0.0612641843920523,0.0810557665062944,0.000556023269771775,0.000702085583883867,-0.00046314630108113,0.00137431318185354,2.5782093862059e-06,0.000757060836135716
re,R_real,176.377952755906,lambda,1024,-0.000986980313707475,0.000328968973931268,-0.0621388688545161,0.0791192201843096,0.000262167608768064,0.000396365392362906,-0.00113523050505071,0.000891474626720515,-0.000148250191343235,0.000562505652789247
re,R_real,176.377952755906,lambda_prime,1024,0.0129803608331833,0.0213780300983021,-0.0454416363586345,0.0867935908696266,0.0186564449651786,0.0262054837818148,0.0119383236166742,0.0201058400651424,-0.00104203721650908,-0.0012721900331597
re,R_real,176.377952755906,k0_prime,1024,0.0495111953951128,0.0642255342684644,-0.0130821320651606,0.110199565937261,0.0578930909061318,0.071844512663704,0.0466650532102646,0.0617945753543525,-0.00284614218484824,-0.00243095891411187
re,R_real,214.566929133858,sigma,1024,0.938060160762755,0.948847458965842,0.932398422944864,0.942417835345861,0.879607366414169,1.00610586700051,0.942151060102242,0.95246407918118,0.00409089933948759,0.00361662021533804
re,R_real,214.566929133858,alpha_infinity,1024,0.000135410599178099,0.00159940874551187,-0.0616241195984746,0.086262298035918,0.00143715972535333,0.00182192226168663,0.00116040143772345,0.00279199957614559,0.00102499083854535,0.00119259083063373
re,R_real,214.566929133858,lambda,1024,-0.00106241949102914,0.000892590562981982,-0.0639432792295884,0.0822503832954919,0.000716835782875276,0.00108370789310066,-0.000358805238076298,0.00149283219388178,0.000703614252952844,0.000600241630899797
re,R_real,214.566929133858,lambda_prime,1024,0.0129469594502366,0.0214855839691736,-0.0514823867671792,0.0850264690288859,0.0188071548115033,0.0255086364679793,0.0119609848377169,0.0205829432924252,-0.000985974612519702,-0.000902640676748404
re,R_real,214.566929133858,k0_prime,1024,0.0288459936642279,0.045603904569192,-0.0346175898077461,0.0914806512302671,0.0407152807434184,0.0505908736606441,0.0233983714494168,0.0421939025275255,-0.0054476222148111,-0.00341000204166652
re,R_real,252.755905511811,sigma,1024,0.928826757281987,0.942939734293225,0.923923227496365,0.935189176274,0.867993319510027,1.00610001063253,0.934480891568929,0.944460556422935,0.00565413428694239,0.00152082212971061
re,R_real,252.755905511811,alpha_infinity,1024,0.00217258287799349,0.00373721595651069,-0.065023717269221,0.0900899634487221,0.00333936057290399,0.00425687693158744,0.00392241687348649,0.00503042009111042,0.001749833995493,0.00129320413459973
re,R_real,252.755905511811,lambda,1024,-0.00037150688555232,0.00217916837497793,-0.0676798828242506,0.0823041344275702,0.00176536610229261,0.00265780684679458,0.00162659790465736,0.00268702394564598,0.00199810479020968,0.000507855570668051
re,R_real,252.755905511811,lambda_prime,1024,0.0113010463358334,0.0198000025936658,-0.0566278615829896,0.0761556569345446,0.0172942124785029,0.0232518435604084,0.0123632658554367,0.0196899253473317,0.00106221951960328,-0.000110077246334085
re,R_real,252.755905511811,k0_prime,1024,0.0344597825129683,0.0524700992889656,-0.0335925105672139,0.100574912847555,0.0472011345426684,0.0567612713677773,0.0296185986891441,0.0476837065057178,-0.00484118382382426,-0.00478639278324772
re,R_real,290.944881889764,sigma,1024,0.883700137843344,0.900674745678293,0.875770976491635,0.893791297587416,0.829714850435013,0.97912873423391,0.889525907937561,0.904124379610689,0.00582577009421736,0.00344963393239572
re,R_real,290.944881889764,alpha_infinity,1024,0.00662070399737502,0.00815708632157778,-0.0633615389437541,0.0894986740944922,0.00733403458911489,0.00934261983537322,0.00843713229111753,0.0089994864049987,0.00181642829374251,0.00084240008342092
re,R_real,290.944881889764,lambda,1024,0.00150563181810826,0.00495083128795679,-0.0712480045846011,0.0776367373540771,0.00404976163064267,0.00605257267839074,0.00310354494905796,0.00537815636180377,0.0015979131309497,0.000427325073846985
re,R_real,290.944881889764,lambda_prime,1024,0.00880788804215593,0.0174550866820067,-0.0653294280216112,0.0721369754161305,0.0149628582910036,0.0204935314032531,0.011561384380407,0.0171102951923317,0.00275349633825106,-0.000344791489674982
re,R_real,290.944881889764,k0_prime,1024,0.0742670043050927,0.0930757220473378,0.00297369939753944,0.143348049047226,0.0852162255968152,0.101772018249116,0.0685081996086888,0.0872352425028093,-0.00575880469640389,-0.00584047954452846
re,R_real,329.133858267717,sigma,1024,0.786683293394012,0.806640172558556,0.768344302595604,0.802827909777794,0.742795316794199,0.877796475254924,0.793947054947709,0.807839204571757,0.00726376155369746,0.0011990320132016
re,R_real,329.133858267717,alpha_infinity,1024,0.0149923086810531,0.0168773293685898,-0.0510794942373449,0.0835327329957519,0.015177488441462,0.0195970490243771,0.0190084174664169,0.0187157462987619,0.00401610878536385,0.00183841693017208
