target,target_name,S1_RMSE,ST_RMSE,S1_MAE,ST_MAE,S1_max_abs_difference,ST_max_abs_difference,S1_flattened_correlation,ST_flattened_correlation,top_ST_parameter_agreement_fraction
re,R_real,0.00484008115882953,0.00786985686141273,0.00318255602093311,0.00457405673876273,0.0220400282408392,0.0422532977006875,0.999825816440105,0.999645445907737,1
im,R_imag,0.00343571741228702,0.00349001238285665,0.00242736513439999,0.00208020838590806,0.0180112302318907,0.0173984080669838,0.999935095940049,0.999946603029805,1
