seed,lower_hz,upper_hz,saved_a_control_rmse,branch_e1_rmse,relative_change,maximum_allowed_relative_worsening,passed
42,700.0,1000.0,0.04400988983553049,0.04399543871072527,-0.0003283608493278578,0.1,True
42,1300.0,1650.0,0.02464446850790688,0.02470522903806444,0.002465483487220199,0.1,True
42,1650.0,2000.0,0.036096531752300307,0.03612785235365317,0.0008676900475588223,0.1,True
123,700.0,1000.0,0.04397493209120091,0.04838040470394125,0.10018145346088758,0.1,False
123,1300.0,1650.0,0.02511607909684046,0.028830130051933685,0.14787542835698608,0.1,False
123,1650.0,2000.0,0.03641251627066621,0.03863369355330937,0.061000378719570314,0.1,True
456,700.0,1000.0,0.04552502057079296,0.04552502057079296,0.0,0.1,True
456,1300.0,1650.0,0.026078501923696793,0.026078501923696793,0.0,0.1,True
456,1650.0,2000.0,0.03627153727753544,0.03627153727753544,0.0,0.1,True
