branch,validation_rmse,validation_mae,validation_r2,curve_mean_rmse,worst_curve_rmse,fit_wall_time_seconds
a,0.05784531767045667,0.04125860353611532,0.9074255012966398,0.04948665586070235,0.14788736426187804,26.803095700000995
e1,0.056030291013130555,0.0403853440870244,0.9131438240926381,0.04874101966526189,0.13845124031299236,34.70236729999306
