Frequency in Hz	Acrylic_99_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_99_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_98_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_98_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_97_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_97_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_95_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_95_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_94_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_94_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_93_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_93_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_99_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_99_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_98_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_98_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_96_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_96_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_97_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_97_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_95_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_95_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_94_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_94_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_93_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_93_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_92_HF Sound Reflection Factor continuous Im	
587,5	0,765875637531281	131,25	0,961055517196655	131,25	0,963973999023438	587,5	0,717929363250732	587,5	0,644252955913544	131,25	0,962308704853058	131,25	0,962497889995575	587,5	0,668877363204956	587,5	0,61434280872345	131,25	0,957708060741425	131,25	0,95647120475769	587,5	0,591181635856628	587,5	0,587170779705048	131,25	0,955208778381348	131,25	0,953371226787567	587,5	0,565256536006927	587,5	-0,47780779004097	131,25	-0,164724364876747	131,25	-0,174037933349609	587,5	-0,494980752468109	587,5	-0,456334322690964	131,25	-0,177247479557991	131,25	-0,181504026055336	587,5	-0,496763855218887	587,5	-0,430249989032745	131,25	-0,180740296840668	131,25	-0,184441804885864	587,5	-0,411771416664124	587,5	-0,389706701040268	131,25	-0,184304118156433	131,25	-0,18608146905899	587,5	-0,338093847036362	
590,625	0,763970077037811	134,375	0,957360446453094	134,375	0,960243999958038	590,625	0,714773893356323	590,625	0,641477286815643	134,375	0,958422005176544	134,375	0,958587944507599	590,625	0,666289031505585	590,625	0,611411869525909	134,375	0,953596472740173	134,375	0,952204644680023	590,625	0,588494122028351	590,625	0,584690690040588	134,375	0,950944721698761	134,375	0,948723018169403	590,625	0,563086569309235	590,625	-0,481109499931335	134,375	-0,157493010163307	134,375	-0,1668641269207	590,625	-0,498279303312302	590,625	-0,458474606275558	134,375	-0,170408710837364	134,375	-0,17446468770504	590,625	-0,499559283256531	590,625	-0,432138502597809	134,375	-0,173987239599228	134,375	-0,177779048681259	590,625	-0,413142472505569	590,625	-0,39087575674057	134,375	-0,177388802170753	134,375	-0,178991377353668	590,625	-0,338710576295853	
593,75	0,760096609592438	137,5	0,948202669620514	137,5	0,950669765472412	593,75	0,709850609302521	593,75	0,637120366096497	137,5	0,948849439620972	137,5	0,948772609233856	593,75	0,661976099014282	593,75	0,60684210062027	137,5	0,943959951400757	137,5	0,942405700683594	593,75	0,584433495998383	593,75	0,58070433139801	137,5	0,941137731075287	137,5	0,938772857189178	593,75	0,559460699558258	593,75	-0,48403412103653	137,5	-0,164609462022781	137,5	-0,174318477511406	593,75	-0,500643134117126	593,75	-0,459869235754013	137,5	-0,177787691354752	137,5	-0,181770816445351	593,75	-0,501576125621796	593,75	-0,433277636766434	137,5	-0,181355342268944	137,5	-0,185164585709572	593,75	-0,413836508989334	593,75	-0,391492992639542	137,5	-0,184565603733063	137,5	-0,186170056462288	593,75	-0,33885595202446	
596,875	0,759981095790863	140,625	0,951303005218506	140,625	0,953925728797913	596,875	0,708850741386414	596,875	0,636275708675385	140,625	0,951859056949615	140,625	0,951941192150116	596,875	0,661375641822815	596,875	0,605700135231018	140,625	0,946981728076935	140,625	0,94545042514801	596,875	0,583570718765259	596,875	0,579814672470093	140,625	0,944130420684814	140,625	0,941921949386597	596,875	0,558691263198853	596,875	-0,483143389225006	140,625	-0,157892122864723	140,625	-0,167867138981819	596,875	-0,49960669875145	596,875	-0,458326786756516	140,625	-0,171108394861221	140,625	-0,175336688756943	596,875	-0,500455975532532	596,875	-0,431560397148132	140,625	-0,17487071454525	140,625	-0,178806632757187	596,875	-0,411801755428314	596,875	-0,389393508434296	140,625	-0,178198456764221	140,625	-0,179884031414986	596,875	-0,336348384618759	
600	0,762242794036865	143,75	0,946205019950867	143,75	0,948524177074432	600	0,710125267505646	600	0,637377142906189	143,75	0,946265876293182	143,75	0,946370303630829	600	0,662875175476074	600	0,606386721134186	143,75	0,940947771072388	143,75	0,939207792282104	600	0,584405362606049	600	0,580756008625031	143,75	0,937893152236938	143,75	0,935180246829987	600	0,559656262397766	600	-0,483887732028961	143,75	-0,171624794602394	143,75	-0,181951954960823	600	-0,500600397586823	600	-0,458510190248489	143,75	-0,185379654169083	143,75	-0,189623847603798	600	-0,501235663890839	600	-0,431533068418503	143,75	-0,1889858096838	143,75	-0,193081691861153	600	-0,411261171102524	600	-0,388593822717667	143,75	-0,192347317934036	143,75	-0,193808749318123	600	-0,334817588329315	
603,125	0,756673276424408	146,875	0,950279533863068	146,875	0,95237535238266	603,125	0,703681230545044	603,125	0,631054997444153	146,875	0,950200855731964	146,875	0,950307488441467	603,125	0,656680881977081	603,125	0,599804103374481	146,875	0,944548010826111	146,875	0,942688286304474	603,125	0,578507840633392	603,125	0,575081884860992	146,875	0,941362023353577	146,875	0,938453018665314	603,125	0,554389178752899	603,125	-0,489569514989853	146,875	-0,173471286892891	146,875	-0,183902382850647	603,125	-0,505361199378967	603,125	-0,462210416793823	146,875	-0,187550842761993	146,875	-0,192010596394539	603,125	-0,505626380443573	603,125	-0,43462598323822	146,875	-0,191192761063576	146,875	-0,195389091968536	603,125	-0,413825571537018	603,125	-0,39108681678772	146,875	-0,194563984870911	146,875	-0,196070045232773	603,125	-0,336497217416763	
606,25	0,753071486949921	150	0,959404826164246	150	0,961501061916351	606,25	0,700156450271606	606,25	0,628012359142303	150	0,959211468696594	150	0,959463953971863	606,25	0,653613984584808	606,25	0,596507489681244	150	0,953400075435638	150	0,951446056365967	606,25	0,575758993625641	606,25	0,572412431240082	150	0,950141727924347	150	0,94706404209137	606,25	0,551952958106995	606,25	-0,485878616571426	150	-0,171390607953072	150	-0,182195603847504	606,25	-0,501130878925323	606,25	-0,457803905010223	150	-0,185861065983772	150	-0,190554246306419	606,25	-0,501507759094238	606,25	-0,429982841014862	150	-0,189548969268799	150	-0,193924874067307	606,25	-0,409534692764282	606,25	-0,386674374341965	150	-0,193121150135994	150	-0,194648876786232	606,25	-0,332194715738297	
609,375	0,746286511421204	153,125	0,940050482749939	153,125	0,941911339759827	609,375	0,692022442817688	609,375	0,619988024234772	153,125	0,939348161220551	153,125	0,939334273338318	609,375	0,645657300949097	609,375	0,58830314874649	153,125	0,933415770530701	153,125	0,931286573410034	609,375	0,56854110956192	609,375	0,565344572067261	153,125	0,930149495601654	153,125	0,926674902439117	609,375	0,545912504196167	609,375	-0,493602782487869	153,125	-0,181000038981438	153,125	-0,192059710621834	609,375	-0,507249355316162	609,375	-0,462594777345657	153,125	-0,195550709962845	153,125	-0,200308859348297	609,375	-0,507121443748474	609,375	-0,433407932519913	153,125	-0,199046358466148	153,125	-0,203416720032692	609,375	-0,412845075130463	609,375	-0,389792263507843	153,125	-0,202452808618546	153,125	-0,203795909881592	609,375	-0,334522098302841	
612,5	0,750453174114227	156,25	0,946445524692535	156,25	0,948202311992645	612,5	0,69529777765274	612,5	0,622465550899506	156,25	0,945570409297943	156,25	0,94556587934494	612,5	0,648709297180176	612,5	0,590131103992462	156,25	0,939572691917419	156,25	0,937223196029663	612,5	0,570382416248322	612,5	0,567126035690308	156,25	0,936018288135529	156,25	0,932246923446655	612,5	0,547382473945618	612,5	-0,492405384778976	156,25	-0,182748377323151	156,25	-0,194022700190544	612,5	-0,50614869594574	612,5	-0,461387723684311	156,25	-0,197807669639587	156,25	-0,202570661902428	612,5	-0,506222426891327	612,5	-0,431776523590088	156,25	-0,201310947537422	156,25	-0,205729365348816	612,5	-0,411293774843216	612,5	-0,388057768344879	156,25	-0,20468008518219	156,25	-0,205850765109062	612,5	-0,332240015268326	
615,625	0,746415793895721	159,375	0,949093580245972	159,375	0,950925946235657	615,625	0,690780699253082	615,625	0,617843747138977	159,375	0,948129236698151	159,375	0,948154032230377	615,625	0,644195914268494	615,625	0,585506141185761	159,375	0,941790521144867	159,375	0,939308106899261	615,625	0,566020369529724	615,625	0,562870979309082	159,375	0,938074111938477	159,375	0,933858871459961	615,625	0,54353404045105	615,625	-0,494336307048798	159,375	-0,185170903801918	159,375	-0,196754544973373	615,625	-0,507290840148926	615,625	-0,46174281835556	159,375	-0,200698986649513	159,375	-0,205601513385773	615,625	-0,507262647151947	615,625	-0,431344777345657	159,375	-0,204164281487465	159,375	-0,208768352866173	615,625	-0,410960823297501	615,625	-0,387558966875076	159,375	-0,207668334245682	159,375	-0,209489464759827	615,625	-0,331332802772522	
