Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Im	
587,5	0,65391993522644	131,25	1,7185640335083	131,25	1,28106117248535	587,5	0,738120198249817	587,5	1,12515079975128	131,25	1,29563724994659	131,25	1,18352091312408	587,5	0,858065485954285	587,5	1,31038618087769	131,25	1,45486295223236	131,25	1,42408955097198	587,5	1,42846894264221	587,5	1,56177568435669	131,25	1,49018251895905	131,25	1,53413486480713	587,5	1,8666672706604	587,5	-3,37536787986755	131,25	-11,4987659454346	131,25	-11,0195655822754	587,5	-3,05007266998291	587,5	-2,72603631019592	131,25	-10,7954959869385	131,25	-10,5678834915161	587,5	-2,78754687309265	587,5	-2,57753157615662	131,25	-10,4911804199219	131,25	-10,2714366912842	587,5	-2,44601082801819	587,5	-2,41829085350037	131,25	-10,2464427947998	131,25	-10,1129703521729	587,5	-2,22936654090881	
590,625	0,643797159194946	134,375	2,20331072807312	134,375	1,70226812362671	590,625	0,730550825595856	590,625	1,11681735515594	134,375	1,70269024372101	134,375	1,57594478130341	590,625	0,849211275577545	590,625	1,30107796192169	134,375	1,86222064495087	134,375	1,82063448429108	590,625	1,42045342922211	590,625	1,55366206169128	134,375	1,8964067697525	134,375	1,95823955535889	590,625	1,859210729599	590,625	-3,3506190776825	134,375	-11,8317136764526	134,375	-11,3419742584229	590,625	-3,02320766448975	590,625	-2,70696115493774	134,375	-11,0770606994629	134,375	-10,8521957397461	590,625	-2,76823592185974	590,625	-2,55896759033203	134,375	-10,7317228317261	134,375	-10,4916009902954	590,625	-2,43007969856262	590,625	-2,40342473983765	134,375	-10,4736928939819	134,375	-10,3262538909912	590,625	-2,21656012535095	
593,75	0,644059598445892	137,5	2,47875595092773	137,5	2,00607085227966	593,75	0,733113527297974	593,75	1,11492145061493	137,5	1,98908984661102	137,5	1,87270712852478	593,75	0,847939133644104	593,75	1,29713618755341	137,5	2,1107234954834	137,5	2,06328058242798	593,75	1,41639220714569	593,75	1,54832410812378	137,5	2,13687705993652	137,5	2,18824601173401	593,75	1,85232651233673	593,75	-3,31708955764771	137,5	-11,0553159713745	137,5	-10,6225681304932	593,75	-2,99042987823486	593,75	-2,68019247055054	137,5	-10,3893938064575	137,5	-10,1932687759399	593,75	-2,74206113815308	593,75	-2,53154706954956	137,5	-10,0668382644653	137,5	-9,84838676452637	593,75	-2,40633296966553	593,75	-2,37934994697571	137,5	-9,83583164215088	137,5	-9,69432353973389	593,75	-2,1939651966095	
596,875	0,649406909942627	140,625	2,56737470626831	140,625	2,0409836769104	596,875	0,741454720497131	596,875	1,12481343746185	140,625	2,04731702804565	140,625	1,90802109241486	596,875	0,854852676391602	596,875	1,30775845050812	140,625	2,17563128471375	140,625	2,12180495262146	596,875	1,42820131778717	596,875	1,5606769323349	140,625	2,20388770103455	140,625	2,25081944465637	596,875	1,86672425270081	596,875	-3,32015562057495	140,625	-11,5666284561157	140,625	-11,0795297622681	596,875	-2,98830413818359	596,875	-2,67746448516846	140,625	-10,8311414718628	140,625	-10,6095533370972	596,875	-2,74130344390869	596,875	-2,5258367061615	140,625	-10,474214553833	140,625	-10,2328796386719	596,875	-2,40121793746948	596,875	-2,37302660942078	140,625	-10,2189455032349	140,625	-10,0687026977539	596,875	-2,18490600585938	
600	0,635892510414124	143,75	2,32591772079468	143,75	1,87925982475281	600	0,732518672943115	600	1,12229597568512	143,75	1,88482260704041	143,75	1,76204431056976	600	0,847814559936523	600	1,30755233764648	143,75	2,01265239715576	143,75	1,96719419956207	600	1,4314112663269	600	1,56598293781281	143,75	2,04037427902222	143,75	2,10413956642151	600	1,87801265716553	600	-3,32939791679382	143,75	-10,6108341217041	143,75	-10,1773452758789	600	-2,99198055267334	600	-2,6834888458252	143,75	-9,95247650146484	143,75	-9,76603126525879	600	-2,74732208251953	600	-2,52985644340515	143,75	-9,64144515991211	143,75	-9,42408180236816	600	-2,40605854988098	600	-2,37838864326477	143,75	-9,41615295410156	143,75	-9,28126525878906	600	-2,18831157684326	
603,125	0,628223240375519	146,875	2,05366897583008	146,875	1,63934659957886	603,125	0,726825654506683	603,125	1,10971057415009	146,875	1,64500367641449	146,875	1,52647459506989	603,125	0,838260591030121	603,125	1,29301500320435	146,875	1,79851365089417	146,875	1,76457345485687	603,125	1,41606998443604	603,125	1,54820168018341	146,875	1,84005510807037	146,875	1,91474342346191	603,125	1,8583174943924	603,125	-3,27595925331116	146,875	-10,6540403366089	146,875	-10,1918315887451	603,125	-2,94504046440125	603,125	-2,64302325248718	146,875	-9,96146392822266	146,875	-9,76223850250244	603,125	-2,70731520652771	603,125	-2,49029016494751	146,875	-9,64898872375488	146,875	-9,42507839202881	603,125	-2,3721239566803	603,125	-2,34531784057617	146,875	-9,42345428466797	146,875	-9,28548908233643	603,125	-2,15842127799988	
606,25	0,662528693675995	150	1,61712539196014	150	1,22040367126465	606,25	0,758415579795837	606,25	1,13811051845551	150	1,25301086902618	150	1,13605666160583	606,25	0,864830493927002	606,25	1,32098031044006	150	1,44616687297821	150	1,42986226081848	606,25	1,44027674198151	606,25	1,57313001155853	150	1,50659823417664	150	1,60188972949982	606,25	1,88041007518768	606,25	-3,27134037017822	150	-11,0493650436401	150	-10,5080299377441	606,25	-2,93885397911072	606,25	-2,63136529922485	150	-10,2662868499756	150	-10,0413017272949	606,25	-2,699955701828	606,25	-2,47335886955261	150	-9,94998168945313	150	-9,70489597320557	606,25	-2,35568475723267	606,25	-2,32692313194275	150	-9,70906257629395	150	-9,56731128692627	606,25	-2,13561701774597	
609,375	0,647413909435272	153,125	2,2980101108551	153,125	1,88558781147003	609,375	0,749116837978363	609,375	1,12058460712433	153,125	1,89378142356873	153,125	1,76987254619598	609,375	0,851654529571533	609,375	1,30425143241882	153,125	2,02291989326477	153,125	1,98106741905212	609,375	1,41986262798309	609,375	1,55032074451447	153,125	2,0458345413208	153,125	2,1262481212616	609,375	1,85499405860901	609,375	-3,20506477355957	153,125	-9,95737838745117	153,125	-9,54067897796631	609,375	-2,88085389137268	609,375	-2,58142232894897	153,125	-9,32999420166016	153,125	-9,14569473266602	609,375	-2,65001559257507	609,375	-2,42576766014099	153,125	-9,03669548034668	153,125	-8,82503890991211	609,375	-2,31546592712402	609,375	-2,28708791732788	153,125	-8,82796859741211	153,125	-8,68892574310303	609,375	-2,10324788093567	
612,5	0,637786507606506	156,25	1,95350420475006	156,25	1,56883156299591	612,5	0,745994627475739	612,5	1,12449562549591	156,25	1,58631575107574	156,25	1,4743937253952	612,5	0,85052353143692	612,5	1,31287670135498	156,25	1,73565602302551	156,25	1,71376347541809	612,5	1,42904436588287	612,5	1,56162166595459	156,25	1,78256356716156	156,25	1,88525664806366	612,5	1,87151908874512	612,5	-3,2316780090332	156,25	-10,078483581543	156,25	-9,62227916717529	612,5	-2,90031695365906	612,5	-2,59636235237122	156,25	-9,399169921875	156,25	-9,20818710327148	612,5	-2,66667008399963	612,5	-2,43650054931641	156,25	-9,11372089385986	156,25	-8,89342498779297	612,5	-2,32544231414795	612,5	-2,29641246795654	156,25	-8,90153408050537	156,25	-8,76613235473633	612,5	-2,10781383514404	
615,625	0,643058836460114	159,375	1,76067328453064	159,375	1,38683390617371	615,625	0,752146363258362	615,625	1,12752366065979	159,375	1,41424190998077	159,375	1,30631566047668	615,625	0,85357141494751	615,625	1,31649160385132	159,375	1,58299005031586	159,375	1,56800544261932	615,625	1,4297126531601	615,625	1,56167507171631	159,375	1,63733553886414	159,375	1,74100506305695	615,625	1,86956834793091	615,625	-3,20297360420227	159,375	-10,0418796539307	159,375	-9,56963157653809	615,625	-2,8744900226593	615,625	-2,57059454917908	159,375	-9,34121036529541	159,375	-9,14597797393799	615,625	-2,64259886741638	615,625	-2,41066670417786	159,375	-9,05959415435791	159,375	-8,83344078063965	615,625	-2,30083775520325	615,625	-2,27118325233459	159,375	-8,84429836273193	159,375	-8,68161487579346	615,625	-2,08292031288147	
