Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Im	
1006,25	0,418814897537231	550	0,506281018257141	550	0,604232609272003	1006,25	0,607512414455414	1006,25	1,01214981079102	550	0,875974714756012	550	0,670053482055664	1006,25	0,674371302127838	1006,25	1,30737245082855	550	1,03485238552094	550	1,12781000137329	1006,25	1,28394281864166	1006,25	1,58134150505066	550	1,22527480125427	550	1,48939287662506	1006,25	1,93384671211243	1006,25	-1,8505871295929	550	-3,07276272773743	550	-2,85707449913025	1006,25	-1,60071563720703	1006,25	-1,28708338737488	550	-2,59228157997131	550	-2,6137478351593	1006,25	-1,43984758853912	1006,25	-1,30681705474854	550	-2,49143409729004	550	-2,38776779174805	1006,25	-1,38846695423126	1006,25	-1,18942081928253	550	-2,36974167823792	550	-2,26714754104614	1006,25	-0,991452991962433	
1009,375	0,414542764425278	553,125	0,504027128219604	553,125	0,602698743343353	1009,375	0,604605436325073	1009,375	1,01159989833832	553,125	0,883092403411865	553,125	0,673188626766205	1009,375	0,672286927700043	1009,375	1,30624401569366	553,125	1,04473543167114	553,125	1,14028382301331	1009,375	1,27038240432739	1009,375	1,58115434646606	553,125	1,23986494541168	553,125	1,50810599327087	1009,375	1,93457126617432	1009,375	-1,84631454944611	553,125	-3,09700727462769	553,125	-2,87908172607422	1009,375	-1,59686207771301	1009,375	-1,28455340862274	553,125	-2,60632991790771	553,125	-2,6285605430603	1009,375	-1,43606781959534	1009,375	-1,30670094490051	553,125	-2,503084897995	553,125	-2,39656591415405	1009,375	-1,390052318573	1009,375	-1,18787717819214	553,125	-2,37609481811523	553,125	-2,26971673965454	1009,375	-0,988197028636932	
1012,5	0,406833648681641	556,25	0,530621767044067	556,25	0,616487205028534	1012,5	0,598847806453705	1012,5	1,00907599925995	556,25	0,894155561923981	556,25	0,690108716487885	1012,5	0,667486846446991	1012,5	1,30235993862152	556,25	1,04979276657104	556,25	1,14401376247406	1012,5	1,25042963027954	1012,5	1,57906484603882	556,25	1,24398934841156	556,25	1,50444030761719	1012,5	1,93437111377716	1012,5	-1,83957207202911	556,25	-3,02309107780457	556,25	-2,80969047546387	1012,5	-1,5906583070755	1012,5	-1,28027129173279	556,25	-2,54313468933105	556,25	-2,5689651966095	1012,5	-1,42945671081543	1012,5	-1,30710363388062	556,25	-2,44070959091187	556,25	-2,33845067024231	1012,5	-1,3929740190506	1012,5	-1,18651914596558	556,25	-2,31795525550842	556,25	-2,21309685707092	1012,5	-0,985611021518707	
1015,625	0,42484238743782	559,375	0,530832648277283	559,375	0,61595219373703	1015,625	0,615056395530701	1015,625	1,02080357074738	559,375	0,898993492126465	559,375	0,693466067314148	1015,625	0,682490766048431	1015,625	1,30910003185272	559,375	1,0558272600174	559,375	1,15128600597382	1015,625	1,25093114376068	1015,625	1,58617901802063	559,375	1,25339925289154	559,375	1,51519393920898	1015,625	1,93672478199005	1015,625	-1,83694231510162	559,375	-3,03156113624573	559,375	-2,8153293132782	1015,625	-1,58700406551361	1015,625	-1,27327799797058	559,375	-2,54627799987793	559,375	-2,57276916503906	1015,625	-1,42418622970581	1015,625	-1,29742109775543	559,375	-2,4421546459198	559,375	-2,33933043479919	1015,625	-1,37253844738007	1015,625	-1,17363965511322	559,375	-2,31806778907776	559,375	-2,21071696281433	1015,625	-0,971341490745544	
1018,75	0,412872433662415	562,5	0,496083170175552	562,5	0,580932676792145	1018,75	0,604271054267883	1018,75	1,01357626914978	562,5	0,876910150051117	562,5	0,67145299911499	1018,75	0,671757519245148	1018,75	1,29825913906097	562,5	1,03519427776337	562,5	1,13459169864655	1018,75	1,21036446094513	1018,75	1,57634747028351	562,5	1,24100565910339	562,5	1,50514817237854	1018,75	1,93023097515106	1018,75	-1,81361615657806	562,5	-3,00956273078918	562,5	-2,79492235183716	1018,75	-1,56852352619171	1018,75	-1,26382327079773	562,5	-2,53407764434814	562,5	-2,55735373497009	1018,75	-1,4073930978775	1018,75	-1,29477047920227	562,5	-2,43257451057434	562,5	-2,33310699462891	1018,75	-1,36430394649506	1018,75	-1,17280828952789	562,5	-2,314129114151	562,5	-2,21087217330933	1018,75	-0,973924338817596	
1021,875	0,41162970662117	565,625	0,476228266954422	565,625	0,560923933982849	1021,875	0,60438746213913	1021,875	1,0168035030365	565,625	0,868198871612549	565,625	0,660141289234161	1021,875	0,672328293323517	1021,875	1,30206394195557	565,625	1,02919161319733	565,625	1,13203978538513	1021,875	1,20463299751282	1021,875	1,58283793926239	565,625	1,24140381813049	565,625	1,50994884967804	1021,875	1,9371452331543	1021,875	-1,81835949420929	565,625	-3,01770424842834	565,625	-2,80119919776917	1021,875	-1,57124972343445	1021,875	-1,26463258266449	565,625	-2,53900742530823	565,625	-2,56284403800964	1021,875	-1,40913903713226	1021,875	-1,2968578338623	565,625	-2,43719792366028	565,625	-2,33745384216309	1021,875	-1,36567616462708	1021,875	-1,17191314697266	565,625	-2,31948447227478	565,625	-2,21525120735168	1021,875	-0,9684117436409	
1025	0,407227247953415	568,75	0,507243812084198	568,75	0,583931446075439	1025	0,600861549377441	1025	1,0146176815033	568,75	0,887380182743073	568,75	0,681495249271393	1025	0,66913765668869	1025	1,29662394523621	568,75	1,04505515098572	568,75	1,14589953422546	1025	1,17868292331696	1025	1,5793993473053	568,75	1,25329756736755	568,75	1,51666760444641	1025	1,93555510044098	1025	-1,80678761005402	568,75	-2,97594165802002	568,75	-2,75542020797729	1025	-1,56100535392761	1025	-1,257847905159	568,75	-2,49833965301514	568,75	-2,52698445320129	1025	-1,39879167079926	1025	-1,29337656497955	568,75	-2,39533424377441	568,75	-2,29839038848877	1025	-1,35231065750122	1025	-1,1682904958725	568,75	-2,2808096408844	568,75	-2,17482781410217	1025	-0,965730488300323	
1028,125	0,412252694368362	571,875	0,510918974876404	571,875	0,585079371929169	1028,125	0,605548858642578	1028,125	1,018150806427	571,875	0,891791641712189	571,875	0,685361564159393	1028,125	0,67298424243927	1028,125	1,29887557029724	571,875	1,04952156543732	571,875	1,15022563934326	1028,125	1,168172955513	1028,125	1,58221089839935	571,875	1,25835812091827	571,875	1,52248775959015	1028,125	1,93728935718536	1028,125	-1,80269420146942	571,875	-2,96588373184204	571,875	-2,74137616157532	1028,125	-1,55692338943481	1028,125	-1,25334763526917	571,875	-2,48674058914185	571,875	-2,51704502105713	1028,125	-1,39377892017365	1028,125	-1,29012334346771	571,875	-2,38277578353882	571,875	-2,28660464286804	1028,125	-1,33872938156128	1028,125	-1,16206812858582	571,875	-2,26960349082947	571,875	-2,16132831573486	1028,125	-0,958400428295136	
1031,25	0,407300770282745	575	0,491027504205704	575	0,565835356712341	1031,25	0,601621210575104	1031,25	1,01675057411194	575	0,878255844116211	575	0,67135488986969	1031,25	0,669567048549652	1031,25	1,29499113559723	575	1,03666913509369	575	1,13921821117401	1031,25	1,1460223197937	1031,25	1,58227980136871	575	1,24737703800201	575	1,51434755325317	1031,25	1,93892228603363	1031,25	-1,79737269878387	575	-2,94723534584045	575	-2,72045612335205	1031,25	-1,55172955989838	1031,25	-1,25048696994781	575	-2,4746675491333	575	-2,50389409065247	1031,25	-1,38869106769562	1031,25	-1,2918461561203	575	-2,37225937843323	575	-2,27868509292603	1031,25	-1,33034110069275	1031,25	-1,16117179393768	575	-2,26390290260315	575	-2,15781831741333	1031,25	-0,956525862216949	
1034,375	0,406854629516602	578,125	0,479114502668381	578,125	0,555263996124268	1034,375	0,602144062519073	1034,375	1,0184965133667	578,125	0,873159646987915	578,125	0,664220094680786	1034,375	0,67046993970871	1034,375	1,29504239559174	578,125	1,03251922130585	578,125	1,13679957389832	1034,375	1,13094770908356	1034,375	1,58456873893738	578,125	1,24555671215057	578,125	1,51517522335052	1034,375	1,94168937206268	1034,375	-1,79404306411743	578,125	-2,94150519371033	578,125	-2,71087622642517	1034,375	-1,54783141613007	1034,375	-1,24734961986542	578,125	-2,47023010253906	578,125	-2,49972891807556	1034,375	-1,38414072990417	1034,375	-1,29179215431213	578,125	-2,36829948425293	578,125	-2,27572894096375	1034,375	-1,31747794151306	1034,375	-1,15829598903656	578,125	-2,26180791854858	578,125	-2,15615630149841	1034,375	-0,951240122318268	
1037,5	0,406112283468246	581,25	0,499650329351425	581,25	0,574994146823883	1037,5	0,600654423236847	1037,5	1,01606094837189	581,25	0,892378807067871	581,25	0,681203365325928	1037,5	0,670547425746918	1037,5	1,28641057014465	581,25	1,05070221424103	581,25	1,15409934520721	1037,5	1,10473608970642	1037,5	1,57823181152344	581,25	1,26276803016663	581,25	1,5323224067688	1037,5	1,93799614906311	1037,5	-1,77561926841736	581,25	-2,93823003768921	581,25	-2,70321893692017	1037,5	-1,5325700044632	1037,5	-1,23723781108856	581,25	-2,46194219589233	581,25	-2,49381113052368	1037,5	-1,36811447143555	1037,5	-1,28529703617096	581,25	-2,35692811012268	581,25	-2,26381945610046	1037,5	-1,28341579437256	1037,5	-1,15161848068237	581,25	-2,24886465072632	581,25	-2,13983774185181	1037,5	-0,94568657875061	
1040,625	0,406020671129227	584,375	0,48164364695549	584,375	0,55932754278183	1040,625	0,601639747619629	1040,625	1,01788771152496	584,375	0,875829875469208	584,375	0,665805041790009	1040,625	0,671453595161438	1040,625	1,28622794151306	584,375	1,03330564498901	584,375	1,13755083084106	1040,625	1,0962827205658	1040,625	1,58157730102539	584,375	1,24470472335815	584,375	1,51480114459991	1040,625	1,94135618209839	1040,625	-1,77458429336548	584,375	-2,89628720283508	584,375	-2,65986609458923	1040,625	-1,5308849811554	1040,625	-1,23551988601685	584,375	-2,43058300018311	584,375	-2,46134114265442	1040,625	-1,36551904678345	1040,625	-1,28589498996735	584,375	-2,32809519767761	584,375	-2,23889970779419	1040,625	-1,26823794841766	1040,625	-1,14980566501617	584,375	-2,22586250305176	584,375	-2,12159538269043	1040,625	-0,941138625144959	
1043,75	0,407079637050629	587,5	0,477933585643768	587,5	0,558473587036133	1043,75	0,603132903575897	1043,75	1,01862514019012	587,5	0,877753794193268	587,5	0,665532052516937	1043,75	0,67271488904953	1043,75	1,28274130821228	587,5	1,03628778457642	587,5	1,14202857017517	1043,75	1,08435559272766	1043,75	1,58146381378174	587,5	1,24991285800934	587,5	1,52236557006836	1043,75	1,94013941287994	1043,75	-1,76688146591187	587,5	-2,89872717857361	587,5	-2,65769577026367	1043,75	-1,52335441112518	1043,75	-1,22961497306824	587,5	-2,42902040481567	587,5	-2,46139574050903	1043,75	-1,35765671730042	1043,75	-1,28329527378082	587,5	-2,32565903663635	587,5	-2,23650979995728	1043,75	-1,24243199825287	1043,75	-1,14529860019684	587,5	-2,22311639785767	587,5	-2,11709856987	1043,75	-0,935282409191132	
1046,875	0,403282850980759	590,625	0,46975439786911	590,625	0,55388468503952	1046,875	0,60136467218399	1046,875	1,01849830150604	590,625	0,872994244098663	590,625	0,659739971160889	1046,875	0,671529948711395	1046,875	1,28215146064758	590,625	1,03125905990601	590,625	1,13832426071167	1046,875	1,06953680515289	1046,875	1,58377516269684	590,625	1,24616837501526	590,625	1,52000212669373	1046,875	1,94359159469604	1046,875	-1,7663277387619	590,625	-2,88023567199707	590,625	-2,63775062561035	1046,875	-1,52219033241272	1046,875	-1,22909533977509	590,625	-2,41382169723511	590,625	-2,44640278816223	1046,875	-1,35575520992279	1046,875	-1,28683948516846	590,625	-2,31094121932983	590,625	-2,2237274646759	1046,875	-1,22798216342926	1046,875	-1,14534544944763	590,625	-2,21039056777954	590,625	-2,10546088218689	1046,875	-0,932060956954956	
1050	0,402298003435135	593,75	0,469021499156952	593,75	0,555501401424408	1050	0,599208950996399	1050	1,01549935340881	593,75	0,871580302715302	593,75	0,658869862556458	1050	0,670693218708038	1050	1,27413856983185	593,75	1,02907407283783	593,75	1,13598084449768	1050	1,05814242362976	1050	1,5801944732666	593,75	1,24316835403442	593,75	1,51669561862946	1050	1,94152569770813	1050	-1,75529086589813	593,75	-2,85606503486633	593,75	-2,6135082244873	1050	-1,51293861865997	1050	-1,22158777713776	593,75	-2,39426684379578	593,75	-2,42651581764221	1050	-1,345743060112	1050	-1,28518867492676	593,75	-2,29135370254517	593,75	-2,20611667633057	1050	-1,19505953788757	1050	-1,14179039001465	593,75	-2,19322896003723	593,75	-2,08995938301086	1050	-0,928554534912109	
1053,125	0,394265681505203	596,875	0,470144033432007	596,875	0,559458911418915	1053,125	0,593731820583344	1053,125	1,01253819465637	596,875	0,876397311687469	596,875	0,661836802959442	1053,125	0,66571968793869	1053,125	1,26953542232513	596,875	1,03435003757477	596,875	1,14190113544464	1053,125	1,040003657341	1053,125	1,5816502571106	596,875	1,24939811229706	596,875	1,52434706687927	1053,125	1,94705474376678	1053,125	-1,75587153434753	596,875	-2,8541259765625	596,875	-2,60904240608215	1053,125	-1,51358950138092	1053,125	-1,22311019897461	596,875	-2,39054918289185	596,875	-2,42343187332153	1053,125	-1,34523189067841	1053,125	-1,29295742511749	596,875	-2,28615689277649	596,875	-2,20177507400513	1053,125	-1,17938697338104	1053,125	-1,14584934711456	596,875	-2,18885564804077	596,875	-2,08486819267273	1053,125	-0,928409337997437	
1056,25	0,391577631235123	600	0,45793753862381	600	0,552156269550323	1056,25	0,591443777084351	1056,25	1,00932443141937	600	0,872752547264099	600	0,655602991580963	1056,25	0,665116667747498	1056,25	1,25833606719971	600	1,03229451179504	600	1,14238667488098	1056,25	1,03152167797089	1056,25	1,57659196853638	600	1,25126945972443	600	1,53022956848145	1056,25	1,94479477405548	1056,25	-1,74087631702423	600	-2,85573506355286	600	-2,60779690742493	1056,25	-1,50039923191071	1056,25	-1,21420514583588	600	-2,39071750640869	600	-2,42375254631042	1056,25	-1,33267891407013	1056,25	-1,28941559791565	600	-2,2853090763092	600	-2,20169830322266	1056,25	-1,13890326023102	1056,25	-1,14133107662201	600	-2,188889503479	600	-2,08370232582092	1056,25	-0,924595832824707	
1059,375	0,402303695678711	603,125	0,452061206102371	603,125	0,548612356185913	1059,375	0,601519346237183	1059,375	1,01650524139404	603,125	0,863864839076996	603,125	0,648902535438538	1059,375	0,67478996515274	1059,375	1,25923132896423	603,125	1,02138674259186	603,125	1,13133299350739	1059,375	1,04698741436005	1059,375	1,58142685890198	603,125	1,23851871490479	603,125	1,51505303382874	1059,375	1,9457870721817	1059,375	-1,73599863052368	603,125	-2,81643867492676	603,125	-2,57119488716125	1059,375	-1,49441170692444	1059,375	-1,20689105987549	603,125	-2,35848879814148	603,125	-2,39213085174561	1059,375	-1,32702136039734	1059,375	-1,28076660633087	603,125	-2,25316023826599	603,125	-2,17311120033264	1059,375	-1,11576676368713	1059,375	-1,13169002532959	603,125	-2,16052675247192	603,125	-2,05853128433228	1059,375	-0,913954854011536	
1062,5	0,399553090333939	606,25	0,470688223838806	606,25	0,567329227924347	1062,5	0,601096153259277	1062,5	1,01589477062225	606,25	0,882045030593872	606,25	0,665306925773621	1062,5	0,67439877986908	1062,5	1,25345826148987	606,25	1,03944647312164	606,25	1,14833557605743	1062,5	1,04340302944183	1062,5	1,58267068862915	606,25	1,25580871105194	606,25	1,53339743614197	1062,5	1,949383020401	1062,5	-1,73446440696716	606,25	-2,81448411941528	606,25	-2,56843376159668	1062,5	-1,49216258525848	1062,5	-1,20558965206146	606,25	-2,35231471061707	606,25	-2,38858962059021	1062,5	-1,32535421848297	1062,5	-1,28400015830994	606,25	-2,2447235584259	606,25	-2,16506767272949	1062,5	-1,09479928016663	1062,5	-1,13296377658844	606,25	-2,15161299705505	606,25	-2,04704356193542	1062,5	-0,911835193634033	
1065,625	0,395397394895554	609,375	0,472224026918411	609,375	0,570866882801056	1065,625	0,596499741077423	1065,625	1,00866937637329	609,375	0,879554748535156	609,375	0,664589881896973	1065,625	0,671408653259277	1065,625	1,23649322986603	609,375	1,03666627407074	609,375	1,14311242103577	1065,625	1,04022264480591	1065,625	1,57579159736633	609,375	1,25021922588348	609,375	1,52444493770599	1065,625	1,94462704658508	1065,625	-1,7175018787384	609,375	-2,76798701286316	609,375	-2,52627515792847	1065,625	-1,47940862178802	1065,625	-1,19562911987305	609,375	-2,31358480453491	609,375	-2,35018992424011	1065,625	-1,3121190071106	1065,625	-1,28309834003448	609,375	-2,20592331886292	609,375	-2,13061666488647	1065,625	-1,05175125598907	1065,625	-1,13266408443451	609,375	-2,11712408065796	609,375	-2,01514744758606	1065,625	-0,910670220851898	
1068,75	0,398691356182098	612,5	0,463912099599838	612,5	0,565489232540131	1068,75	0,599428534507751	1068,75	1,01119363307953	612,5	0,877092599868774	612,5	0,659727334976196	1068,75	0,675107955932617	1068,75	1,23259592056274	612,5	1,0359034538269	612,5	1,14313817024231	1068,75	1,05053639411926	1068,75	1,57835686206818	612,5	1,25065684318542	612,5	1,52778625488281	1068,75	1,94659674167633	1068,75	-1,71403229236603	612,5	-2,77577805519104	612,5	-2,53128910064697	1068,75	-1,47575628757477	1068,75	-1,18994796276093	612,5	-2,31794261932373	612,5	-2,3550009727478	1068,75	-1,30735921859741	1068,75	-1,27942383289337	612,5	-2,20818042755127	612,5	-2,13388228416443	1068,75	-1,03297245502472	1068,75	-1,12653243541718	612,5	-2,12010979652405	612,5	-2,01652073860168	1068,75	-0,903805613517761	
1071,875	0,396060794591904	615,625	0,465804815292358	615,625	0,569369733333588	1071,875	0,598308324813843	1071,875	1,01044631004333	615,625	0,878643214702606	615,625	0,660977244377136	1071,875	0,674181401729584	1071,875	1,22505247592926	615,625	1,03784549236298	615,625	1,14359319210052	1071,875	1,05422186851501	1071,875	1,57978165149689	615,625	1,25053024291992	615,625	1,52710008621216	1071,875	1,94923341274261	1071,875	-1,71218144893646	615,625	-2,75470924377441	615,625	-2,51166248321533	1071,875	-1,47330152988434	1071,875	-1,18703174591064	615,625	-2,29809498786926	615,625	-2,3364622592926	1071,875	-1,30488276481628	1071,875	-1,27979874610901	615,625	-2,18829607963562	615,625	-2,11537098884583	1071,875	-1,01305603981018	1071,875	-1,12611937522888	615,625	-2,10144376754761	615,625	-1,99831128120422	1071,875	-0,900876343250275	
1075	0,397219240665436	618,75	0,450079292058945	618,75	0,558093547821045	1075	0,598865389823914	1075	1,01054215431213	618,75	0,868979454040527	618,75	0,649750411510468	1075	0,675727188587189	1075	1,21327972412109	618,75	1,03100943565369	618,75	1,1364232301712	1075	1,06432175636292	1075	1,57669234275818	618,75	1,24384152889252	618,75	1,52324616909027	1075	1,94793462753296	1075	-1,70262742042542	618,75	-2,74378871917725	618,75	-2,50227999687195	1075	-1,46399509906769	1075	-1,17851734161377	618,75	-2,29152250289917	618,75	-2,32847285270691	1075	-1,29573142528534	1075	-1,27283108234406	618,75	-2,18214130401611	618,75	-2,1110520362854	1075	-0,986475884914398	1075	-1,12263941764832	618,75	-2,0977623462677	618,75	-1,99704658985138	1075	-0,89616072177887	
1078,125	0,395384550094604	621,875	0,452902436256409	621,875	0,561901211738586	1078,125	0,597798824310303	1078,125	1,00940871238708	621,875	0,870926678180695	621,875	0,65155690908432	1078,125	0,67615282535553	1078,125	1,20048010349274	621,875	1,03295838832855	621,875	1,13688838481903	1078,125	1,07437419891357	1078,125	1,57554709911346	621,875	1,24398791790009	621,875	1,52241635322571	1078,125	1,94881546497345	1078,125	-1,69627809524536	621,875	-2,72056555747986	621,875	-2,48100090026855	1078,125	-1,45890390872955	1078,125	-1,17320036888123	621,875	-2,27051401138306	621,875	-2,3083643913269	1078,125	-1,29098856449127	1078,125	-1,27072334289551	621,875	-2,16145062446594	621,875	-2,09157776832581	1078,125	-0,963024079799652	1078,125	-1,12281775474548	621,875	-2,07830357551575	621,875	-1,97801494598389	1078,125	-0,893853604793549	
1081,25	0,399300187826157	625	0,458028435707092	625	0,568592846393585	1081,25	0,601411879062653	1081,25	1,0131322145462	625	0,877905786037445	625	0,657331168651581	1081,25	0,680641531944275	1081,25	1,195347905159	625	1,04114437103271	625	1,14448463916779	1081,25	1,08863949775696	1081,25	1,57913136482239	625	1,25176894664764	625	1,53065669536591	1081,25	1,95205807685852	1081,25	-1,69553935527802	625	-2,71955680847168	625	-2,47962975502014	1081,25	-1,45642042160034	1081,25	-1,16836559772491	625	-2,26734161376953	625	-2,30620694160461	1081,25	-1,28819048404694	1081,25	-1,26480329036713	625	-2,1586000919342	625	-2,08729529380798	1081,25	-0,949651420116425	1081,25	-1,11906397342682	625	-2,07383418083191	625	-1,97268640995026	1081,25	-0,886867225170136	
1084,375	0,397629290819168	628,125	0,443053156137466	628,125	0,557755351066589	1084,375	0,600213885307312	1084,375	1,01225030422211	628,125	0,867433249950409	628,125	0,64618593454361	1084,375	0,680878877639771	1084,375	1,18200302124023	628,125	1,03270983695984	628,125	1,13514065742493	1084,375	1,09821009635925	1084,375	1,57572627067566	628,125	1,24271667003632	628,125	1,52345967292786	1084,375	1,9503333568573	1084,375	-1,68544113636017	628,125	-2,69688415527344	628,125	-2,46063780784607	1084,375	-1,44780898094177	1084,375	-1,15887939929962	628,125	-2,25021982192993	628,125	-2,28857374191284	1084,375	-1,27931189537048	1084,375	-1,25632464885712	628,125	-2,14366507530212	628,125	-2,07345962524414	1084,375	-0,929007291793823	1084,375	-1,11582052707672	628,125	-2,06114482879639	628,125	-1,96208727359772	1084,375	-0,882253348827362	
1087,5	0,396839648485184	631,25	0,439648181200027	631,25	0,55689811706543	1087,5	0,601624250411987	1087,5	1,01138746738434	631,25	0,868443965911865	631,25	0,644939780235291	1087,5	0,681300044059753	1087,5	1,16686832904816	631,25	1,03482007980347	631,25	1,13709366321564	1087,5	1,10942614078522	1087,5	1,57209885120392	631,25	1,24488151073456	631,25	1,52752566337585	1087,5	1,94948184490204	1087,5	-1,67310869693756	631,25	-2,69147086143494	631,25	-2,4553370475769	1087,5	-1,4389111995697	1087,5	-1,15029215812683	631,25	-2,24359250068665	631,25	-2,28265047073364	1087,5	-1,27087557315826	1087,5	-1,24682533740997	631,25	-2,13715720176697	631,25	-2,06638360023499	1087,5	-0,909094333648682	1087,5	-1,11465740203857	631,25	-2,05362629890442	631,25	-1,95404779911041	1087,5	-0,878912091255188	
1090,625	0,398464292287827	634,375	0,442544162273407	634,375	0,560303807258606	1090,625	0,602610111236572	1090,625	1,01355516910553	634,375	0,871574938297272	634,375	0,647600948810577	1090,625	0,683400452136993	1090,625	1,1574809551239	634,375	1,03724277019501	634,375	1,13962721824646	1090,625	1,12082493305206	1090,625	1,572380900383	634,375	1,2466893196106	634,375	1,52890503406525	1090,625	1,95013546943665	1090,625	-1,66990280151367	634,375	-2,67496991157532	634,375	-2,44125604629517	1090,625	-1,43474805355072	1090,625	-1,1453138589859	634,375	-2,2283182144165	634,375	-2,26797652244568	1090,625	-1,26721632480621	1090,625	-1,23987054824829	634,375	-2,12228941917419	634,375	-2,05148148536682	1090,625	-0,896453857421875	1090,625	-1,11265182495117	634,375	-2,0386438369751	634,375	-1,93902230262756	1090,625	-0,873934209346771	
1093,75	0,397448271512985	637,5	0,453345090150833	637,5	0,570809602737427	1093,75	0,602409362792969	1093,75	1,01466810703278	637,5	0,882061123847961	637,5	0,657010078430176	1093,75	0,684125304222107	1093,75	1,1462230682373	637,5	1,04671907424927	637,5	1,14950180053711	1093,75	1,13122475147247	1093,75	1,57052087783813	637,5	1,25647354125977	637,5	1,53740477561951	1093,75	1,95156216621399	1093,75	-1,66560053825378	637,5	-2,66466474533081	637,5	-2,43209099769592	1093,75	-1,43040430545807	1093,75	-1,14094603061676	637,5	-2,21680974960327	637,5	-2,25791525840759	1093,75	-1,26255249977112	1093,75	-1,23063337802887	637,5	-2,1099750995636	637,5	-2,03912210464478	1093,75	-0,885184168815613	1093,75	-1,11123383045197	637,5	-2,02560377120972	637,5	-1,92510640621185	1093,75	-0,87100225687027	
1096,875	0,392916411161423	640,625	0,443307608366013	640,625	0,562528669834137	1096,875	0,597115159034729	1096,875	1,010861992836	640,625	0,875000834465027	640,625	0,64943653345108	1096,875	0,680103719234467	1096,875	1,12759912014008	640,625	1,03977191448212	640,625	1,14235985279083	1096,875	1,13927888870239	1096,875	1,56555223464966	640,625	1,24993741512299	640,625	1,53206038475037	1096,875	1,950443983078	1096,875	-1,65602171421051	640,625	-2,64171242713928	640,625	-2,41324186325073	1096,875	-1,42260932922363	1096,875	-1,13388538360596	640,625	-2,19960069656372	640,625	-2,23973035812378	1096,875	-1,254767537117	1096,875	-1,21978855133057	640,625	-2,0942656993866	640,625	-2,02465772628784	1096,875	-0,868875741958618	1096,875	-1,11310386657715	640,625	-2,01194286346436	640,625	-1,91374635696411	1096,875	-0,869747042655945	
1100	0,392923176288605	643,75	0,424710422754288	643,75	0,5473792552948	1100	0,597099721431732	1100	1,01225304603577	643,75	0,862246513366699	643,75	0,635792672634125	1100	0,680956244468689	1100	1,1193950176239	643,75	1,02751898765564	643,75	1,13121950626373	1100	1,1493661403656	1100	1,56627249717712	643,75	1,23843002319336	643,75	1,52226555347443	1100	1,95311200618744	1100	-1,65487945079803	643,75	-2,62924647331238	643,75	-2,40353488922119	1100	-1,42153978347778	1100	-1,13012516498566	643,75	-2,19006776809692	643,75	-2,22974300384521	1100	-1,25250470638275	1100	-1,21028101444244	643,75	-2,08627271652222	643,75	-2,01736450195313	1100	-0,859573483467102	1100	-1,11264085769653	643,75	-2,00531029701233	643,75	-1,90790867805481	1100	-0,866066575050354	
