Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient 1/3-octave	
587,5	0,185134211816346	131,25	0,0492382143969392	131,25	0,0404649767079628	587,5	0,239571526267188	587,5	0,376697091163986	131,25	0,0425452319845446	131,25	0,0406540865959485	587,5	0,305828735503625	587,5	0,437467856440027	131,25	0,0501282718526146	131,25	0,0511440885490622	587,5	0,480948575096618	587,5	0,503359145658172	131,25	0,0536082157943636	131,25	0,0564570169018224	587,5	0,566177592632927																																	
590,625	0,184883406894065	134,375	0,0586569369009787	134,375	0,0500878372592132	590,625	0,240815995333123	590,625	0,37830788864351	134,375	0,0523881334248785	134,375	0,0506711711696688	590,625	0,306499438563989	590,625	0,439431845465599	134,375	0,0603822186515455	134,375	0,0617009108605533	590,625	0,482987960450207	590,625	0,50535291530867	134,375	0,0642373887631181	134,375	0,0678867750901561	590,625	0,56820869247252																																	
593,75	0,187964069391366	137,5	0,073815476338464	137,5	0,0658400533985855	593,75	0,245468531374271	593,75	0,382597948816023	137,5	0,0680762914260131	137,5	0,066789862522355	593,75	0,310209006802226	593,75	0,444013161378155	137,5	0,0760498941232525	137,5	0,0775856035201978	593,75	0,487176817503208	593,75	0,509515685491519	137,5	0,080195350224787	137,5	0,0840462739828542	593,75	0,572180349412319																																	
596,875	0,189001172772483	140,625	0,0700927216024583	140,625	0,0618463293128296	596,875	0,247923725274744	596,875	0,385089765461121	140,625	0,0646862804759286	140,625	0,0630650652001062	596,875	0,312126060498692	596,875	0,446883009636548	140,625	0,0726458667759305	140,625	0,0741517161814537	596,875	0,489864553746758	596,875	0,512187632350818	140,625	0,0768630007927962	140,625	0,0804247523631865	596,875	0,57473382050006																																	
600	0,184838578566143	143,75	0,0752410448669825	143,75	0,0671953220094604	600	0,2451213392392	600	0,38351875458667	143,75	0,0702152372554127	143,75	0,0684260795497655	600	0,309359357996886	600	0,446074377069197	143,75	0,0789016075829995	143,75	0,0806082112227291	600	0,489334616936204	600	0,511717292191227	143,75	0,083358997135386	143,75	0,0878760920890989	600	0,574682033394547																																	
603,125	0,187767260777584	146,875	0,0668765273126123	146,875	0,0591610495318367	603,125	0,249442770413972	603,125	0,388131110712209	146,875	0,0619430689422286	146,875	0,0600475606265821	603,125	0,313112169311339	603,125	0,451335292900982	146,875	0,0712743653192067	146,875	0,0731619180532932	603,125	0,494077062207164	603,125	0,516331951960816	146,875	0,0759824218671121	146,875	0,0808624772120499	603,125	0,579422271209073																																	
606,25	0,196805279036684	150	0,0501676056605964	150	0,0423204302535756	606,25	0,258648774887597	606,25	0,396016079727913	150	0,0453690729929154	150	0,0431179993740617	606,25	0,321278751831947	606,25	0,459293537588982	150	0,0550994883356331	150	0,057143506630556	606,25	0,500782890208934	606,25	0,522826921807261	150	0,0599349233661045	150	0,0651815390936074	606,25	0,584994622234725																																	
609,375	0,199412694412841	153,125	0,0835440642817782	153,125	0,0759160724854201	609,375	0,263803050794789	609,375	0,401620900918232	153,125	0,0793848966685974	153,125	0,0775274362786051	609,375	0,325954504362684	609,375	0,466056976843096	153,125	0,089115506960921	153,125	0,0913270060446727	609,375	0,506319951268696	609,375	0,528447539107152	153,125	0,0938347207659603	153,125	0,0997409096038976	609,375	0,590074486868374																																	
612,5	0,19435693994658	156,25	0,0708439351610234	156,25	0,0632675409036043	612,5	0,260374450288506	612,5	0,399658009991678	156,25	0,0667687529910745	156,25	0,0648702921876092	612,5	0,322915155544453	612,5	0,465314341470745	156,25	0,076677037293339	156,25	0,079288115687746	612,5	0,505501295202032	612,5	0,527779218749349	156,25	0,0819758091381231	156,25	0,0885411087886638	612,5	0,58998902018005																																	
615,625	0,198495116255619	159,375	0,0649331520221089	159,375	0,0570274584938437	615,625	0,265478018117035	615,625	0,405062650277347	159,375	0,0607709055075196	159,375	0,0587319317200729	615,625	0,327696280868298	615,625	0,471124227443255	159,375	0,0713475718105692	159,375	0,0741160620098567	615,625	0,510732152235615	615,625	0,53297431660356	159,375	0,0768908358279138	159,375	0,0840217411215163	615,625	0,594789291827623																																	
