Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Im	
484,375	0,734959542751312	484,375	-3,1859974861145	
487,5	0,751920163631439	487,5	-3,2034969329834	
490,625	0,742877066135406	490,625	-3,16637134552002	
493,75	0,760310053825378	493,75	-3,12993049621582	
496,875	0,755100607872009	496,875	-3,11756277084351	
500	0,696137666702271	500	-3,10066437721252	
503,125	0,69926929473877	503,125	-3,06943845748901	
506,25	0,70145457983017	506,25	-3,06846404075623	
509,375	0,676312029361725	509,375	-3,0358293056488	
512,5	0,69558584690094	512,5	-2,99245667457581	
515,625	0,716916859149933	515,625	-3,00660610198975	
518,75	0,724530160427094	518,75	-3,00351476669312	
521,875	0,68682324886322	521,875	-2,939692735672	
525	0,702036082744598	525	-2,92089700698853	
528,125	0,680577754974365	528,125	-2,93835854530334	
531,25	0,687550961971283	531,25	-2,89607238769531	
534,375	0,689834654331207	534,375	-2,88448286056519	
537,5	0,686693727970123	537,5	-2,86405825614929	
540,625	0,680127859115601	540,625	-2,84747266769409	
543,75	0,700904428958893	543,75	-2,85093522071838	
546,875	0,659682929515839	546,875	-2,8015034198761	
550	0,673479318618774	550	-2,79591679573059	
553,125	0,679879248142242	553,125	-2,76773977279663	
556,25	0,759295582771301	556,25	-2,948073387146	
559,375	0,780729532241821	559,375	-2,91522860527039	
562,5	0,776490688323975	562,5	-2,90395951271057	
565,625	0,765022158622742	565,625	-2,88302683830261	
568,75	0,773532569408417	568,75	-2,86489796638489	
571,875	0,778166770935059	571,875	-2,85315728187561	
575	0,764322459697723	575	-2,83765029907227	
578,125	0,782936334609985	578,125	-2,82603406906128	
581,25	0,761955142021179	581,25	-2,81368970870972	
584,375	0,751002967357636	584,375	-2,79249358177185	
587,5	0,750800013542175	587,5	-2,78370475769043	
590,625	0,758467793464661	590,625	-2,76378273963928	
593,75	0,75803554058075	593,75	-2,74444031715393	
596,875	0,755723118782043	596,875	-2,74106955528259	
600	0,746842622756958	600	-2,71112418174744	
603,125	0,75067538022995	603,125	-2,70825862884521	
606,25	0,750559687614441	606,25	-2,68487882614136	
609,375	0,745291173458099	609,375	-2,68410062789917	
612,5	0,74364960193634	612,5	-2,66726016998291	
615,625	0,738353073596954	615,625	-2,64469623565674	
618,75	0,739694118499756	618,75	-2,63759803771973	
621,875	0,738521635532379	621,875	-2,63502812385559	
625	0,745592474937439	625	-2,6165828704834	
628,125	0,735497057437897	628,125	-2,59271478652954	
631,25	0,746220886707306	631,25	-2,5734703540802	
634,375	0,743600785732269	634,375	-2,56083488464355	
637,5	0,736274361610413	637,5	-2,55212736129761	
640,625	0,74097204208374	640,625	-2,5533812046051	
643,75	0,728629171848297	643,75	-2,52354717254639	
646,875	0,737559735774994	646,875	-2,51140236854553	
650	0,723618268966675	650	-2,50199484825134	
653,125	0,733272910118103	653,125	-2,48981976509094	
656,25	0,738344013690948	656,25	-2,4778254032135	
659,375	0,733633279800415	659,375	-2,45693564414978	
662,5	0,726972937583923	662,5	-2,45903944969177	
665,625	0,718955397605896	665,625	-2,44660139083862	
668,75	0,726290822029114	668,75	-2,42937278747559	
671,875	0,733973860740662	671,875	-2,42557072639465	
675	0,733466982841492	675	-2,40128040313721	
678,125	0,73368513584137	678,125	-2,38520765304565	
681,25	0,731631100177765	681,25	-2,38070917129517	
684,375	0,729944348335266	684,375	-2,37427139282227	
687,5	0,719674468040466	687,5	-2,37681341171265	
690,625	0,712276875972748	690,625	-2,33625292778015	
693,75	0,72052127122879	693,75	-2,34673237800598	
696,875	0,720016658306122	696,875	-2,33824467658997	
700	0,721931755542755	700	-2,3183901309967	
703,125	0,716187417507172	703,125	-2,30979943275452	
706,25	0,718109428882599	706,25	-2,31077551841736	
709,375	0,726164221763611	709,375	-2,30020928382874	
712,5	0,716749548912048	712,5	-2,26778960227966	
715,625	0,71533215045929	715,625	-2,27855038642883	
718,75	0,708015441894531	718,75	-2,27451419830322	
721,875	0,714232206344604	721,875	-2,26211714744568	
725	0,703771889209747	725	-2,25712418556213	
728,125	0,711850106716156	728,125	-2,24276518821716	
731,25	0,704793274402618	731,25	-2,24207496643066	
734,375	0,703888416290283	734,375	-2,23424005508423	
737,5	0,697136223316193	737,5	-2,23466873168945	
740,625	0,707198679447174	740,625	-2,21294975280762	
743,75	0,710833728313446	743,75	-2,19526529312134	
746,875	0,685381770133972	746,875	-2,1866557598114	
750	0,68091756105423	750	-2,18375086784363	
753,125	0,686090230941772	753,125	-2,18723225593567	
756,25	0,68971461057663	756,25	-2,18316984176636	
759,375	0,692324757575989	759,375	-2,18462324142456	
762,5	0,6799436211586	762,5	-2,1899299621582	
765,625	0,679335474967957	765,625	-2,18049335479736	
768,75	0,657024383544922	768,75	-2,16052579879761	
771,875	0,658139646053314	771,875	-2,14380216598511	
775	0,645262360572815	775	-2,15098285675049	
778,125	0,636150598526001	778,125	-2,14567995071411	
781,25	0,617804288864136	781,25	-2,12828874588013	
784,375	0,608836591243744	784,375	-2,10765957832336	
787,5	0,593330860137939	787,5	-2,08289098739624	
790,625	0,580643475055695	790,625	-2,06645512580872	
793,75	0,580727458000183	793,75	-2,0542197227478	
796,875	0,568252265453339	796,875	-2,038649559021	
800	0,568829476833344	800	-2,01399278640747	
803,125	0,566647112369537	803,125	-2,00334405899048	
806,25	0,568167805671692	806,25	-1,97551155090332	
809,375	0,57915586233139	809,375	-1,92411506175995	
812,5	0,58473002910614	812,5	-1,94294679164886	
815,625	0,590427875518799	815,625	-1,93982899188995	
818,75	0,600291192531586	818,75	-1,90882241725922	
821,875	0,610715806484222	821,875	-1,90569067001343	
825	0,614906072616577	825	-1,92260956764221	
828,125	0,618987798690796	828,125	-1,90589094161987	
831,25	0,672462999820709	831,25	-1,901731133461	
834,375	0,642432153224945	834,375	-1,86102426052094	
837,5	0,624548614025116	837,5	-1,85857903957367	
840,625	0,622497856616974	840,625	-1,8499538898468	
843,75	0,632401287555695	843,75	-1,8348616361618	
846,875	0,624409079551697	846,875	-1,83844435214996	
850	0,619637668132782	850	-1,83299803733826	
853,125	0,627166211605072	853,125	-1,83841562271118	
856,25	0,646776437759399	856,25	-1,83953464031219	
859,375	0,659184634685516	859,375	-1,82317960262299	
862,5	0,650884747505188	862,5	-1,81314790248871	
865,625	0,648040890693665	865,625	-1,8120493888855	
868,75	0,645469188690186	868,75	-1,81279754638672	
871,875	0,641249358654022	871,875	-1,79743957519531	
875	0,656253039836884	875	-1,79330360889435	
878,125	0,64697265625	878,125	-1,7876570224762	
881,25	0,649752080440521	881,25	-1,77522277832031	
884,375	0,701461791992188	884,375	-1,86614799499512	
887,5	0,712147355079651	887,5	-1,85649371147156	
890,625	0,703534543514252	890,625	-1,84534096717834	
893,75	0,680590271949768	893,75	-1,84190893173218	
896,875	0,68010014295578	896,875	-1,82561457157135	
900	0,682593822479248	900	-1,82502818107605	
903,125	0,685498535633087	903,125	-1,80815386772156	
906,25	0,683720946311951	906,25	-1,79703056812286	
909,375	0,672038555145264	909,375	-1,79355525970459	
912,5	0,664947628974915	912,5	-1,77411794662476	
915,625	0,66952508687973	915,625	-1,76129174232483	
918,75	0,678612887859344	918,75	-1,75256979465485	
921,875	0,688148617744446	921,875	-1,74313569068909	
925	0,687751948833466	925	-1,73687016963959	
928,125	0,682112097740173	928,125	-1,73851382732391	
931,25	0,686566293239594	931,25	-1,71290147304535	
934,375	0,688373506069183	934,375	-1,70913732051849	
937,5	0,690199613571167	937,5	-1,69979679584503	
940,625	0,692034006118774	940,625	-1,69684064388275	
943,75	0,685240685939789	943,75	-1,68092584609985	
946,875	0,686130702495575	946,875	-1,67516148090363	
950	0,690974175930023	950	-1,66926169395447	
953,125	0,692848682403564	953,125	-1,66740882396698	
956,25	0,697934150695801	956,25	-1,65769743919373	
959,375	0,698154032230377	959,375	-1,64527380466461	
962,5	0,693166971206665	962,5	-1,63921010494232	
965,625	0,694881916046143	965,625	-1,63313233852386	
968,75	0,692482233047485	968,75	-1,63322496414185	
971,875	0,695889890193939	971,875	-1,61831784248352	
975	0,699075639247894	975	-1,61475002765656	
978,125	0,699543952941895	978,125	-1,60865533351898	
981,25	0,703089237213135	981,25	-1,59829568862915	
984,375	0,698810577392578	984,375	-1,5945326089859	
987,5	0,699249625205994	987,5	-1,58796632289886	
990,625	0,702009856700897	990,625	-1,58314609527588	
993,75	0,695360720157623	993,75	-1,57439661026001	
996,875	0,696669340133667	996,875	-1,56968355178833	
1000	0,694070756435394	1000	-1,56043446063995	
1003,125	0,698543787002563	1003,125	-1,55656671524048	
1006,25	0,698991656303406	1006,25	-1,54945182800293	
1009,375	0,698224365711212	1009,375	-1,54005587100983	
1012,5	0,700336635112762	1012,5	-1,53797888755798	
1015,625	0,697863101959229	1015,625	-1,53563249111176	
1018,75	0,696058988571167	1018,75	-1,52036559581757	
1021,875	0,699185788631439	1021,875	-1,51885628700256	
1025	0,699940085411072	1025	-1,5079653263092	
1028,125	0,700136482715607	1028,125	-1,50412786006927	
1031,25	0,6970055103302	1031,25	-1,50283133983612	
1034,375	0,697306394577026	1034,375	-1,49417722225189	
1037,5	0,699131488800049	1037,5	-1,48800337314606	
1040,625	0,697180211544037	1040,625	-1,4813836812973	
1043,75	0,699279367923737	1043,75	-1,47764015197754	
1046,875	0,702479541301727	1046,875	-1,47289490699768	
1050	0,697625041007996	1050	-1,46330320835114	
1053,125	0,694394946098328	1053,125	-1,46117699146271	
1056,25	0,695791244506836	1056,25	-1,4512574672699	
1059,375	0,696668803691864	1059,375	-1,45066928863525	
1062,5	0,693744838237762	1062,5	-1,44661498069763	
1065,625	0,692312359809875	1065,625	-1,43444406986237	
1068,75	0,698847830295563	1068,75	-1,43257820606232	
1071,875	0,69864809513092	1071,875	-1,42533469200134	
1075	0,697320342063904	1075	-1,42231476306915	
1078,125	0,691185355186462	1078,125	-1,41545414924622	
1081,25	0,697356522083282	1081,25	-1,40057241916656	
1084,375	0,695101797580719	1084,375	-1,40093505382538	
1087,5	0,694434106349945	1087,5	-1,39749944210052	
1090,625	0,696944892406464	1090,625	-1,39507746696472	
1093,75	0,694660067558289	1093,75	-1,39011645317078	
1096,875	0,695794343948364	1096,875	-1,37945663928986	
1100	0,695122897624969	1100	-1,37287044525146	
1103,125	0,693419337272644	1103,125	-1,3673415184021	
1106,25	0,699216306209564	1106,25	-1,36389803886414	
1109,375	0,691551685333252	1109,375	-1,3566986322403	
1112,5	0,691166460514069	1112,5	-1,35761320590973	
1115,625	0,69942831993103	1115,625	-1,348468542099	
1118,75	0,68714714050293	1118,75	-1,34474921226501	
1121,875	0,691169857978821	1121,875	-1,34199035167694	
1125	0,687060177326202	1125	-1,33636009693146	
1128,125	0,685700237751007	1128,125	-1,33316338062286	
1131,25	0,687270522117615	1131,25	-1,31783533096313	
1134,375	0,688946127891541	1134,375	-1,31814169883728	
1137,5	0,682435512542725	1137,5	-1,31731855869293	
1140,625	0,678339898586273	1140,625	-1,3021354675293	
