Frequency in Hz	Wool_97 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97 Sound Absorption Coefficient continuous	
		765,625	0,358738290976847	
		768,75	0,354496741652638	
		771,875	0,358399698588593	
		775	0,351947735284205	
		778,125	0,349488620798352	
		781,25	0,345774528447296	
		784,375	0,346393224565551	
		787,5	0,345103336692842	
		790,625	0,343135911886005	
		793,75	0,345747360758719	
		796,875	0,343587993734184	
		800	0,349114748731203	
		803,125	0,350443593196465	
		806,25	0,357237335498837	
		809,375	0,373893065378489	
		812,5	0,372059625484442	
		815,625	0,375327739864533	
		818,75	0,38700155802673	
		821,875	0,392360840503416	
		825	0,390147179281144	
		828,125	0,395927850015795	
		831,25	0,419390769742469	
		834,375	0,417096391506034	
		837,5	0,409978646628815	
		840,625	0,411240586821165	
		843,75	0,419402424872688	
		846,875	0,414987475050941	
		850	0,414258076292656	
		853,125	0,416207215411475	
		856,25	0,424410674663227	
		859,375	0,433896884667251	
		862,5	0,432990330501307	
		865,625	0,432058757144495	
		868,75	0,430757607267994	
		871,875	0,43294833459627	
		875	0,440503939885437	
		878,125	0,438014058693745	
		881,25	0,442527695839716	
		884,375	0,439961740691625	
		887,5	0,446626162767504	
		890,625	0,446170684907614	
		893,75	0,437889002370272	
		896,875	0,441938763696863	
		900	0,443109692237661	
		903,125	0,448747636676857	
		906,25	0,450985802057097	
		909,375	0,447090318130634	
		912,5	0,449323478525872	
		915,625	0,454727446286474	
		918,75	0,460916942208101	
		921,875	0,467463103250817	
		925	0,469037054604195	
		928,125	0,466247475080513	
		931,25	0,475252669602237	
		934,375	0,477063536443229	
		937,5	0,480466079484508	
		940,625	0,482064938840501	
		943,75	0,483794824388459	
		946,875	0,485824775564284	
		950	0,489546712091266	
		953,125	0,490860820003231	
		956,25	0,495785064200415	
		959,375	0,499515186542602	
		962,5	0,499235837414572	
		965,625	0,501742772103808	
		968,75	0,500717445670451	
		971,875	0,506562683108281	
		975	0,508948362493077	
		978,125	0,510968284670862	
		981,25	0,515549919400091	
		984,375	0,514920631255761	
		987,5	0,517092624628452	
		990,625	0,519700388559607	
		993,75	0,519607138532413	
		996,875	0,521596390965794	
		1000	0,523349863063816	
		1003,125	0,526413155760783	
		1006,25	0,528800624381543	
		1009,375	0,531399701632827	
		1012,5	0,532927607876581	
		1015,625	0,532627826651865	
		1018,75	0,536655248834665	
		1021,875	0,538440245064848	
		1025	0,542194576347974	
		1028,125	0,543493005839489	
		1031,25	0,542593030525994	
		1034,375	0,545472197892584	
		1037,5	0,548209236210545	
		1040,625	0,549510495769986	
		1043,75	0,551594048350315	
		1046,875	0,554458989633584	
		1050	0,555523848622685	
		1053,125	0,554848719819153	
		1056,25	0,558660270102098	
		1059,375	0,559222228178154	
		1062,5	0,559306248220425	
		1065,625	0,562678194761756	
		1068,75	0,56605618219658	
		1071,875	0,568354931867814	
		1075	0,568791204625583	
		1078,125	0,568453618674292	
		1081,25	0,576015639077273	
		1084,375	0,57494071997955	
		1087,5	0,575802647310219	
		1090,625	0,577674846424449	
		1093,75	0,57836570223921	
		1096,875	0,582422927606977	
		1100	0,58435605653564	
		1103,125	0,585498527668	
		1106,25	0,589117050553939	
		1109,375	0,588307016453537	
		1112,5	0,587831870760607	
		1115,625	0,594445664547999	
		1118,75	0,590482742287511	
		1121,875	0,593152412220188	
		1125	0,59331230686464	
		1128,125	0,593819949289485	
		1131,25	0,599768527074389	
		1134,375	0,600383994276864	
		1137,5	0,597851803243299	
		1140,625	0,601314280219559	
		1143,75	0,603169758454992	
		1146,875	0,605620312893066	
		1150	0,611852016615722	
