split,segment_id,segment_name,n_rows,rmse,mae,max_abs_error,r2,true_min,true_max,prediction_min,prediction_max
validation,1,low_100_700,2400,0.015426164997318541,0.012033615203140228,0.09222452451168539,0.9861600234443938,0.3902374023758223,0.9838400807547939,0.4468984437338255,1.0293909639967005
validation,2,midlow_700_1000,1200,0.02654397288403198,0.019510126313826516,0.11038505875891841,0.9210974586938443,0.11276548224853884,0.6386577393534976,0.17907460099921196,0.6463385688087161
validation,3,midhigh_1000_1300,1200,0.022672232682259895,0.01625023771630244,0.11629392564299418,0.9726432554952128,-0.02336393732203304,0.5683402048542382,0.013320626676402741,0.5825301576169536
validation,4,highlow_1300_1650,1350,0.02307473455972717,0.015083915646344846,0.16325095548200003,0.9793545595296491,-0.12179783660446854,0.5275390762338282,-0.08301647308809557,0.5280670009565447
validation,5,high_1650_2000,1350,0.028394586371615776,0.01869687082400275,0.21354180652397975,0.9676559572141326,-0.1274621043189832,0.49479130253237835,-0.1185189892464798,0.4957723956204332
validation,6,upperlow_2000_3000,3900,0.0436235385341636,0.03003270501308231,0.23605185525573408,0.8522539970155076,-0.09728545628003002,0.47458330608412,-0.11972742508792,0.448166141098639
validation,7,uppermid_3000_4000,4050,0.04118176140074552,0.028742970657049192,0.2391042807936973,0.5655378009963349,-0.011939655203690778,0.49121110639266774,0.20231647370738645,0.41805940984411105
validation,8,upperhigh_4000_4950,3750,0.03456890864336897,0.025312948429393207,0.1522769171772108,0.4836359435500821,0.06334118152049058,0.4547990806221563,0.11395906870704736,0.3586206732789556
test,1,low_100_700,2400,0.01542477961207129,0.011628072887274759,0.1085883385865038,0.98594307134843,0.34538680984747167,0.9848472521819153,0.45397514843397546,1.0280957544380742
test,2,midlow_700_1000,1200,0.02515971999898015,0.018611447813929337,0.11746566001602554,0.9284554567171143,0.07654023781686807,0.637593381931226,0.15249555334700599,0.6438816288357115
test,3,midhigh_1000_1300,1200,0.02052322791758747,0.01470508300487167,0.09838956945353818,0.9762227431761239,-0.06344754160339555,0.5708802751585569,0.007988789211883056,0.582650048414973
test,4,highlow_1300_1650,1350,0.02846223029052807,0.014575031534710906,0.25804716213836243,0.9648212887395702,-0.13837020579513812,0.5280661360715874,-0.0934192448779112,0.5292012822953458
test,5,high_1650_2000,1350,0.03805327664959339,0.02149463123336419,0.2672839216076709,0.9328051965686849,-0.16743174725624047,0.49439989401671003,-0.1285882476681925,0.49135762170647046
test,6,upperlow_2000_3000,3900,0.03908877590650829,0.026806723082575142,0.21193031762720432,0.8804640021940826,-0.16768789543909363,0.5105399220151453,-0.05136165821006433,0.4796806644850992
test,7,uppermid_3000_4000,4050,0.03833509039944094,0.02705035803594993,0.2507260391456414,0.657160271457796,0.04606729999624382,0.5103597441524076,0.18965541347986206,0.429519452128106
test,8,upperhigh_4000_4950,3750,0.03316452629602715,0.02423541845797484,0.1666903379519538,0.4840012413984267,0.07520258126563813,0.4174028764209703,0.06889456490398045,0.42261320637456123
