Frequency in Hz	Acrylic_93 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_93 Sound Reflection Factor continuous Im	
100	0,967343688011169	100	-0,143026068806648	
103,125	0,967146456241608	103,125	-0,139612168073654	
106,25	0,967737793922424	106,25	-0,152800798416138	
109,375	0,97055983543396	109,375	-0,143173977732658	
112,5	0,961492359638214	112,5	-0,15849706530571	
115,625	0,952465176582336	115,625	-0,160158023238182	
118,75	0,952936828136444	118,75	-0,15989662706852	
121,875	0,954991102218628	121,875	-0,163806289434433	
125	0,954620122909546	125	-0,16498102247715	
128,125	0,952474772930145	128,125	-0,168293282389641	
131,25	0,955208778381348	131,25	-0,184304118156433	
134,375	0,950944721698761	134,375	-0,177388802170753	
137,5	0,941137731075287	137,5	-0,184565603733063	
140,625	0,944130420684814	140,625	-0,178198456764221	
143,75	0,937893152236938	143,75	-0,192347317934036	
146,875	0,941362023353577	146,875	-0,194563984870911	
150	0,950141727924347	150	-0,193121150135994	
153,125	0,930149495601654	153,125	-0,202452808618546	
156,25	0,936018288135529	156,25	-0,20468008518219	
159,375	0,938074111938477	159,375	-0,207668334245682	
162,5	0,938374400138855	162,5	-0,208637163043022	
165,625	0,940196096897125	165,625	-0,217667147517204	
168,75	0,919006109237671	168,75	-0,216250047087669	
171,875	0,918456196784973	171,875	-0,225180700421333	
175	0,922336518764496	175	-0,22124095261097	
178,125	0,914300918579102	178,125	-0,22743421792984	
181,25	0,917808771133423	181,25	-0,226733356714249	
184,375	0,913532435894012	184,375	-0,23969954252243	
187,5	0,915377199649811	187,5	-0,235874727368355	
190,625	0,917346656322479	190,625	-0,238238275051117	
193,75	0,911312520503998	193,75	-0,241733849048615	
196,875	0,90708726644516	196,875	-0,248046085238457	
200	0,904898524284363	200	-0,244465470314026	
203,125	0,899533033370972	203,125	-0,257871955633163	
206,25	0,903940081596375	206,25	-0,252675801515579	
209,375	0,896614134311676	209,375	-0,258846610784531	
212,5	0,904118180274963	212,5	-0,258751213550568	
215,625	0,900272011756897	215,625	-0,263472944498062	
218,75	0,896027684211731	218,75	-0,260398715734482	
221,875	0,896328151226044	221,875	-0,27858179807663	
225	0,893145978450775	225	-0,271873891353607	
228,125	0,884552836418152	228,125	-0,278235405683517	
231,25	0,88010561466217	231,25	-0,281863003969193	
234,375	0,886257827281952	234,375	-0,28268238902092	
237,5	0,880514085292816	237,5	-0,285132378339767	
240,625	0,88123083114624	240,625	-0,291051954030991	
243,75	0,874600946903229	243,75	-0,28981426358223	
246,875	0,86567634344101	246,875	-0,292172789573669	
250	0,867541074752808	250	-0,303256124258041	
253,125	0,867806077003479	253,125	-0,296849310398102	
256,25	0,858548581600189	256,25	-0,300322532653809	
259,375	0,853603363037109	259,375	-0,308132320642471	
262,5	0,864334583282471	262,5	-0,310550630092621	
265,625	0,8608638048172	265,625	-0,313517600297928	
268,75	0,859941244125366	268,75	-0,315314650535584	
271,875	0,850650370121002	271,875	-0,321000903844833	
275	0,839252412319183	275	-0,317504167556763	
278,125	0,839317977428436	278,125	-0,316704303026199	
281,25	0,841006755828857	281,25	-0,332741588354111	
284,375	0,838998377323151	284,375	-0,332408159971237	
287,5	0,830708384513855	287,5	-0,33052471280098	
290,625	0,826049208641052	290,625	-0,335770338773727	
293,75	0,826452553272247	293,75	-0,341259062290192	
296,875	0,830042004585266	296,875	-0,349311739206314	
300	0,817250967025757	300	-0,350393444299698	
303,125	0,811173498630524	303,125	-0,343117088079453	
306,25	0,794575214385986	306,25	-0,362849622964859	
309,375	0,798188745975494	309,375	-0,355388551950455	
