Frequency in Hz	Acrylic_93 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93 Normalized Surface Impedance continuous Im	
100	2,03456401824951	100	-13,2906007766724	
103,125	2,19417452812195	103,125	-13,5737457275391	
106,25	1,64564299583435	106,25	-12,5303382873535	
109,375	1,75585961341858	109,375	-13,4023447036743	
112,5	1,89485728740692	112,5	-11,915210723877	
115,625	2,40627408027649	115,625	-11,4766864776611	
118,75	2,38804912567139	118,75	-11,5108594894409	
121,875	2,11930418014526	121,875	-11,3524551391602	
125	2,09992408752441	125	-11,2699375152588	
128,125	2,10812759399414	128,125	-11,0062942504883	
131,25	1,49018251895905	131,25	-10,2464427947998	
134,375	1,8964067697525	134,375	-10,4736928939819	
137,5	2,13687705993652	137,5	-9,83583164215088	
140,625	2,20388770103455	140,625	-10,2189455032349	
143,75	2,04037427902222	143,75	-9,41615295410156	
146,875	1,84005510807037	146,875	-9,42345428466797	
150	1,50659823417664	150	-9,70906257629395	
153,125	2,0458345413208	153,125	-8,82796859741211	
156,25	1,78256356716156	156,25	-8,90153408050537	
159,375	1,63733553886414	159,375	-8,84429836273193	
162,5	1,60423791408539	162,5	-8,81680011749268	
165,625	1,34730052947998	165,625	-8,54342174530029	
168,75	2,03779768943787	168,75	-8,1107816696167	
171,875	1,8434396982193	171,875	-7,85207223892212	
175	1,82519674301147	175	-8,04817295074463	
178,125	1,90157866477966	178,125	-7,70041275024414	
181,25	1,82621777057648	181,25	-7,79642534255981	
184,375	1,66330623626709	184,375	-7,3830361366272	
187,5	1,69508278369904	187,5	-7,51218509674072	
190,625	1,59960997104645	190,625	-7,4930591583252	
193,75	1,67530918121338	193,75	-7,29204273223877	
196,875	1,64860951900482	196,875	-7,0709056854248	
200	1,76426947116852	200	-7,10576391220093	
203,125	1,62344706058502	203,125	-6,73369169235229	
206,25	1,62916493415833	206,25	-6,91575002670288	
209,375	1,66149044036865	209,375	-6,66355848312378	
212,5	1,51838386058807	212,5	-6,79622983932495	
215,625	1,51318979263306	215,625	-6,6396369934082	
218,75	1,64500939846039	218,75	-6,62442684173584	
221,875	1,34669411182404	221,875	-6,30591773986816	
225	1,50439512729645	225	-6,37205457687378	
228,125	1,54448664188385	228,125	-6,13238382339478	
231,25	1,5557998418808	231,25	-6,00850009918213	
234,375	1,45010912418365	234,375	-6,08923435211182	
237,5	1,50029754638672	237,5	-5,96652555465698	
240,625	1,40381193161011	240,625	-5,89070510864258	
243,75	1,51509320735931	243,75	-5,81272172927856	
246,875	1,59794056415558	246,875	-5,65088605880737	
250	1,41912806034088	250	-5,53843688964844	
253,125	1,50379753112793	253,125	-5,62242555618286	
256,25	1,56712675094604	256,25	-5,45039463043213	
259,375	1,51589226722717	259,375	-5,29539346694946	
262,5	1,36254608631134	262,5	-5,40808486938477	
265,625	1,36521255970001	265,625	-5,32956790924072	
268,75	1,35314226150513	268,75	-5,29763460159302	
271,875	1,38298094272614	271,875	-5,12180089950562	
275	1,53848004341125	275	-5,01393556594849	
278,125	1,54807507991791	278,125	-5,02225589752197	
281,25	1,33820784091949	281,25	-4,89340925216675	
284,375	1,36043858528137	284,375	-4,87342262268066	
287,5	1,45516967773438	287,5	-4,79347038269043	
290,625	1,43286800384521	290,625	-4,69606876373291	
293,75	1,36801242828369	293,75	-4,65639638900757	
296,875	1,25252509117126	296,875	-4,62957620620728	
300	1,34034407138824	300	-4,48725414276123	
303,125	1,46212804317474	303,125	-4,47393941879272	
306,25	1,36311674118042	306,25	-4,17406320571899	
309,375	1,41648459434509	309,375	-4,25541639328003	
312,5	1,48038446903229	312,5	-4,12420797348022	
315,625	1,48632788658142	315,625	-4,10785007476807	
318,75	1,51904153823853	318,75	-4,13999319076538	
321,875	1,61549079418182	321,875	-4,19693183898926	
325	1,61913311481476	325	-4,22321081161499	
328,125	1,57175648212433	328,125	-4,32370948791504	
331,25	1,40145361423492	331,25	-4,25783491134644	
334,375	1,48926711082458	334,375	-4,18871736526489	
337,5	1,42512381076813	337,5	-4,18296051025391	
340,625	1,48001050949097	340,625	-4,22222328186035	
343,75	1,44216966629028	343,75	-4,09484052658081	
346,875	1,33070302009583	346,875	-3,98073387145996	
350	1,38936388492584	350	-3,93596339225769	
353,125	1,21671986579895	353,125	-3,78785181045532	
356,25	1,24180483818054	356,25	-3,91267204284668	
359,375	1,26073575019836	359,375	-3,90882539749146	
362,5	1,25889587402344	362,5	-3,68977546691895	
365,625	1,30446624755859	365,625	-3,8147292137146	
368,75	1,32449281215668	368,75	-3,83053016662598	
371,875	1,4501051902771	371,875	-3,72392177581787	
375	1,30968832969666	375	-3,49818301200867	
378,125	1,3088151216507	378,125	-3,59219193458557	
381,25	1,22735941410065	381,25	-3,81980681419373	
384,375	1,26742362976074	384,375	-3,67664384841919	
387,5	1,30655634403229	387,5	-3,54701590538025	
390,625	1,32253885269165	390,625	-3,43086576461792	
393,75	1,2031592130661	393,75	-3,39336061477661	
396,875	1,20521247386932	396,875	-3,41593074798584	
400	1,16469788551331	400	-3,47657084465027	
403,125	1,22470080852509	403,125	-3,40066862106323	
406,25	1,28327822685242	406,25	-3,35563349723816	
409,375	1,15484464168549	409,375	-3,3756697177887	
412,5	1,2024359703064	412,5	-3,31644773483276	
415,625	1,36377263069153	415,625	-3,28159260749817	
418,75	1,44080650806427	418,75	-3,1780104637146	
421,875	1,38822865486145	421,875	-3,20992040634155	
425	1,29989898204803	425	-3,11976504325867	
428,125	1,23216533660889	428,125	-3,30108261108398	
431,25	1,3113249540329	431,25	-3,31055951118469	
434,375	1,42317306995392	434,375	-3,12034511566162	
437,5	1,40180158615112	437,5	-3,08119010925293	
440,625	1,31944370269775	440,625	-3,06467318534851	
443,75	1,33688962459564	443,75	-3,00724720954895	
446,875	1,29882419109344	446,875	-3,04496264457703	
450	1,30918908119202	450	-3,04601526260376	
453,125	1,2866952419281	453,125	-2,95005083084106	
456,25	1,31602704524994	456,25	-2,86670327186584	
459,375	1,30435264110565	459,375	-2,8814651966095	
462,5	1,26820254325867	462,5	-2,84981226921082	
465,625	1,24512016773224	465,625	-2,84083533287048	
468,75	1,2808028459549	468,75	-2,87129640579224	
471,875	1,29126882553101	471,875	-2,82961678504944	
475	1,21864676475525	475	-2,81104946136475	
478,125	1,22919034957886	478,125	-2,8041627407074	
481,25	1,28484666347504	481,25	-2,78188681602478	
484,375	1,28178024291992	484,375	-2,76019096374512	
487,5	1,28338849544525	487,5	-2,74910044670105	
490,625	1,24749159812927	490,625	-2,7163405418396	
493,75	1,24599933624268	493,75	-2,69816374778748	
496,875	1,26194977760315	496,875	-2,64079141616821	
500	1,270751953125	500	-2,65925884246826	
503,125	1,26826274394989	503,125	-2,64397382736206	
506,25	1,24754774570465	506,25	-2,63639950752258	
509,375	1,24467015266418	509,375	-2,61416983604431	
512,5	1,25730288028717	512,5	-2,58710646629334	
515,625	1,26141452789307	515,625	-2,5557062625885	
518,75	1,21608102321625	518,75	-2,54406881332397	
521,875	1,21002650260925	521,875	-2,53881120681763	
525	1,23195111751556	525	-2,50145959854126	
528,125	1,24565124511719	528,125	-2,49836158752441	
531,25	1,23706495761871	531,25	-2,48659324645996	
534,375	1,24224078655243	534,375	-2,4796130657196	
537,5	1,24928104877472	537,5	-2,45984411239624	
540,625	1,2373366355896	540,625	-2,45314192771912	
543,75	1,2252311706543	543,75	-2,41173672676086	
546,875	1,24758434295654	546,875	-2,38777828216553	
550	1,22527480125427	550	-2,36974167823792	
553,125	1,23986494541168	553,125	-2,37609481811523	
556,25	1,25819885730743	556,25	-2,32152247428894	
559,375	1,26961755752563	559,375	-2,32406449317932	
562,5	1,25497281551361	562,5	-2,31705594062805	
565,625	1,25264942646027	565,625	-2,32509756088257	
568,75	1,2658189535141	568,75	-2,28432822227478	
571,875	1,27231538295746	571,875	-2,2743661403656	
575	1,26134383678436	575	-2,2670693397522	
578,125	1,25976991653442	578,125	-2,26465511322021	
581,25	1,27977502346039	581,25	-2,25142693519592	
584,375	1,25896120071411	584,375	-2,22655630111694	
587,5	1,26420772075653	587,5	-2,22613978385925	
590,625	1,25914120674133	590,625	-2,21283054351807	
593,75	1,25604128837585	593,75	-2,19372248649597	
596,875	1,26384937763214	596,875	-2,18912553787231	
600	1,26601028442383	600	-2,19110012054443	
603,125	1,25345695018768	603,125	-2,16212153434753	
606,25	1,27255189418793	606,25	-2,15104413032532	
609,375	1,26193296909332	609,375	-2,11590313911438	
612,5	1,26561653614044	612,5	-2,1213550567627	
615,625	1,26627552509308	615,625	-2,10134243965149	
618,75	1,25792109966278	618,75	-2,09826111793518	
621,875	1,25802552700043	621,875	-2,07743716239929	
625	1,26798403263092	625	-2,07102918624878	
628,125	1,25556218624115	628,125	-2,05868601799011	
631,25	1,25857400894165	631,25	-2,05299687385559	
634,375	1,26125240325928	634,375	-2,03784489631653	
637,5	1,2714467048645	637,5	-2,02306389808655	
640,625	1,26232814788818	640,625	-2,00922250747681	
643,75	1,2526079416275	643,75	-2,0039746761322	
646,875	1,26114463806152	646,875	-1,99188983440399	
650	1,26376223564148	650	-1,98098659515381	
653,125	1,25728642940521	653,125	-1,97540974617004	
656,25	1,2586442232132	656,25	-1,97093653678894	
659,375	1,24850749969482	659,375	-1,95520734786987	
662,5	1,25976037979126	662,5	-1,9425265789032	
665,625	1,25515007972717	665,625	-1,93771958351135	
668,75	1,25862598419189	668,75	-1,92572152614594	
671,875	1,26390504837036	671,875	-1,91605699062347	
675	1,2659113407135	675	-1,90735459327698	
678,125	1,26709198951721	678,125	-1,88956296443939	
681,25	1,26140105724335	681,25	-1,8791024684906	
684,375	1,26394534111023	684,375	-1,87501955032349	
687,5	1,26512467861176	687,5	-1,85628020763397	
690,625	1,26336765289307	690,625	-1,84744215011597	
693,75	1,27087771892548	693,75	-1,84405326843262	
696,875	1,27307999134064	696,875	-1,83173108100891	
700	1,26214241981506	700	-1,83093273639679	
703,125	1,25488579273224	703,125	-1,82538056373596	
706,25	1,25537991523743	706,25	-1,79877316951752	
709,375	1,25734496116638	709,375	-1,7929675579071	
712,5	1,24618864059448	712,5	-1,78502345085144	
715,625	1,25691199302673	715,625	-1,77339971065521	
718,75	1,26174807548523	718,75	-1,75480651855469	
721,875	1,25440537929535	721,875	-1,75619065761566	
725	1,2625412940979	725	-1,74706268310547	
728,125	1,26615571975708	728,125	-1,73273062705994	
731,25	1,25444567203522	731,25	-1,73000168800354	
734,375	1,26263415813446	734,375	-1,71926915645599	
737,5	1,26600325107574	737,5	-1,71307933330536	
740,625	1,26443588733673	740,625	-1,69992756843567	
743,75	1,2664589881897	743,75	-1,69312655925751	
746,875	1,26602125167847	746,875	-1,69275748729706	
750	1,26925218105316	750	-1,67266702651978	
753,125	1,27468883991241	753,125	-1,66785883903503	
756,25	1,27488350868225	756,25	-1,66291415691376	
759,375	1,26654636859894	759,375	-1,65678155422211	
762,5	1,2737033367157	762,5	-1,64391446113586	
765,625	1,27598559856415	765,625	-1,6395012140274	
768,75	1,28597629070282	768,75	-1,62305903434753	
771,875	1,27378630638123	771,875	-1,61214232444763	
775	1,27980875968933	775	-1,61720180511475	
