split,row_count,curve_count,frequency_count,finite_count,nonfinite_count,minimum,maximum,mean,standard_deviation,sha256_float64_bytes
train,89600,700,128,89600,0,-2.3560071951001302,1.3368607704294968,-6.109398701223004e-16,0.4091401057385199,83daab918e723806912f16c77bf505952553d7a9ab1be95c0bd863d2a000f4ad
validation,19200,150,128,19200,0,-2.1988626311968784,1.3322316518975401,0.013578592460983235,0.3885817121213123,8426109b13de77037281e5c15b629b40d64731176e42ddbabe33b2477263c588
