left_segment,right_segment,boundary_hz,num_curves,mean_abs_prediction_change,max_abs_prediction_change,mean_abs_teacher_change,mean_abs_excess_change,max_abs_excess_change
low_100_700,midlow_700_1000,700.0,150,0.02113366134560663,0.04669954629399098,0.0030066752514438283,0.01880354215160019,0.0432000413351874
midlow_700_1000,midhigh_1000_1300,1000.0,150,0.0211536757919495,0.14788177041364214,0.0067236661913600065,0.017172126625232143,0.12253617221438184
midhigh_1000_1300,highlow_1300_1650,1300.0,150,0.03427403103853865,0.1391762017671297,0.007954214077848607,0.029680554294629305,0.1572700284623678
highlow_1300_1650,high_1650_2000,1650.0,150,0.038941141346539185,0.16690277174184104,0.006616485062868355,0.03446917289610973,0.14721211729561243
high_1650_2000,upperlow_2000_3000,2000.0,150,0.04203744780689835,0.20492209596907635,0.004430421125615558,0.0385273543405796,0.18496830404062006
upperlow_2000_3000,uppermid_3000_4000,3000.0,150,0.042094862445630855,0.18615767252085225,0.001799326316458838,0.04052439152251722,0.17658830346997942
uppermid_3000_4000,upperhigh_4000_4950,4000.0,150,0.01623446986898547,0.10607483333025863,0.0019140426040355903,0.015587604491515226,0.1003446097420991
