segment_id,segment_name,source,source_branch,candidate_index,complexity,equation,expression_for_eval,rmse,mae,max_abs_error,r2,true_min,true_max,prediction_min,prediction_max,median_curve_rmse,p95_curve_rmse,first_difference_rmse,second_difference_rmse,mean_true_curve_range,mean_prediction_curve_range,mean_prediction_to_true_range_ratio,mean_excess_turning_points,passes_all_gates,failed_gates,gate_rmse,gate_median_curve_rmse,gate_p95_curve_rmse,gate_first_difference,gate_second_difference,gate_prediction_bounds,gate_mean_curve_range,gate_excess_turning_points
1,low_100_700,f0,all,18,21,(log(((log10_f + -2.4312704) - (log10_sigma * -0.43769565)) * log(log10_f)) * (-2.5135157 - (log10_sigma * -0.46328843))) - (log10_lambda_prime * -0.024414117),0.024414117*log10_lambda_prime + (0.46328843*log10_sigma - 2.5135157)*log((log10_f + 0.43769565*log10_sigma - 2.4312704)*log(log10_f)),0.01912834737939889,0.014210921253854914,0.09172738172134881,0.9625089845834283,-0.6020956252452706,-0.1268340114189922,-0.5650327226162539,-0.07995208117679212,0.014944948539104198,0.033500112902496465,0.007775093095944236,0.004846066243134396,0.2580248481406932,0.27613089239116984,1.070171707806234,0.0,True,,,,,,,,,
1,low_100_700,f1,frequency_enhanced_f1,1,1,-0.3163689,-0.316368900000000,0.09879750010029495,0.07733224979333926,0.2857267252452706,-0.00014786939649180653,-0.6020956252452706,-0.1268340114189922,-0.3163689,-0.3163689,0.08016516813423967,0.16304407378277166,0.02267631013499043,0.003544042761979044,0.2580248481406932,0.0,0.0,0.0,False,rmse;median_curve_rmse;p95_curve_rmse;first_difference,False,False,False,False,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,2,3,-0.32222575 - local_t3,-local_t3 - 0.32222575,0.07126284479576195,0.05770583436440142,0.23484652870636136,0.47964634024861896,-0.6020956252452706,-0.1268340114189922,-0.4162510662494514,-0.19722574999999998,0.05706691013247396,0.12973305252032666,0.016298180992477367,0.005611854498503352,0.2580248481406932,0.21902531624945132,0.8488535806831418,0.0,False,rmse;median_curve_rmse;p95_curve_rmse;first_difference;second_difference,False,False,False,False,False,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,3,4,1.2722528 - sqrt(log10_f),1.2722528 - sqrt(log10_f),0.0602213029943815,0.04509689949512679,0.19444874597564665,0.6284026580419063,-0.6020956252452706,-0.1268340114189922,-0.40938578962049244,-0.14196076237309518,0.05377127710279854,0.10941615784948325,0.00792663631851529,0.0026135609385924173,0.2580248481406932,0.2674250272473973,1.0364312940185454,0.0,False,rmse;median_curve_rmse;p95_curve_rmse,False,False,False,True,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,4,5,-0.7098729 / (log10_sigma - log10_f),-0.7098729/(-log10_f + log10_sigma),0.05827558005415806,0.04522739242296552,0.18088816884697462,0.652027027663028,-0.6020956252452706,-0.1268340114189922,-0.5112180715592446,-0.23856650646724165,0.05141971172137684,0.08459043953710886,0.015104795799114322,0.002800651520612468,0.2580248481406932,0.11943156457128741,0.46286846182413005,0.0,False,rmse;median_curve_rmse;p95_curve_rmse;first_difference,False,False,False,False,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,5,7,((log10_f * -1.6279771) / log10_sigma) - -0.5637749,log10_f*(-1.6279771)/log10_sigma - 1*(-0.5637749),0.03431401976614272,0.026798413366582726,0.11664226370614472,0.879353286200348,-0.6020956252452706,-0.1268340114189922,-0.5280715501204652,-0.09061242043975581,0.03217575903995191,0.05196490575352717,0.007534200152627161,0.0024007307847133245,0.2580248481406932,0.28725177228308924,1.1132717424426481,0.0,False,rmse;median_curve_rmse;p95_curve_rmse,False,False,False,True,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,6,9,(log10_f / ((log10_sigma - log10_f) / -0.3442494)) - -0.10045512,log10_f/(((-log10_f + log10_sigma)/(-0.3442494))) - 1*(-0.10045512),0.031012758357698154,0.024300601416457963,0.09616230240368279,0.9014508022208609,-0.6020956252452706,-0.1268340114189922,-0.6006193017487943,-0.13092820710389158,0.028888938589932953,0.046334573183094245,0.008937161549702272,0.0020583837683221425,0.2580248481406932,0.2699301162561638,1.0461400062872201,0.0,False,rmse;median_curve_rmse;p95_curve_rmse;first_difference,False,False,False,False,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,7,10,((log(log10_f) * -1.2555288) + 0.67863095) / (log10_sigma - 3.1350896),(0.67863095 - 1.2555288*log(log10_f))/(log10_sigma - 3.1350896),0.02768394734941281,0.021539123572581687,0.0985947799592563,0.9214713137392025,-0.6020956252452706,-0.1268340114189922,-0.5793715291657464,-0.10412206335823297,0.025136764517237897,0.04343839405137885,0.006830735659919106,0.0035466779199613157,0.2580248481406932,0.2829058469169945,1.0964286926456572,0.0,False,rmse;median_curve_rmse;p95_curve_rmse,False,False,False,True,True,True,True,True
1,low_100_700,f1,frequency_enhanced_f1,8,11,log10_f / ((0.6601325 - ((log10_sigma + local_t2) - log10_f)) / 0.18650693),log10_f/(((0.6601325 - (local_t2 - log10_f + log10_sigma))/0.18650693)),0.025326908955282,0.020028000180682463,0.11224825377227082,0.9342740788973894,-0.6020956252452706,-0.1268340114189922,-0.5829576644772971,-0.1453993359851316,0.021495122855219158,0.044774773915930516,0.007379490231972782,0.002342992593751534,0.2580248481406932,0.22233255619333533,0.8616711056917435,0.47333333333333333,False,rmse;median_curve_rmse;p95_curve_rmse;excess_turning_points,False,False,False,True,True,True,True,False
1,low_100_700,f1,frequency_enhanced_f1,9,13,(log10_f / ((0.4359161 - (log10_sigma - log10_f)) / 0.21979582)) - (local_t2 / log10_lambda_prime),-local_t2/log10_lambda_prime + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)),0.023374570818181683,0.01880277057602656,0.0928134261879957,0.9440165583376926,-0.6020956252452706,-0.1268340114189922,-0.5970225114331077,-0.10336961823594293,0.020168966968884983,0.04018406988626294,0.004235067843912398,0.001289336266798953,0.2580248481406932,0.262487361138711,1.017294896325584,0.25333333333333335,False,rmse;median_curve_rmse;p95_curve_rmse;excess_turning_points,False,False,False,True,True,True,True,False
1,low_100_700,f1,frequency_enhanced_f1,10,15,(log10_f / ((0.4359161 - (log10_sigma - log10_f)) / 0.21979582)) - (local_t2 / (local_t + log10_lambda_prime)),-local_t2/(local_t + log10_lambda_prime) + log10_f/(((0.4359161 - (-log10_f + log10_sigma))/0.21979582)),0.023294725624223186,0.018447231241433416,0.10129030664970812,0.9443983727668415,-0.6020956252452706,-0.1268340114189922,-0.5893317169304295,-0.11190191813467834,0.019207385792935846,0.04104054553971546,0.004648668298427632,0.0015160498817847006,0.2580248481406932,0.2514056493375729,0.9743466613746012,0.36,False,rmse;median_curve_rmse;p95_curve_rmse;excess_turning_points,False,False,False,True,True,True,True,False
1,low_100_700,f1,frequency_enhanced_f1,11,16,(log10_f / (sqrt(log10_sigma) - ((log10_sigma - log10_f) / 0.21729852))) - (local_t2 * (log10_f / log10_k0_prime)),-local_t2*log10_f/log10_k0_prime + log10_f/(4.60196415511712*log10_f + sqrt(log10_sigma) - 4.60196415511712*log10_sigma),0.023468738353437414,0.018727042372991186,0.09153569415941398,0.9435645764062659,-0.6020956252452706,-0.1268340114189922,-0.5831324268485459,-0.11405498259511641,0.019570522033648508,0.0391177934844477,0.0050752998328227866,0.0016821015549755452,0.2580248481406932,0.25223257955159484,0.9775515085820726,0.3933333333333333,False,rmse;median_curve_rmse;p95_curve_rmse;excess_turning_points,False,False,False,True,True,True,True,False
