target,target_name,frequency_hz,parameter,base_sample_size,S1,ST,ST_minus_S1,S1_ci_low,S1_ci_high,ST_ci_low,ST_ci_high,output_variance
re,R_real,100,sigma,4096,0.842785859561735,0.844033768688202,0.00124790912646733,0.835703205062656,0.849078788409216,0.815932289458046,0.878066004311492,2.97083266989804e-05
re,R_real,100,alpha_infinity,4096,0.000309354134216511,0.000731546767914446,0.000422192633697935,-0.030269377324333,0.0322729285949541,0.000676603533330226,0.000789866718472284,2.97083266989804e-05
re,R_real,100,lambda,4096,-8.65209696776503e-07,0.000575702861190653,0.000576568070887429,-0.0304912533262767,0.0326640069705865,0.00053142412395309,0.000628922162918857,2.97083266989804e-05
re,R_real,100,lambda_prime,4096,0.00669332086638164,0.0113276777193948,0.00463435685301316,-0.0235571130842094,0.0380179380841681,0.0105042095686768,0.0124154624722856,2.97083266989804e-05
re,R_real,100,k0_prime,4096,0.142896684705209,0.151027659763583,0.0081309750583741,0.110006094687969,0.169358745234153,0.144264249130516,0.158265635617047,2.97083266989804e-05
re,R_real,138.188976377953,sigma,4096,0.889244151872746,0.891748364799178,0.00250421292643166,0.882846144231017,0.8936824579282,0.862747286828536,0.928822347541776,7.75619722852733e-05
re,R_real,138.188976377953,alpha_infinity,4096,-0.00023015831686557,0.000849941784066614,0.00108010010093218,-0.0307654539160915,0.0310195595349438,0.000777733882196835,0.000925588346899525,7.75619722852733e-05
re,R_real,138.188976377953,lambda,4096,6.87959839120733e-05,0.000644021708215019,0.000575225724302945,-0.0322892436315838,0.0318141413930063,0.000589558607442608,0.00070381830053477,7.75619722852733e-05
re,R_real,138.188976377953,lambda_prime,4096,0.00994068175340657,0.0166930477807271,0.00675236602732058,-0.0219377128469496,0.041888306200887,0.015449327738159,0.0181860655324555,7.75619722852733e-05
re,R_real,138.188976377953,k0_prime,4096,0.0893608084169977,0.100738461720671,0.0113776533036731,0.0548670342461027,0.119372140479686,0.0955766412853579,0.10613856548311,7.75619722852733e-05
re,R_real,176.377952755906,sigma,4096,0.924669346513361,0.931250308880467,0.00658096236710637,0.920096559724379,0.928352770484761,0.903720732084282,0.971603675163741,0.000140875231507377
re,R_real,176.377952755906,alpha_infinity,4096,-0.000205052924556748,0.00131178928160883,0.00151684220616557,-0.0303557745557321,0.0314065071348414,0.00122388869181122,0.00142581537029386,0.000140875231507377
re,R_real,176.377952755906,lambda,4096,-0.000317467042568076,0.00087851849743413,0.00119598554000221,-0.0308773916968044,0.0295719551353092,0.000805158214084332,0.000954913915928826,0.000140875231507377
re,R_real,176.377952755906,lambda_prime,4096,0.0113125209616508,0.0198379295868861,0.00852540862523534,-0.0229810078682737,0.04503679854498,0.0185546963333035,0.0213387975378826,0.000140875231507377
re,R_real,176.377952755906,k0_prime,4096,0.0469076129673955,0.0619084918901,0.0150008789227045,0.011085300121378,0.0793052156148407,0.0581863691462487,0.0661266035642103,0.000140875231507377
re,R_real,214.566929133858,sigma,4096,0.94187342158988,0.951813049363188,0.0099396277733077,0.938486005823051,0.945153175087373,0.921210406331282,0.994360407584172,0.000203947465875452
re,R_real,214.566929133858,alpha_infinity,4096,0.000422443497675062,0.00268188221435501,0.00225943871667995,-0.0309853237020328,0.0349627447033855,0.00252685626285265,0.0029083196874785,0.000203947465875452
re,R_real,214.566929133858,lambda,4096,0.000293815293520128,0.0015113672090622,0.00121755191554207,-0.0304048594957156,0.029377411014423,0.00138476017810558,0.00162791269522244,0.000203947465875452
re,R_real,214.566929133858,lambda_prime,4096,0.0113417977437807,0.0204158075661532,0.00907400982237241,-0.022658084578725,0.0461280902801249,0.0192973847684861,0.0221847139084686,0.000203947465875452
re,R_real,214.566929133858,k0_prime,4096,0.0240890201194134,0.0418380319333516,0.0177490118139382,-0.0115614268247801,0.0577135356847065,0.0389926627911121,0.0448523648112465,0.000203947465875452
re,R_real,252.755905511811,sigma,4096,0.934177337391864,0.946517733840905,0.0123403964490407,0.931307814261569,0.93779815290357,0.914180527118571,0.986271338002602,0.000249229115203195
re,R_real,252.755905511811,alpha_infinity,4096,0.00251741380802573,0.00487492300815167,0.00235750920012595,-0.0310503199987029,0.0398005845434783,0.00460851753720631,0.00520357539929991,0.000249229115203195
re,R_real,252.755905511811,lambda,4096,0.00165997869785306,0.00267575758095605,0.00101577888310299,-0.031323928608431,0.0341864710922922,0.00243984612266247,0.00292185738062016,0.000249229115203195
re,R_real,252.755905511811,lambda_prime,4096,0.0103891473662379,0.019475286662153,0.00908613929591511,-0.025085173039695,0.0441849701471588,0.0181206628458767,0.0210225499219273,0.000249229115203195
re,R_real,252.755905511811,k0_prime,4096,0.0285155386439268,0.0467950180816048,0.018279479437678,-0.00688178000959483,0.0618721701417018,0.0447660918945644,0.0488804577429459,0.000249229115203195
re,R_real,290.944881889764,sigma,4096,0.889763133068849,0.90725097950672,0.0174878464378709,0.88449782214022,0.895118636266671,0.87479261178311,0.940665620392336,0.00027340113469234
re,R_real,290.944881889764,alpha_infinity,4096,0.00634565438799317,0.00886191623896917,0.002516261850976,-0.0309974914895752,0.0424916401346253,0.00833076104551727,0.00938929148216338,0.00027340113469234
re,R_real,290.944881889764,lambda,4096,0.00323021653133937,0.0054314800952162,0.00220126356387684,-0.035361334326377,0.0385333337218795,0.00488176595088855,0.00600360332506488,0.00027340113469234
re,R_real,290.944881889764,lambda_prime,4096,0.00795103601224534,0.0170901055298398,0.00913906951759448,-0.0311086606284259,0.0431619773524164,0.0156447705546638,0.0185976110183706,0.00027340113469234
re,R_real,290.944881889764,k0_prime,4096,0.0672586913884371,0.0864729656510863,0.0192142742626492,0.0329772796016521,0.101499435863787,0.0833709027132018,0.0907471681058174,0.00027340113469234
re,R_real,329.133858267717,sigma,4096,0.793506330100369,0.813545497582569,0.0200391674821998,0.782781978561256,0.802045804622883,0.777470030721914,0.850356813911102,0.000274367768920341
re,R_real,329.133858267717,alpha_infinity,4096,0.0138617603166742,0.0183885121580041,0.00452675184132991,-0.0230806627331899,0.0443704246069505,0.0172783630023108,0.0196450783237863,0.000274367768920341
re,R_real,329.133858267717,lambda,4096,0.00656004120022891,0.0109503201575387,0.00439027895730976,-0.027548790525882,0.0366082117697768,0.00976621801286601,0.0123239676975755,0.000274367768920341
re,R_real,329.133858267717,lambda_prime,4096,0.00464246853160155,0.0150691414299423,0.0104266728983407,-0.0336836689477888,0.0328902303260356,0.0135927888297622,0.0164037403661955,0.000274367768920341
re,R_real,329.133858267717,k0_prime,4096,0.150816320301958,0.171091406400112,0.0202750860981542,0.119717948721006,0.18473148078361,0.164461600697333,0.181221435256211,0.000274367768920341
re,R_real,367.322834645669,sigma,4096,0.628597094409961,0.653984445691855,0.0253873512818943,0.608007267339898,0.642437224857207,0.622942011740267,0.68501034803053,0.000261550099234335
re,R_real,367.322834645669,alpha_infinity,4096,0.0257144984718288,0.0335738501948122,0.00785935172298341,-0.0107596361175621,0.0584221158679088,0.0310964235714369,0.0359712355057427,0.000261550099234335
re,R_real,367.322834645669,lambda,4096,0.0118550552360399,0.0213882494185446,0.00953319418250473,-0.0199462770990535,0.0457090991886092,0.0186921451232816,0.0240435394163845,0.000261550099234335
re,R_real,367.322834645669,lambda_prime,4096,0.00189683020575382,0.0154513266299032,0.0135544964241494,-0.0290442100882722,0.0324904131806669,0.0142112802839791,0.0169529249814157,0.000261550099234335
re,R_real,367.322834645669,k0_prime,4096,0.293846475718949,0.315358023237821,0.0215115475188721,0.265257926569123,0.319273812269025,0.30153642190143,0.330011514227166,0.000261550099234335
re,R_real,405.511811023622,sigma,4096,0.401466461984068,0.434967098160542,0.0335006361764736,0.36798519666599,0.427519928412255,0.412203140813298,0.45549023647513,0.000257132148036838
re,R_real,405.511811023622,alpha_infinity,4096,0.045365020743554,0.057687968501229,0.0123229477576751,0.0103205712624699,0.0733965986331698,0.05307266116522,0.0622473584519474,0.000257132148036838
re,R_real,405.511811023622,lambda,4096,0.0214148016654842,0.0390116749713134,0.0175968733058293,-0.0106645061857644,0.0484244446863676,0.0342218417635569,0.0439700546419462,0.000257132148036838
re,R_real,405.511811023622,lambda_prime,4096,0.00147172654084404,0.0180848623491925,0.0166131358083484,-0.0284286506761127,0.0297707389054497,0.0170291984282688,0.0194058028155603,0.000257132148036838
re,R_real,405.511811023622,k0_prime,4096,0.479057530506119,0.504361855078001,0.0253043245718818,0.45806635751034,0.498681232363453,0.483039436526313,0.529455131814694,0.000257132148036838
re,R_real,443.700787401575,sigma,4096,0.19221685980286,0.237857625055484,0.0456407652526243,0.150560318865209,0.223606298786272,0.224288259767295,0.249160955277602,0.000278714166678616
re,R_real,443.700787401575,alpha_infinity,4096,0.0649685216461835,0.0863584964638794,0.0213899748176959,0.03328695287019,0.0912670316148378,0.0791346955405069,0.0932100800219605,0.000278714166678616
re,R_real,443.700787401575,lambda,4096,0.0276472801127319,0.0562709940559879,0.0286237139432561,-0.00568109611293455,0.0545253229996209,0.0487380411535985,0.063711235067682,0.000278714166678616
re,R_real,443.700787401575,lambda_prime,4096,0.00234475727307726,0.022628365581373,0.0202836083082957,-0.0364609201274755,0.025707937333883,0.0210155928013836,0.0242168731890069,0.000278714166678616
re,R_real,443.700787401575,k0_prime,4096,0.639385705818759,0.670940466463118,0.0315547606443591,0.625841105558472,0.663905099440185,0.644243447403369,0.701867632218255,0.000278714166678616
re,R_real,481.889763779528,sigma,4096,0.123013030232685,0.1806840384047,0.0576710081720143,0.0802619321338298,0.14906519714109,0.170832364007807,0.188457299253305,0.000352781706555615
re,R_real,481.889763779528,alpha_infinity,4096,0.0764102047942061,0.102418167651644,0.0260079628574375,0.0452493775359963,0.109133121824431,0.0935322421401339,0.110603861171495,0.000352781706555615
re,R_real,481.889763779528,lambda,4096,0.0332816104005709,0.0696051690356032,0.0363235586350323,-0.00240123727928077,0.0610492616254799,0.0604595888217194,0.0794015224577777,0.000352781706555615
re,R_real,481.889763779528,lambda_prime,4096,0.00663081364651785,0.0296219343713464,0.0229911207248285,-0.0369842926552397,0.0292710434767824,0.0274763593275314,0.0318371851414011,0.000352781706555615
re,R_real,481.889763779528,k0_prime,4096,0.669254590074228,0.709522366551054,0.0402677764768254,0.65600750166214,0.68982226617495,0.68050669118292,0.741046931464504,0.000352781706555615
re,R_real,520.07874015748,sigma,4096,0.194122201811543,0.258202359408299,0.0640801575967564,0.149452910072236,0.221008495460589,0.243136639851728,0.274429170520366,0.000500437079269176
re,R_real,520.07874015748,alpha_infinity,4096,0.074436087307637,0.103084639727995,0.0286485524203579,0.0372001855600338,0.112103715256529,0.094630494348224,0.111168403719148,0.000500437079269176
re,R_real,520.07874015748,lambda,4096,0.0323549889609746,0.0719327862477676,0.0395777972867931,-0.00821151675002629,0.0637436604433171,0.0632807898311493,0.0822113543933123,0.000500437079269176
re,R_real,520.07874015748,lambda_prime,4096,0.0094200550388166,0.0316467369969018,0.0222266819580852,-0.0297733019746944,0.0371106174393726,0.029126159255896,0.0345815076806903,0.000500437079269176
