parameter,lower_bound,upper_bound,span
sigma,15166.0582833731,94787.864271082,79621.8059877089
alpha_infinity,1,2.08,1.08
lambda,4.08489546959503e-05,0.000147283000705354,0.000106434046009404
lambda_prime,8.16979093919006e-05,0.000294566001410709,0.000212868092018808
k0_prime,1e-10,1e-08,9.9e-09
