Frequency in Hz	Wool_94 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_94 Normalized Surface Impedance continuous Im	
100	3,0348527431488	100	-14,3953914642334	
103,125	4,38449144363403	103,125	-14,7518901824951	
106,25	2,29691886901855	106,25	-12,1662931442261	
109,375	2,02164721488953	109,375	-13,7655467987061	
112,5	2,8005907535553	112,5	-12,7509307861328	
115,625	2,33152484893799	115,625	-11,9083576202393	
118,75	2,31453061103821	118,75	-12,6627283096313	
121,875	2,90196394920349	121,875	-11,5318727493286	
125	2,02756071090698	125	-11,8558702468872	
128,125	1,74590611457825	128,125	-11,082820892334	
131,25	1,77793729305267	131,25	-11,2065458297729	
134,375	1,21555840969086	134,375	-11,413236618042	
137,5	2,0900399684906	137,5	-9,85300254821777	
140,625	2,53221297264099	140,625	-10,3049783706665	
143,75	2,28385066986084	143,75	-9,68132591247559	
146,875	1,75775241851807	146,875	-10,7292060852051	
150	2,05122995376587	150	-9,77490234375	
153,125	1,6923154592514	153,125	-9,1899938583374	
156,25	1,78734982013702	156,25	-9,40621948242188	
159,375	1,66186738014221	159,375	-9,16435241699219	
162,5	1,60544312000275	162,5	-9,19681644439697	
165,625	1,80982792377472	165,625	-9,0744161605835	
168,75	1,49435544013977	168,75	-8,39511203765869	
171,875	1,86612498760223	171,875	-8,59767818450928	
175	1,87728750705719	175	-8,18299293518066	
178,125	1,55290102958679	178,125	-8,20963096618652	
181,25	1,61219334602356	181,25	-8,27858734130859	
184,375	1,78337585926056	184,375	-8,10609436035156	
187,5	1,80276453495026	187,5	-7,63105583190918	
190,625	1,90113639831543	190,625	-7,73255348205566	
193,75	1,74477887153625	193,75	-7,30332136154175	
196,875	1,75241041183472	196,875	-7,48141670227051	
200	1,55514025688171	200	-7,59382677078247	
203,125	1,45436644554138	203,125	-7,66202163696289	
206,25	1,43213748931885	206,25	-6,96621036529541	
209,375	1,55507707595825	209,375	-7,0693473815918	
212,5	1,4586169719696	212,5	-7,32770919799805	
215,625	1,5315363407135	215,625	-6,7272515296936	
218,75	1,56969130039215	218,75	-6,95090818405151	
221,875	1,51069092750549	221,875	-6,67134952545166	
225	1,61569726467133	225	-6,59819221496582	
228,125	1,60915017127991	228,125	-6,48612117767334	
231,25	1,58669233322144	231,25	-6,45510101318359	
234,375	1,60550546646118	234,375	-6,31204032897949	
237,5	1,48329520225525	237,5	-6,42087316513062	
240,625	1,27863967418671	240,625	-6,11163377761841	
243,75	1,39212560653687	243,75	-6,15866565704346	
246,875	1,54097926616669	246,875	-5,99195957183838	
250	1,55265414714813	250	-5,93243598937988	
253,125	1,43680238723755	253,125	-5,913414478302	
256,25	1,41000473499298	256,25	-5,74137926101685	
259,375	1,54325973987579	259,375	-5,7219066619873	
262,5	1,40319454669952	262,5	-5,642897605896	
265,625	1,30144596099854	265,625	-5,55669593811035	
268,75	1,39808738231659	268,75	-5,56743669509888	
