Frequency in Hz	Wool_94 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94 Sound Reflection Factor continuous Im	
484,375	0,680426597595215	484,375	-0,442797869443893	
487,5	0,680329084396362	487,5	-0,438884288072586	
490,625	0,676248073577881	490,625	-0,442057639360428	
493,75	0,670044779777527	493,75	-0,442117810249329	
496,875	0,667959153652191	496,875	-0,442823886871338	
500	0,669813990592957	500	-0,450127273797989	
503,125	0,665819823741913	503,125	-0,451421678066254	
506,25	0,664710879325867	506,25	-0,45082214474678	
509,375	0,661885023117065	509,375	-0,455635756254196	
512,5	0,653763890266418	512,5	-0,455857694149017	
515,625	0,653698801994324	515,625	-0,451122134923935	
518,75	0,65216863155365	518,75	-0,449610859155655	
521,875	0,646120309829712	521,875	-0,458692044019699	
525	0,641996145248413	525	-0,457310765981674	
528,125	0,645398199558258	528,125	-0,458005607128143	
531,25	0,638720273971558	531,25	-0,459212601184845	
534,375	0,635562419891357	534,375	-0,459193885326386	
537,5	0,632546305656433	537,5	-0,460670232772827	
540,625	0,630599021911621	540,625	-0,461820691823959	
543,75	0,628706097602844	543,75	-0,457909733057022	
546,875	0,624283194541931	546,875	-0,466930687427521	
550	0,621790826320648	550	-0,464467018842697	
553,125	0,616744577884674	553,125	-0,465021699666977	
556,25	0,616217732429504	556,25	-0,465219765901566	
559,375	0,609601676464081	559,375	-0,463568210601807	
562,5	0,607674777507782	562,5	-0,464126437902451	
565,625	0,604868113994598	565,625	-0,466390490531921	
568,75	0,601184546947479	568,75	-0,465453296899796	
571,875	0,59869509935379	571,875	-0,46493849158287	
575	0,596578657627106	575	-0,467046469449997	
578,125	0,593241572380066	578,125	-0,464271426200867	
581,25	0,592067897319794	581,25	-0,467213809490204	
584,375	0,588967740535736	584,375	-0,469419181346893	
587,5	0,587035655975342	587,5	-0,469381988048553	
590,625	0,58316045999527	590,625	-0,468699514865875	
593,75	0,579633355140686	593,75	-0,469138950109482	
596,875	0,578619658946991	596,875	-0,469158262014389	
600	0,573980331420898	600	-0,471301317214966	
603,125	0,572646617889404	603,125	-0,470271438360214	
606,25	0,568615198135376	606,25	-0,470792353153229	
609,375	0,568164944648743	609,375	-0,471004009246826	
612,5	0,564936101436615	612,5	-0,471435338258743	
615,625	0,561140954494476	615,625	-0,472810745239258	
618,75	0,559494197368622	618,75	-0,472325533628464	
621,875	0,558605372905731	621,875	-0,47184032201767	
625	0,554689764976501	625	-0,470943838357925	
628,125	0,550818920135498	628,125	-0,473129719495773	
631,25	0,546469271183014	631,25	-0,471559464931488	
634,375	0,54390686750412	634,375	-0,471937954425812	
637,5	0,542337536811829	637,5	-0,472917556762695	
640,625	0,541839122772217	640,625	-0,471352010965347	
643,75	0,53678572177887	643,75	-0,473941713571548	
646,875	0,533870995044708	646,875	-0,472374260425568	
650	0,532341003417969	650	-0,474454015493393	
653,125	0,529268503189087	653,125	-0,472580552101135	
656,25	0,526576399803162	656,25	-0,47150045633316	
659,375	0,522714734077454	659,375	-0,472566217184067	
662,5	0,522746503353119	662,5	-0,472987234592438	
665,625	0,520354568958282	665,625	-0,474208950996399	
668,75	0,516467273235321	668,75	-0,472903847694397	
671,875	0,515028536319733	671,875	-0,4709832072258	
675	0,510278582572937	675	-0,471214205026627	
678,125	0,506742775440216	678,125	-0,471008956432343	
681,25	0,505561172962189	681,25	-0,470971554517746	
684,375	0,504101872444153	684,375	-0,470908761024475	
687,5	0,504508018493652	687,5	-0,471934646368027	
690,625	0,496781200170517	690,625	-0,473987758159637	
693,75	0,497946947813034	693,75	-0,471676409244537	
696,875	0,495887577533722	696,875	-0,471498012542725	
700	0,491707026958466	700	-0,471244364976883	
703,125	0,489745438098907	703,125	-0,471870809793472	
706,25	0,489222913980484	706,25	-0,471021115779877	
709,375	0,4863361120224	709,375	-0,469274044036865	
712,5	0,47967004776001	712,5	-0,471581161022186	
715,625	0,481208562850952	715,625	-0,470710217952728	
718,75	0,47957170009613	718,75	-0,471462339162827	
721,875	0,476384997367859	721,875	-0,470101147890091	
725	0,474957019090652	725	-0,471487730741501	
728,125	0,47118404507637	728,125	-0,469577521085739	
731,25	0,470402628183365	731,25	-0,470138400793076	
734,375	0,468079328536987	734,375	-0,469274610280991	
737,5	0,467105537652969	737,5	-0,469951093196869	
740,625	0,461961537599564	740,625	-0,467783451080322	
743,75	0,457933068275452	743,75	-0,466609537601471	
746,875	0,455467313528061	746,875	-0,470446825027466	
750	0,453791052103043	750	-0,470226854085922	
753,125	0,452976852655411	753,125	-0,468383401632309	
756,25	0,450614899396896	756,25	-0,467115670442581	
759,375	0,448883146047592	759,375	-0,464332699775696	
762,5	0,448981195688248	762,5	-0,465453505516052	
765,625	0,446266621351242	765,625	-0,464137703180313	
768,75	0,441472411155701	768,75	-0,466136068105698	
771,875	0,437689006328583	771,875	-0,464197963476181	
775	0,438353508710861	775	-0,463587820529938	
778,125	0,436138302087784	778,125	-0,461971342563629	
781,25	0,432720810174942	781,25	-0,462717860937119	
784,375	0,429149180650711	784,375	-0,461817622184753	
787,5	0,425929129123688	787,5	-0,462199121713638	
790,625	0,424179524183273	790,625	-0,461776286363602	
793,75	0,424367070198059	793,75	-0,459889560937881	
796,875	0,42386120557785	796,875	-0,45997765660286	
800	0,421166479587555	800	-0,459671497344971	
803,125	0,421368330717087	803,125	-0,45904153585434	
806,25	0,417217761278152	806,25	-0,458939284086227	
809,375	0,40936154127121	809,375	-0,45871365070343	
812,5	0,413680821657181	812,5	-0,456763446331024	
815,625	0,412926375865936	815,625	-0,455303460359573	
818,75	0,407119274139404	818,75	-0,454603523015976	
821,875	0,406834572553635	821,875	-0,452497363090515	
825	0,410737723112106	825	-0,450543463230133	
828,125	0,407415688037872	828,125	-0,450020730495453	
831,25	0,40436989068985	831,25	-0,438177794218063	
834,375	0,396723300218582	834,375	-0,446388959884644	
