Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
484,375	0,889143109321594	484,375	-2,9396276473999	
487,5	0,90878564119339	487,5	-2,95051527023315	
490,625	0,899645090103149	490,625	-2,91690897941589	
493,75	0,914515912532806	493,75	-2,87975645065308	
496,875	0,91181743144989	496,875	-2,86500477790833	
500	0,863162279129028	500	-2,85535979270935	
503,125	0,865623116493225	503,125	-2,82802486419678	
506,25	0,869822561740875	506,25	-2,82299876213074	
509,375	0,847556948661804	509,375	-2,79528379440308	
512,5	0,861986041069031	512,5	-2,75279688835144	
515,625	0,885434806346893	515,625	-2,76145076751709	
518,75	0,89424592256546	518,75	-2,75644326210022	
521,875	0,857149481773376	521,875	-2,70318984985352	
525	0,870136320590973	525	-2,68298768997192	
528,125	0,856030523777008	528,125	-2,6976957321167	
531,25	0,863073945045471	531,25	-2,66003608703613	
534,375	0,865564167499542	534,375	-2,64491772651672	
537,5	0,86107724905014	537,5	-2,62621974945068	
540,625	0,856837153434753	540,625	-2,6119544506073	
543,75	0,877545595169067	543,75	-2,60966229438782	
546,875	0,83945244550705	546,875	-2,56897163391113	
550	0,853749394416809	550	-2,56049275398254	
553,125	0,858127892017365	553,125	-2,53400564193726	
556,25	0,859394013881683	556,25	-2,53604888916016	
559,375	0,876498758792877	559,375	-2,50597596168518	
562,5	0,874174356460571	562,5	-2,49546384811401	
565,625	0,865484178066254	565,625	-2,47826027870178	
568,75	0,873308718204498	568,75	-2,46136403083801	
571,875	0,877675354480743	571,875	-2,45004153251648	
575	0,867876648902893	575	-2,43617677688599	
578,125	0,883022487163544	578,125	-2,42314100265503	
581,25	0,868190467357636	581,25	-2,4128749370575	
584,375	0,85999584197998	584,375	-2,39483571052551	
587,5	0,860827922821045	587,5	-2,38571810722351	
590,625	0,86671781539917	590,625	-2,36771392822266	
593,75	0,866759419441223	593,75	-2,35021042823792	
596,875	0,866308987140656	596,875	-2,34535479545593	
600	0,859821856021881	600	-2,32089996337891	
603,125	0,863826036453247	603,125	-2,31583094596863	
606,25	0,86399120092392	606,25	-2,29589486122131	
609,375	0,861369073390961	609,375	-2,29337549209595	
612,5	0,860620737075806	612,5	-2,27785921096802	
615,625	0,856475293636322	615,625	-2,25864768028259	
618,75	0,858559370040894	618,75	-2,25121283531189	
621,875	0,859831750392914	621,875	-2,24721527099609	
625	0,865798234939575	625	-2,23009371757507	
628,125	0,857794463634491	628,125	-2,21060800552368	
631,25	0,866430282592773	631,25	-2,19261240959167	
634,375	0,865198850631714	634,375	-2,18093371391296	
637,5	0,860594868659973	637,5	-2,17282581329346	
640,625	0,866092383861542	640,625	-2,17130064964294	
643,75	0,856462419033051	643,75	-2,14680576324463	
646,875	0,863762676715851	646,875	-2,13512253761292	
650	0,854143857955933	650	-2,12701272964478	
653,125	0,862728476524353	653,125	-2,11499404907227	
656,25	0,867565095424652	656,25	-2,10376882553101	
659,375	0,863981127738953	659,375	-2,08612012863159	
662,5	0,860596537590027	662,5	-2,08625602722168	
665,625	0,854993581771851	665,625	-2,07538485527039	
668,75	0,861116409301758	668,75	-2,05961227416992	
671,875	0,86841094493866	671,875	-2,0545346736908	
675	0,868094742298126	675	-2,03415703773499	
