Frequency in Hz	Wool_93 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_93 Normalized Surface Impedance continuous Im	
100	3,37092185020447	100	-14,847020149231	
103,125	4,82605934143066	103,125	-15,2886190414429	
106,25	2,50685453414917	106,25	-12,4892320632935	
109,375	2,1932065486908	109,375	-14,2665367126465	
112,5	3,06656575202942	112,5	-13,2085494995117	
115,625	2,58506274223328	115,625	-12,3221111297607	
118,75	2,59308791160584	118,75	-13,1599140167236	
121,875	3,18772220611572	121,875	-11,9176950454712	
125	2,26880049705505	125	-12,2973279953003	
128,125	1,90604186058044	128,125	-11,4771690368652	
131,25	1,94597995281219	131,25	-11,610650062561	
134,375	1,38485312461853	134,375	-11,833046913147	
137,5	2,28839731216431	137,5	-10,1448822021484	
140,625	2,74956583976746	140,625	-10,6500110626221	
143,75	2,47820949554443	143,75	-9,98882484436035	
146,875	1,94455981254578	146,875	-11,1176061630249	
150	2,26056575775146	150	-10,1009035110474	
153,125	1,85488343238831	153,125	-9,49613285064697	
156,25	1,96284472942352	156,25	-9,7182731628418	
159,375	1,83336687088013	159,375	-9,46123027801514	
162,5	1,77681648731232	162,5	-9,50417709350586	
165,625	1,99200057983398	165,625	-9,37133121490479	
168,75	1,6430641412735	168,75	-8,66091442108154	
171,875	2,0494441986084	171,875	-8,86809349060059	
175	2,055748462677	175	-8,42984867095947	
178,125	1,71382689476013	178,125	-8,47095394134521	
181,25	1,78334867954254	181,25	-8,54682731628418	
184,375	1,96548020839691	184,375	-8,36034870147705	
187,5	1,97374641895294	187,5	-7,85714721679688	
190,625	2,08296942710876	190,625	-7,96396064758301	
193,75	1,9097146987915	193,75	-7,51317310333252	
196,875	1,92523860931396	196,875	-7,70484161376953	
200	1,71784496307373	200	-7,83164215087891	
203,125	1,61589980125427	203,125	-7,90914011001587	
206,25	1,58136701583862	206,25	-7,17387056350708	
209,375	1,71740388870239	209,375	-7,28240823745728	
212,5	1,62543904781342	212,5	-7,56276416778564	
215,625	1,68905699253082	215,625	-6,92442464828491	
218,75	1,73859667778015	218,75	-7,16500091552734	
221,875	1,6705584526062	221,875	-6,87253379821777	
225	1,7828962802887	225	-6,79245090484619	
228,125	1,7760226726532	228,125	-6,67531251907349	
231,25	1,75435519218445	231,25	-6,64624977111816	
234,375	1,77136659622192	234,375	-6,49456167221069	
237,5	1,64936685562134	237,5	-6,61674690246582	
240,625	1,42512094974518	240,625	-6,29672288894653	
243,75	1,54821336269379	243,75	-6,34535455703735	
246,875	1,70242393016815	246,875	-6,16371297836304	
250	1,71674251556396	250	-6,10245084762573	
253,125	1,59588861465454	253,125	-6,08718109130859	
256,25	1,56504201889038	256,25	-5,90733051300049	
259,375	1,70774102210999	259,375	-5,8838267326355	
262,5	1,55940532684326	262,5	-5,80569744110107	
265,625	1,45001530647278	265,625	-5,71973562240601	
268,75	1,55637836456299	268,75	-5,73036193847656	
271,875	1,52043163776398	271,875	-5,54993724822998	
275	1,45890641212463	275	-5,56607103347778	
278,125	1,4958301782608	278,125	-5,40378093719482	
