Frequency in Hz	Wool_92 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_92 Sound Reflection Factor continuous Im	
100	0.97239476442337	100	-0.130754768848419	
103.125	0.9579918384552	103.125	-0.135231703519821	
106.25	0.965169727802277	106.25	-0.132552579045296	
109.375	0.962114155292511	109.375	-0.137628495693207	
112.5	0.96454519033432	112.5	-0.140833929181099	
115.625	0.962808430194855	115.625	-0.144464060664177	
118.75	0.957715272903442	118.75	-0.141592264175415	
121.875	0.962393999099731	121.875	-0.156625509262085	
125	0.955330848693848	125	-0.157697081565857	
128.125	0.944910705089569	128.125	-0.157115399837494	
131.25	0.942230224609375	131.25	-0.161668449640274	
134.375	0.947681725025177	134.375	-0.162700831890106	
137.5	0.945018947124481	137.5	-0.170856714248657	
140.625	0.949282586574554	140.625	-0.168576091527939	
143.75	0.94733589887619	143.75	-0.175168395042419	
146.875	0.939387798309326	146.875	-0.175577566027641	
150	0.948727309703827	150	-0.183938905596733	
153.125	0.951810657978058	153.125	-0.189223930239677	
156.25	0.939046800136566	156.25	-0.188862204551697	
159.375	0.939220607280731	159.375	-0.18728318810463	
162.5	0.945657730102539	162.5	-0.201138958334923	
165.625	0.938860476016998	165.625	-0.200087755918503	
168.75	0.928585350513458	168.75	-0.194818302989006	
171.875	0.923322319984436	171.875	-0.208533883094788	
175	0.930499196052551	175	-0.20650751888752	
178.125	0.927617073059082	178.125	-0.216191083192825	
181.25	0.927600622177124	181.25	-0.213158160448074	
184.375	0.919543325901031	184.375	-0.220675945281982	
187.5	0.918760061264038	187.5	-0.216772273182869	
190.625	0.917179882526398	190.625	-0.220707163214684	
193.75	0.910086333751678	193.75	-0.227464824914932	
196.875	0.912735283374786	196.875	-0.225452989339828	
200	0.918227314949036	200	-0.234199926257133	
203.125	0.910513997077942	203.125	-0.231356650590897	
206.25	0.915588140487671	206.25	-0.230806246399879	
209.375	0.902487993240356	209.375	-0.247655436396599	
212.5	0.902131497859955	212.5	-0.232530176639557	
215.625	0.899131298065186	215.625	-0.243205323815346	
218.75	0.894488513469696	218.75	-0.241132780909538	
221.875	0.896369338035584	221.875	-0.252435743808746	
225	0.89042991399765	225	-0.253283470869064	
228.125	0.8932785987854	228.125	-0.25590792298317	
231.25	0.882608830928802	231.25	-0.25238099694252	
234.375	0.886815965175629	234.375	-0.261599898338318	
237.5	0.892079949378967	237.5	-0.266137540340424	
240.625	0.885761260986328	240.625	-0.271326452493668	
243.75	0.875375151634216	243.75	-0.267994940280914	
246.875	0.879839301109314	246.875	-0.269958823919296	
250	0.87784868478775	250	-0.277971655130386	
253.125	0.875781655311584	253.125	-0.280135542154312	
