Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
287,5	0,794392704963684	743,75	0,724965155124664	287,5	-0,158554345369339	743,75	-0,0385926850140095	
290,625	0,792988955974579	746,875	0,726382613182068	290,625	-0,160628288984299	746,875	-0,0367305465042591	
293,75	0,794355750083923	750	0,723019659519196	293,75	-0,161007404327393	750	-0,0387794859707356	
296,875	0,799056649208069	753,125	0,722976624965668	296,875	-0,163036420941353	753,125	-0,0369524620473385	
300	0,786418855190277	756,25	0,723229289054871	300	-0,164619818329811	756,25	-0,0357291251420975	
303,125	0,780618488788605	759,375	0,724744617938995	303,125	-0,155789107084274	759,375	-0,0373400673270226	
306,25	0,769577860832214	762,5	0,72285658121109	306,25	-0,171482592821121	762,5	-0,036594096571207	
309,375	0,771952986717224	765,625	0,723059713840485	309,375	-0,162992462515831	765,625	-0,0347986407577991	
312,5	0,762480080127716	768,75	0,718659520149231	312,5	-0,161537617444992	768,75	-0,0354093946516514	
315,625	0,761415779590607	771,875	0,721372663974762	315,625	-0,158757418394089	771,875	-0,0385025590658188	
318,75	0,763529360294342	775	0,721781015396118	318,75	-0,150942534208298	775	-0,034083679318428	
321,875	0,76510763168335	778,125	0,719101130962372	321,875	-0,141820833086967	778,125	-0,0347868911921978	
325	0,766970694065094	781,25	0,720440685749054	325	-0,139534175395966	781,25	-0,0347967036068439	
328,125	0,774573922157288	784,375	0,721484959125519	328,125	-0,134963408112526	784,375	-0,0359531454741955	
331,25	0,779170215129852	787,5	0,717680037021637	331,25	-0,144070655107498	787,5	-0,0336209908127785	
334,375	0,771859288215637	790,625	0,720140278339386	334,375	-0,140436917543411	790,625	-0,0349928475916386	
337,5	0,776085913181305	793,75	0,719444751739502	337,5	-0,142501592636108	793,75	-0,0332042761147022	
340,625	0,774756491184235	796,875	0,719624042510986	340,625	-0,135276824235916	796,875	-0,0354505777359009	
343,75	0,77026242017746	800	0,718891501426697	343,75	-0,140441313385963	800	-0,0338050797581673	
346,875	0,771775960922241	803,125	0,718917906284332	346,875	-0,147638738155365	803,125	-0,0299480967223644	
350	0,76679652929306	806,25	0,722057402133942	350	-0,143061324954033	806,25	-0,0285011772066355	
353,125	0,767995119094849	809,375	0,721053957939148	353,125	-0,158463269472122	809,375	-0,0293283350765705	
356,25	0,775271594524384	812,5	0,718943119049072	356,25	-0,148722499608994	812,5	-0,0316747166216373	
359,375	0,774435997009277	815,625	0,715275824069977	359,375	-0,144587025046349	815,625	-0,0313473716378212	
362,5	0,764403104782104	818,75	0,717225551605225	362,5	-0,154094368219376	818,75	-0,0310672540217638	
365,625	0,767847776412964	821,875	0,716744899749756	365,625	-0,141551449894905	821,875	-0,0299547091126442	
368,75	0,768065273761749	825	0,718397617340088	368,75	-0,137861892580986	825	-0,0321884714066982	
371,875	0,758150339126587	828,125	0,715068399906158	371,875	-0,137083441019058	828,125	-0,0320750437676907	
375	0,752970695495605	831,25	0,71247398853302	375	-0,152595028281212	831,25	-0,0305393077433109	
378,125	0,758834958076477	834,375	0,714890241622925	378,125	-0,145050704479218	834,375	-0,0281306263059378	
381,25	0,774667143821716	837,5	0,717496454715729	381,25	-0,133965164422989	837,5	-0,0258351545780897	
