Frequency in Hz	Silk_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
465,625	0,430592993671373	921,875	0,497589311482029					
468,75	0,434619334228015	925	0,500298032438385					
471,875	0,442699458300423	928,125	0,496738452412248					
475	0,426046058277019	931,25	0,49258423615311					
478,125	0,427805949926975	934,375	0,492887106480489					
481,25	0,44005337719534	937,5	0,489736591255188					
484,375	0,441084209590074	940,625	0,494937489202809					
487,5	0,441529281084303	943,75	0,497786764346951					
490,625	0,436839988782053	946,875	0,497941020214059					
493,75	0,436834379461744	950	0,495232384964535					
496,875	0,4468315175329	953,125	0,498016444043939					
500	0,444287687644922	956,25	0,501245111160342					
503,125	0,444768383338958	959,375	0,502018625785131					
506,25	0,43977333499821	962,5	0,502392227079607					
509,375	0,440601169813997	965,625	0,502621339341352					
512,5	0,444947543109326	968,75	0,498980962160115					
515,625	0,450532361810297	971,875	0,501024972074032					
518,75	0,436265434923348	975	0,503196534416515					
521,875	0,434629001052129	978,125	0,501594206468575					
525	0,446428344984684	981,25	0,50559412604713					
528,125	0,446108486835417	984,375	0,502061175962713					
531,25	0,443089850071496	987,5	0,501923628318399					
534,375	0,443038189169941	990,625	0,503176058533058					
537,5	0,445267871479313	993,75	0,499192162878738					
540,625	0,441369035636925	996,875	0,504090967861137					
543,75	0,444120646827584	1000	0,50450709417362					
546,875	0,451877783823317	1003,125	0,503781102957082					
550	0,445612430496089	1006,25	0,506561586562062					
553,125	0,445271033080029	1009,375	0,505873081011015					
556,25	0,455207980254692	1012,5	0,504131472283067					
559,375	0,45520083406929	1015,625	0,510823301090046					
562,5	0,447216762616148	1018,75	0,507379701781446					
565,625	0,443481760147378	1021,875	0,507100480257524					
568,75	0,453648141161907	1025	0,506499718251513					
571,875	0,455955793418831	1028,125	0,50825499508502					
575	0,451740855675668	1031,25	0,506847890067595					
578,125	0,448814795745441	1034,375	0,50704795271185					
581,25	0,454671327921705	1037,5	0,507986575299871					
584,375	0,451975475496507	1040,625	0,508779426956288					
587,5	0,45187122495921	1043,75	0,510162481858727					
590,625	0,451154782384188	1046,875	0,508407356336046					
593,75	0,451676286820148	1050	0,509257175831676					
596,875	0,451922369879501	1053,125	0,506199308296144					
600	0,44960840733058	1056,25	0,506583097543673					
603,125	0,451593542946528	1059,375	0,510888931905068					
606,25	0,455385192141878	1062,5	0,50993789431953					
609,375	0,459632976356109	1065,625	0,509103759653774					
