Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
587,5	0,163429645054613	131,25	0,0573889308356089	131,25	0,04786653142328	587,5	0,245490886083284	587,5	0,387699225148418	131,25	0,0508283482516888	131,25	0,0711569774768358	587,5	0,516410264420693	587,5	0,52407819470042	131,25	0,0647760651634376	131,25	0,0914586778029884	587,5	0,559396160175221	587,5	0,534713779080366	131,25	0,101460121920152	131,25	0,126059967484536	587,5	0,48227854317157	587,5	0,4678944845038																																			
590,625	0,168295399356696	134,375	0,0402378222295195	134,375	0,0306667822210491	590,625	0,249917135211758	590,625	0,391997450640663	134,375	0,0323620648029257	134,375	0,0553000550627943	590,625	0,520789760336323	590,625	0,529120325219009	134,375	0,0486194820267922	134,375	0,0768101727704454	590,625	0,563086354400935	590,625	0,538072030703053	134,375	0,0869933325884411	134,375	0,113379264103871	590,625	0,485607965748004	590,625	0,471070140460116																																			
593,75	0,169824788626594	137,5	0,0814130969655167	137,5	0,073616020685018	593,75	0,251490232655224	593,75	0,394030441822593	137,5	0,0747919487697164	137,5	0,0982428106283801	593,75	0,523777821535195	593,75	0,532314444659708	137,5	0,0913639525794256	137,5	0,120279558975668	593,75	0,56567148236606	593,75	0,540021992324965	137,5	0,130125788080165	137,5	0,155069327122466	593,75	0,487208858776768	593,75	0,472471821256733																																			
596,875	0,168726973040652	140,625	0,0874297519650481	140,625	0,0795104343638057	596,875	0,250818952576168	596,875	0,393991734097635	140,625	0,0812994808573404	140,625	0,104718858712387	596,875	0,524935538773502	596,875	0,533742794371931	140,625	0,0975096776908212	140,625	0,127117423094876	596,875	0,566489237505336	596,875	0,5404329748348	140,625	0,13724940004101	140,625	0,161899170164527	596,875	0,487157309735916	596,875	0,472521778633845																																			
600	0,169562135665643	143,75	0,0888766387738053	143,75	0,0812157083127695	600	0,253029878367602	600	0,395131331212435	143,75	0,0840195325914748	143,75	0,107600802764172	600	0,527276686430913	600	0,536825950259741	143,75	0,100339555746369	143,75	0,131381182372648	600	0,568434103491197	600	0,541504235352629	143,75	0,142050378365646	143,75	0,167494529302144	600	0,487701925393544	600	0,473107307617727																																			
603,125	0,169425674212799	146,875	0,0590581871780088	146,875	0,0509134940175714	603,125	0,254608099221914	603,125	0,396192091825269	146,875	0,0538503142602257	146,875	0,0794037080247226	603,125	0,529418298111268	603,125	0,53928001527996	146,875	0,071671755521877	146,875	0,10449204372063	603,125	0,570427432621303	603,125	0,543089333515099	146,875	0,115617894418053	146,875	0,143040560877336	603,125	0,488986596754511	603,125	0,47426344079084																																			
606,25	0,172284928165811	150	0,0793573278700017	150	0,0721573030654155	606,25	0,259950374550502	606,25	0,398534501949318	150	0,0747926229489768	150	0,101459231160659	606,25	0,53272220311623	606,25	0,5429350584069	150	0,0935106270097732	150	0,12712534869001	606,25	0,573110055784337	606,25	0,545004117075749	150	0,138221397328004	150	0,165697770959284	606,25	0,490631736586598	606,25	0,47598460451605																																			
609,375	0,168881678061044	153,125	0,0735221003568713	153,125	0,0667475030968413	609,375	0,258665828825384	609,375	0,396960522380033	153,125	0,0695232404718573	153,125	0,0974123924173993	609,375	0,532982824909231	609,375	0,543420603152063	153,125	0,089037027656595	153,125	0,124241086283077	609,375	0,57317134884823	609,375	0,544475818055881	153,125	0,136255409821826	153,125	0,163822900959231	609,375	0,489404014944213	609,375	0,474721970745835																																			
612,5	0,16996217698489	156,25	0,073587662116337	156,25	0,0668227266680741	612,5	0,26231129594284	612,5	0,398375754692312	156,25	0,0704326706182604	156,25	0,0986127402275827	612,5	0,535766239438756	612,5	0,546588933476011	156,25	0,0901820335205524	156,25	0,12627952560864	612,5	0,57555042041705	612,5	0,546360405416391	156,25	0,138359550178373	156,25	0,166436546340623	612,5	0,491035364105382	612,5	0,476418281822957																																			
615,625	0,170757437208352	159,375	0,0716814331099418	159,375	0,0649202776643281	615,625	0,266197485065624	615,625	0,398999823407069	159,375	0,0691683749515795	159,375	0,0984604905540483	615,625	0,538202032319747	615,625	0,549491588303242	159,375	0,0895722202527903	159,375	0,127297950088569	615,625	0,577703919190783	615,625	0,547902591696234	159,375	0,139404744389267	159,375	0,168158293415364	615,625	0,492412674582869	615,625	0,47781832749486																																			
618,75	0,171010093267306	162,5	0,0684744457560955	162,5	0,0618578236496173	618,75	0,269010641067249	618,75	0,399163371730503	162,5	0,0664081124765086	162,5	0,0968654260398774	618,75	0,539995858280323	618,75	0,551583318565095	162,5	0,0874156662951174	162,5	0,126459148005152	618,75	0,579309677959523	618,75	0,548811286334685	162,5	0,138959738876938	162,5	0,16838117441754	618,75	0,492971083915526	618,75	0,478572465360494																																			
621,875	0,169193456776253	165,625	0,0772465931591224	165,625	0,0716218684254317	621,875	0,269996805765753	621,875	0,398080140737709	165,625	0,0764867192369726	165,625	0,107099559216739	621,875	0,540720054919742	621,875	0,552826663307481	165,625	0,0977438624627981	165,625	0,137238741227351	621,875	0,579996990655469	621,875	0,548577220769731	165,625	0,149722611554301	165,625	0,1792137876169	621,875	0,492259025246828	621,875	0,477854826174004																																			
625	0,174504370012814	168,75	0,0744138719263414	168,75	0,068688227788542	625	0,277397442386289	625	0,401447842001947	168,75	0,0739159443262063	168,75	0,106231402960048	625	0,545108591439921	625	0,557629518589079	168,75	0,0964436479745143	168,75	0,137887544078668	625	0,58400208056885	625	0,551965012099344	168,75	0,150928692052897	168,75	0,181007811939416	625	0,495616996421015	625	0,480997818204646																																			
628,125	0,173502425736176	171,875	0,0868645319015874	171,875	0,0816321689827926	628,125	0,279546576606319	628,125	0,400373328096088	171,875	0,0864290830447858	171,875	0,119401625531039	628,125	0,546613494172007	628,125	0,559713561340045	171,875	0,109673728447279	171,875	0,15105033898711	628,125	0,585493596630513	628,125	0,552589386946639	171,875	0,164018957513142	171,875	0,193034871496538	628,125	0,49579322895999	628,125	0,481005962185639																																			
631,25	0,179822435226357	175	0,094689040481212	175	0,0899299672544565	631,25	0,287630411135456	631,25	0,404669499830238	175	0,0956466872843873	175	0,129101459061778	631,25	0,551977554260939	631,25	0,565341709363756	175	0,119062921288359	175	0,161676556280868	631,25	0,590301072616289	631,25	0,556918637657882	175	0,174803842503494	175	0,204117469479295	631,25	0,500435626167148	631,25	0,485415728088145																																			
