candidate,split,lower_hz,upper_hz,row_count,rmse,mae,bias
zero_correction,train,100.0,700.0,11200,0.07851985846656578,0.05955577196200355,-0.0186960646459775
zero_correction,train,700.0,1000.0,5600,0.04613368365898472,0.035646744349463806,0.02562879831295994
zero_correction,train,1000.0,1300.0,5600,0.0645228925797518,0.04929240561828755,0.019923517935025913
zero_correction,train,1300.0,1650.0,6300,0.08729163078012313,0.07229163852046526,0.0025386621022103102
zero_correction,train,1650.0,2000.0,6300,0.09462276051735809,0.07844702546579672,-0.005806324964613086
zero_correction,train,2000.0,3000.0,18200,0.07428340964039858,0.055826651154639806,0.0004040104843851724
zero_correction,train,3000.0,4000.0,18900,0.07019104624974973,0.050714265014366204,-0.003283985107418806
zero_correction,train,4000.0,4950.0,17500,0.07787364320261997,0.05527685076158601,0.00029418503507589936
zero_correction,train,1300.0,2000.0,12600,0.09103102661230027,0.075369331993131,-0.001633831431201386
zero_correction,validation,100.0,700.0,2400,0.0728056266670498,0.05755686783925331,-0.014663104499207285
zero_correction,validation,700.0,1000.0,1200,0.04544491052184621,0.03418260514755525,0.027356761283747824
zero_correction,validation,1000.0,1300.0,1200,0.06651851844199297,0.05081275153805298,0.02004850869810642
zero_correction,validation,1300.0,1650.0,1350,0.08807740122553251,0.07432354595860732,0.0026373388185151505
zero_correction,validation,1650.0,2000.0,1350,0.09383708894027783,0.07937062877759993,-0.004470664775111991
zero_correction,validation,2000.0,3000.0,3900,0.06827285179699469,0.05315994656697831,0.0031160677742184473
zero_correction,validation,3000.0,4000.0,4050,0.06474804083095217,0.049346312584718346,-0.00013985196458844257
zero_correction,validation,4000.0,4950.0,3750,0.06531065827411411,0.048525954440334605,0.0070774971238644095
zero_correction,validation,1300.0,2000.0,2700,0.09100282376780693,0.07684708736810363,-0.0009166629782984219
sigma_g1450,train,100.0,700.0,11200,0.07852059010947852,0.059556739511344804,-0.0186960646459775
sigma_g1450,train,700.0,1000.0,5600,0.04515168304769192,0.03526608351247169,0.025628798312959934
sigma_g1450,train,1000.0,1300.0,5600,0.03629931619995243,0.026560253439522036,0.019923517935025788
sigma_g1450,train,1300.0,1650.0,6300,0.03408534816328945,0.021509234391445645,0.002538662102210057
sigma_g1450,train,1650.0,2000.0,6300,0.05655586469369049,0.04112273228504807,-0.005806324964613215
sigma_g1450,train,2000.0,3000.0,18200,0.07082409726970554,0.05292824030894806,0.0004040104843851599
sigma_g1450,train,3000.0,4000.0,18900,0.07019359600727504,0.050715797801368166,-0.0032839851074188066
sigma_g1450,train,4000.0,4950.0,17500,0.07787364573680018,0.05527685256753095,0.00029418503507589936
sigma_g1450,train,1300.0,2000.0,12600,0.04669248756847127,0.03131598333824685,-0.0016338314312015784
sigma_g1450,validation,100.0,700.0,2400,0.07280627147386666,0.05755778838078168,-0.014663020854068105
sigma_g1450,validation,700.0,1000.0,1200,0.04427858085926694,0.03375314718991018,0.027534509969044874
sigma_g1450,validation,1000.0,1300.0,1200,0.03789200357403529,0.02679743377736295,0.022852722782922677
sigma_g1450,validation,1300.0,1650.0,1350,0.02806808522838459,0.019546153303156347,0.008269359986089174
sigma_g1450,validation,1650.0,2000.0,1350,0.053064755063207195,0.039595320445303846,-0.001558547916326686
sigma_g1450,validation,2000.0,3000.0,3900,0.06428007172925027,0.04998660158227263,0.0033729494823017785
sigma_g1450,validation,3000.0,4000.0,4050,0.06475003742472694,0.04934783339675661,-0.00013947586999197054
sigma_g1450,validation,4000.0,4950.0,3750,0.0653106605936495,0.04852595610974046,0.007077497318499645
sigma_g1450,validation,1300.0,2000.0,2700,0.04244811914741356,0.0295707368742301,0.003355406034881244
sigma_g1750,train,100.0,700.0,11200,0.07851986386991482,0.05955577916864822,-0.0186960646459775
sigma_g1750,train,700.0,1000.0,5600,0.04606085656505715,0.03560274246886047,0.02562879831295994
sigma_g1750,train,1000.0,1300.0,5600,0.05527772369456896,0.041412167231309714,0.01992351793502589
sigma_g1750,train,1300.0,1650.0,6300,0.03605722632293657,0.023745724505214585,0.002538662102210143
sigma_g1750,train,1650.0,2000.0,6300,0.04804064907549118,0.0220352485091743,-0.005806324964613329
sigma_g1750,train,2000.0,3000.0,18200,0.06296683112506349,0.0430242611776553,0.00040401048438510684
sigma_g1750,train,3000.0,4000.0,18900,0.07030688384613536,0.05078560563806258,-0.003283985107418807
sigma_g1750,train,4000.0,4950.0,17500,0.07787413855819635,0.0552772031873527,0.00029418503507589936
sigma_g1750,train,1300.0,2000.0,12600,0.04247368322678151,0.022890486507194448,-0.0016338314312015936
sigma_g1750,validation,100.0,700.0,2400,0.07280563141809789,0.05755687470889901,-0.014663103870116831
sigma_g1750,validation,700.0,1000.0,1200,0.045364417927597385,0.03413502111747013,0.027366083328787406
sigma_g1750,validation,1000.0,1300.0,1200,0.0577725006811549,0.04281396394302691,0.02061880656834788
sigma_g1750,validation,1300.0,1650.0,1350,0.03563509738589605,0.02415282862637098,0.0063518519615859675
sigma_g1750,validation,1650.0,2000.0,1350,0.03585669179728946,0.016860034706303637,0.0010140811859504844
sigma_g1750,validation,2000.0,3000.0,3900,0.0533046669927202,0.03849461429036428,0.0045642512886964375
sigma_g1750,validation,3000.0,4000.0,4050,0.0648409862827054,0.04941330891143619,-0.00012434672421965525
sigma_g1750,validation,4000.0,4950.0,3750,0.06531110871615364,0.0485262799600747,0.007077535559541893
sigma_g1750,validation,1300.0,2000.0,2700,0.03574606630349765,0.020506431666337307,0.003682966573768226
sigma_g1450_g1750,train,100.0,700.0,11200,0.07852018755463948,0.059556207244842806,-0.0186960646459775
sigma_g1450_g1750,train,700.0,1000.0,5600,0.045594586505497726,0.03538455929395994,0.025628798312959934
sigma_g1450_g1750,train,1000.0,1300.0,5600,0.04205368629726801,0.0293041237928615,0.01992351793502584
sigma_g1450_g1750,train,1300.0,1650.0,6300,0.02995281757832036,0.01688133790527131,0.0025386621022100843
sigma_g1450_g1750,train,1650.0,2000.0,6300,0.04657474973635591,0.02295258358227586,-0.005806324964613309
sigma_g1450_g1750,train,2000.0,3000.0,18200,0.06414286862762886,0.04529683008166728,0.0004040104843851236
sigma_g1450_g1750,train,3000.0,4000.0,18900,0.07027037262944347,0.05076305771653136,-0.0032839851074188075
sigma_g1450_g1750,train,4000.0,4950.0,17500,0.07787397999226038,0.0552770903764617,0.00029418503507589854
sigma_g1450_g1750,train,1300.0,2000.0,12600,0.03915596119292899,0.019916960743773585,-0.0016338314312016127
sigma_g1450_g1750,validation,100.0,700.0,2400,0.07280591668616387,0.05755728198303135,-0.01466306686466678
sigma_g1450_g1750,validation,700.0,1000.0,1200,0.04482408013339468,0.03389229252490595,0.027442146879861334
sigma_g1450_g1750,validation,1000.0,1300.0,1200,0.04490899207585465,0.03007820706270471,0.021682366749468038
sigma_g1450_g1750,validation,1300.0,1650.0,1350,0.025525119128252786,0.016021884344093254,0.0076596935168019445
sigma_g1450_g1750,validation,1650.0,2000.0,1350,0.036019697331647754,0.018697021358287293,0.000541331370651593
sigma_g1450_g1750,validation,2000.0,3000.0,3900,0.055471376194455795,0.04134298241717618,0.0042116589763116705
sigma_g1450_g1750,validation,3000.0,4000.0,4050,0.0648116097101921,0.04939221906283534,-0.0001291779693551787
sigma_g1450_g1750,validation,4000.0,4950.0,3750,0.06531096453370935,0.04852617576235163,0.007077523255313834
sigma_g1450_g1750,validation,1300.0,2000.0,2700,0.03121658455352706,0.017359452851190275,0.004100512443726769
sigma_bandpass_1250_2100,train,100.0,700.0,11200,0.07865532627169679,0.05971597058222274,-0.0186960646459775
sigma_bandpass_1250_2100,train,700.0,1000.0,5600,0.04529512595319975,0.03630767506351176,0.02562879831295992
sigma_bandpass_1250_2100,train,1000.0,1300.0,5600,0.035946141866334456,0.025251840055265748,0.019923517935025805
sigma_bandpass_1250_2100,train,1300.0,1650.0,6300,0.02764664587466019,0.015790483400420115,0.0025386621022101
sigma_bandpass_1250_2100,train,1650.0,2000.0,6300,0.04541764417671717,0.02380661115603817,-0.005806324964613291
sigma_bandpass_1250_2100,train,2000.0,3000.0,18200,0.06297462989369913,0.042668590175746375,0.00040401048438509237
sigma_bandpass_1250_2100,train,3000.0,4000.0,18900,0.07220875832204761,0.05205388946224647,-0.003283985107418816
sigma_bandpass_1250_2100,train,4000.0,4950.0,17500,0.07823266952231145,0.05553557879730278,0.00029418503507589795
sigma_bandpass_1250_2100,train,1300.0,2000.0,12600,0.03759720355745728,0.01979854727822914,-0.0016338314312015958
sigma_bandpass_1250_2100,validation,100.0,700.0,2400,0.07292780936020873,0.057710832354919375,-0.014650463245891867
sigma_bandpass_1250_2100,validation,700.0,1000.0,1200,0.04401181126958349,0.03465534220126078,0.027803169416114718
sigma_bandpass_1250_2100,validation,1000.0,1300.0,1200,0.03845270819613336,0.025857076007213292,0.02243042533749987
sigma_bandpass_1250_2100,validation,1300.0,1650.0,1350,0.024696914168867545,0.015661189895857547,0.007314982448417277
sigma_bandpass_1250_2100,validation,1650.0,2000.0,1350,0.03615955121047637,0.020148448433985423,0.00014162656434394135
sigma_bandpass_1250_2100,validation,2000.0,3000.0,3900,0.05263167663102685,0.03787010839882727,0.004881177248676312
sigma_bandpass_1250_2100,validation,3000.0,4000.0,4050,0.06646191834581867,0.05045825043525657,5.936646026192617e-05
sigma_bandpass_1250_2100,validation,4000.0,4950.0,3750,0.06561802909061631,0.0487546586133126,0.007108069525104557
sigma_bandpass_1250_2100,validation,1300.0,2000.0,2700,0.03096329046796766,0.017904819164921485,0.003728304506380609
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,100.0,700.0,11200,0.07865939528482245,0.059718032565961934,-0.018696064645977502
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,700.0,1000.0,5600,0.04572022902660908,0.036563988008036875,0.02562879831295992
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,1000.0,1300.0,5600,0.0387333156434432,0.0281581622524312,0.019923517935025795
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,1300.0,1650.0,6300,0.03026900665555739,0.022023864400298132,0.0025386621022100812
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,1650.0,2000.0,6300,0.04152233400357506,0.02460601205585783,-0.005806324964613309
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,2000.0,3000.0,18200,0.060234690249444334,0.04062234503194614,0.00040401048438508613
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,3000.0,4000.0,18900,0.07203668334237592,0.05187065136066556,-0.0032839851074188166
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,4000.0,4950.0,17500,0.07823646253241733,0.05553617989963007,0.0002941850350758981
diagnostic_sigma_bandpass_1250_2100_plus_lambda,train,1300.0,2000.0,12600,0.036333985365072624,0.023314938228077984,-0.0016338314312016142
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,100.0,700.0,2400,0.07293303912533788,0.05771450712916373,-0.014659005639492599
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,700.0,1000.0,1200,0.04426067560291802,0.03470029377730699,0.027501506766210035
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,1000.0,1300.0,1200,0.04018744718296165,0.02786531784929174,0.02082083260566108
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,1300.0,1650.0,1350,0.02795926599189246,0.021756143342701623,0.004154040094557344
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,1650.0,2000.0,1350,0.03308534579648355,0.02179857175275327,-0.002975153634564173
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,2000.0,3000.0,3900,0.049910293944496,0.03618145812440644,0.0036883952117236474
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,3000.0,4000.0,4050,0.06634502582436061,0.050273827979932156,-7.52564410538736e-05
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,4000.0,4950.0,3750,0.06563221761196456,0.04875730167271647,0.007087410063720749
diagnostic_sigma_bandpass_1250_2100_plus_lambda,validation,1300.0,2000.0,2700,0.03062972952278787,0.021777357547727444,0.0005894432299965856
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,100.0,700.0,11200,0.07865641810752338,0.05971684508287203,-0.0186960646459775
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,700.0,1000.0,5600,0.045394393458622215,0.03634507902269017,0.02562879831295992
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,1000.0,1300.0,5600,0.03639867805971993,0.02527173986183639,0.019923517935025805
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,1300.0,1650.0,6300,0.027283325713292266,0.01601912041103263,0.0025386621022101007
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,1650.0,2000.0,6300,0.04414709440716877,0.02427362782109936,-0.00580632496461329
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,2000.0,3000.0,18200,0.06250522690980362,0.043080514952752086,0.00040401048438509356
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,3000.0,4000.0,18900,0.0722597476842367,0.0521275381071714,-0.0032839851074188157
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,4000.0,4950.0,17500,0.07826451818953006,0.055565760268866185,0.00029418503507589773
diagnostic_sigma_bandpass_1250_2100_plus_alpha,train,1300.0,2000.0,12600,0.03669704215991438,0.020146374116065995,-0.001633831431201595
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,100.0,700.0,2400,0.07292724987600983,0.05770951689739619,-0.014650597164504313
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,700.0,1000.0,1200,0.04410550372451455,0.03461822391672813,0.027798440268127632
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,1000.0,1300.0,1200,0.03910349217075021,0.02605794831261406,0.022405191844953775
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,1300.0,1650.0,1350,0.025919151035091487,0.0171239495414313,0.007265428537202949
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,1650.0,2000.0,1350,0.037001125280747366,0.022954237539400013,9.276498068909675e-05
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,2000.0,3000.0,3900,0.05294208174186167,0.03895141119036833,0.004862478073386064
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,3000.0,4000.0,4050,0.06651429968991525,0.050534010332998876,5.725598479214282e-05
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,4000.0,4950.0,3750,0.06564590679088445,0.04878254700132704,0.0071077456479184085
diagnostic_sigma_bandpass_1250_2100_plus_alpha,validation,1300.0,2000.0,2700,0.03194437088456623,0.020039093540415658,0.0036790967589460234
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,100.0,700.0,11200,0.07866021232274363,0.05971873255999969,-0.0186960646459775
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,700.0,1000.0,5600,0.04579222707109979,0.03658847484997001,0.02562879831295992
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,1000.0,1300.0,5600,0.03901645819130982,0.02824845478966498,0.019923517935025798
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,1300.0,1650.0,6300,0.029912346342385362,0.022140890653133207,0.0025386621022100825
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,1650.0,2000.0,6300,0.04045342241661557,0.024436812487568002,-0.005806324964613309
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,2000.0,3000.0,18200,0.059896142012103054,0.04104062242694378,0.0004040104843850865
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,3000.0,4000.0,18900,0.07208540246668703,0.051939841906422785,-0.0032839851074188166
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,4000.0,4950.0,17500,0.07826361266190476,0.05556200175728645,0.0002941850350758975
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,train,1300.0,2000.0,12600,0.035575468014658294,0.023288851570350603,-0.0016338314312016131
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,validation,100.0,700.0,2400,0.07293240936253578,0.057713289985741864,-0.014658873692823947
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,validation,700.0,1000.0,1200,0.04433330290526223,0.03468168792241131,0.027506166277767637
