frequency f in Hz; re(r) ; im(r)
297.000000;0.803263;-0.307914
298.000000;0.801238;-0.309831
299.000000;0.799305;-0.317144
300.000000;0.795253;-0.320910
301.000000;0.790581;-0.320559
302.000000;0.792445;-0.321369
303.000000;0.792953;-0.319852
304.000000;0.794442;-0.320775
305.000000;0.789971;-0.318386
306.000000;0.783234;-0.319353
307.000000;0.780117;-0.319259
308.000000;0.777199;-0.316744
309.000000;0.774344;-0.313204
310.000000;0.773731;-0.317617
311.000000;0.771590;-0.317523
312.000000;0.767109;-0.312023
313.000000;0.765991;-0.308462
314.000000;0.771811;-0.306521
315.000000;0.776549;-0.301641
316.000000;0.773447;-0.302346
317.000000;0.773773;-0.297257
318.000000;0.778167;-0.292223
319.000000;0.773149;-0.291575
320.000000;0.774701;-0.301880
321.000000;0.776057;-0.299198
322.000000;0.774531;-0.303424
323.000000;0.778410;-0.306182
324.000000;0.774951;-0.306820
325.000000;0.782688;-0.306934
326.000000;0.786467;-0.312233
327.000000;0.781529;-0.312291
328.000000;0.770482;-0.307987
329.000000;0.773500;-0.310294
330.000000;0.776620;-0.310176
331.000000;0.776328;-0.305089
332.000000;0.780550;-0.312682
333.000000;0.781705;-0.312183
334.000000;0.775066;-0.302644
335.000000;0.775528;-0.306189
336.000000;0.776294;-0.316767
337.000000;0.774551;-0.318914
338.000000;0.766000;-0.308171
339.000000;0.773663;-0.315040
340.000000;0.769238;-0.310307
341.000000;0.775174;-0.317820
342.000000;0.776105;-0.317243
343.000000;0.778706;-0.323055
344.000000;0.767245;-0.335771
345.000000;0.765459;-0.335226
346.000000;0.768641;-0.329146
347.000000;0.761931;-0.324248
348.000000;0.764238;-0.330657
349.000000;0.765448;-0.329031
350.000000;0.771161;-0.328298
351.000000;0.768390;-0.332020
352.000000;0.761850;-0.332228
353.000000;0.762364;-0.325415
354.000000;0.755073;-0.328142
355.000000;0.753065;-0.326566
356.000000;0.748502;-0.322672
357.000000;0.751384;-0.329284
358.000000;0.748453;-0.321716
359.000000;0.743230;-0.336705
360.000000;0.751307;-0.337191
361.000000;0.757298;-0.338394
362.000000;0.755388;-0.332907
363.000000;0.754725;-0.327900
364.000000;0.741186;-0.321528
365.000000;0.731437;-0.320201
366.000000;0.737706;-0.339970
367.000000;0.758319;-0.333066
368.000000;0.768914;-0.320122
369.000000;0.742921;-0.330000
370.000000;0.732838;-0.327826
371.000000;0.742776;-0.332913
372.000000;0.736510;-0.314390
373.000000;0.745744;-0.328516
374.000000;0.756444;-0.330658
375.000000;0.728534;-0.319941
376.000000;0.725011;-0.327492
377.000000;0.747657;-0.343846
378.000000;0.747488;-0.344443
379.000000;0.737156;-0.342622
380.000000;0.728824;-0.346457
381.000000;0.713253;-0.336371
382.000000;0.712567;-0.329486
383.000000;0.700646;-0.356859
384.000000;0.709135;-0.354924
385.000000;0.724123;-0.340911
386.000000;0.720146;-0.346518
387.000000;0.712689;-0.369826
388.000000;0.722275;-0.345931
389.000000;0.729106;-0.326303
390.000000;0.708340;-0.318533
391.000000;0.699272;-0.313431
392.000000;0.729921;-0.335029
393.000000;0.746808;-0.330663
394.000000;0.739902;-0.334858
395.000000;0.722845;-0.340886
396.000000;0.726702;-0.322198
397.000000;0.705765;-0.316418
398.000000;0.703356;-0.338900
399.000000;0.718103;-0.335066
400.000000;0.724968;-0.345607
401.000000;0.718163;-0.337340
402.000000;0.714565;-0.330064
403.000000;0.709292;-0.308691
404.000000;0.727130;-0.323510
405.000000;0.736804;-0.346351
406.000000;0.706090;-0.364456
407.000000;0.701210;-0.347500
408.000000;0.719166;-0.342254
409.000000;0.727900;-0.326408
410.000000;0.717740;-0.318420
411.000000;0.718451;-0.338310
412.000000;0.707448;-0.333085
413.000000;0.692656;-0.344521
414.000000;0.718122;-0.328712
415.000000;0.694184;-0.323814
416.000000;0.703708;-0.323601
417.000000;0.721009;-0.339246
418.000000;0.715072;-0.327128
419.000000;0.710978;-0.337576
420.000000;0.705975;-0.341036
421.000000;0.720965;-0.344180
422.000000;0.718529;-0.337498
423.000000;0.697920;-0.331530
424.000000;0.698670;-0.343220
425.000000;0.703708;-0.357081
426.000000;0.704270;-0.349568
427.000000;0.712071;-0.339580
428.000000;0.702749;-0.341153
429.000000;0.714859;-0.364145
430.000000;0.712453;-0.356891
431.000000;0.711225;-0.336030
432.000000;0.713249;-0.308640
433.000000;0.701453;-0.322792
434.000000;0.674857;-0.333944
435.000000;0.682984;-0.333757
436.000000;0.687544;-0.330604
437.000000;0.689938;-0.336642
438.000000;0.682608;-0.360385
439.000000;0.695773;-0.344517
440.000000;0.688854;-0.341375
441.000000;0.690771;-0.355193
442.000000;0.692451;-0.352927
443.000000;0.701289;-0.353534
444.000000;0.696647;-0.347901
445.000000;0.694819;-0.348197
446.000000;0.692178;-0.357648
447.000000;0.681066;-0.360024
448.000000;0.680897;-0.356194
449.000000;0.686978;-0.351895
450.000000;0.684057;-0.354485
451.000000;0.680983;-0.355854
452.000000;0.684171;-0.346533
453.000000;0.683748;-0.332321
454.000000;0.678634;-0.333164
455.000000;0.681556;-0.350914
456.000000;0.685138;-0.361753
457.000000;0.677188;-0.351942
458.000000;0.690932;-0.335611
459.000000;0.675721;-0.334053
460.000000;0.665799;-0.351665
461.000000;0.690609;-0.352868
462.000000;0.679452;-0.354344
463.000000;0.685845;-0.342818
464.000000;0.684030;-0.341211
465.000000;0.672459;-0.346473
466.000000;0.678451;-0.344280
467.000000;0.681382;-0.342864
468.000000;0.673296;-0.341774
469.000000;0.673910;-0.345297
470.000000;0.674001;-0.338562
471.000000;0.667795;-0.343651
472.000000;0.663114;-0.342884
473.000000;0.667019;-0.349775
474.000000;0.678701;-0.350914
475.000000;0.679667;-0.344190
476.000000;0.670397;-0.343165
477.000000;0.667983;-0.346587
478.000000;0.652947;-0.339739
479.000000;0.656635;-0.340546
480.000000;0.664451;-0.350662
481.000000;0.671194;-0.350408
482.000000;0.668090;-0.344358
483.000000;0.656458;-0.357038
484.000000;0.663669;-0.348157
485.000000;0.663941;-0.341549
486.000000;0.656230;-0.352280
487.000000;0.661385;-0.349025
488.000000;0.654603;-0.338275
489.000000;0.654942;-0.344238
490.000000;0.651623;-0.349208
491.000000;0.646059;-0.348324
492.000000;0.648417;-0.347201
493.000000;0.658039;-0.337523
494.000000;0.643714;-0.334044
495.000000;0.639427;-0.342086
496.000000;0.648781;-0.346749
497.000000;0.649508;-0.349634
498.000000;0.649300;-0.346949
499.000000;0.649756;-0.347371
500.000000;0.644493;-0.340897
501.000000;0.644606;-0.337437
502.000000;0.645212;-0.345570
503.000000;0.648103;-0.342900
504.000000;0.643756;-0.347363
505.000000;0.640272;-0.349125
506.000000;0.638489;-0.352204
507.000000;0.641414;-0.350862
508.000000;0.639207;-0.346483
509.000000;0.638108;-0.339426
510.000000;0.640979;-0.346737
511.000000;0.648116;-0.345782
512.000000;0.648636;-0.338959
513.000000;0.639345;-0.339875
514.000000;0.635539;-0.341448
515.000000;0.635050;-0.347212
516.000000;0.635272;-0.345348
517.000000;0.631945;-0.347185
518.000000;0.634047;-0.347745
519.000000;0.634439;-0.344199
520.000000;0.632006;-0.343731
521.000000;0.626076;-0.343331
522.000000;0.622758;-0.342314
523.000000;0.628954;-0.344771
524.000000;0.633489;-0.347055
525.000000;0.635457;-0.349683
526.000000;0.633288;-0.352215
527.000000;0.634749;-0.344664
528.000000;0.630732;-0.344102
529.000000;0.626572;-0.348636
530.000000;0.629688;-0.346492
531.000000;0.627502;-0.342526
532.000000;0.626432;-0.341760
533.000000;0.626851;-0.343945
534.000000;0.625326;-0.344903
535.000000;0.627217;-0.345190
536.000000;0.624957;-0.342026
537.000000;0.619677;-0.341763
538.000000;0.624354;-0.342103
539.000000;0.620331;-0.342990
540.000000;0.619973;-0.333840
541.000000;0.620560;-0.343885
542.000000;0.619015;-0.345138
543.000000;0.619288;-0.344346
544.000000;0.617020;-0.341261
545.000000;0.618446;-0.342102
546.000000;0.616628;-0.344973
547.000000;0.620092;-0.341309
548.000000;0.619180;-0.340385
549.000000;0.617319;-0.345610
550.000000;0.613046;-0.342225
551.000000;0.612825;-0.344898
552.000000;0.611775;-0.340960
553.000000;0.614463;-0.340600
554.000000;0.612709;-0.341426
555.000000;0.610392;-0.340783
556.000000;0.609268;-0.343102
557.000000;0.609983;-0.340464
558.000000;0.606760;-0.341830
559.000000;0.607044;-0.341433
560.000000;0.606099;-0.340985
561.000000;0.606969;-0.340762
562.000000;0.606385;-0.339343
563.000000;0.603286;-0.342290
564.000000;0.600558;-0.342225
565.000000;0.603523;-0.342074
566.000000;0.605343;-0.341805
567.000000;0.601726;-0.340351
568.000000;0.599773;-0.340143
569.000000;0.597397;-0.341633
570.000000;0.600229;-0.341427
571.000000;0.600320;-0.341612
572.000000;0.599652;-0.341786
573.000000;0.598485;-0.341879
574.000000;0.597066;-0.338252
575.000000;0.598497;-0.339647
576.000000;0.596775;-0.341623
577.000000;0.596210;-0.344035
578.000000;0.593577;-0.343352
