Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
484,375	2,31402134895325	484,375	-2,81302714347839	
487,5	2,35756826400757	487,5	-2,80083346366882	
490,625	2,33687853813171	490,625	-2,78160738945007	
493,75	2,33440589904785	493,75	-2,73662066459656	
496,875	2,34034490585327	496,875	-2,72136497497559	
500	2,30911374092102	500	-2,76372075080872	
503,125	2,30460548400879	503,125	-2,74496364593506	
506,25	2,31964206695557	506,25	-2,73357272148132	
509,375	2,29008293151855	509,375	-2,73040223121643	
512,5	2,27726101875305	512,5	-2,6736319065094	
515,625	2,32641530036926	515,625	-2,65945553779602	
518,75	2,34646511077881	518,75	-2,64217901229858	
521,875	2,27770781517029	521,875	-2,63456726074219	
525	2,28670430183411	525	-2,60183548927307	
528,125	2,30924367904663	528,125	-2,62852072715759	
531,25	2,29295444488525	531,25	-2,59298205375671	
534,375	2,29757189750671	534,375	-2,57193565368652	
537,5	2,29279923439026	537,5	-2,55621027946472	
540,625	2,29396080970764	540,625	-2,55400323867798	
543,75	2,32836556434631	543,75	-2,52601265907288	
546,875	2,27578997612	546,875	-2,53294444084167	
550	2,29405355453491	550	-2,51236176490784	
553,125	2,28396844863892	553,125	-2,48665118217468	
556,25	2,5505998134613	556,25	-2,51528453826904	
559,375	2,54984307289124	559,375	-2,46984648704529	
562,5	2,55493879318237	562,5	-2,46697664260864	
565,625	2,5426881313324	565,625	-2,46334886550903	
568,75	2,5451192855835	568,75	-2,43868160247803	
571,875	2,54859709739685	571,875	-2,42344689369202	
575	2,5408661365509	575	-2,42506909370422	
578,125	2,55460596084595	578,125	-2,39189982414246	
581,25	2,54740500450134	581,25	-2,40288162231445	
584,375	2,5327262878418	584,375	-2,39765977859497	
587,5	2,53743362426758	587,5	-2,38558149337769	
590,625	2,53559422492981	590,625	-2,36243891716003	
593,75	2,53219056129456	593,75	-2,34501171112061	
596,875	2,53832793235779	596,875	-2,3401050567627	
600	2,5190052986145	600	-2,32642126083374	
603,125	2,5308735370636	603,125	-2,31217002868652	
606,25	2,52207207679749	606,25	-2,29563856124878	
609,375	2,53274965286255	609,375	-2,29313588142395	
612,5	2,52846574783325	612,5	-2,27768754959106	
615,625	2,51489067077637	615,625	-2,26423025131226	
618,75	2,52227783203125	618,75	-2,25366163253784	
621,875	2,53493094444275	621,875	-2,24671220779419	
625	2,53358006477356	625	-2,22299814224243	
628,125	2,51960444450378	628,125	-2,21303129196167	
631,25	2,52207159996033	631,25	-2,18351721763611	
634,375	2,52408266067505	634,375	-2,17171001434326	
637,5	2,52685165405273	637,5	-2,16975688934326	
640,625	2,5466206073761	640,625	-2,15989351272583	
643,75	2,52982902526855	643,75	-2,15374493598938	
646,875	2,53415155410767	646,875	-2,13464426994324	
650	2,53405499458313	650	-2,13897299766541	
653,125	2,5395336151123	653,125	-2,11905765533447	
656,25	2,54168081283569	656,25	-2,10483717918396	
659,375	2,53240013122559	659,375	-2,0999174118042	
662,5	2,54581427574158	662,5	-2,10134649276733	
665,625	2,54181933403015	665,625	-2,09923005104065	
668,75	2,53945231437683	668,75	-2,08078598976135	
671,875	2,55195426940918	671,875	-2,06685972213745	
675	2,53922867774963	675	-2,05144619941711	
678,125	2,53544545173645	678,125	-2,03960132598877	
681,25	2,54249978065491	681,25	-2,03665280342102	
684,375	2,54517841339111	684,375	-2,03268194198608	
687,5	2,55492901802063	687,5	-2,03945589065552	
690,625	2,52243065834045	690,625	-2,02657914161682	
693,75	2,54680728912354	693,75	-2,01810336112976	
