segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,validation_rmse,train_mae,validation_mae,validation_r2,n_rows_used
1,low_100_700,100.0,700.0,(log10_f / ((0.4359161 - (log10_sigma - log10_f)) / 0.21979582)) - (local_t2 / log10_lambda_prime),13,0.0005680969,0.02383478487659887,0.023374570818181645,0.019023460664442954,0.018802770576026535,0.9440165583376928,13600
2,midlow_700_1000,700.0,1000.0,(-0.07345604 / alpha_infinity) + ((((log10_sigma * -1.800189) - local_t3) + 9.764119) / log10_lambda),13,0.0003636963,0.019070827733191985,0.017442375467048254,0.0136082468168247,0.012682022908483581,0.9658565975487564,6800
3,midhigh_1000_1300,1000.0,1300.0,(5.641882 - log10_sigma) / ((log10_lambda - log(alpha_infinity)) + 1.5178193),10,0.0015700705,0.03962411654924036,0.03483189419952459,0.02527563814896499,0.02310510365738873,0.8002877881785713,6800
4,highlow_1300_1650,1300.0,1650.0,(0.9273819 - ((local_t + ((alpha_infinity + -3.4770074) + alpha_infinity)) * log(1.9937458 / (log10_sigma - log10_f)))) / log10_lambda,18,0.0015533958,0.039413144171733965,0.03704982140496251,0.02313492228971425,0.021273999758483274,0.6430377079743229,7650
5,high_1650_2000,1650.0,2000.0,(((log10_sigma + (log10_lambda - (local_t3 + log(alpha_infinity)))) * 0.3512068) * ((log10_lambda + log10_sigma) - 1.2845589)) - 0.16332275,18,0.00092579145,0.03042682296393321,0.02791039941140108,0.02093321755913662,0.019814119644880467,0.8687992708783652,7650
6,upperlow_2000_3000,2000.0,3000.0,((log10_sigma * -0.4473371) + 1.7999959) - (alpha_infinity * -0.10979254),9,0.0017372596,0.04168045215918559,0.039273847296810466,0.028546613148196353,0.02823923119023518,0.8753930298038535,22100
7,uppermid_3000_4000,3000.0,4000.0,((2.2047064 - (alpha_infinity * (local_t - (log10_lambda + log10_f)))) * (((sqrt(log10_sigma) * -1.5090556) + 3.3002694) / alpha_infinity)) + -0.17952481,20,0.0010139677,0.03184286290652958,0.031455439901004634,0.023515095056236085,0.023035877458964855,0.8634019566228771,22950
8,upperhigh_4000_4950,4000.0,4950.0,log10_sigma * -0.039726034,3,0.0021929736,0.046829197332046796,0.04423506561900557,0.0328279875824771,0.032857593077632787,0.09029582317895624,21250
