partition,row_count,finite,minimum,maximum,mean,std
train,89600,True,-2.1309538793824423,1.4198679851138063,2.0935634178645809e-16,0.4091401057385199
validation,19200,True,-2.04625060862404,1.4228992480128584,0.04110806176612804,0.3792326112204315
