seed,lower_hz,upper_hz,saved_a_control_rmse,branch_b_rmse,relative_change,maximum_allowed_relative_worsening,passed
42,700.0,1000.0,0.04400988983553049,0.04427600899272077,0.006046803529497602,0.1,True
42,1300.0,1650.0,0.02464446850790688,0.029076398782977766,0.17983468678372816,0.1,False
42,1650.0,2000.0,0.036096531752300307,0.02591481255226141,-0.28206918243302004,0.1,True
123,700.0,1000.0,0.04397493209120091,0.04425297787483713,0.006322824627894352,0.1,True
123,1300.0,1650.0,0.02511607909684046,0.028010936583064003,0.11525913240923469,0.1,False
123,1650.0,2000.0,0.03641251627066621,0.025981658140537624,-0.28646353502714794,0.1,True
456,700.0,1000.0,0.04552502057079296,0.04552502057079296,0.0,0.1,True
456,1300.0,1650.0,0.026078501923696793,0.026078501923696793,0.0,0.1,True
456,1650.0,2000.0,0.03627153727753544,0.03627153727753544,0.0,0.1,True
