branch,result_origin,seed,selected_candidate_index,selected_candidate_source,selected_complexity,fit_wall_time_seconds,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max,curve_mean_rmse,curve_median_rmse,curve_p95_rmse,worst_curve_rmse,worst_curve_id,selected_equation
a,saved_F3-C,42,2,pysr_hall_of_fame,3,26.803095700000995,0.05785708100275834,0.04135247724310524,0.25678896350821556,0.9073878458610104,0.004229431959577756,-0.09619353596490267,1.0714975610986512,0.049612716641754984,0.04021208498457775,0.11618685810856291,0.14788736426187804,953,z_sigma__f3_mid * 0.091513276
a,saved_F3-C,123,5,pysr_hall_of_fame,15,26.349058299994795,0.05784531767045667,0.04125860353611532,0.2569499380185245,0.9074255012966398,0.004507880915151357,-0.06264418554327254,1.0714975612582167,0.04948665586070235,0.04026515657266287,0.11678759721088523,0.14824609455679993,953,(((z_sigma__f3_mid + z_sigma__f3_mid) / 0.3998095) * (((z_sigma__f3_mid * -0.00060387806) * z_sigma__f3_mid) + 0.012558717)) / 0.63231754
a,saved_F3-C,456,6,pysr_hall_of_fame,17,26.912211800008663,0.056030291013130555,0.0403853440870244,0.25412282499657063,0.9131438240926381,0.003273632649059922,-0.12054092090479952,1.0714975457976574,0.04874101966526189,0.042015058833557814,0.11511331900255936,0.13845124031299236,953,(z_sigma__f3_mid - (z_sigma__f3_mid * (((z_sigma__f3_mid - 6.570291) * 0.0052170097) / (-0.0046468284 - (z_sigma__f3_mid * z_sigma__f3_mid))))) * 0.103564985
b,new_F3-D1,42,9,pysr_hall_of_fame,15,28.73947909999697,0.056896194819182865,0.040915757042911415,0.25689772193230836,0.9104384930855819,0.003374626642078895,-0.1935232841978191,1.0714975608304562,0.049111243983255864,0.040731280106934775,0.10875633584864185,0.14732022674948203,953,(z_sigma__f3_mid - (1.3493323 * ((((z_lambda__f3_mid * 1.3493323) * z_sigma__f3_mid) - z_lambda__f3_mid) * -0.14897436))) * 0.0936595
b,new_F3-D1,123,8,pysr_hall_of_fame,15,27.74080369999865,0.05688561757029859,0.04084102303285329,0.2569211009068374,0.9104717897338789,0.0034376030376231507,-0.18791810255502361,1.0714975608701625,0.0490683392915924,0.040601403227387575,0.10952766947746212,0.14731531773514236,953,((((0.79353565 - z_sigma__f3_mid) / (0.46226972 / (z_lambda__f3_mid * 2.2813923))) * 0.048423197) - z_sigma__f3_mid) * -0.09494101
b,new_F3-D1,456,1,explicit_saved_f3c_branch_a_fallback,17,29.408547500002896,0.056030291013130555,0.0403853440870244,0.25412282499657063,0.9131438240926381,0.003273632649059922,-0.12054092090479952,1.0714975457976574,0.04874101966526189,0.042015058833557814,0.11511331900255936,0.13845124031299236,953,(z_sigma__f3_mid - (z_sigma__f3_mid * (((z_sigma__f3_mid - 6.570291) * 0.0052170097) / (-0.0046468284 - (z_sigma__f3_mid * z_sigma__f3_mid))))) * 0.103564985
