branch,validation_rmse,validation_mae,validation_r2,curve_mean_rmse,worst_curve_rmse,fit_wall_time_seconds
a,0.05784531767045667,0.04125860353611532,0.9074255012966398,0.04948665586070235,0.14788736426187804,26.803095700000995
b,0.05688561757029859,0.04084102303285329,0.9104717897338789,0.0490683392915924,0.14731531773514236,28.73947909999697
