Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
484,375	0,695890247821808	484,375	-0,469567805528641	
487,5	0,694405496120453	487,5	-0,470343351364136	
490,625	0,690091609954834	490,625	-0,478298664093018	
493,75	0,687743127346039	493,75	-0,480301111936569	
496,875	0,677312791347504	496,875	-0,479426980018616	
500	0,680898547172546	500	-0,478236705064774	
503,125	0,678690075874329	503,125	-0,480149924755096	
506,25	0,67828643321991	506,25	-0,484881848096848	
509,375	0,674705922603607	509,375	-0,48674863576889	
512,5	0,669778764247894	512,5	-0,485909014940262	
515,625	0,664389550685883	515,625	-0,486502557992935	
518,75	0,662976920604706	518,75	-0,4965760409832	
521,875	0,662610590457916	521,875	-0,498332172632217	
525	0,655290544033051	525	-0,495521545410156	
528,125	0,654844999313354	528,125	-0,494109451770782	
531,25	0,653179705142975	531,25	-0,496789157390594	
534,375	0,652206063270569	534,375	-0,49680233001709	
537,5	0,648544311523438	537,5	-0,496452569961548	
540,625	0,648006618022919	540,625	-0,49950847029686	
543,75	0,640709280967712	543,75	-0,503497064113617	
546,875	0,636150002479553	546,875	-0,500046491622925	
550	0,63357025384903	550	-0,506344318389893	
553,125	0,635730028152466	553,125	-0,504174828529358	
556,25	0,643726348876953	556,25	-0,477375358343124	
559,375	0,644501924514771	559,375	-0,475805044174194	
562,5	0,643246471881866	562,5	-0,480980575084686	
565,625	0,645400941371918	565,625	-0,482572972774506	
568,75	0,636052012443542	568,75	-0,481204390525818	
571,875	0,633870124816895	571,875	-0,480702996253967	
575	0,63224196434021	575	-0,483933001756668	
578,125	0,631808221340179	578,125	-0,484991312026978	
581,25	0,628864288330078	581,25	-0,481020957231522	
584,375	0,623466908931732	584,375	-0,486746519804001	
587,5	0,623618185520172	587,5	-0,486325830221176	
590,625	0,620783388614655	590,625	-0,488293021917343	
593,75	0,616603493690491	593,75	-0,489644736051559	
596,875	0,615683853626251	596,875	-0,488468587398529	
600	0,61635959148407	600	-0,488958448171616	
603,125	0,610000431537628	603,125	-0,49258354306221	
606,25	0,60738605260849	606,25	-0,488563507795334	
609,375	0,599167883396149	609,375	-0,492148220539093	
612,5	0,600979149341583	612,5	-0,491746246814728	
615,625	0,596448838710785	615,625	-0,492203950881958	
618,75	0,59575092792511	618,75	-0,494884818792343	
621,875	0,590843617916107	621,875	-0,495418846607208	
625	0,589523017406464	625	-0,493344575166702	
628,125	0,586363971233368	628,125	-0,497132658958435	
631,25	0,585311055183411	631,25	-0,497079372406006	
634,375	0,581782341003418	634,375	-0,496846556663513	
637,5	0,578430831432343	637,5	-0,494669824838638	
640,625	0,574812471866608	640,625	-0,49751091003418	
643,75	0,573732614517212	643,75	-0,500549614429474	
646,875	0,570919513702393	646,875	-0,498884618282318	
650	0,568520486354828	650	-0,498544454574585	
653,125	0,567218482494354	653,125	-0,50080394744873	
656,25	0,566264629364014	656,25	-0,50114905834198	
659,375	0,561794996261597	659,375	-0,504202723503113	
662,5	0,55922532081604	662,5	-0,501336336135864	
665,625	0,558251440525055	665,625	-0,503324568271637	
668,75	0,555320382118225	668,75	-0,502741158008575	
671,875	0,552908778190613	671,875	-0,50142377614975	
675	0,550684928894043	675	-0,501125991344452	
678,125	0,546161890029907	678,125	-0,500972628593445	
681,25	0,543169736862183	681,25	-0,50282895565033	
684,375	0,542251586914063	684,375	-0,502348124980927	
687,5	0,537229239940643	687,5	-0,50190407037735	
690,625	0,535102307796478	690,625	-0,502455770969391	
693,75	0,534935355186462	693,75	-0,500302731990814	
696,875	0,532106757164001	696,875	-0,499403357505798	
700	0,532205641269684	700	-0,503313064575195	
703,125	0,530574500560761	703,125	-0,505735039710999	
706,25	0,523587763309479	706,25	-0,50465714931488	
709,375	0,52254045009613	709,375	-0,504078447818756	
712,5	0,520887196063995	712,5	-0,507608830928802	
715,625	0,518854379653931	715,625	-0,504786729812622	
718,75	0,514484107494354	718,75	-0,503345012664795	
721,875	0,515724241733551	721,875	-0,506112337112427	
725	0,514391779899597	725	-0,504517555236816	
728,125	0,510776042938232	728,125	-0,503953874111176	
731,25	0,51032954454422	731,25	-0,509244799613953	
734,375	0,507784724235535	734,375	-0,507369160652161	
737,5	0,506414949893951	737,5	-0,506891191005707	
740,625	0,502323567867279	740,625	-0,507822096347809	
743,75	0,500655889511108	743,75	-0,508087396621704	
746,875	0,501011848449707	746,875	-0,509028434753418	
750	0,495114982128143	750	-0,507746875286102	
753,125	0,494373321533203	753,125	-0,50644838809967	
756,25	0,493308186531067	756,25	-0,506995677947998	
759,375	0,491517961025238	759,375	-0,510615706443787	
762,5	0,487917393445969	762,5	-0,508341789245605	
765,625	0,48716276884079	765,625	-0,507740139961243	
768,75	0,483075529336929	768,75	-0,50424724817276	
771,875	0,479377657175064	771,875	-0,508354187011719	
775	0,482377171516418	775	-0,50784307718277	
778,125	0,48006471991539	778,125	-0,50444769859314	
781,25	0,477585583925247	781,25	-0,507133722305298	
784,375	0,475133001804352	784,375	-0,508899629116058	
787,5	0,473993927240372	787,5	-0,504787445068359	
790,625	0,471431136131287	790,625	-0,508700966835022	
793,75	0,472559183835983	793,75	-0,506931304931641	
796,875	0,469142764806747	796,875	-0,509345471858978	
800	0,46834209561348	800	-0,50996196269989	
803,125	0,473605573177338	803,125	-0,510032534599304	
806,25	0,47464382648468	806,25	-0,51378732919693	
809,375	0,471350610256195	809,375	-0,514662861824036	
812,5	0,468585669994354	812,5	-0,514400184154511	
815,625	0,466200351715088	815,625	-0,512016475200653	
818,75	0,464068621397018	818,75	-0,515891849994659	
821,875	0,46369343996048	821,875	-0,51883864402771	
825	0,461375951766968	825	-0,52363246679306	
828,125	0,459255754947662	828,125	-0,522936463356018	
831,25	0,459201216697693	831,25	-0,52292001247406	
834,375	0,459680199623108	834,375	-0,527703464031219	
837,5	0,460926800966263	837,5	-0,534202694892883	
840,625	0,45908135175705	840,625	-0,535935342311859	
843,75	0,45146569609642	843,75	-0,541029930114746	
846,875	0,450791925191879	846,875	-0,545748770236969	
850	0,439049482345581	850	-0,548691868782043	
853,125	0,439417213201523	853,125	-0,55271852016449	
856,25	0,436566412448883	856,25	-0,553370237350464	
859,375	0,431316912174225	859,375	-0,556605637073517	
862,5	0,422798633575439	862,5	-0,563126027584076	
865,625	0,413431435823441	865,625	-0,564069986343384	
868,75	0,409103780984879	868,75	-0,56376188993454	
871,875	0,399487763643265	871,875	-0,567066788673401	
875	0,3912333548069	875	-0,569155871868134	
878,125	0,382620930671692	878,125	-0,559367656707764	
881,25	0,375602662563324	881,25	-0,561062932014465	
884,375	0,389463663101196	884,375	-0,538685142993927	
887,5	0,385655879974365	887,5	-0,533461689949036	
890,625	0,378194719552994	890,625	-0,532450556755066	
893,75	0,373903900384903	893,75	-0,530297160148621	
896,875	0,367357701063156	896,875	-0,524740934371948	
900	0,363601982593536	900	-0,523168325424194	
903,125	0,358570426702499	903,125	-0,520041465759277	
906,25	0,356161385774612	906,25	-0,513575494289398	
909,375	0,353792876005173	909,375	-0,510840177536011	
912,5	0,348103284835815	912,5	-0,508023023605347	
915,625	0,346848160028458	915,625	-0,503374755382538	
