Frequency in Hz	Wool_98 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_98 Normalized Surface Impedance continuous Im	
100	3,24480533599854	100	-14,6257600784302	
103,125	4,61657476425171	103,125	-15,0644998550415	
106,25	2,46133732795715	106,25	-12,3657646179199	
109,375	2,14096212387085	109,375	-14,1100749969482	
112,5	2,91891407966614	112,5	-13,0670909881592	
115,625	2,4976019859314	115,625	-12,195728302002	
118,75	2,4800021648407	118,75	-12,9947757720947	
121,875	3,03617262840271	121,875	-11,829683303833	
125	2,13992762565613	125	-12,2188749313354	
128,125	1,80679333209991	128,125	-11,4285106658936	
131,25	1,84243512153625	131,25	-11,5553359985352	
134,375	1,25751972198486	134,375	-11,7881898880005	
137,5	2,17198252677917	137,5	-10,1505994796753	
140,625	2,60964107513428	140,625	-10,6528072357178	
143,75	2,33890986442566	143,75	-10,0122680664063	
146,875	1,79645967483521	146,875	-11,1353578567505	
150	2,1019082069397	150	-10,1339540481567	
153,125	1,69300973415375	153,125	-9,53192520141602	
156,25	1,79044473171234	156,25	-9,772047996521	
159,375	1,64809417724609	159,375	-9,52906227111816	
162,5	1,57681262493134	162,5	-9,57560634613037	
165,625	1,78636837005615	165,625	-9,46008205413818	
168,75	1,45344007015228	168,75	-8,73696804046631	
171,875	1,84069097042084	171,875	-8,9720516204834	
175	1,84948587417603	175	-8,54452610015869	
178,125	1,49045062065125	178,125	-8,57985401153564	
181,25	1,54403555393219	181,25	-8,6692419052124	
184,375	1,72704172134399	184,375	-8,49915885925293	
187,5	1,74905824661255	187,5	-7,99679040908813	
190,625	1,84337377548218	190,625	-8,12328720092773	
193,75	1,67490112781525	193,75	-7,66283321380615	
196,875	1,67035734653473	196,875	-7,87319755554199	
200	1,43820476531982	200	-7,99715709686279	
203,125	1,31294167041779	203,125	-8,0813684463501	
206,25	1,31310546398163	206,25	-7,33790826797485	
209,375	1,43309485912323	209,375	-7,46753883361816	
212,5	1,3038547039032	212,5	-7,7592339515686	
215,625	1,40045857429504	215,625	-7,12016344070435	
218,75	1,42032587528229	218,75	-7,37742280960083	
221,875	1,36026418209076	221,875	-7,07973432540894	
225	1,47044825553894	225	-7,01553297042847	
228,125	1,45896351337433	228,125	-6,90183258056641	
231,25	1,42410612106323	231,25	-6,87843179702759	
234,375	1,44409441947937	234,375	-6,73200607299805	
237,5	1,2905501127243	237,5	-6,85557889938354	
240,625	1,07605803012848	240,625	-6,50838375091553	
243,75	1,18597829341888	243,75	-6,57854795455933	
246,875	1,35302746295929	246,875	-6,41429090499878	
250	1,36128115653992	250	-6,35833740234375	
253,125	1,21987879276276	253,125	-6,33670234680176	
256,25	1,19616961479187	256,25	-6,15155744552612	
259,375	1,33489394187927	259,375	-6,15269947052002	
262,5	1,17674744129181	262,5	-6,06216430664063	
265,625	1,05847322940826	265,625	-5,96529197692871	
268,75	1,15349686145782	268,75	-5,99543142318726	
271,875	1,12635695934296	271,875	-5,81037998199463	
275	1,04603433609009	275	-5,82777786254883	
278,125	1,09350311756134	278,125	-5,66849184036255	
281,25	1,09784817695618	281,25	-5,67343902587891	
284,375	1,07708203792572	284,375	-5,63167858123779	
287,5	0,950931549072266	287,5	-5,77008247375488	
290,625	0,964263021945953	290,625	-5,33440065383911	
293,75	0,938572406768799	293,75	-5,35868215560913	
296,875	0,971221506595612	296,875	-5,2812967300415	
300	0,993186891078949	300	-5,18766641616821	
303,125	0,944287240505219	303,125	-5,07690477371216	
306,25	0,981499075889587	306,25	-5,0002179145813	
309,375	1,04120397567749	309,375	-4,94523668289185	
312,5	1,0905886888504	312,5	-4,77506256103516	
315,625	1,33117997646332	315,625	-4,81768846511841	
318,75	1,30659508705139	318,75	-4,76771020889282	
321,875	1,30062067508698	321,875	-4,9312047958374	
325	1,31789362430573	325	-5,00780200958252	
328,125	1,37965655326843	328,125	-5,00574445724487	
331,25	1,11847531795502	331,25	-4,95564270019531	
334,375	1,08044445514679	334,375	-4,93757772445679	
337,5	1,12980675697327	337,5	-4,93638229370117	
340,625	1,03931188583374	340,625	-4,89992904663086	
343,75	1,0175222158432	343,75	-4,7609601020813	
346,875	0,988802194595337	346,875	-4,75527000427246	
350	1,01505994796753	350	-4,74147319793701	
353,125	0,981282711029053	353,125	-4,73214292526245	
356,25	0,869039475917816	356,25	-4,66535091400146	
359,375	0,832681655883789	359,375	-4,52633905410767	
362,5	0,873225629329681	362,5	-4,50304698944092	
365,625	0,967436730861664	365,625	-4,4590106010437	
368,75	0,847111999988556	368,75	-4,48231601715088	
371,875	0,679361283779144	371,875	-4,48289918899536	
375	1,01001358032227	375	-4,26988792419434	
378,125	0,912015914916992	378,125	-4,2405948638916	
381,25	0,833806574344635	381,25	-4,3993821144104	
384,375	0,958668053150177	384,375	-4,21782970428467	
387,5	0,845295310020447	387,5	-4,08519649505615	
390,625	0,762346982955933	390,625	-4,05322504043579	
393,75	0,778463542461395	393,75	-4,24465560913086	
396,875	0,783332228660584	396,875	-4,23783540725708	
400	0,801080107688904	400	-4,23084783554077	
403,125	0,797448933124542	403,125	-4,2087550163269	
406,25	0,835670650005341	406,25	-4,084228515625	
409,375	0,873090922832489	409,375	-3,91428852081299	
412,5	0,825737178325653	412,5	-3,8109769821167	
415,625	0,711725354194641	415,625	-3,90703749656677	
418,75	0,808565318584442	418,75	-3,82723498344421	
421,875	0,726575016975403	421,875	-3,74395394325256	
425	0,756780445575714	425	-3,77686190605164	
428,125	0,828037917613983	428,125	-3,9082133769989	
431,25	0,719260394573212	431,25	-3,75183153152466	
434,375	0,750495076179504	434,375	-3,77721881866455	
437,5	0,746152281761169	437,5	-3,77326846122742	
440,625	0,7742959856987	440,625	-3,76760578155518	
