Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	
587,5	0,505440682275714	131,25	0,0860654903978902	587,5	0,45265435167818	131,25	0,0542486375787588	131,25	0,0533500099811555	587,5	0,437461744050677	587,5	0,378151457134054	131,25	0,0477318143386999	131,25	0,0510565266711817	587,5	0,338198825735085	587,5	0,279741988261001	131,25	0,0462718092018358	131,25	0,0520442661135985	587,5	0,22080000400329	587,5	0,163429645054613	131,25	0,0573889308356089																																	
590,625	0,509749576484421	134,375	0,0754277311096546	590,625	0,458190834886221	134,375	0,0380170817518425	134,375	0,0359710686175437	590,625	0,443051960028645	590,625	0,383759884347034	134,375	0,030183526733023	134,375	0,0346326958055286	590,625	0,343592791216309	590,625	0,285161762700322	134,375	0,02933543949678	134,375	0,0349170872093759	590,625	0,225523767828225	590,625	0,168295399356696	134,375	0,0402378222295195																																	
593,75	0,514127995824138	137,5	0,0777472145758007	593,75	0,461943347602405	137,5	0,0804837243723031	137,5	0,0784034481424095	593,75	0,446808954035423	593,75	0,387234139820333	137,5	0,0727229204176993	137,5	0,0765845239475323	593,75	0,346573199549183	593,75	0,287768845258161	137,5	0,0712293952447313	137,5	0,0768189791136843	593,75	0,227066995093038	593,75	0,169824788626594	137,5	0,0814130969655167																																	
596,875	0,516566807894119	140,625	0,0704446483232118	596,875	0,463420307486315	140,625	0,0862730782964164	140,625	0,0853537307235601	596,875	0,448052228608344	596,875	0,388205267248505	140,625	0,0793546996549992	140,625	0,0824589100941538	596,875	0,346988163009817	596,875	0,287681551967887	140,625	0,0767791505693025	140,625	0,0825106032686074	596,875	0,225934734496204	596,875	0,168726973040652	140,625	0,0874297519650481																																	
600	0,518411521082508	143,75	0,0718707278654461	600	0,466732913088197	143,75	0,0886067221612711	143,75	0,0874102902751406	600	0,451224347391737	600	0,391267750009048	143,75	0,0811061318019581	143,75	0,08451007635668	600	0,349428954428975	600	0,289641829211877	143,75	0,0788174206662619	143,75	0,083987051342014	600	0,226467459779217	600	0,169562135665643	143,75	0,0888766387738053																																	
603,125	0,52045034338507	146,875	0,0867230903884006	603,125	0,469309627554517	146,875	0,0588050547007897	146,875	0,0572926106253914	603,125	0,453611788759321	603,125	0,393399355476522	146,875	0,0508192920127961	146,875	0,0547028893810758	603,125	0,35100971143796	603,125	0,29093831955884	146,875	0,0491005292360114	146,875	0,0545140083453695	603,125	0,226470949770028	603,125	0,169425674212799	146,875	0,0590581871780088																																	
606,25	0,522849898630938	150	0,0660829949148115	606,25	0,473649673900492	150	0,0802618506176298	150	0,078247368596958	606,25	0,457894308282618	606,25	0,397702575611526	150	0,0720302681682884	150	0,0754833956481266	606,25	0,354981429591248	606,25	0,294716246736187	150	0,0695026826295384	150	0,074855043572328	606,25	0,228855513628113	606,25	0,172284928165811	150	0,0793573278700017																																	
609,375	0,527412269828417	153,125	0,0582507716427179	609,375	0,473977165544162	153,125	0,0754578186975179	153,125	0,0738159940442524	609,375	0,458014713552962	609,375	0,397241521971117	153,125	0,066576464545871	153,125	0,0697049059919641	609,375	0,353977573755559	609,375	0,292971879978097	153,125	0,0634088013234467	153,125	0,0690250293728116	609,375	0,225644102793477	609,375	0,168881678061044	153,125	0,0735221003568713																																	
612,5	0,527761200711653	156,25	0,0825221663583553	612,5	0,477616112286712	156,25	0,0760621010749596	156,25	0,0742823324595493	612,5	0,461438141616133	612,5	0,400387838235047	156,25	0,0668285802520382	156,25	0,070308532601964	612,5	0,35668474504214	612,5	0,295307144811391	156,25	0,0639671706047062	156,25	0,0693436562203847	612,5	0,22664254155468	612,5	0,16996217698489	156,25	0,073587662116337																																	
615,625	0,528074563830193	159,375	0,0827896595341199	615,625	0,481111843557002	159,375	0,0751820149152443	159,375	0,072992260852533	615,625	0,464575963169878	615,625	0,403436942219397	159,375	0,0653357963134711	159,375	0,0688967876022187	615,625	0,359246335788523	615,625	0,297428748633404	159,375	0,0622125867787851	159,375	0,0673960906372122	615,625	0,22764844215883	615,625	0,170757437208352	159,375	0,0716814331099418																																	
