Frequency in Hz	Wool_92_HF_1 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_92_LF_1 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_93_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_93_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_94_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_94_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_96_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_96_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_98_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_98_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_99_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_99_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_92_HF_1 Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_92_LF_1 Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_93_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_93_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_94_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_94_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_95_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_95_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_96_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_96_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_97_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_97_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_98_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_98_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_99_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_99_LF Normalized Surface Impedance continuous Im	
587,5	1,85137784481049	131,25	2,92004442214966	587,5	1,61465489864349	131,25	1,94597995281219	131,25	1,77793729305267	587,5	1,39577078819275	587,5	1,0850270986557	131,25	1,57177805900574	131,25	1,66661584377289	587,5	1,03376245498657	587,5	0,864364445209503	131,25	1,59047496318817	131,25	1,84243512153625	587,5	0,732091903686523	587,5	0,614219069480896	131,25	2,26344752311707	587,5	-2,55367136001587	131,25	-10,9702291488647	587,5	-2,72615218162537	131,25	-11,610650062561	131,25	-11,2065458297729	587,5	-2,65004372596741	587,5	-2,67017459869385	131,25	-11,1849632263184	131,25	-11,1112289428711	587,5	-2,84437918663025	587,5	-2,98053669929504	131,25	-11,4358739852905	131,25	-11,5553359985352	587,5	-3,2034969329834	587,5	-3,52527046203613	131,25	-12,1289691925049	
590,625	1,85058605670929	134,375	2,5823667049408	590,625	1,61995232105255	134,375	1,38485312461853	134,375	1,21555840969086	590,625	1,40217101573944	590,625	1,09210610389709	134,375	1,00571608543396	134,375	1,14553880691528	590,625	1,04150533676147	590,625	0,873527884483337	134,375	1,02280402183533	134,375	1,25751972198486	590,625	0,741244971752167	590,625	0,626340627670288	134,375	1,63039660453796	590,625	-2,52897024154663	134,375	-11,1405506134033	590,625	-2,69777917861938	134,375	-11,833046913147	134,375	-11,413236618042	590,625	-2,62464785575867	590,625	-2,64694476127625	134,375	-11,3691349029541	134,375	-11,3006134033203	590,625	-2,82083964347839	590,625	-2,95685291290283	134,375	-11,6349277496338	134,375	-11,7881898880005	590,625	-3,18043231964111	590,625	-3,4988157749176	134,375	-12,4562044143677	
593,75	1,85504257678986	137,5	2,41339039802551	593,75	1,61826872825623	137,5	2,28839731216431	137,5	2,0900399684906	593,75	1,40129888057709	593,75	1,09152030944824	137,5	1,91494107246399	137,5	2,00781750679016	593,75	1,04008984565735	593,75	0,8723064661026	137,5	1,95598566532135	137,5	2,17198252677917	593,75	0,738241791725159	593,75	0,624257445335388	137,5	2,55319118499756	593,75	-2,50624561309814	137,5	-10,6072978973389	593,75	-2,67532658576965	137,5	-10,1448822021484	137,5	-9,85300254821777	593,75	-2,60359597206116	593,75	-2,62689638137817	137,5	-9,84028339385986	137,5	-9,78882503509521	593,75	-2,80041193962097	593,75	-2,93590998649597	137,5	-10,0550298690796	137,5	-10,1505994796753	593,75	-3,15964317321777	593,75	-3,47352170944214	137,5	-10,6216096878052	
596,875	1,8585057258606	140,625	2,27312994003296	596,875	1,62206661701202	140,625	2,74956583976746	140,625	2,53221297264099	596,875	1,40399444103241	596,875	1,09256041049957	140,625	2,32266783714294	140,625	2,41394257545471	596,875	1,03990006446838	596,875	0,870765864849091	140,625	2,36214518547058	140,625	2,60964107513428	596,875	0,733428239822388	596,875	0,618863105773926	140,625	3,08798360824585	596,875	-2,49402451515198	140,625	-10,8793325424194	596,875	-2,66938018798828	140,625	-10,6500110626221	140,625	-10,3049783706665	596,875	-2,59904098510742	596,875	-2,62273597717285	140,625	-10,2974586486816	140,625	-10,2685422897339	596,875	-2,79759502410889	596,875	-2,93387007713318	140,625	-10,5715551376343	140,625	-10,6528072357178	596,875	-3,15911507606506	596,875	-3,47140216827393	140,625	-11,1609487533569	
600	1,85569858551025	143,75	2,14812183380127	600	1,60488665103912	143,75	2,47820949554443	143,75	2,28385066986084	600	1,38983309268951	600	1,0810227394104	143,75	2,08508062362671	143,75	2,18057107925415	600	1,02733898162842	600	0,858670592308044	143,75	2,12734484672546	143,75	2,33890986442566	600	0,718978047370911	600	0,606950700283051	143,75	2,74839186668396	600	-2,48260545730591	143,75	-10,4711065292358	600	-2,63984537124634	143,75	-9,98882484436035	143,75	-9,68132591247559	600	-2,57084584236145	600	-2,59245681762695	143,75	-9,65994262695313	143,75	-9,64852046966553	600	-2,76588153839111	600	-2,89891719818115	143,75	-9,90872859954834	143,75	-10,0122680664063	600	-3,12155771255493	600	-3,42575240135193	143,75	-10,4711141586304	
603,125	1,83645105361938	146,875	2,51361656188965	603,125	1,61629521846771	146,875	1,94455981254578	146,875	1,75775241851807	603,125	1,39928948879242	603,125	1,08825945854187	146,875	1,52638149261475	146,875	1,65356612205505	603,125	1,03354907035828	603,125	0,864160418510437	146,875	1,55798506736755	146,875	1,79645967483521	603,125	0,720590770244598	603,125	0,60779881477356	146,875	2,19361925125122	603,125	-2,46350741386414	146,875	-10,1780195236206	603,125	-2,63266754150391	146,875	-11,1176061630249	146,875	-10,7292060852051	603,125	-2,56563901901245	603,125	-2,58927798271179	146,875	-10,6658000946045	146,875	-10,6710405349731	603,125	-2,76454138755798	603,125	-2,89929604530334	146,875	-10,9717264175415	146,875	-11,1353578567505	603,125	-3,12519836425781	603,125	-3,42995762825012	146,875	-11,7632570266724	
606,25	1,86265110969543	150	1,81235933303833	606,25	1,61122572422028	150	2,26056575775146	150	2,05122995376587	606,25	1,39578819274902	606,25	1,08649826049805	150	1,855548620224	150	1,95781886577606	606,25	1,03156101703644	606,25	0,863168001174927	150	1,88225924968719	150	2,1019082069397	606,25	0,716760993003845	606,25	0,607757866382599	150	2,49838376045227	606,25	-2,46073484420776	150	-10,0892343521118	606,25	-2,60545563697815	150	-10,1009035110474	150	-9,77490234375	606,25	-2,54033517837524	606,25	-2,5640344619751	150	-9,74107551574707	150	-9,74677467346191	606,25	-2,7379903793335	606,25	-2,8712100982666	150	-10,0009937286377	150	-10,1339540481567	606,25	-3,09523463249207	606,25	-3,39494395256042	150	-10,662652015686	
609,375	1,83486521244049	153,125	1,52777242660522	609,375	1,61423397064209	153,125	1,85488343238831	153,125	1,6923154592514	609,375	1,39730286598206	609,375	1,08490133285522	153,125	1,49396336078644	153,125	1,58309710025787	609,375	1,02853786945343	609,375	0,857842028141022	153,125	1,50249791145325	153,125	1,69300973415375	609,375	0,706239223480225	609,375	0,595758855342865	153,125	2,01432752609253	609,375	-2,4247727394104	153,125	-9,92574405670166	609,375	-2,6055064201355	153,125	-9,49613285064697	153,125	-9,1899938583374	609,375	-2,5408787727356	609,375	-2,56467056274414	153,125	-9,13998889923096	153,125	-9,17459964752197	609,375	-2,74001240730286	609,375	-2,87414336204529	153,125	-9,40846252441406	153,125	-9,53192520141602	609,375	-3,09972143173218	609,375	-3,40062260627747	153,125	-10,0251760482788	
612,5	1,84355211257935	156,25	2,09530997276306	612,5	1,61242234706879	156,25	1,96284472942352	156,25	1,78734982013702	612,5	1,39563584327698	612,5	1,08360326290131	156,25	1,57016098499298	156,25	1,67354512214661	612,5	1,02660083770752	612,5	0,85608971118927	156,25	1,59019792079926	156,25	1,79044473171234	612,5	0,701205790042877	612,5	0,59298175573349	156,25	2,13351345062256	612,5	-2,42628002166748	156,25	-9,59075450897217	612,5	-2,5844087600708	156,25	-9,7182731628418	156,25	-9,40621948242188	612,5	-2,52171945571899	612,5	-2,54639625549316	156,25	-9,34749603271484	156,25	-9,38422393798828	612,5	-2,72132062911987	612,5	-2,85496997833252	156,25	-9,62960243225098	156,25	-9,772047996521	612,5	-3,07919383049011	612,5	-3,37905693054199	156,25	-10,3030261993408	
615,625	1,84632503986359	159,375	2,13545346260071	615,625	1,60296010971069	159,375	1,83336687088013	159,375	1,66186738014221	615,625	1,38756203651428	615,625	1,07725465297699	159,375	1,45203137397766	159,375	1,55469143390656	615,625	1,01958167552948	615,625	0,849723398685455	159,375	1,46471548080444	159,375	1,64809417724609	615,625	0,692144989967346	615,625	0,585482954978943	159,375	1,96936225891113	615,625	-2,42564845085144	159,375	-9,66145992279053	615,625	-2,55963444709778	159,375	-9,46123027801514	159,375	-9,16435241699219	615,625	-2,49929189682007	615,625	-2,52305102348328	159,375	-9,10406875610352	159,375	-9,15071678161621	615,625	-2,69698762893677	615,625	-2,82950758934021	159,375	-9,38616180419922	159,375	-9,52906227111816	615,625	-3,04931020736694	615,625	-3,34682011604309	159,375	-10,0537624359131	
