Frequency in Hz	Wool_92_HF_1 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_92_LF_1 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_93_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_93_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_95_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_95_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_97_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_97_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_98_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_98_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_92_HF_1 Sound Reflection Factor continuous Im	Frequency in Hz	Wool_92_LF_1 Sound Reflection Factor continuous Im	Frequency in Hz	Wool_93_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_93_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_94_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_94_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_95_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_95_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_96_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_96_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_97_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_97_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_98_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_98_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_99_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_99_LF Sound Reflection Factor continuous Im	
862,5	0,454490631818771	406,25	0,734796941280365	862,5	0,450671255588531	406,25	0,755991339683533	406,25	0,754723489284515	862,5	0,427778482437134	862,5	0,465210676193237	406,25	0,766334354877472	406,25	0,782184302806854	862,5	0,480596393346787	862,5	0,480735391378403	406,25	0,799173295497894	406,25	0,816896259784698	862,5	0,544460594654083	862,5	0,618283987045288	406,25	0,841717123985291	862,5	-0,287747651338577	406,25	-0,366208046674728	862,5	-0,345563679933548	406,25	-0,377553552389145	406,25	-0,397350132465363	862,5	-0,392081290483475	862,5	-0,519057989120483	406,25	-0,424634844064713	406,25	-0,413155764341354	862,5	-0,540414392948151	862,5	-0,57957798242569	406,25	-0,417588979005814	406,25	-0,407391965389252	862,5	-0,61534970998764	862,5	-0,62715095281601	406,25	-0,385189235210419	
865,625	0,451557517051697	409,375	0,731243848800659	865,625	0,450131207704544	409,375	0,741045653820038	409,375	0,738653421401978	865,625	0,427494496107101	865,625	0,463370621204376	409,375	0,748942077159882	409,375	0,765511095523834	865,625	0,477874606847763	865,625	0,479904055595398	409,375	0,782607197761536	409,375	0,801053822040558	865,625	0,54372102022171	865,625	0,617974936962128	409,375	0,827650487422943	865,625	-0,283440351486206	409,375	-0,374557912349701	865,625	-0,34506818652153	409,375	-0,383721858263016	409,375	-0,403115510940552	865,625	-0,39173948764801	865,625	-0,526781320571899	409,375	-0,430610477924347	409,375	-0,420025050640106	865,625	-0,545392513275146	865,625	-0,580549836158752	409,375	-0,425503462553024	409,375	-0,415747493505478	865,625	-0,617500722408295	865,625	-0,629462957382202	409,375	-0,395336747169495	
868,75	0,451996147632599	412,5	0,724539637565613	868,75	0,449780851602554	412,5	0,734827160835266	412,5	0,732394337654114	868,75	0,427115499973297	868,75	0,461233675479889	412,5	0,742043316364288	412,5	0,759188711643219	868,75	0,474796563386917	868,75	0,478974133729935	412,5	0,775742292404175	412,5	0,795514225959778	868,75	0,543050050735474	868,75	0,61781120300293	412,5	0,823208570480347	868,75	-0,286346346139908	412,5	-0,372548013925552	868,75	-0,344998478889465	412,5	-0,392825156450272	412,5	-0,412067979574203	868,75	-0,391762614250183	868,75	-0,534549951553345	412,5	-0,44036328792572	412,5	-0,430018454790115	868,75	-0,550058484077454	868,75	-0,582123100757599	412,5	-0,435584187507629	412,5	-0,426836133003235	868,75	-0,62010133266449	868,75	-0,632366478443146	412,5	-0,407174348831177	
871,875	0,452286839485168	415,625	0,725045800209045	871,875	0,447219282388687	415,625	0,748379588127136	415,625	0,745881199836731	871,875	0,424225389957428	871,875	0,452989250421524	415,625	0,75636625289917	415,625	0,774019539356232	871,875	0,466170877218246	871,875	0,474669069051743	415,625	0,791493237018585	415,625	0,811846077442169	871,875	0,538094758987427	871,875	0,613143742084503	415,625	0,840229451656342	871,875	-0,286744087934494	415,625	-0,36946576833725	871,875	-0,34555321931839	415,625	-0,394629627466202	415,625	-0,414704442024231	871,875	-0,392126113176346	871,875	-0,545647263526917	415,625	-0,444326430559158	415,625	-0,433188825845718	871,875	-0,55659693479538	871,875	-0,584066092967987	415,625	-0,439080208539963	415,625	-0,429464042186737	871,875	-0,622649788856506	871,875	-0,635997235774994	415,625	-0,408594399690628	
875	0,448685735464096	418,75	0,71740847826004	875	0,444741666316986	418,75	0,735305964946747	418,75	0,732922613620758	875	0,421602040529251	875	0,441656470298767	418,75	0,742968559265137	418,75	0,760652005672455	875	0,457994401454926	875	0,472093433141708	418,75	0,777789115905762	418,75	0,798135817050934	875	0,534618616104126	875	0,60954350233078	418,75	0,826370358467102	875	-0,284401774406433	418,75	-0,37014240026474	875	-0,343084394931793	418,75	-0,391742467880249	418,75	-0,411342680454254	875	-0,389482438564301	875	-0,546846807003021	418,75	-0,440387725830078	418,75	-0,429916888475418	875	-0,554463446140289	875	-0,581782877445221	418,75	-0,436084002256393	418,75	-0,427179276943207	875	-0,620421707630157	875	-0,633762061595917	418,75	-0,407936066389084	
878,125	0,448215514421463	421,875	0,724455595016479	878,125	0,4438117146492	421,875	0,733272671699524	421,875	0,73007720708847	878,125	0,420604437589645	878,125	0,433566987514496	421,875	0,739567935466766	421,875	0,758175611495972	878,125	0,451893210411072	878,125	0,471064746379852	421,875	0,775940895080566	421,875	0,796852648258209	878,125	0,533063173294067	878,125	0,608470618724823	421,875	0,827071189880371	878,125	-0,285295486450195	421,875	-0,373747318983078	878,125	-0,343074470758438	421,875	-0,402718394994736	421,875	-0,422603935003281	878,125	-0,389855265617371	878,125	-0,556086957454681	421,875	-0,452539503574371	421,875	-0,442278385162354	878,125	-0,558850705623627	878,125	-0,584141433238983	421,875	-0,448828458786011	421,875	-0,440510451793671	878,125	-0,623239934444427	878,125	-0,636776268482208	421,875	-0,421704262495041	
881,25	0,448665052652359	425	0,723221659660339	881,25	0,440734386444092	425	0,732796728610992	425	0,730095863342285	881,25	0,417631894350052	881,25	0,419817715883255	425	0,740242063999176	425	0,758760392665863	881,25	0,441881060600281	881,25	0,466689079999924	425	0,776897549629211	425	0,797500491142273	881,25	0,527934074401855	881,25	0,603061139583588	425	0,827021181583405	881,25	-0,28405499458313	425	-0,380879670381546	881,25	-0,342169433832169	425	-0,397812843322754	425	-0,41818630695343	881,25	-0,389025449752808	881,25	-0,558454930782318	425	-0,448655337095261	425	-0,437890857458115	881,25	-0,558809518814087	881,25	-0,58448737859726	425	-0,444162666797638	425	-0,435348957777023	881,25	-0,623493552207947	881,25	-0,637861847877502	425	-0,416337639093399	
884,375	0,44768700003624	428,125	0,72502076625824	884,375	0,440464466810226	428,125	0,736869692802429	428,125	0,735545337200165	884,375	0,41693526506424	884,375	0,409247636795044	428,125	0,747140288352966	428,125	0,764978229999542	884,375	0,436406284570694	884,375	0,466415673494339	428,125	0,78340083360672	428,125	0,803604185581207	884,375	0,527339935302734	884,375	0,602964341640472	428,125	0,831224262714386	884,375	-0,284738093614578	428,125	-0,379986345767975	884,375	-0,340565174818039	428,125	-0,383776515722275	428,125	-0,404810667037964	884,375	-0,38758784532547	884,375	-0,559759914875031	428,125	-0,434991061687469	428,125	-0,423969924449921	884,375	-0,558204233646393	884,375	-0,585230469703674	428,125	-0,429371267557144	428,125	-0,419880092144012	884,375	-0,62388288974762	884,375	-0,638765394687653	428,125	-0,399975538253784	
887,5	0,445478469133377	431,25	0,717174470424652	887,5	0,437855839729309	431,25	0,730772852897644	431,25	0,728101670742035	887,5	0,414531230926514	887,5	0,39838045835495	431,25	0,738807916641235	431,25	0,757730424404144	887,5	0,430314004421234	887,5	0,463109880685806	431,25	0,776443958282471	431,25	0,798115253448486	887,5	0,523861289024353	887,5	0,599888622760773	431,25	0,827571034431458	887,5	-0,281433194875717	431,25	-0,383421093225479	887,5	-0,337228685617447	431,25	-0,400876045227051	431,25	-0,422111719846725	887,5	-0,384527564048767	887,5	-0,5539231300354	431,25	-0,453104913234711	431,25	-0,44270595908165	887,5	-0,551929533481598	887,5	-0,582153856754303	431,25	-0,449525564908981	431,25	-0,440560162067413	887,5	-0,62048614025116	887,5	-0,63586163520813	431,25	-0,421366751194	
890,625	0,442480236291885	434,375	0,717759966850281	890,625	0,435676127672195	434,375	0,729921996593475	434,375	0,727220356464386	890,625	0,412553757429123	890,625	0,386612057685852	434,375	0,738200068473816	434,375	0,757396638393402	890,625	0,422821372747421	890,625	0,459822416305542	434,375	0,776253819465637	434,375	0,797999799251556	890,625	0,520458221435547	890,625	0,596530377864838	434,375	0,827544748783112	890,625	-0,278425604104996	434,375	-0,377101808786392	890,625	-0,338020622730255	434,375	-0,396086484193802	434,375	-0,417310953140259	890,625	-0,385249257087708	890,625	-0,556388556957245	434,375	-0,448741525411606	434,375	-0,438082128763199	890,625	-0,552784442901611	890,625	-0,585143268108368	434,375	-0,444876164197922	434,375	-0,435876160860062	890,625	-0,623567223548889	890,625	-0,639244675636292	434,375	-0,416506588459015	
893,75	0,440936118364334	437,5	0,718304097652435	893,75	0,436590224504471	437,5	0,728762984275818	437,5	0,726041197776794	893,75	0,413026571273804	893,75	0,376990526914597	437,5	0,736933767795563	437,5	0,756547033786774	893,75	0,418230891227722	893,75	0,459357559680939	437,5	0,775738954544067	437,5	0,79797625541687	893,75	0,520458996295929	893,75	0,59721714258194	437,5	0,828153431415558	893,75	-0,27917093038559	437,5	-0,384320288896561	893,75	-0,340705007314682	437,5	-0,395788669586182	437,5	-0,417293548583984	893,75	-0,387882739305496	893,75	-0,561060667037964	437,5	-0,449502855539322	437,5	-0,438714981079102	893,75	-0,557724893093109	893,75	-0,592538297176361	437,5	-0,445722252130508	437,5	-0,436554074287415	893,75	-0,630300581455231	893,75	-0,647477805614471	437,5	-0,416979253292084	
896,875	0,441031396389008	440,625	0,723041772842407	896,875	0,433789700269699	440,625	0,725744903087616	440,625	0,723043262958527	896,875	0,410028666257858	896,875	0,365150690078735	440,625	0,734141111373901	440,625	0,753806829452515	896,875	0,410740315914154	896,875	0,454123497009277	440,625	0,773234248161316	440,625	0,795387446880341	896,875	0,515973806381226	896,875	0,593144834041595	440,625	0,825117409229279	896,875	-0,277963936328888	440,625	-0,397196471691132	896,875	-0,339476644992828	440,625	-0,393291264772415	440,625	-0,415033906698227	896,875	-0,38690510392189	896,875	-0,555215835571289	440,625	-0,447327554225922	440,625	-0,436648339033127	896,875	-0,55415266752243	896,875	-0,593155205249786	440,625	-0,443396359682083	440,625	-0,43448194861412	896,875	-0,630226612091064	896,875	-0,64769583940506	440,625	-0,41481825709343	
900	0,439250409603119	443,75	0,708954513072968	900	0,433977872133255	443,75	0,718930900096893	443,75	0,715930163860321	900	0,410059362649918	900	0,361745297908783	443,75	0,726370513439178	443,75	0,746588051319122	900	0,410074681043625	900	0,45386728644371	443,75	0,76575493812561	443,75	0,788754463195801	900	0,516688466072083	900	0,593838810920715	443,75	0,819376349449158	900	-0,276517301797867	443,75	-0,389050751924515	900	-0,336904734373093	443,75	-0,399933665990829	443,75	-0,421849519014359	900	-0,384741634130478	900	-0,549333155155182	443,75	-0,454637259244919	443,75	-0,444470196962357	900	-0,550401270389557	900	-0,592363715171814	443,75	-0,451248943805695	443,75	-0,443617582321167	900	-0,629312694072723	900	-0,64714390039444	443,75	-0,424654453992844	
903,125	0,440371096134186	446,875	0,704321920871735	903,125	0,430911481380463	446,875	0,71539568901062	446,875	0,712947368621826	903,125	0,407442331314087	903,125	0,353082299232483	446,875	0,723741233348846	446,875	0,744084298610687	903,125	0,404650270938873	903,125	0,448311358690262	446,875	0,763385534286499	446,875	0,786579072475433	903,125	0,512935996055603	903,125	0,589408695697784	446,875	0,816720128059387	903,125	-0,275146692991257	446,875	-0,382817983627319	903,125	-0,33525162935257	446,875	-0,396937102079391	446,875	-0,419007688760757	903,125	-0,38287353515625	903,125	-0,541786730289459	446,875	-0,45195472240448	446,875	-0,441858261823654	903,125	-0,545843541622162	903,125	-0,591835498809814	446,875	-0,448736697435379	446,875	-0,440737217664719	903,125	-0,628489017486572	903,125	-0,646710634231567	446,875	-0,422014743089676	
906,25	0,438643425703049	450	0,699123322963715	906,25	0,43027451634407	450	0,725456476211548	450	0,7229323387146	906,25	0,406593233346939	906,25	0,349009484052658	450	0,734285652637482	450	0,755247175693512	906,25	0,401716113090515	906,25	0,444704562425613	450	0,775431036949158	450	0,799319267272949	906,25	0,510752260684967	906,25	0,587648034095764	450	0,830279111862183	906,25	-0,274673461914063	450	-0,382397145032883	906,25	-0,334629118442535	450	-0,398205786943436	450	-0,421076983213425	906,25	-0,382454514503479	906,25	-0,536144137382507	450	-0,455030709505081	450	-0,444620221853256	906,25	-0,543558239936829	906,25	-0,592665195465088	450	-0,45197257399559	450	-0,443163961172104	906,25	-0,630063235759735	906,25	-0,649199485778809	450	-0,423597931861877	
909,375	0,436774909496307	453,125	0,69645881652832	909,375	0,43127778172493	453,125	0,723374545574188	453,125	0,720491647720337	909,375	0,407330602407455	909,375	0,34519225358963	453,125	0,731859683990479	453,125	0,753150403499603	909,375	0,400035381317139	909,375	0,443817496299744	453,125	0,773801207542419	453,125	0,798119843006134	909,375	0,511494815349579	909,375	0,588772177696228	453,125	0,830001711845398	909,375	-0,274898320436478	453,125	-0,383589804172516	909,375	-0,335031270980835	453,125	-0,398741453886032	453,125	-0,421947509050369	909,375	-0,383696168661118	909,375	-0,535301148891449	453,125	-0,456519693136215	453,125	-0,446234107017517	909,375	-0,544931650161743	909,375	-0,596603512763977	453,125	-0,454012483358383	453,125	-0,445349395275116	909,375	-0,634359359741211	909,375	-0,653731167316437	453,125	-0,42541778087616	
912,5	0,436293035745621	456,25	0,69619882106781	912,5	0,4285609126091	456,25	0,725913465023041	456,25	0,722887992858887	912,5	0,404420256614685	912,5	0,337405264377594	456,25	0,73418128490448	456,25	0,75614196062088	912,5	0,394278407096863	912,5	0,437474459409714	456,25	0,777468085289001	456,25	0,8023801445961	912,5	0,506135106086731	912,5	0,583248376846313	456,25	0,835295557975769	912,5	-0,273924469947815	456,25	-0,38686603307724	912,5	-0,336443483829498	456,25	-0,402927160263062	456,25	-0,426385283470154	912,5	-0,385243475437164	912,5	-0,532701909542084	456,25	-0,462172031402588	456,25	-0,451756626367569	912,5	-0,544865906238556	912,5	-0,599410235881805	456,25	-0,459821939468384	456,25	-0,451116025447845	912,5	-0,63731461763382	912,5	-0,657654643058777	456,25	-0,430586069822311	
915,625	0,435597121715546	459,375	0,696905970573425	915,625	0,426629662513733	459,375	0,715497851371765	459,375	0,712076008319855	915,625	0,40272381901741	915,625	0,33381649851799	459,375	0,723061501979828	459,375	0,745051860809326	915,625	0,391216307878494	915,625	0,433046728372574	459,375	0,766008675098419	459,375	0,791236460208893	915,625	0,502856969833374	915,625	0,580110371112823	459,375	0,824007868766785	915,625	-0,273992598056793	459,375	-0,386031299829483	915,625	-0,335503071546555	459,375	-0,407047510147095	459,375	-0,430174231529236	915,625	-0,38338366150856	915,625	-0,526053965091705	459,375	-0,466053068637848	459,375	-0,45637521147728	915,625	-0,541248857975006	915,625	-0,598116278648376	459,375	-0,464470624923706	459,375	-0,456855416297913	915,625	-0,637155771255493	915,625	-0,658362507820129	459,375	-0,437460243701935	
918,75	0,435746848583221	462,5	0,692396759986877	918,75	0,425198584794998	462,5	0,706225216388702	462,5	0,702698707580566	918,75	0,40139040350914	918,75	0,331861883401871	462,5	0,712986290454865	462,5	0,735036075115204	918,75	0,389486193656921	918,75	0,429939270019531	462,5	0,755581557750702	462,5	0,781316459178925	918,75	0,500170707702637	918,75	0,57752788066864	462,5	0,814151525497437	918,75	-0,272340387105942	462,5	-0,391228288412094	918,75	-0,33319503068924	462,5	-0,414073139429092	462,5	-0,437133848667145	918,75	-0,381302535533905	918,75	-0,520329833030701	462,5	-0,472768843173981	462,5	-0,463757514953613	918,75	-0,537646591663361	918,75	-0,595176696777344	462,5	-0,47298726439476	462,5	-0,465561598539352	918,75	-0,635235011577606	918,75	-0,656840026378632	462,5	-0,447459667921066	
921,875	0,43411311507225	465,625	0,686808526515961	921,875	0,423518478870392	465,625	0,705818772315979	465,625	0,702145397663116	921,875	0,399825483560562	921,875	0,329209208488464	465,625	0,712298572063446	465,625	0,735066175460815	921,875	0,38744729757309	921,875	0,426615744829178	465,625	0,755639374256134	465,625	0,781961560249329	921,875	0,497695028781891	921,875	0,575295805931091	465,625	0,815501093864441	921,875	-0,272844851016998	465,625	-0,391047179698944	921,875	-0,329906344413757	465,625	-0,41596457362175	465,625	-0,4392911195755	921,875	-0,378620892763138	921,875	-0,513538360595703	465,625	-0,475473016500473	465,625	-0,466527491807938	921,875	-0,533455967903137	921,875	-0,592060744762421	465,625	-0,475853145122528	465,625	-0,468649655580521	921,875	-0,633578240871429	921,875	-0,655500471591949	465,625	-0,450730353593826	
925	0,432737052440643	468,75	0,67976438999176	925	0,422496825456619	468,75	0,704475879669189	468,75	0,70077508687973	925	0,399127215147018	925	0,32734027504921	468,75	0,710946142673492	468,75	0,733932256698608	925	0,385667204856873	925	0,424488544464111	468,75	0,755162954330444	468,75	0,781439006328583	925	0,496168494224548	925	0,574028849601746	468,75	0,815198481082916	925	-0,271836489439011	468,75	-0,39101842045784	925	-0,329029411077499	468,75	-0,413933008909225	468,75	-0,437454998493195	925	-0,377995222806931	925	-0,510386168956757	468,75	-0,473899602890015	468,75	-0,465135872364044	925	-0,532258272171021	925	-0,592260420322418	468,75	-0,474680483341217	468,75	-0,467491447925568	925	-0,634823739528656	925	-0,656866908073425	468,75	-0,44950258731842	
928,125	0,431411623954773	471,875	0,679170310497284	928,125	0,42401385307312	471,875	0,693921983242035	471,875	0,689998865127563	928,125	0,400855869054794	928,125	0,327460467815399	471,875	0,69957035779953	471,875	0,722937643527985	928,125	0,386496245861053	928,125	0,425108760595322	471,875	0,744029939174652	471,875	0,770820736885071	928,125	0,498199731111526	928,125	0,576201915740967	471,875	0,804778218269348	928,125	-0,269931733608246	471,875	-0,393517673015594	928,125	-0,329026103019714	471,875	-0,423676043748856	471,875	-0,447266489267349	928,125	-0,378565400838852	928,125	-0,509669065475464	471,875	-0,484034419059753	471,875	-0,475960254669189	928,125	-0,532834708690643	928,125	-0,594167530536652	471,875	-0,486146748065948	471,875	-0,479725629091263	928,125	-0,637445986270905	928,125	-0,659927904605865	471,875	-0,462452113628387	
931,25	0,431192010641098	475	0,675377428531647	931,25	0,418900012969971	475	0,690690219402313	475	0,686612725257874	931,25	0,395911902189255	931,25	0,320702642202377	475	0,696441769599915	475	0,720080971717834	931,25	0,379070401191711	931,25	0,416265308856964	475	0,741159439086914	475	0,768125116825104	931,25	0,490023761987686	931,25	0,567699790000916	475	0,802322864532471	931,25	-0,269278436899185	475	-0,393766671419144	931,25	-0,328912675380707	475	-0,42120173573494	475	-0,444837987422943	931,25	-0,378798574209213	931,25	-0,504906117916107	475	-0,482094615697861	475	-0,474194765090942	931,25	-0,53141188621521	931,25	-0,592849493026733	475	-0,484309017658234	475	-0,477841109037399	931,25	-0,638603746891022	931,25	-0,662137925624847	475	-0,460785567760468	
934,375	0,43031033873558	478,125	0,672396183013916	934,375	0,418940156698227	478,125	0,689542353153229	478,125	0,685822486877441	934,375	0,39587014913559	934,375	0,320363879203796	478,125	0,696313679218292	478,125	0,720035493373871	934,375	0,37838277220726	934,375	0,414953231811523	478,125	0,741349995136261	478,125	0,768401086330414	934,375	0,488758385181427	934,375	0,566861212253571	478,125	0,802152872085571	934,375	-0,267611891031265	478,125	-0,393128752708435	934,375	-0,32788360118866	478,125	-0,411921471357346	478,125	-0,436031401157379	934,375	-0,377550184726715	934,375	-0,502101361751556	478,125	-0,473551243543625	478,125	-0,465262174606323	934,375	-0,529993951320648	934,375	-0,592241764068604	478,125	-0,475104779005051	478,125	-0,468386471271515	934,375	-0,638949453830719	934,375	-0,663419544696808	478,125	-0,450612753629684	
937,5	0,429177343845367	481,25	0,669617831707001	937,5	0,417224109172821	481,25	0,695087313652039	481,25	0,691655874252319	937,5	0,394032955169678	937,5	0,318133741617203	481,25	0,702164590358734	481,25	0,726220488548279	937,5	0,375802606344223	937,5	0,411703824996948	481,25	0,748258769512177	481,25	0,776062428951263	937,5	0,485585570335388	937,5	0,564124286174774	481,25	0,810725927352905	937,5	-0,266848981380463	481,25	-0,396158397197723	937,5	-0,327307373285294	481,25	-0,413427025079727	481,25	-0,438046544790268	937,5	-0,376653373241425	937,5	-0,498880714178085	481,25	-0,476238310337067	481,25	-0,467582017183304	937,5	-0,528473496437073	937,5	-0,591636598110199	481,25	-0,477704912424088	481,25	-0,47102165222168	937,5	-0,639293372631073	937,5	-0,663891017436981	481,25	-0,452832609415054	
940,625	0,429675906896591	484,375	0,669344305992126	940,625	0,416839778423309	484,375	0,684403777122498	484,375	0,680426597595215	940,625	0,39361983537674	940,625	0,317215949296951	484,375	0,69056499004364	484,375	0,714729189872742	940,625	0,374921143054962	940,625	0,410671830177307	484,375	0,736341655254364	484,375	0,764733970165253	940,625	0,484802722930908	940,625	0,563372552394867	484,375	0,799847424030304	940,625	-0,265461295843124	484,375	-0,397225767374039	940,625	-0,326051443815231	484,375	-0,418524324893951	484,375	-0,442797869443893	940,625	-0,375884979963303	940,625	-0,49631941318512	484,375	-0,481500744819641	484,375	-0,473435968160629	940,625	-0,527206420898438	940,625	-0,591002285480499	484,375	-0,484169691801071	484,375	-0,478346645832062	940,625	-0,639747142791748	940,625	-0,664112508296967	484,375	-0,460741400718689	
943,75	0,427937895059586	487,5	0,66378515958786	943,75	0,414565145969391	487,5	0,684192180633545	487,5	0,680329084396362	943,75	0,391792505979538	943,75	0,313323557376862	487,5	0,690859913825989	487,5	0,715113282203674	943,75	0,370502591133118	943,75	0,40509170293808	487,5	0,737178146839142	487,5	0,765788197517395	943,75	0,480049699544907	943,75	0,55872368812561	487,5	0,800777733325958	943,75	-0,266114950180054	487,5	-0,396426200866699	943,75	-0,326814442873001	487,5	-0,414337277412415	487,5	-0,438884288072586	943,75	-0,377466231584549	943,75	-0,49505278468132	487,5	-0,477854818105698	487,5	-0,469884604215622	943,75	-0,52842515707016	943,75	-0,593385100364685	487,5	-0,480586409568787	487,5	-0,474623173475266	943,75	-0,643552541732788	943,75	-0,669161558151245	487,5	-0,456869035959244	
946,875	0,42791759967804	490,625	0,661677420139313	946,875	0,413413107395172	490,625	0,680186450481415	490,625	0,676248073577881	946,875	0,390975922346115	946,875	0,31175222992897	490,625	0,686449825763702	490,625	0,711097002029419	946,875	0,368486344814301	946,875	0,403055340051651	490,625	0,73316901922226	490,625	0,762237131595612	946,875	0,478703230619431	946,875	0,557681560516357	490,625	0,797577142715454	946,875	-0,264641433954239	490,625	-0,401358008384705	946,875	-0,325783252716064	490,625	-0,417252659797668	490,625	-0,442057639360428	946,875	-0,376676023006439	946,875	-0,49273943901062	490,625	-0,481456905603409	490,625	-0,473901331424713	946,875	-0,527150571346283	946,875	-0,593061208724976	490,625	-0,484765112400055	490,625	-0,479208916425705	946,875	-0,64367151260376	946,875	-0,669699132442474	490,625	-0,461809128522873	
950	0,426259607076645	493,75	0,659292876720428	950	0,412405699491501	493,75	0,67406690120697	493,75	0,670044779777527	950	0,390249758958817	950	0,311002612113953	493,75	0,679803192615509	493,75	0,704812705516815	950	0,367016941308975	950	0,400982797145844	493,75	0,726981163024902	493,75	0,756113231182098	950	0,47668132185936	950	0,555681049823761	493,75	0,791698157787323	950	-0,262929767370224	493,75	-0,400542467832565	950	-0,323876351118088	493,75	-0,417257964611053	493,75	-0,442117810249329	950	-0,375067412853241	950	-0,489529937505722	493,75	-0,481630325317383	493,75	-0,474360525608063	950	-0,524986922740936	950	-0,591325700283051	493,75	-0,485442817211151	493,75	-0,480242848396301	950	-0,643083274364471	950	-0,669861137866974	493,75	-0,463221549987793	
953,125	0,426372289657593	496,875	0,657338798046112	953,125	0,412238299846649	496,875	0,672262191772461	496,875	0,667959153652191	953,125	0,390381932258606	953,125	0,310422629117966	496,875	0,677692115306854	496,875	0,703036844730377	953,125	0,366574496030808	953,125	0,400335788726807	496,875	0,725756406784058	496,875	0,755018651485443	953,125	0,476676017045975	953,125	0,555860817432404	496,875	0,791529178619385	953,125	-0,262206226587296	496,875	-0,39892989397049	953,125	-0,322089731693268	496,875	-0,417770236730576	496,875	-0,442823886871338	953,125	-0,373684942722321	953,125	-0,486961185932159	496,875	-0,483003079891205	496,875	-0,475883692502975	953,125	-0,523337960243225	953,125	-0,590652525424957	496,875	-0,487135320901871	496,875	-0,482158839702606	953,125	-0,643352270126343	953,125	-0,670053780078888	496,875	-0,465125560760498	
956,25	0,425868093967438	500	0,656883358955383	956,25	0,410513609647751	500	0,674734652042389	500	0,669813990592957	956,25	0,38864141702652	956,25	0,30887895822525	500	0,679440915584564	500	0,70529842376709	956,25	0,364081591367722	956,25	0,396927058696747	500	0,728422522544861	500	0,758438289165497	956,25	0,472572952508926	956,25	0,551482558250427	500	0,796074390411377	956,25	-0,2612544298172	500	-0,402279108762741	956,25	-0,320986539125443	500	-0,424892902374268	500	-0,450127273797989	956,25	-0,372590363025665	956,25	-0,484166443347931	500	-0,491267800331116	500	-0,484440684318542	956,25	-0,521084547042847	956,25	-0,588781654834747	500	-0,496463656425476	500	-0,49171444773674	956,25	-0,642708003520966	956,25	-0,669658601284027	500	-0,475003629922867	
959,375	0,424635112285614	503,125	0,650217294692993	959,375	0,408549457788467	503,125	0,670735418796539	503,125	0,665819823741913	959,375	0,386545807123184	959,375	0,306554794311523	503,125	0,674929678440094	503,125	0,701099097728729	959,375	0,360755443572998	959,375	0,392502427101135	503,125	0,723897397518158	503,125	0,754710137844086	959,375	0,467947721481323	959,375	0,546541810035706	503,125	0,792149841785431	959,375	-0,260318249464035	503,125	-0,402838885784149	959,375	-0,320651113986969	503,125	-0,425903111696243	503,125	-0,451421678066254	959,375	-0,373090416193008	959,375	-0,482291877269745	503,125	-0,492761343717575	503,125	-0,486470252275467	959,375	-0,520355999469757	959,375	-0,588580191135406	503,125	-0,498732030391693	503,125	-0,494747549295425	959,375	-0,643808543682098	959,375	-0,671803057193756	503,125	-0,47835174202919	
