frequency f in Hz; re(r) ; im(r)
99.000000;0.971434;-0.136835
100.000000;0.970390;-0.153279
101.000000;0.969046;-0.154425
102.000000;0.979206;-0.145260
103.000000;0.976650;-0.144584
104.000000;0.978241;-0.153000
105.000000;0.971498;-0.151376
106.000000;0.963676;-0.139991
107.000000;0.959729;-0.139518
108.000000;0.959344;-0.146159
109.000000;0.973015;-0.144629
110.000000;0.956299;-0.154987
111.000000;0.962318;-0.144989
112.000000;0.966321;-0.146739
113.000000;0.965224;-0.157801
114.000000;0.965452;-0.162901
115.000000;0.964698;-0.161568
116.000000;0.966841;-0.160279
117.000000;0.967661;-0.165270
118.000000;0.957485;-0.169832
119.000000;0.962337;-0.169682
120.000000;0.965507;-0.157034
121.000000;0.953306;-0.164398
122.000000;0.961235;-0.176818
123.000000;0.957848;-0.175630
124.000000;0.954045;-0.171798
125.000000;0.961668;-0.178207
126.000000;0.956635;-0.180102
127.000000;0.956938;-0.176438
128.000000;0.955494;-0.174402
129.000000;0.958378;-0.176516
130.000000;0.954082;-0.177587
131.000000;0.954737;-0.179116
132.000000;0.951748;-0.184345
133.000000;0.950874;-0.183362
134.000000;0.952550;-0.178344
135.000000;0.955520;-0.178338
136.000000;0.955930;-0.179510
137.000000;0.954042;-0.183359
138.000000;0.947690;-0.189739
139.000000;0.951096;-0.189787
140.000000;0.950203;-0.185086
141.000000;0.946671;-0.190519
142.000000;0.943692;-0.191650
143.000000;0.940500;-0.189401
144.000000;0.942409;-0.190469
145.000000;0.944969;-0.194937
146.000000;0.944957;-0.196222
147.000000;0.941474;-0.191851
148.000000;0.941493;-0.197242
149.000000;0.943382;-0.198831
150.000000;0.941118;-0.196704
151.000000;0.935638;-0.198890
152.000000;0.935100;-0.200703
153.000000;0.937900;-0.202868
154.000000;0.936920;-0.200424
155.000000;0.936064;-0.202296
156.000000;0.933754;-0.203962
157.000000;0.935498;-0.207709
158.000000;0.933703;-0.210315
159.000000;0.933435;-0.210170
160.000000;0.934741;-0.208428
161.000000;0.934614;-0.209358
162.000000;0.930969;-0.212238
163.000000;0.930512;-0.211707
164.000000;0.929010;-0.213299
165.000000;0.929708;-0.212577
166.000000;0.926735;-0.217462
167.000000;0.925494;-0.215747
168.000000;0.925196;-0.216136
169.000000;0.925482;-0.217368
170.000000;0.923481;-0.220370
171.000000;0.924641;-0.218933
172.000000;0.925082;-0.222189
173.000000;0.922081;-0.225403
174.000000;0.921066;-0.226624
175.000000;0.919999;-0.225530
176.000000;0.919411;-0.227875
177.000000;0.918905;-0.228204
178.000000;0.917873;-0.227014
179.000000;0.916688;-0.228439
180.000000;0.918032;-0.229503
181.000000;0.916682;-0.231983
182.000000;0.916032;-0.233110
183.000000;0.914886;-0.233438
184.000000;0.913268;-0.234355
185.000000;0.912102;-0.235415
186.000000;0.912857;-0.238289
187.000000;0.912861;-0.237503
188.000000;0.910498;-0.237908
189.000000;0.909731;-0.238887
190.000000;0.909994;-0.240266
191.000000;0.907927;-0.241924
192.000000;0.907608;-0.241514
193.000000;0.905873;-0.245253
194.000000;0.905405;-0.244205
195.000000;0.904227;-0.244703
196.000000;0.903037;-0.245935
197.000000;0.902787;-0.248277
198.000000;0.903438;-0.246196
199.000000;0.901753;-0.248875
200.000000;0.901750;-0.248993
201.000000;0.899239;-0.250854
202.000000;0.899064;-0.250985
203.000000;0.898752;-0.253704
204.000000;0.897330;-0.252933
205.000000;0.897052;-0.253902
206.000000;0.894840;-0.255689
207.000000;0.894139;-0.254746
208.000000;0.892688;-0.257381
209.000000;0.892465;-0.257479
210.000000;0.891971;-0.259357
211.000000;0.890960;-0.260073
212.000000;0.889740;-0.260582
213.000000;0.889614;-0.262454
214.000000;0.889045;-0.261839
215.000000;0.887672;-0.264860
216.000000;0.887998;-0.264112
217.000000;0.885823;-0.264780
218.000000;0.885329;-0.265865
219.000000;0.884572;-0.266985
220.000000;0.883229;-0.267845
221.000000;0.882786;-0.268391
222.000000;0.882570;-0.267692
223.000000;0.881103;-0.270359
224.000000;0.879649;-0.271720
225.000000;0.878989;-0.273392
226.000000;0.878549;-0.272815
227.000000;0.877539;-0.274858
228.000000;0.877565;-0.275554
229.000000;0.876171;-0.276896
230.000000;0.875338;-0.277205
231.000000;0.874495;-0.277848
232.000000;0.873306;-0.279521
233.000000;0.872425;-0.279002
234.000000;0.872358;-0.280175
235.000000;0.869831;-0.281952
236.000000;0.868367;-0.280714
237.000000;0.868204;-0.282874
238.000000;0.868037;-0.283867
239.000000;0.866827;-0.284219
240.000000;0.866677;-0.286686
241.000000;0.865707;-0.286159
242.000000;0.863872;-0.287089
243.000000;0.864524;-0.288144
244.000000;0.862810;-0.288055
245.000000;0.861332;-0.287131
246.000000;0.860658;-0.289620
247.000000;0.860772;-0.290403
248.000000;0.859482;-0.291713
249.000000;0.857933;-0.291821
250.000000;0.857023;-0.292813
251.000000;0.854764;-0.294246
252.000000;0.854014;-0.295630
253.000000;0.853889;-0.295508
254.000000;0.851545;-0.294571
255.000000;0.850840;-0.295978
256.000000;0.850527;-0.295984
257.000000;0.850275;-0.298547
258.000000;0.849143;-0.298295
259.000000;0.849158;-0.301179
260.000000;0.846967;-0.301617
261.000000;0.844864;-0.300773
262.000000;0.845961;-0.301601
263.000000;0.845929;-0.304042
264.000000;0.843620;-0.305362
265.000000;0.843021;-0.306272
266.000000;0.839718;-0.305142
267.000000;0.838906;-0.307703
268.000000;0.838574;-0.309900
269.000000;0.838382;-0.310949
270.000000;0.838209;-0.308596
271.000000;0.835633;-0.310217
272.000000;0.835718;-0.312448
273.000000;0.833642;-0.311622
274.000000;0.834568;-0.312737
275.000000;0.837118;-0.309987
276.000000;0.834096;-0.313716
277.000000;0.831484;-0.315255
278.000000;0.830388;-0.316652
279.000000;0.829573;-0.316268
280.000000;0.824477;-0.314398
281.000000;0.823126;-0.316921
282.000000;0.821975;-0.319278
283.000000;0.820071;-0.322274
284.000000;0.820524;-0.319824
285.000000;0.820186;-0.320389
286.000000;0.819500;-0.319179
287.000000;0.819847;-0.320670
288.000000;0.818886;-0.319291
289.000000;0.814177;-0.319891
290.000000;0.817648;-0.325059
291.000000;0.815069;-0.325164
292.000000;0.809593;-0.321833
293.000000;0.808238;-0.328037
294.000000;0.810168;-0.331685
295.000000;0.807391;-0.328966
296.000000;0.803607;-0.331537
297.000000;0.806112;-0.336537
298.000000;0.800820;-0.334835
299.000000;0.793716;-0.335797
300.000000;0.794005;-0.340064
301.000000;0.796178;-0.338369
302.000000;0.788642;-0.342338
303.000000;0.784514;-0.338491
304.000000;0.783037;-0.334524
305.000000;0.782007;-0.337876
306.000000;0.773372;-0.339984
307.000000;0.774014;-0.343436
308.000000;0.773873;-0.340353
309.000000;0.771487;-0.345694
310.000000;0.769751;-0.339312
311.000000;0.768293;-0.330201
312.000000;0.767092;-0.329214
313.000000;0.763643;-0.327774
314.000000;0.766087;-0.327886
315.000000;0.769889;-0.321466
316.000000;0.776032;-0.320966
317.000000;0.773345;-0.320017
318.000000;0.772588;-0.315915
319.000000;0.772281;-0.322193
320.000000;0.769602;-0.333085
321.000000;0.773898;-0.324199
322.000000;0.784474;-0.320278
323.000000;0.784397;-0.326778
324.000000;0.775329;-0.325592
325.000000;0.778596;-0.327877
326.000000;0.785201;-0.328304
327.000000;0.787097;-0.327023
328.000000;0.779129;-0.328232
329.000000;0.773120;-0.324764
330.000000;0.771818;-0.336521
331.000000;0.776804;-0.339092
332.000000;0.770481;-0.341207
333.000000;0.772303;-0.336003
334.000000;0.767240;-0.337363
335.000000;0.763859;-0.344198
336.000000;0.762480;-0.334890
337.000000;0.762473;-0.335162
338.000000;0.762395;-0.335826
339.000000;0.764166;-0.338973
340.000000;0.757844;-0.347515
341.000000;0.755045;-0.356040
342.000000;0.749959;-0.342875
343.000000;0.751256;-0.334299
344.000000;0.758968;-0.343373
345.000000;0.771218;-0.345248
346.000000;0.752878;-0.343836
347.000000;0.752418;-0.341068
348.000000;0.754444;-0.332548
349.000000;0.749744;-0.346262
350.000000;0.754715;-0.353203
351.000000;0.749136;-0.346596
352.000000;0.742385;-0.345181
353.000000;0.728433;-0.348819
354.000000;0.733254;-0.344718
355.000000;0.735009;-0.339242
356.000000;0.730928;-0.355132
357.000000;0.742992;-0.359354
358.000000;0.735623;-0.347620
359.000000;0.742786;-0.356553
360.000000;0.743046;-0.358341
361.000000;0.756931;-0.359929
362.000000;0.747376;-0.357075
363.000000;0.752860;-0.364288
364.000000;0.744424;-0.360259
365.000000;0.742378;-0.357968
366.000000;0.732683;-0.364928
367.000000;0.733162;-0.351780
368.000000;0.729196;-0.339761
369.000000;0.738833;-0.348165
370.000000;0.736385;-0.356446
371.000000;0.731714;-0.358896
372.000000;0.735757;-0.355075
373.000000;0.725858;-0.348930
374.000000;0.708275;-0.347643
375.000000;0.703757;-0.358904
376.000000;0.714820;-0.355843
377.000000;0.730874;-0.349127
378.000000;0.734577;-0.373753
379.000000;0.727034;-0.376655
380.000000;0.709893;-0.362762
381.000000;0.725969;-0.347127
382.000000;0.736436;-0.341224
383.000000;0.736304;-0.356793
384.000000;0.739081;-0.367644
385.000000;0.728477;-0.366388
386.000000;0.702759;-0.381883
387.000000;0.686501;-0.361091
388.000000;0.700428;-0.367428
389.000000;0.701998;-0.368470
390.000000;0.718349;-0.346852
391.000000;0.713120;-0.355519
392.000000;0.710484;-0.362494
393.000000;0.694035;-0.367213
394.000000;0.672944;-0.369252
395.000000;0.682182;-0.367033
396.000000;0.680709;-0.371783
397.000000;0.670244;-0.378890
398.000000;0.695533;-0.380848
399.000000;0.700246;-0.357010
400.000000;0.686891;-0.366462
401.000000;0.710158;-0.349390
402.000000;0.728283;-0.350100
403.000000;0.688022;-0.353460
404.000000;0.690478;-0.393185
405.000000;0.697997;-0.389866
406.000000;0.709934;-0.378453
407.000000;0.709785;-0.389240
408.000000;0.690815;-0.394258
409.000000;0.687553;-0.355879
410.000000;0.699036;-0.373124
411.000000;0.684257;-0.376173
412.000000;0.681985;-0.359105
413.000000;0.684357;-0.341598
414.000000;0.682852;-0.329337
415.000000;0.672120;-0.341924
416.000000;0.688420;-0.363992
417.000000;0.701718;-0.362119
418.000000;0.699797;-0.352049
419.000000;0.669782;-0.365460
420.000000;0.667607;-0.356534
421.000000;0.693688;-0.363171
422.000000;0.699133;-0.342719
423.000000;0.685210;-0.341339
424.000000;0.680042;-0.359459
425.000000;0.695029;-0.378661
426.000000;0.697679;-0.360198
427.000000;0.679092;-0.354822
428.000000;0.685421;-0.359517
429.000000;0.694490;-0.347549
430.000000;0.671715;-0.362054
431.000000;0.666671;-0.370073
432.000000;0.696051;-0.354267
433.000000;0.691220;-0.342911
434.000000;0.666799;-0.338107
435.000000;0.675358;-0.348373
436.000000;0.668899;-0.366359
437.000000;0.662536;-0.369101
438.000000;0.675272;-0.342245
439.000000;0.669886;-0.352740
440.000000;0.664683;-0.376637
441.000000;0.670214;-0.400489
442.000000;0.662890;-0.391888
443.000000;0.662506;-0.361589
444.000000;0.663367;-0.356131
445.000000;0.656458;-0.356074
446.000000;0.647342;-0.381024
447.000000;0.665096;-0.375428
448.000000;0.678838;-0.366948
449.000000;0.666437;-0.369995
450.000000;0.657520;-0.364805
451.000000;0.670871;-0.365422
452.000000;0.675870;-0.359362
453.000000;0.662978;-0.363319
454.000000;0.650871;-0.370440
455.000000;0.658172;-0.385459
456.000000;0.654011;-0.365346
457.000000;0.650768;-0.360851
458.000000;0.637793;-0.364743
459.000000;0.634998;-0.362433
460.000000;0.644815;-0.369573
461.000000;0.647927;-0.367752
462.000000;0.648643;-0.366766
463.000000;0.649317;-0.365202
464.000000;0.645045;-0.367378
465.000000;0.654241;-0.361805
466.000000;0.653867;-0.363388
467.000000;0.646066;-0.356863
468.000000;0.648371;-0.356418
469.000000;0.647389;-0.368951
470.000000;0.649093;-0.363866
471.000000;0.641082;-0.365594
472.000000;0.644598;-0.372156
