Frequency in Hz	Silk_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_97 Normalized Surface Impedance continuous Im	
100	3,45753479003906	100	-13,9879598617554	
103,125	4,81560659408569	103,125	-14,3132829666138	
106,25	2,76983833312988	106,25	-11,8484411239624	
109,375	2,59482169151306	109,375	-13,462833404541	
112,5	3,29900789260864	112,5	-12,4779872894287	
115,625	2,84463000297546	115,625	-11,6619215011597	
118,75	2,91530108451843	118,75	-12,3624629974365	
121,875	3,38567090034485	121,875	-11,2575950622559	
125	2,61566758155823	125	-11,6063842773438	
128,125	2,30051231384277	128,125	-10,8993406295776	
131,25	2,35325479507446	131,25	-11,0018606185913	
134,375	1,85776722431183	134,375	-11,2343406677246	
137,5	2,60364055633545	137,5	-9,64480018615723	
140,625	3,0795304775238	140,625	-10,0492706298828	
143,75	2,78320097923279	143,75	-9,4419994354248	
146,875	2,42245960235596	146,875	-10,5033016204834	
150	2,64384627342224	150	-9,53704643249512	
153,125	2,23685240745544	153,125	-9,02073287963867	
156,25	2,37231707572937	156,25	-9,21168231964111	
159,375	2,24549770355225	159,375	-8,98281955718994	
162,5	2,22030901908875	162,5	-9,01753520965576	
165,625	2,42547607421875	165,625	-8,87996768951416	
168,75	2,05609273910522	168,75	-8,25104141235352	
171,875	2,46392107009888	171,875	-8,39902019500732	
175	2,44279813766479	175	-7,98957347869873	
178,125	2,14433670043945	178,125	-8,05731773376465	
181,25	2,23392701148987	181,25	-8,11433982849121	
184,375	2,40015530586243	184,375	-7,91968011856079	
187,5	2,37311005592346	187,5	-7,45371437072754	
190,625	2,49370074272156	190,625	-7,53433513641357	
193,75	2,30476236343384	193,75	-7,13536167144775	
196,875	2,35021281242371	196,875	-7,30543422698975	
200	2,18779635429382	200	-7,44431304931641	
203,125	2,12388873100281	203,125	-7,51963376998901	
206,25	2,00973320007324	206,25	-6,83492660522461	
209,375	2,15875363349915	209,375	-6,91905975341797	
212,5	2,11953449249268	212,5	-7,18834686279297	
215,625	2,11595964431763	215,625	-6,57997131347656	
218,75	2,20326089859009	218,75	-6,79732656478882	
221,875	2,11484527587891	221,875	-6,52945899963379	
225	2,22085499763489	225	-6,44037199020386	
228,125	2,21176385879517	228,125	-6,33070659637451	
231,25	2,19996309280396	231,25	-6,30323028564453	
234,375	2,20778274536133	234,375	-6,15790605545044	
237,5	2,12337040901184	237,5	-6,28378772735596	
240,625	1,88269972801208	240,625	-6,01555776596069	
243,75	2,01654171943665	243,75	-6,0429368019104	
246,875	2,14686441421509	246,875	-5,84850883483887	
250	2,16120553016663	250	-5,78819894790649	
253,125	2,05872297286987	253,125	-5,78669786453247	
256,25	2,01464915275574	256,25	-5,62423849105835	
259,375	2,15614652633667	259,375	-5,57943630218506	
262,5	2,01595830917358	262,5	-5,52586793899536	
265,625	1,91160809993744	265,625	-5,45895528793335	
268,75	2,02223467826843	268,75	-5,44975757598877	
