Frequency in Hz	Acrylic_99 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_99 Sound Reflection Factor continuous Im	
100	0,968984961509705	100	-0,12472689896822	
103,125	0,969999074935913	103,125	-0,122292928397655	
106,25	0,971846103668213	106,25	-0,135875195264816	
109,375	0,973847806453705	109,375	-0,125878408551216	
112,5	0,964446902275085	112,5	-0,140731364488602	
115,625	0,956486284732819	115,625	-0,142548874020576	
118,75	0,957415878772736	118,75	-0,141393110156059	
121,875	0,95972865819931	121,875	-0,144820287823677	
125	0,959628760814667	125	-0,145856454968452	
128,125	0,957645535469055	128,125	-0,148751497268677	
131,25	0,961055517196655	131,25	-0,164724364876747	
134,375	0,957360446453094	134,375	-0,157493010163307	
137,5	0,948202669620514	137,5	-0,164609462022781	
140,625	0,951303005218506	140,625	-0,157892122864723	
143,75	0,946205019950867	143,75	-0,171624794602394	
146,875	0,950279533863068	146,875	-0,173471286892891	
150	0,959404826164246	150	-0,171390607953072	
153,125	0,940050482749939	153,125	-0,181000038981438	
156,25	0,946445524692535	156,25	-0,182748377323151	
159,375	0,949093580245972	159,375	-0,185170903801918	
162,5	0,950109601020813	162,5	-0,185837909579277	
165,625	0,952602505683899	165,625	-0,194298729300499	
168,75	0,932162404060364	168,75	-0,193510875105858	
171,875	0,932501018047333	171,875	-0,201976746320724	
175	0,936928153038025	175	-0,197614714503288	
178,125	0,92993152141571	178,125	-0,203705340623856	
181,25	0,933877170085907	181,25	-0,202580377459526	
184,375	0,930963397026062	184,375	-0,215493410825729	
187,5	0,933353424072266	187,5	-0,211247757077217	
190,625	0,935882806777954	190,625	-0,213385060429573	
193,75	0,930796027183533	193,75	-0,216959938406944	
196,875	0,927528083324432	196,875	-0,222995698451996	
200	0,925739407539368	200	-0,219230309128761	
203,125	0,922080934047699	203,125	-0,232709467411041	
206,25	0,926795482635498	206,25	-0,226580202579498	
209,375	0,920607209205627	209,375	-0,232846826314926	
212,5	0,928907990455627	212,5	-0,231867283582687	
215,625	0,926250219345093	215,625	-0,236486956477165	
218,75	0,922853887081146	218,75	-0,233361542224884	
221,875	0,92493599653244	221,875	-0,251226633787155	
225	0,922197639942169	225	-0,244324460625648	
228,125	0,914875686168671	228,125	-0,250944793224335	
231,25	0,911476731300354	231,25	-0,254584789276123	
234,375	0,918702304363251	234,375	-0,254834920167923	
237,5	0,914085328578949	237,5	-0,257384449243546	
240,625	0,916204571723938	240,625	-0,263023406267166	
243,75	0,910322904586792	243,75	-0,261916130781174	
246,875	0,902429461479187	246,875	-0,264645993709564	
250	0,906124293804169	250	-0,275676369667053	
