Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
484,375	0,714729189872742	484,375	-0,473435968160629	
487,5	0,715113282203674	487,5	-0,469884604215622	
490,625	0,711097002029419	490,625	-0,473901331424713	
493,75	0,704812705516815	493,75	-0,474360525608063	
496,875	0,703036844730377	496,875	-0,475883692502975	
500	0,70529842376709	500	-0,484440684318542	
503,125	0,701099097728729	503,125	-0,486470252275467	
506,25	0,700479328632355	506,25	-0,486246138811111	
509,375	0,697770059108734	509,375	-0,492255508899689	
512,5	0,689676463603973	512,5	-0,492862582206726	
515,625	0,689775049686432	515,625	-0,48852750658989	
518,75	0,688470900058746	518,75	-0,487521708011627	
521,875	0,682450294494629	521,875	-0,497918874025345	
525	0,678327620029449	525	-0,49702924489975	
528,125	0,682344734668732	528,125	-0,498609006404877	
531,25	0,675207853317261	531,25	-0,500742614269257	
534,375	0,672386646270752	534,375	-0,50147420167923	
537,5	0,669479846954346	537,5	-0,503538310527802	
540,625	0,667284786701202	540,625	-0,505601227283478	
543,75	0,665483117103577	543,75	-0,501937568187714	
546,875	0,660869061946869	546,875	-0,512442648410797	
550	0,658468663692474	550	-0,5102698802948	
553,125	0,653125524520874	553,125	-0,511235415935516	
556,25	0,673464834690094	556,25	-0,485349923372269	
559,375	0,666696548461914	559,375	-0,484200149774551	
562,5	0,665082216262817	562,5	-0,485267460346222	
565,625	0,662554681301117	565,625	-0,488122552633286	
568,75	0,6590216755867	568,75	-0,487737029790878	
571,875	0,65679657459259	571,875	-0,487561345100403	
575	0,655139625072479	575	-0,490503996610641	
578,125	0,651828646659851	578,125	-0,488227397203445	
581,25	0,651159942150116	581,25	-0,492050409317017	
584,375	0,648373603820801	584,375	-0,49509334564209	
587,5	0,646833539009094	587,5	-0,495520502328873	
590,625	0,642966330051422	590,625	-0,495501637458801	
593,75	0,639700591564178	593,75	-0,496827006340027	
596,875	0,639081716537476	596,875	-0,497303456068039	
600	0,634538114070892	600	-0,500587046146393	
603,125	0,633544385433197	603,125	-0,500040531158447	
606,25	0,629441499710083	606,25	-0,501443922519684	
609,375	0,629466593265533	609,375	-0,502162933349609	
612,5	0,626421928405762	612,5	-0,503457307815552	
615,625	0,622659921646118	615,625	-0,505734741687775	
618,75	0,62121456861496	618,75	-0,505817115306854	
621,875	0,62062680721283	621,875	-0,505867600440979	
625	0,616570353507996	625	-0,505605936050415	
628,125	0,612830758094788	628,125	-0,50882762670517	
631,25	0,608375430107117	631,25	-0,507965922355652	
634,375	0,606084048748016	634,375	-0,509135901927948	
637,5	0,60490357875824	637,5	-0,510840356349945	
640,625	0,604649901390076	640,625	-0,50963032245636	
