Frequency in Hz	Wool_96 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_96 Normalized Surface Impedance continuous Im	
100	2,86326742172241	100	-14,1099948883057	
103,125	4,06839036941528	103,125	-14,5407333374023	
106,25	2,21384334564209	106,25	-11,9622631072998	
109,375	1,88939929008484	109,375	-13,5283212661743	
112,5	2,62959980964661	112,5	-12,5976867675781	
115,625	2,24225449562073	115,625	-11,7562532424927	
118,75	2,21746063232422	118,75	-12,4784774780273	
121,875	2,73148775100708	121,875	-11,4340629577637	
125	1,90754365921021	125	-11,7235012054443	
128,125	1,63126254081726	128,125	-10,9875707626343	
131,25	1,66661584377289	131,25	-11,1112289428711	
134,375	1,14553880691528	134,375	-11,3006134033203	
137,5	2,00781750679016	137,5	-9,78882503509521	
140,625	2,41394257545471	140,625	-10,2685422897339	
143,75	2,18057107925415	143,75	-9,64852046966553	
146,875	1,65356612205505	146,875	-10,6710405349731	
150	1,95781886577606	150	-9,74677467346191	
153,125	1,58309710025787	153,125	-9,17459964752197	
156,25	1,67354512214661	156,25	-9,38422393798828	
159,375	1,55469143390656	159,375	-9,15071678161621	
162,5	1,49264001846313	162,5	-9,18416118621826	
165,625	1,68955492973328	165,625	-9,07066345214844	
168,75	1,39095747470856	168,75	-8,39466190338135	
171,875	1,75392055511475	171,875	-8,60862159729004	
175	1,76805758476257	175	-8,20320987701416	
178,125	1,43579077720642	178,125	-8,2273645401001	
181,25	1,48943734169006	181,25	-8,30232620239258	
184,375	1,66119956970215	184,375	-8,14005374908447	
187,5	1,68449866771698	187,5	-7,67167329788208	
190,625	1,77521157264709	190,625	-7,78271007537842	
193,75	1,62586319446564	193,75	-7,35146570205688	
196,875	1,62323653697968	196,875	-7,53686285018921	
200	1,41522884368896	200	-7,64778184890747	
203,125	1,30611515045166	203,125	-7,71817255020142	
206,25	1,30264961719513	206,25	-7,02434158325195	
209,375	1,41767799854279	209,375	-7,13574695587158	
212,5	1,30429422855377	212,5	-7,39710807800293	
215,625	1,39252746105194	215,625	-6,80003213882446	
218,75	1,41726517677307	218,75	-7,03176593780518	
221,875	1,36197090148926	221,875	-6,75107097625732	
225	1,46467888355255	225	-6,68368625640869	
228,125	1,45666790008545	228,125	-6,57373666763306	
231,25	1,4285751581192	231,25	-6,54517984390259	
234,375	1,4486231803894	234,375	-6,40583467483521	
237,5	1,31487095355988	237,5	-6,51441478729248	
240,625	1,11600732803345	240,625	-6,19298267364502	
243,75	1,22138333320618	243,75	-6,24854040145874	
