Frequency in Hz	Acrylic_92 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92 Normalized Surface Impedance continuous Im	
100	2,04132533073425	100	-13,1379432678223	
103,125	2,10848426818848	103,125	-13,4443311691284	
106,25	1,56776583194733	106,25	-12,4247131347656	
109,375	1,69693064689636	109,375	-13,2637147903442	
112,5	1,91976928710938	112,5	-11,7414150238037	
115,625	2,40515851974487	115,625	-11,3209800720215	
118,75	2,39899611473084	118,75	-11,3433485031128	
121,875	2,14541363716125	121,875	-11,2029390335083	
125	2,16283464431763	125	-11,15882396698	
128,125	2,16679358482361	128,125	-10,8738899230957	
131,25	1,53413486480713	131,25	-10,1129703521729	
134,375	1,95823955535889	134,375	-10,3262538909912	
137,5	2,18824601173401	137,5	-9,69432353973389	
140,625	2,25081944465637	140,625	-10,0687026977539	
143,75	2,10413956642151	143,75	-9,28126525878906	
146,875	1,91474342346191	146,875	-9,28548908233643	
150	1,60188972949982	150	-9,56731128692627	
153,125	2,1262481212616	153,125	-8,68892574310303	
156,25	1,88525664806366	156,25	-8,76613235473633	
159,375	1,74100506305695	159,375	-8,68161487579346	
162,5	1,71934008598328	162,5	-8,70499515533447	
165,625	1,46473741531372	165,625	-8,41011714935303	
168,75	2,14152383804321	168,75	-7,96935939788818	
171,875	1,94398605823517	171,875	-7,71469211578369	
175	1,93462610244751	175	-7,90378522872925	
178,125	2,01441693305969	178,125	-7,57287073135376	
181,25	1,95115625858307	181,25	-7,65931940078735	
184,375	1,78568148612976	184,375	-7,25100708007813	
187,5	1,8274894952774	187,5	-7,37187576293945	
190,625	1,72715532779694	190,625	-7,35775804519653	
193,75	1,8250207901001	193,75	-7,15932559967041	
196,875	1,78934395313263	196,875	-6,92437505722046	
200	1,89847731590271	200	-6,97013139724731	
203,125	1,76464855670929	203,125	-6,60519552230835	
206,25	1,7805300951004	206,25	-6,77303218841553	
209,375	1,80824148654938	209,375	-6,52474403381348	
212,5	1,68067681789398	212,5	-6,65648555755615	
215,625	1,67435550689697	215,625	-6,49899864196777	
218,75	1,80960166454315	218,75	-6,47460317611694	
221,875	1,51184964179993	221,875	-6,17887735366821	
225	1,67207610607147	225	-6,23379611968994	
228,125	1,70008742809296	228,125	-5,99304723739624	
231,25	1,71346628665924	231,25	-5,87088871002197	
234,375	1,6262149810791	234,375	-5,95288372039795	
237,5	1,67344439029694	237,5	-5,83244562149048	
240,625	1,58033561706543	240,625	-5,75528049468994	
243,75	1,68701648712158	243,75	-5,67391395568848	
246,875	1,7673636674881	246,875	-5,51189613342285	
250	1,59382283687592	250	-5,40871667861938	
253,125	1,68496143817902	253,125	-5,48076009750366	
256,25	1,74141383171082	256,25	-5,30818271636963	
259,375	1,6872307062149	259,375	-5,15850400924683	
262,5	1,55149364471436	262,5	-5,27583980560303	
265,625	1,55507206916809	265,625	-5,19715642929077	
268,75	1,54500567913055	268,75	-5,16215753555298	
271,875	1,56943297386169	271,875	-4,9892201423645	
275	1,72019696235657	275	-4,87349081039429	
278,125	1,73113179206848	278,125	-4,87202739715576	
281,25	1,52290296554565	281,25	-4,759521484375	
284,375	1,54491817951202	284,375	-4,7398533821106	
287,5	1,63186633586884	287,5	-4,6495213508606	
290,625	1,60757827758789	290,625	-4,55351448059082	
293,75	1,55822992324829	293,75	-4,51763534545898	
296,875	1,47161483764648	296,875	-4,51257228851318	
300	1,54575133323669	300	-4,36567878723145	
303,125	1,66225266456604	303,125	-4,3469443321228	
306,25	1,54453539848328	306,25	-4,06658601760864	
309,375	1,60136711597443	309,375	-4,14074230194092	
312,5	1,64964067935944	312,5	-4,00747776031494	
315,625	1,65305173397064	315,625	-3,98468828201294	
