Frequency in Hz	Acrylic_92 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92 Sound Absorption Coefficient continuous	
125	0.0673803761601448	100	0.0449000103018151	
160	0.0913494676351547	103.125	0.0442929346243444	
200	0.128745138645172	106.25	0.0389587128766251	
250	0.181919917464256	109.375	0.037050974716732	
315	0.270140945911407	112.5	0.0524577734528944	
400	0.355585902929306	115.625	0.068836971469364	
500	0.478395372629166	118.75	0.0684329023838602	
630	0.603314578533173	121.875	0.0633802696948811	
800	0.714917898178101	125	0.0643112875751707	
1000	0.803866863250732	128.125	0.0675697345518106	
1250	0.858399868011475	131.25	0.0564570169018224	
1600	0.906042277812958	134.375	0.0678867750901561	
2000	0.888707995414734	137.5	0.0840462739828542	
2500	0.883547484874725	140.625	0.0804247523631865	
3150	0.897278547286987	143.75	0.0878760920890986	
4000	0.931715488433838	146.875	0.0808624772120499	
		150	0.0651815390936074	
		153.125	0.0997409096038976	
		156.25	0.0885411087886638	
		159.375	0.0840217411215163	
		162.5	0.0826886456725348	
		165.625	0.0762834435687254	
		168.75	0.116736330624954	
		171.875	0.114044323388233	
		175	0.108867516145873	
		178.125	0.121286335391255	
		181.25	0.11583946499467	
		184.375	0.118380279933808	
		187.5	0.117260925828537	
		190.625	0.112200341033582	
		193.75	0.123235849416537	
		196.875	0.12843545662897	
		200	0.133264123628775	
		203.125	0.137669875954694	
		206.25	0.132862204125527	
		209.375	0.143344840210388	
		212.5	0.130551118044071	
		215.625	0.135605101860647	
		218.75	0.145307660405947	
		221.875	0.135933507682526	
		225	0.145397268571334	
		228.125	0.157389692410946	
		231.25	0.163849562790023	
		234.375	0.153656307390842	
		237.5	0.162609532939047	
		240.625	0.158902023838437	
		243.75	0.171212681885416	
		246.875	0.185846062495677	
		250	0.177179340158037	
		253.125	0.18094638775988	
		256.25	0.195159305060143	
		259.375	0.199487102078306	
		262.5	0.180697224325484	
		265.625	0.185465277861988	
		268.75	0.186567136956064	
		271.875	0.199329110650253	
		275	0.220889321797723	
		278.125	0.221970323981491	
		281.25	0.209924671639977	
		284.375	0.213513151928704	
		287.5	0.228674664727063	
		290.625	0.233541165535099	
		293.75	0.231246540378499	
		296.875	0.222363919542465	
		300	0.242091032436128	
		303.125	0.255893433799785	
		306.25	0.268477331509811	
		309.375	0.267867122532153	
		312.5	0.285893737017262	
		315.625	0.288535718842542	
		318.75	0.290218894294035	
		321.875	0.29653802136935	
		325	0.295453241599095	
		328.125	0.283424443353366	
		331.25	0.271847665549028	
		334.375	0.287724718034738	
		337.5	0.281702433477822	
		340.625	0.285221157644141	
		343.75	0.292732888461696	
		346.875	0.290643560876664	
		350	0.303000059195363	
		353.125	0.296637051978998	
		356.25	0.287299340533607	
		359.375	0.291459625803708	
		362.5	0.312475924266062	
		365.625	0.307548557092078	
		368.75	0.308838263734332	
		371.875	0.335085097032696	
		375	0.343115640693318	
		378.125	0.332936959151208	
		381.25	0.300127908627501	
		384.375	0.320130920681348	
		387.5	0.339169667634385	
		390.625	0.35574483654366	
		393.75	0.344072030286857	
		396.875	0.341721031006175	
		400	0.330263013426546	
		403.125	0.347608538388268	
		406.25	0.361354522969539	
		409.375	0.341274478049535	
		412.5	0.356015508282363	
		415.625	0.383167791087362	
		418.75	0.40726986068582	
		421.875	0.397390347765263	
		425	0.397127238557568	
		428.125	0.366229214628789	
		431.25	0.378034179993526	
		434.375	0.416427997817146	
		437.5	0.419654150004838	
		440.625	0.41119497895426	
		443.75	0.42230293218168	
		446.875	0.412536153319506	
		450	0.414570877291885	
		453.125	0.425012177331171	
		456.25	0.441406492428756	
		459.375	0.438772767557278	
