Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
484,375	0,621182322502136	484,375	-0,394383549690247	
487,5	0,619395315647125	487,5	-0,394391536712646	
490,625	0,615717768669128	490,625	-0,399563789367676	
493,75	0,613061547279358	493,75	-0,39987587928772	
496,875	0,603967010974884	496,875	-0,398676216602325	
500	0,606352627277374	500	-0,396094173192978	
503,125	0,604049205780029	503,125	-0,396331429481506	
506,25	0,603388369083405	506,25	-0,399033933877945	
509,375	0,600104331970215	509,375	-0,399500370025635	
512,5	0,595615983009338	512,5	-0,39775425195694	
515,625	0,590525984764099	515,625	-0,397273004055023	
518,75	0,590366363525391	518,75	-0,404174834489822	
521,875	0,589105248451233	521,875	-0,404530704021454	
525	0,582094371318817	525	-0,401431351900101	
528,125	0,581731498241425	528,125	-0,398398220539093	
531,25	0,580107033252716	531,25	-0,399455308914185	
534,375	0,5787712931633	534,375	-0,39804619550705	
537,5	0,575444579124451	537,5	-0,396775990724564	
540,625	0,57451057434082	540,625	-0,398201882839203	
543,75	0,567873537540436	543,75	-0,400343686342239	
546,875	0,563282549381256	546,875	-0,3964903652668	
550	0,56083881855011	550	-0,399954229593277	
553,125	0,561604619026184	553,125	-0,396726995706558	
556,25	0,566768288612366	556,25	-0,371337056159973	
559,375	0,566980302333832	559,375	-0,368723601102829	
562,5	0,56638240814209	562,5	-0,370731085538864	
565,625	0,567850708961487	565,625	-0,370249092578888	
568,75	0,560455918312073	568,75	-0,367912262678146	
571,875	0,558540284633636	571,875	-0,366190046072006	
575	0,557532966136932	575	-0,36750853061676	
578,125	0,557275056838989	578,125	-0,367109656333923	
581,25	0,55475902557373	581,25	-0,363054364919662	
584,375	0,550712108612061	584,375	-0,36623615026474	
587,5	0,55065655708313	587,5	-0,364587664604187	
590,625	0,548462688922882	590,625	-0,364922642707825	
593,75	0,545177519321442	593,75	-0,365022540092468	
596,875	0,544482290744781	596,875	-0,362977355718613	
600	0,544971466064453	600	-0,361675232648849	
603,125	0,539754390716553	603,125	-0,363448560237885	
606,25	0,537841856479645	606,25	-0,359360694885254	
609,375	0,531635701656342	609,375	-0,360706239938736	
612,5	0,532611131668091	612,5	-0,359306335449219	
615,625	0,528980731964111	615,625	-0,358512371778488	
618,75	0,52870500087738	618,75	-0,359409660100937	
621,875	0,524866342544556	621,875	-0,358733296394348	
625	0,523826539516449	625	-0,356315135955811	
628,125	0,521722912788391	628,125	-0,357873558998108	
631,25	0,520769774913788	631,25	-0,35656014084816	
634,375	0,518028318881989	634,375	-0,355323314666748	
637,5	0,515477538108826	637,5	-0,352740228176117	
640,625	0,512984991073608	640,625	-0,353688299655914	
643,75	0,511870324611664	643,75	-0,354738771915436	
646,875	0,509961903095245	646,875	-0,352320671081543	
650	0,508073449134827	650	-0,351187288761139	
653,125	0,506981670856476	653,125	-0,351703226566315	
656,25	0,506354629993439	656,25	-0,35070937871933	
659,375	0,50349348783493	659,375	-0,351746290922165	
662,5	0,501335024833679	662,5	-0,348872750997543	
665,625	0,500466585159302	665,625	-0,349061042070389	
668,75	0,498303234577179	668,75	-0,34750434756279	
671,875	0,496677935123444	671,875	-0,345805019140244	
675	0,495355486869812	675	-0,344644784927368	
678,125	0,492001444101334	678,125	-0,34350311756134	
681,25	0,490015089511871	681,25	-0,343789577484131	
684,375	0,489453196525574	684,375	-0,342445850372314	
687,5	0,486077547073364	687,5	-0,341189533472061	
690,625	0,484734028577805	690,625	-0,340768814086914	
693,75	0,484294831752777	693,75	-0,338475376367569	
696,875	0,482106894254684	696,875	-0,337148427963257	
700	0,481903791427612	700	-0,338675558567047	
703,125	0,481061398983002	703,125	-0,339298158884048	
706,25	0,476317316293716	706,25	-0,33809033036232	
709,375	0,475306451320648	709,375	-0,337133139371872	
712,5	0,473839461803436	712,5	-0,338622808456421	
715,625	0,471889078617096	715,625	-0,335670977830887	
718,75	0,468322575092316	718,75	-0,333727926015854	
721,875	0,468655496835709	721,875	-0,334833770990372	
725	0,467167019844055	725	-0,332337111234665	
728,125	0,464512437582016	728,125	-0,330629676580429	
731,25	0,463665962219238	731,25	-0,332342773675919	
734,375	0,461909472942352	734,375	-0,329731702804565	
737,5	0,460869520902634	737,5	-0,328273773193359	
740,625	0,458448231220245	740,625	-0,327506572008133	
743,75	0,457419514656067	743,75	-0,32622218132019	
746,875	0,457470536231995	746,875	-0,325806587934494	
750	0,453699469566345	750	-0,323653548955917	
753,125	0,452951908111572	753,125	-0,321622461080551	
756,25	0,452103197574615	756,25	-0,320761322975159	
759,375	0,451082408428192	759,375	-0,321659505367279	
762,5	0,449055463075638	762,5	-0,319144934415817	
765,625	0,448258519172668	765,625	-0,317979902029037	
768,75	0,445674538612366	768,75	-0,314604252576828	
771,875	0,443176627159119	771,875	-0,315935045480728	
775	0,444814771413803	775	-0,314372569322586	
778,125	0,442662388086319	778,125	-0,3114373087883	
781,25	0,441467553377151	781,25	-0,311955779790878	
784,375	0,439734309911728	784,375	-0,31215900182724	
787,5	0,438335776329041	787,5	-0,308513313531876	
790,625	0,437184691429138	790,625	-0,308818757534027	
793,75	0,436978369951248	793,75	-0,306910634040833	
796,875	0,434339374303818	796,875	-0,306937277317047	
800	0,434010595083237	800	-0,305591434240341	
803,125	0,435258775949478	803,125	-0,30345293879509	
806,25	0,435430526733398	806,25	-0,30380642414093	
809,375	0,433963477611542	809,375	-0,302258551120758	
812,5	0,431391537189484	812,5	-0,300976276397705	
815,625	0,429667919874191	815,625	-0,297932147979736	
818,75	0,42865327000618	818,75	-0,297981709241867	
821,875	0,427546888589859	821,875	-0,296906620264053	
825	0,425590217113495	825	-0,297381103038788	
828,125	0,424910873174667	828,125	-0,294929355382919	
831,25	0,424065709114075	831,25	-0,291634023189545	
834,375	0,42444035410881	834,375	-0,291093945503235	
837,5	0,424983441829681	837,5	-0,29118886590004	
